Date,Close,High,Low,Open,Volume
2010-01-01,22.2177,22.7183,22.1176,22.1963,0
2010-01-04,22.3822,22.6182,22.2616,22.4466,3816656
2010-01-05,22.1391,22.325,21.9961,22.3179,4187236
2010-01-06,22.0604,22.1677,21.9961,22.0604,3244780
2010-01-07,22.0318,22.039,21.8101,22.0104,3096026
2010-01-08,22.0247,22.0604,21.7386,21.9103,3735010
2010-01-11,22.039,22.2034,21.9317,22.0819,4782998
2010-01-12,21.7744,21.9174,21.6099,21.853,2871927
2010-01-13,21.946,22.0104,21.4884,21.7887,3419946
2010-01-14,22.2749,22.3393,21.8101,21.8745,6165588
2010-01-15,21.7601,22.4251,21.6886,22.325,4628018
2010-01-18,21.7601,22.4251,21.6886,22.325,0
2010-01-19,22.0247,22.0461,21.7029,21.71,3564731
2010-01-20,21.9031,21.9317,21.5885,21.8316,4590490
2010-01-21,21.8244,22.2463,21.5813,22.1677,6083186
2010-01-22,20.8591,21.7029,20.8019,21.7029,4264337
2010-01-25,21.0593,21.2023,20.902,21.0378,3609586
2010-01-26,20.9449,21.0951,20.7232,21.0021,2697601
2010-01-27,20.8591,20.9449,20.5444,20.8805,4363464
2010-01-28,20.5158,21.0021,20.3728,20.8305,4939386
2010-01-29,20.0439,20.8591,19.9652,20.6875,5924789
2010-02-01,20.8305,20.9663,20.1154,20.1368,5596257
2010-02-02,21.0951,21.1594,20.8019,20.8948,5886555
2010-02-03,21.1237,21.3739,20.9949,21.0164,6087514
2010-02-04,20.7876,21.0593,20.6946,20.952,6634397
2010-02-05,20.8591,20.9234,20.1511,20.6732,9549520
2010-02-08,20.8805,21.2238,20.8305,20.8877,6926264
2010-02-09,21.0307,21.2524,20.8662,21.1165,5152205
2010-02-10,20.9163,21.0879,20.6517,21.0665,3256653
2010-02-11,20.9949,21.1737,20.573,20.9163,6984520
2010-02-12,21.4383,21.9818,21.1451,21.9174,11461372
2010-02-15,21.4383,21.9818,21.1451,21.9174,0
