Date,Close,High,Low,Open,Volume
2010-01-01,41.5,41.8,41.5,41.68,0
2010-01-04,42.07,42.2,41.5,41.52,3650009
2010-01-05,42.33,42.45,41.98,42.1,2612977
2010-01-06,42.78,42.9,41.81,42.09,5772011
2010-01-07,42.74,42.9,42.24,42.5,4022855
2010-01-08,42.57,43.06,42.19,42.51,5070173
2010-01-11,42.53,42.81,42.23,42.44,4231854
2010-01-12,42.26,43.62,42.2,42.21,5557017
2010-01-13,42.74,42.93,42.2,42.45,4496744
2010-01-14,43.12,43.29,42.6,42.72,3312435
2010-01-15,42.81,43.59,42.74,42.96,4734201
2010-01-18,42.81,43.59,42.74,42.96,0
2010-01-19,43.75,43.83,42.5,42.69,5343584
2010-01-20,43.51,43.89,43.05,43.36,4409887
2010-01-21,43.09,43.78,42.855,43.44,4578258
2010-01-22,42.18,43.02,41.89,43.02,4903788
2010-01-25,41.88,42.54,41.62,42.54,3665678
2010-01-26,41.83,42.19,41.53,41.76,3458951
2010-01-27,41.93,42.5,41.53,41.91,4562293
2010-01-28,41.29,42.15,41.1,42.15,4773224
2010-01-29,40.99,41.97,40.94,41.64,4618010
2010-02-01,41.19,41.6,40.91,41.16,3540012
2010-02-02,41.62,41.84,40.8,41.39,3817851
2010-02-03,41.6,41.69,41.39,41.55,2555072
2010-02-04,40.61,41.38,40.56,41.38,4069381
2010-02-05,40.54,40.75,39.7,40.21,5850368
2010-02-08,40.17,40.57,39.9,40.43,4514119
2010-02-09,40.24,40.78,40.18,40.47,4525687
2010-02-10,40.02,40.55,39.63,40.33,4885737
2010-02-11,40.27,40.6,39.61,40.02,4753284
2010-02-12,40.49,40.54,39.8,40.34,3347671
2010-02-15,40.49,40.54,39.8,40.34,0
2010-02-16,40.84,40.84,40.22,40.55,2419988
2010-02-17,40.79,41.12,40.66,40.97,2480268
2010-02-18,41.31,41.34,40.73,40.77,2309573
2010-02-19,40.87,41.41,40.26,40.51,5039136
2010-02-22,40.7,41.09,40.55,41.0,2421352
2010-02-23,40.26,40.86,40.24,40.6,2600863
2010-02-24,40.28,40.63,40.245,40.42,3261551
2010-02-25,39.75,40.17,39.55,39.95,5548641
2010-02-26,39.97,40.25,39.72,39.98,4533904
2010-03-01,40.09,40.45,39.88,40.13,4157757
2010-03-02,40.6,40.92,40.25,40.4,3726700
2010-03-03,40.64,40.91,40.52,40.74,3193983
2010-03-04,40.91,41.0,40.44,40.76,3642873
2010-03-05,41.18,41.47,40.83,41.0,2781735
2010-03-08,41.46,41.61,41.06,41.31,4536087
2010-03-09,42.06,42.305,41.2,41.26,4826253
2010-03-10,42.06,42.15,41.67,41.94,3192068
2010-03-11,42.0,42.07,41.67,41.84,3283585
2010-03-12,42.12,42.39,41.78,42.02,2755896
2010-03-15,42.5,42.57,42.03,42.24,2619749
2010-03-16,42.0,42.5966,41.57,42.32,4625685
2010-03-17,42.24,42.99,41.89,41.95,5203127
2010-03-18,42.28,42.77,41.94,42.34,2731759
2010-03-19,42.06,42.33,41.4,42.24,4314250
2010-03-22,42.43,42.52,41.79,41.86,2346133
2010-03-23,42.4,42.71,42.17,42.56,3822819
2010-03-24,41.79,42.4,41.67,42.2,3096323
2010-03-25,41.52,42.48,41.5,42.0,4649846
2010-03-26,42.4,42.5,41.28,41.47,6528723
2010-03-29,42.3,42.93,42.09,42.51,3810146
2010-03-30,42.21,42.33,41.9,42.12,3778000
2010-03-31,41.95,42.21,41.72,42.0,3026269
2010-04-01,41.84,42.65,41.655,42.0,3622696
2010-04-02,41.84,42.65,41.655,42.0,0
2010-04-05,41.96,42.17,41.61,41.71,2561266
2010-04-06,41.52,42.31,41.45,42.05,5802025
2010-04-07,41.56,41.88,41.37,41.52,5314746
2010-04-08,41.9,42.04,41.23,41.41,6134011
2010-04-09,42.83,42.9,42.03,42.19,5265037
2010-04-12,43.07,43.08,42.71,42.71,3500536
2010-04-13,43.1,43.12,42.55,42.83,4199922
2010-04-14,43.04,43.36,42.88,43.01,4426104
2010-04-15,43.24,43.32,42.98,43.04,3651803
2010-04-16,43.15,43.36,42.95,43.11,4399887
