Date,Close,High,Low,Open,Volume
2010-01-01,36.78,37.21,36.7,37.1,0
2010-01-04,37.09,37.3,36.65,36.65,4710112
2010-01-05,37.7,37.8,36.87,37.02,7108727
2010-01-06,37.62,37.74,37.2,37.51,5336345
2010-01-07,36.89,37.5865,36.81,37.38,5576649
2010-01-08,36.69,36.97,36.34,36.715,5429158
2010-01-11,36.21,36.77,35.95,36.69,4901418
2010-01-12,35.66,36.14,35.385,36.06,5073882
2010-01-13,36.28,36.36,35.6001,35.85,3660011
2010-01-14,35.9,36.51,35.79,36.14,4536191
2010-01-15,35.87,36.21,35.47,36.21,6732290
2010-01-18,35.87,36.21,35.47,36.21,0
2010-01-19,36.95,37.02,35.81,35.94,5964058
2010-01-20,36.49,36.51,35.62,36.44,6258410
2010-01-21,35.82,36.65,35.46,36.51,7404665
2010-01-22,34.38,35.82,34.35,35.62,7721292
2010-01-25,34.16,34.976,33.97,34.6,6961426
2010-01-26,33.94,34.29,33.62,33.76,5356277
2010-01-27,33.14,33.68,32.65,33.66,9897033
2010-01-28,32.89,33.66,32.48,33.22,6417751
2010-01-29,32.3,33.24,32.17,32.99,8377801
2010-02-01,32.48,32.54,32.06,32.36,8705489
2010-02-02,32.98,33.13,32.31,32.43,5735692
2010-02-03,32.98,33.43,32.54,32.82,6731911
2010-02-04,32.24,32.96,32.2,32.78,9450209
2010-02-05,32.77,32.8,31.85,32.32,11881405
2010-02-08,32.05,32.79,32.02,32.78,8615513
2010-02-09,32.31,32.66,31.91,32.48,8047643
2010-02-10,32.76,33.55,32.57,33.47,9591999
2010-02-11,32.64,33.16,32.28,32.68,10125393
2010-02-12,31.45,32.28,31.2801,32.26,21221535
2010-02-15,31.45,32.28,31.2801,32.26,0
2010-02-16,31.81,31.87,31.28,31.51,9113717
2010-02-17,32.33,32.43,31.96,32.2,9213968
2010-02-18,33.24,33.33,32.47,32.47,9614659
2010-02-19,33.88,34.16,33.565,33.8,12323988
2010-02-22,33.7,34.21,33.51,34.1,6119722
2010-02-23,33.44,33.82,33.201,33.68,7905988
2010-02-24,34.55,34.63,33.56,33.63,9545142
2010-02-25,34.56,34.59,33.54,33.86,7735478
2010-02-26,34.65,34.7,34.055,34.55,4792576
