Date,Close,High,Low,Open,Volume
2010-01-01,31.58,31.91,31.55,31.72,0
2010-01-04,31.67,32.19,31.61,31.79,2102623
2010-01-05,31.62,31.81,31.41,31.67,2040045
2010-01-06,31.56,31.85,31.34,31.71,2104916
2010-01-07,31.31,31.65,31.07,31.46,2033310
2010-01-08,31.49,31.51,31.0,31.2,2393062
2010-01-11,31.31,31.59,30.84,31.58,2963815
2010-01-12,30.01,30.75,29.7,30.55,6868792
2010-01-13,30.0,30.2,29.39,30.2,5327008
2010-01-14,29.97,30.05,29.38,30.0,5073635
2010-01-15,28.96,29.85,28.93,29.85,5807718
2010-01-18,28.96,29.85,28.93,29.85,0
2010-01-19,29.47,29.55,29.02,29.03,3906701
2010-01-20,28.93,29.52,28.55,29.52,4657116
2010-01-21,29.06,29.52,28.78,29.13,4415191
2010-01-22,27.76,29.1,27.66,29.1,4761361
2010-01-25,28.01,28.32,27.78,27.87,2936919
2010-01-26,27.6,27.99,27.55,27.74,3203221
2010-01-27,27.7,28.0,27.37,27.43,4760688
2010-01-28,27.15,27.7,26.62,27.66,7521507
2010-01-29,26.96,27.95,26.76,27.6,7080065
2010-02-01,27.52,27.61,26.92,27.05,4139810
2010-02-02,27.78,27.93,27.35,27.55,2901991
2010-02-03,27.65,27.87,27.47,27.62,2200912
2010-02-04,26.5,27.44,26.5,27.44,5900027
2010-02-05,26.9,26.95,26.38,26.5,5844799
2010-02-08,26.8,27.15,26.48,26.98,5526313
2010-02-09,27.12,27.56,26.92,27.21,4841298
2010-02-10,27.05,27.42,26.82,27.03,4745238
2010-02-11,27.67,27.98,26.93,27.18,8066229
2010-02-12,27.99,28.2,27.19,27.51,7836111
2010-02-15,27.99,28.2,27.19,27.51,0
2010-02-16,28.6,28.69,28.14,28.37,6318073
2010-02-17,28.38,28.85,28.01,28.68,6633641
2010-02-18,29.57,29.8,28.53,28.7,10230024
2010-02-19,29.75,30.0,29.28,29.46,3853444
2010-02-22,29.89,30.04,29.59,29.88,4298166
2010-02-23,29.15,29.88,28.92,29.88,6082055
2010-02-24,29.49,29.66,29.21,29.26,3698063
2010-02-25,29.63,29.63,28.75,29.13,4270459
2010-02-26,29.24,29.79,28.98,29.68,3606773
2010-03-01,29.82,29.85,29.3,29.37,3629393
2010-03-02,29.62,30.14,29.45,29.9,4293542
2010-03-03,29.19,29.76,29.16,29.48,2398709
2010-03-04,29.07,29.4,28.8875,29.25,2814521
2010-03-05,29.5,29.79,29.12,29.3,3195851
2010-03-08,29.52,29.6,29.325,29.43,2995618
2010-03-09,29.25,29.44,28.9113,29.25,4011053
2010-03-10,30.08,30.415,29.68,29.9,5723064
2010-03-11,29.17,30.0,28.98,29.93,5911311
2010-03-12,28.98,29.51,28.95,29.29,3475398
2010-03-15,28.92,29.05,28.75,28.97,2589136
2010-03-16,30.01,30.05,28.96,29.01,5235322
2010-03-17,30.43,30.58,30.03,30.15,3439257
2010-03-18,30.16,30.54,30.0,30.54,2673502
2010-03-19,29.75,30.38,29.64,30.23,4669491
2010-03-22,30.07,30.22,29.59,29.59,2386491
2010-03-23,30.43,30.44,30.0097,30.11,1910985
2010-03-24,29.06,30.32,29.03,30.27,7601070
2010-03-25,28.94,29.52,28.87,29.29,5233760
2010-03-26,28.49,29.18,28.21,28.98,5712453
2010-03-29,28.82,29.08,28.53,28.65,4141421
2010-03-30,29.01,29.13,28.63,28.81,2870569
2010-03-31,28.82,29.12,28.72,28.88,2956488
2010-04-01,28.82,29.35,28.53,29.0,2076842
2010-04-02,28.82,29.35,28.53,29.0,0
2010-04-05,29.45,29.57,28.89,29.0,2608695
2010-04-06,29.29,29.45,28.98,29.24,2423947
2010-04-07,29.46,29.65,29.04,29.16,3822837
2010-04-08,28.99,29.4,28.75,29.4,4642246
2010-04-09,29.11,29.12,28.81,29.05,3323919
2010-04-12,29.55,29.75,29.11,29.19,3071555
2010-04-13,29.78,29.8,29.35,29.56,2620911
2010-04-14,31.35,31.37,30.23,30.27,7090532
2010-04-15,31.35,31.5,30.99,31.16,4419112
2010-04-16,30.58,31.18,30.33,31.14,7443166
2010-04-19,30.41,30.66,29.73,30.49,3712796
2010-04-20,30.75,30.94,30.4,30.59,3036734
2010-04-21,30.29,31.06,29.93,30.84,4365141
2010-04-22,30.42,30.48,29.24,29.81,3104990
2010-04-23,30.67,30.68,29.78,30.33,3670763
2010-04-26,31.13,31.31,30.69,30.76,4520165
2010-04-27,30.04,30.99,30.025,30.91,6192036
2010-04-28,30.25,30.43,29.53,30.16,7435274
2010-04-29,30.85,30.94,30.07,30.38,4682848
2010-04-30,29.93,30.96,29.69,30.96,6009942
2010-05-03,30.09,30.43,29.87,30.27,3746850
2010-05-04,29.4,29.66,28.9,29.6,4985023
2010-05-05,29.24,29.69,28.47,29.1,3901812
2010-05-06,28.08,29.47,26.28,29.11,6378038
2010-05-07,27.74,28.55,27.06,27.87,10258123
2010-05-10,29.18,29.19,28.62,29.01,4676899
2010-05-11,28.86,29.24,28.21,28.88,4862489
2010-05-12,29.36,29.4,28.83,28.96,2668542
2010-05-13,28.58,29.43,28.46,29.06,3480456
2010-05-14,27.78,28.41,27.25,28.39,5488896
2010-05-17,28.35,28.39,27.37,27.87,4415505
2010-05-18,27.6,28.86,27.45,28.75,6265770
2010-05-19,28.77,29.18,27.57,27.98,12426391
2010-05-20,28.12,28.67,27.75,28.15,9662661
2010-05-21,28.64,29.04,27.51,27.53,8347246
2010-05-24,28.47,28.9,28.18,28.43,7040141
2010-05-25,28.67,28.67,27.39,27.71,6176586
2010-05-26,28.48,28.98,28.43,28.72,6733375
2010-05-27,29.72,29.72,28.95,28.99,5626022
2010-05-28,29.17,29.74,28.86,29.67,4654925
2010-05-31,29.17,29.74,28.86,29.67,0
2010-06-01,28.87,29.49,28.75,29.07,4551359
2010-06-02,29.81,29.81,28.69,28.99,4572468
2010-06-03,30.37,30.4,29.69,29.86,6176711
2010-06-04,29.0,30.13,28.81,29.8,5752183
2010-06-07,27.96,29.3,27.93,29.15,6785803
2010-06-08,28.09,28.14,27.28,28.11,7373930
2010-06-09,27.87,28.62,27.72,28.41,5059628
2010-06-10,28.62,28.77,28.16,28.33,3913964
2010-06-11,29.04,29.11,28.11,28.4,3394990
2010-06-14,28.88,29.45,28.85,29.43,3706016
2010-06-15,30.36,30.42,28.87,29.07,4373118
2010-06-16,30.6,30.83,29.97,30.15,4786425
2010-06-17,30.65,30.86,30.32,30.77,4123464
2010-06-18,30.52,30.82,30.42,30.7,2751968
2010-06-21,30.28,30.98,30.07,30.91,3379018
2010-06-22,29.58,30.66,29.49,30.34,3194078
2010-06-23,29.8,30.1625,29.22,29.56,3745889
2010-06-24,29.27,29.78,29.12,29.71,2590882
2010-06-25,29.12,29.37,28.65,29.32,4209977
2010-06-28,29.22,29.45,28.97,29.17,3596472
2010-06-29,28.24,28.76,27.95,28.74,4053258
2010-06-30,27.86,28.52,27.75,28.23,4373178
2010-07-01,27.92,28.26,27.25,27.86,4596675
2010-07-02,27.87,28.12,27.43,28.02,3150803
2010-07-05,27.87,28.12,27.43,28.02,0
2010-07-06,27.89,28.57,27.61,28.26,2926412
2010-07-07,29.44,29.45,27.88,27.88,4016980
2010-07-08,29.08,29.76,28.67,29.76,4818181
2010-07-09,29.3,29.33,28.9,29.12,2078180
2010-07-12,29.36,29.64,29.1,29.15,3672384
2010-07-13,30.05,30.19,29.54,29.65,3992060
2010-07-14,29.6,30.5,29.41,30.4,4864317
2010-07-15,29.73,29.82,29.22,29.57,3511364
2010-07-16,29.21,29.7,29.18,29.54,4451049
2010-07-19,30.01,30.05,29.25,29.3,2949249
2010-07-20,30.05,30.05,28.95,29.38,3493706
2010-07-21,29.57,30.14,29.36,30.07,4005360
2010-07-22,30.61,30.66,29.73,29.93,5531359
2010-07-23,30.86,30.86,30.17,30.57,3569998
2010-07-26,31.2,31.21,30.365,30.67,2629698
2010-07-27,31.04,31.37,30.85,31.33,3254101
2010-07-28,30.31,31.04,30.19,30.88,4314342
2010-07-29,29.74,30.59,29.395,30.51,4572783
2010-07-30,29.71,29.88,29.07,29.5,3132921
2010-08-02,30.09,30.26,29.64,30.16,2730935
2010-08-03,29.87,30.07,29.7,30.07,2032781
2010-08-04,30.24,30.26,29.73,30.02,2366856
2010-08-05,30.23,30.61,30.05,30.09,1918816
2010-08-06,30.17,30.39,29.78,29.91,3333257
2010-08-09,30.49,30.59,30.02,30.38,1727492
2010-08-10,29.89,30.12,29.46,30.12,4049743
2010-08-11,29.09,29.32,28.76,29.32,4873104
2010-08-12,28.23,29.09,28.0275,28.6,6619802
2010-08-13,28.07,28.42,28.02,28.16,2710023
2010-08-16,28.36,28.44,27.72,27.95,3269400
2010-08-17,28.81,29.07,28.4,28.62,4392993
2010-08-18,30.08,30.25,29.05,29.37,11079099
2010-08-19,29.67,30.22,29.53,30.02,6124535
2010-08-20,29.62,29.95,29.27,29.58,5005456
2010-08-23,29.91,29.93,29.33,29.75,6099463
2010-08-24,29.32,29.5025,28.6775,29.47,7688152
2010-08-25,29.01,29.06,28.51,29.0,6037687
2010-08-26,28.96,29.24,28.7,29.1,5505535
2010-08-27,29.22,29.32,28.22,29.21,6747575
2010-08-30,28.38,29.12,28.38,29.12,4537246
2010-08-31,27.88,28.455,27.65,28.38,7700395
2010-09-01,28.5,28.75,27.9,28.19,5865111
2010-09-02,29.19,29.2,28.58,28.64,2942331
2010-09-03,29.59,29.76,29.08,29.48,2831274
2010-09-06,29.59,29.76,29.08,29.48,0
2010-09-07,28.67,29.45,28.6,29.45,4545541
2010-09-08,28.82,28.98,28.32,28.75,4812483
2010-09-09,28.81,29.19,28.68,29.18,2868971
2010-09-10,27.93,28.52,27.45,28.41,12363420
2010-09-13,28.73,28.83,28.1,28.25,4427210
2010-09-14,29.15,29.45,28.5,28.72,4334909
2010-09-15,28.9,29.0,28.46,28.95,4830699
2010-09-16,29.48,29.49,28.68,28.83,4112114
2010-09-17,29.91,29.96,29.36,29.63,6120447
2010-09-20,30.02,30.07,29.47,30.0,5350778
2010-09-21,30.02,30.19,29.74,30.02,4532149
2010-09-22,29.31,30.08,29.19,29.8,6592426
2010-09-23,29.45,29.97,28.76,29.01,3886364
2010-09-24,30.87,30.87,29.76,29.82,5116787
2010-09-27,31.01,31.24,30.6675,30.83,3983503
2010-09-28,31.67,31.73,30.67,30.98,7174063
2010-09-29,31.57,31.96,31.22,31.34,5407305
2010-09-30,31.38,31.95,31.04,31.63,4082962
2010-10-01,31.39,31.99,31.08,31.53,4713501
2010-10-04,31.03,31.45,30.69,31.22,4134363
2010-10-05,32.01,32.01,31.13,31.35,4238528
2010-10-06,31.6,31.98,31.25,31.76,3944568
2010-10-07,31.91,32.0,31.27,31.71,3599966
2010-10-08,32.34,32.43,31.48,31.85,4984584
2010-10-11,32.49,32.83,32.2,32.34,2852335
2010-10-12,32.56,32.74,32.28,32.5,5494926
2010-10-13,31.42,32.01,31.37,31.69,8798227
2010-10-14,31.42,31.79,31.25,31.59,7141806
2010-10-15,31.67,31.84,31.28,31.73,4622754
