Date,Close,High,Low,Open,Volume
2010-01-01,64.59,65.49,64.56,65.0,0
2010-01-04,65.89,66.0,64.96,65.0,794264
2010-01-05,66.02,66.2,65.59,65.81,369244
2010-01-06,66.35,66.99,65.68,66.0,922302
2010-01-07,66.96,67.1,65.34,66.31,948809
2010-01-08,67.68,68.47,66.74,68.22,1106412
2010-01-11,67.75,67.93,67.34,67.85,587343
2010-01-12,66.64,67.52,66.03,67.17,746187
2010-01-13,66.62,67.15,65.58,66.71,720574
2010-01-14,66.69,66.82,66.09,66.47,362485
2010-01-15,65.64,66.81,65.33,66.69,711760
2010-01-18,65.64,66.81,65.33,66.69,0
2010-01-19,67.25,67.35,65.46,65.46,1032642
2010-01-20,67.13,67.44,66.28,66.51,621178
2010-01-21,63.83,66.74,62.5,65.89,2469874
2010-01-22,61.32,63.79,61.1,63.61,1409247
2010-01-25,60.25,62.02,60.25,61.71,857956
2010-01-26,60.42,61.06,59.47,60.1,859625
2010-01-27,60.56,60.7081,59.18,60.01,1486345
2010-01-28,59.95,60.72,59.29,60.72,731960
2010-01-29,59.46,60.94,59.43,60.33,931620
2010-02-01,61.02,61.05,59.48,59.82,627323
2010-02-02,61.46,62.15,60.63,61.2,1188588
2010-02-03,54.7,58.96,54.37,58.21,6909421
2010-02-04,53.05,55.51,52.89,54.34,2463525
2010-02-05,55.3,55.34,52.7,53.42,2418066
2010-02-08,55.83,56.96,55.29,55.5,2274395
2010-02-09,54.99,56.63,54.8,56.27,1440886
2010-02-10,54.18,55.37,53.48,54.99,1250218
2010-02-11,54.61,54.89,53.4401,54.18,932822
2010-02-12,53.86,54.18,53.38,54.11,1406880
2010-02-15,53.86,54.18,53.38,54.11,0
2010-02-16,54.18,54.25,53.86,54.12,1184610
2010-02-17,53.99,54.45,53.18,54.32,2083467
2010-02-18,55.33,55.67,53.91,54.13,1756546
2010-02-19,56.88,57.3,56.1,56.68,1599575
2010-02-22,57.15,57.69,56.15,56.85,1074454
2010-02-23,55.98,56.82,55.52,56.76,823002
2010-02-24,56.39,56.54,55.63,55.97,680306
2010-02-25,56.08,56.21,54.91,55.15,788942
2010-02-26,55.44,56.3299,55.14,56.08,1202742
2010-03-01,56.2,56.44,55.52,55.62,824258
2010-03-02,57.1,57.11,56.49,56.67,1293016
2010-03-03,58.49,58.75,56.67,57.01,2365743
2010-03-04,59.15,60.11,58.25,58.77,2225149
2010-03-05,60.36,60.7,59.24,59.34,1093839
2010-03-08,60.2,60.57,59.39,60.57,793058
2010-03-09,60.88,60.95,59.37,59.73,1123505
2010-03-10,61.71,61.81,60.5905,60.81,1510311
2010-03-11,62.7,62.7,61.2,61.2,1319075
2010-03-12,62.75,63.01,62.21,63.01,977606
2010-03-15,64.1,64.21,62.1405,62.41,1651598
2010-03-16,65.68,66.2,64.56,64.56,2715254
2010-03-17,66.19,66.995,65.85,66.15,1908818
2010-03-18,65.15,66.42,64.81,66.42,1202039
2010-03-19,64.07,65.59,63.35,65.17,1574851
2010-03-22,64.28,64.53,62.97,63.39,1508398
2010-03-23,64.58,64.58,63.42,64.2,1205818
2010-03-24,64.3,64.5,63.8,64.18,1103444
2010-03-25,64.58,65.4,64.27,64.81,1223400
2010-03-26,64.12,65.27,63.5,64.89,1347610
2010-03-29,64.39,64.56,63.93,64.3,712571
