Date,Close,High,Low,Open,Volume
2010-01-01,25.41,25.65,25.39,25.64,0
2010-01-04,25.67,25.83,25.61,25.71,2228507
2010-01-05,25.28,25.71,25.06,25.6,3008745
2010-01-06,25.34,25.52,24.83,25.12,6638328
2010-01-07,25.48,25.58,25.11,25.17,4161044
2010-01-08,26.26,26.4,25.22,25.23,4648295
2010-01-11,26.25,26.49,26.07,26.36,2151299
2010-01-12,25.89,26.23,25.63,26.08,3993223
2010-01-13,26.25,26.43,25.87,25.87,2680165
2010-01-14,26.6,26.8,26.27,26.34,2696483
2010-01-15,26.08,26.75,25.845,26.53,3405844
2010-01-18,26.08,26.75,25.845,26.53,0
2010-01-19,26.17,26.43,25.88,26.11,2395067
2010-01-20,26.12,26.19,25.29,25.92,3806664
2010-01-21,25.69,26.385,25.56,25.96,3323430
2010-01-22,25.1,25.78,24.95,25.76,4554064
2010-01-25,24.75,25.42,24.7,25.18,3712891
2010-01-26,24.38,24.81,24.32,24.61,3483699
2010-01-27,24.47,24.58,24.09,24.39,2305740
2010-01-28,23.79,24.65,23.71,24.4,4570204
2010-01-29,23.79,24.1,23.59,23.84,5131937
2010-02-01,23.81,24.08,23.545,23.88,3700951
2010-02-02,23.95,24.05,23.67,23.67,2610538
2010-02-03,24.02,24.07,23.6,23.76,2190250
2010-02-04,22.95,23.89,22.95,23.89,4883750
2010-02-05,23.07,23.39,22.5,23.11,5224775
2010-02-08,23.1,23.45,22.93,22.97,3665199
2010-02-09,23.55,23.9,23.24,23.36,5002378
2010-02-10,23.59,23.88,23.32,23.67,2689672
2010-02-11,24.18,24.28,23.41,23.61,3197235
2010-02-12,24.22,24.3,23.8,23.95,4322989
2010-02-15,24.22,24.3,23.8,23.95,0
2010-02-16,25.24,25.45,24.85,25.24,6155930
2010-02-17,25.88,26.04,25.39,25.4,4878610
2010-02-18,25.92,26.04,25.73,25.95,2334024
2010-02-19,25.99,26.22,25.81,25.81,2929450
2010-02-22,26.08,26.55,25.95,26.04,4149452
2010-02-23,25.66,26.16,25.57,26.04,5913081
2010-02-24,27.89,28.49,27.5,27.76,14246936
2010-02-25,27.93,28.0,27.13,27.23,6061254
2010-02-26,27.88,28.12,27.58,27.87,3554601
2010-03-01,28.15,28.41,27.97,27.97,3607011
2010-03-02,28.49,28.94,28.19,28.19,4580593
2010-03-03,28.61,28.94,28.435,28.51,3129048
2010-03-04,28.47,28.77,28.23,28.59,3184582
2010-03-05,28.85,28.99,28.53,28.6,2954999
2010-03-08,28.91,29.15,28.7,28.72,2094069
2010-03-09,29.06,29.22,28.6801,28.78,1644863
2010-03-10,29.18,29.43,28.75,29.06,3818278
2010-03-11,29.03,29.16,28.87,28.93,2811183
2010-03-12,29.16,29.34,28.98,29.03,2589774
2010-03-15,29.26,29.3,28.97,28.99,1316507
2010-03-16,29.31,29.35,29.09,29.25,1337714
2010-03-17,29.52,29.96,29.49,29.85,2864930
2010-03-18,29.42,29.73,29.35,29.6,2597494
2010-03-19,29.11,29.64,28.93,29.44,3878292
2010-03-22,29.5,29.7,28.95,29.03,1859241
2010-03-23,29.71,29.82,29.5,29.58,2278258
2010-03-24,29.43,29.79,29.39,29.72,2421199
2010-03-25,29.49,29.96,29.48,29.79,2624931
2010-03-26,29.5,29.7604,29.23,29.5,2764496
2010-03-29,29.56,29.75,29.44,29.55,1995304
2010-03-30,29.4,29.58,29.08,29.53,2309185
2010-03-31,29.38,29.6,29.13,29.2,1887062
2010-04-01,29.16,29.59,28.7,28.7,4580751
2010-04-02,29.16,29.59,28.7,28.7,0
2010-04-05,30.18,30.36,29.2,29.2,3582817
2010-04-06,30.91,31.0,29.94,30.02,5373730
2010-04-07,30.65,30.84,30.43,30.72,3387046
2010-04-08,31.09,31.22,30.38,30.47,4469644
2010-04-09,31.13,31.23,30.93,31.02,2571679
2010-04-12,31.43,31.5,31.03,31.14,2260678
2010-04-13,31.7,31.72,31.28,31.46,3410259
2010-04-14,31.7,31.75,31.48,31.62,1819636
2010-04-15,31.88,31.89,31.455,31.62,2087238
2010-04-16,31.55,32.01,31.44,31.86,3229716
2010-04-19,31.26,31.59,30.83,31.5,5260941
2010-04-20,32.16,32.195,31.36,31.45,2860888
2010-04-21,32.45,32.5,31.88,32.06,2634021
2010-04-22,33.64,33.72,32.08,32.3,5091960
2010-04-23,34.22,34.23,33.34,33.67,3932041
2010-04-26,34.72,35.18,34.08,34.38,7338965
2010-04-27,33.845,34.97,33.76,34.56,5425155
2010-04-28,34.13,34.21,33.82,33.96,5299686
2010-04-29,34.67,34.67,34.1,34.22,4136745
2010-04-30,33.99,34.82,33.88,34.68,3963494
2010-05-03,34.89,34.95,33.88,34.07,2795464
2010-05-04,33.25,34.28,32.92,34.27,6151429
2010-05-05,31.71,33.2,31.705,33.0,7704017
2010-05-06,30.56,31.98,28.65,31.66,7015273
2010-05-07,30.06,30.83,29.16,30.68,7068423
2010-05-10,32.4,32.47,31.27,31.27,5719447
2010-05-11,31.62,32.32,31.53,32.17,4818936
2010-05-12,32.77,32.82,31.41,31.53,3549988
2010-05-13,32.36,33.49,32.3,32.61,3090536
2010-05-14,30.77,32.21,30.43,32.12,6027480
2010-05-17,30.72,31.13,30.12,30.87,4559883
2010-05-18,30.15,31.19,29.95,30.99,4794810
2010-05-19,30.35,30.5,29.63,30.21,7451509
2010-05-20,28.28,30.76,28.22,30.71,12172823
2010-05-21,29.37,29.45,27.31,27.54,10653748
2010-05-24,29.42,29.82,28.84,29.21,5369334
2010-05-25,28.97,29.0,27.77,28.6,4678540
2010-05-26,28.66,29.5675,28.49,29.31,3938755
2010-05-27,29.59,29.61,29.06,29.22,3488851
2010-05-28,29.26,29.7,28.84,29.68,4341079
2010-05-31,29.26,29.7,28.84,29.68,0
2010-06-01,28.56,29.58,28.5,29.01,4269545
2010-06-02,29.24,29.28,28.41,28.92,2958032
2010-06-03,29.98,30.02,29.08,29.17,3791853
2010-06-04,27.9225,29.505,27.79,29.36,5722514
2010-06-07,26.69,27.73,26.55,27.51,6599700
2010-06-08,26.295,26.89,25.79,26.69,7458543
2010-06-09,26.44,27.445,26.32,26.42,5901403
2010-06-10,27.4,27.45,26.62,26.89,3908473
2010-06-11,27.58,27.66,26.9,27.01,2187040
2010-06-14,27.49,27.95,27.43,27.86,3172197
2010-06-15,28.54,28.685,27.45,27.58,5789823
2010-06-16,28.5,28.69,28.18,28.28,3372597
2010-06-17,28.51,28.69,28.26,28.58,3274751
2010-06-18,29.24,29.36,28.44,28.57,4351593
2010-06-21,29.0,29.88,28.77,29.58,3293111
2010-06-22,28.43,29.46,28.39,29.08,2637507
2010-06-23,27.83,28.32,27.51,28.3,7103692
2010-06-24,26.26,27.6,26.13,27.6,8276320
2010-06-25,26.58,26.905,26.18,26.39,7652625
2010-06-28,26.0,26.62,25.97,26.58,4621116
2010-06-29,24.58,25.71,24.3,25.66,6242676
2010-06-30,24.36,24.77,24.32,24.49,5143385
2010-07-01,24.57,24.65,23.64,24.32,6845934
2010-07-02,24.31,24.66,24.13,24.66,4152443
2010-07-05,24.31,24.66,24.13,24.66,0
2010-07-06,24.05,24.96,23.85,24.69,3928006
2010-07-07,24.73,25.13,23.81,25.03,5101015
2010-07-08,24.61,25.02,24.21,24.95,4163115
2010-07-09,24.93,25.02,24.4,24.58,3552544
2010-07-12,25.08,25.15,24.67,24.78,2400246
2010-07-13,26.19,26.36,25.3,25.34,4754414
2010-07-14,26.48,26.51,25.93,26.27,4456044
2010-07-15,26.47,26.6,26.03,26.4,3276654
2010-07-16,25.35,26.51,25.24,26.51,4486014
2010-07-19,25.54,25.69,25.09,25.4,2051273
2010-07-20,26.62,26.665,24.77,25.06,5714698
2010-07-21,26.57,27.23,26.41,26.72,6137253
2010-07-22,28.04,28.37,26.8,26.88,7233534
2010-07-23,28.85,28.89,27.82,27.98,3967963
2010-07-26,29.75,29.845,28.72,28.72,3940830
2010-07-27,29.15,29.75,29.08,29.6212,3439469
2010-07-28,28.69,29.29,28.4101,29.11,4069105
2010-07-29,29.24,29.54,28.4,28.84,4246718
2010-07-30,29.54,29.73,28.64,28.79,3620530
2010-08-02,30.74,31.06,29.64,30.0,3196053
2010-08-03,30.49,30.85,30.03,30.82,3238614
2010-08-04,30.86,31.12,30.46,30.51,3140517
2010-08-05,30.3,30.74,30.2,30.49,2848369
2010-08-06,28.77,29.46,28.01,29.11,7904498
2010-08-09,29.03,29.21,28.87,28.95,2876968
2010-08-10,28.6,28.83,28.17,28.73,3166764
2010-08-11,27.92,28.1,27.46,27.93,3826064
2010-08-12,27.45,27.75,27.04,27.26,3913518
2010-08-13,28.12,29.68,28.06,28.57,11219157
2010-08-16,27.66,28.55,27.51,27.96,5160816
2010-08-17,27.91,28.39,27.67,27.96,3776973
2010-08-18,28.23,28.42,27.52,27.85,3456913
2010-08-19,27.63,28.29,27.57,28.03,3472902
2010-08-20,28.11,28.26,27.58,27.62,3158268
2010-08-23,27.36,28.35,27.3199,28.27,2696315
2010-08-24,27.41,27.53,26.6306,27.25,4410409
2010-08-25,27.52,27.64,27.13,27.21,2878020
2010-08-26,27.4,28.01,27.38,27.74,2565246
2010-08-27,28.38,28.54,26.98,27.76,4257355
2010-08-30,27.53,28.44,27.52,28.33,2156255
2010-08-31,27.73,27.99,27.07,27.5,3546568
2010-09-01,28.83,29.09,28.17,28.26,2881192
2010-09-02,29.32,29.33,28.62,28.79,1717819
2010-09-03,30.02,30.16,29.52,29.67,2341632
2010-09-06,30.02,30.16,29.52,29.67,0
2010-09-07,29.49,29.99,29.37,29.81,1758575
2010-09-08,30.07,30.23,29.555,29.68,2720246
2010-09-09,30.38,30.67,30.14,30.5,1933991
2010-09-10,30.96,31.07,30.11,30.35,2640943
2010-09-13,31.96,32.08,31.08,31.09,3456807
2010-09-14,32.31,32.64,31.79,31.88,2622257
2010-09-15,32.49,32.61,32.01,32.13,2169985
2010-09-16,32.73,32.82,32.3,32.43,2294781
2010-09-17,32.56,33.18,32.39,32.98,5172304
2010-09-20,33.44,33.48,32.66,32.67,3405395
2010-09-21,33.07,33.6,32.96,33.44,3421597
2010-09-22,31.66,32.92,31.57,32.92,5056923
2010-09-23,31.22,31.79,31.13,31.32,4631869
2010-09-24,31.97,32.12,31.66,31.78,3881324
2010-09-27,31.79,32.03,31.71,31.83,3050633
2010-09-28,32.34,33.13,31.655,32.06,4184602
2010-09-29,31.94,32.7,31.87,32.33,3479510
2010-09-30,31.97,32.5898,31.66,32.47,3739839
2010-10-01,31.88,32.17,31.23,31.23,3338070
2010-10-04,31.38,31.96,31.0,31.54,2080906
2010-10-05,32.71,32.94,31.64,31.92,4049312
2010-10-06,31.44,32.8,31.19,32.42,4009976
2010-10-07,31.94,32.14,31.245,31.65,2998195
2010-10-08,31.43,32.05,31.23,31.88,2982734
2010-10-11,31.86,32.0,31.09,31.3,3328844
2010-10-12,32.68,32.78,31.82,32.06,5121244
2010-10-13,33.46,33.63,32.85,32.91,4922512
2010-10-14,33.35,33.77,33.23,33.45,4210563
2010-10-15,33.32,33.77,33.14,33.66,4219192
2010-10-18,33.16,33.32,32.75,33.29,2917525
2010-10-19,32.77,33.17,32.17,32.81,3231310
2010-10-20,34.01,34.16,32.83,32.83,4238810
2010-10-21,34.22,34.87,33.66,34.1,3937561
2010-10-22,34.84,34.845,33.94,34.24,2132449
2010-10-25,35.43,35.58,34.85,35.0,2426560
2010-10-26,35.63,35.695,34.96,35.1,1839477
2010-10-27,35.63,35.85,34.88,35.35,3944353
2010-10-28,35.42,35.87,35.26,35.74,1477048
2010-10-29,36.1975,36.29,35.31,35.31,1888795
2010-11-01,34.91,36.23,34.73,36.22,3791006
2010-11-02,35.31,35.58,35.03,35.31,2130582
2010-11-03,35.31,35.655,34.75,35.43,2634895
2010-11-04,35.84,36.24,35.71,35.72,2835939
2010-11-05,35.68,36.12,35.5,36.0,2918811
2010-11-08,35.41,35.93,35.055,35.42,2917274
2010-11-09,35.3,35.78,35.0275,35.48,1710257
2010-11-10,35.86,35.9,35.06,35.34,1508339
2010-11-11,36.28,36.44,35.29,35.68,3345816
2010-11-12,35.25,36.06,34.82,35.9,3226017
2010-11-15,35.12,35.89,35.085,35.36,2969401
2010-11-16,34.52,35.8,34.37,35.39,3541981
2010-11-17,35.28,35.32,34.3387,34.7,3049406
2010-11-18,36.26,36.641,35.575,35.78,4378878
2010-11-19,33.77,35.44,33.65,34.59,8230057
2010-11-22,34.81,34.92,33.2,33.62,3647810
2010-11-23,34.42,34.47,33.68,34.29,2626305
2010-11-24,35.43,35.89,34.63,34.63,2269571
2010-11-25,35.43,35.89,34.63,34.63,0
2010-11-26,35.2,35.48,34.92,35.0,949079
2010-11-29,35.52,35.7,34.48,35.18,2647007
2010-11-30,35.29,35.58,34.69,35.06,2795728
2010-12-01,36.57,36.83,35.72,35.72,2979415
2010-12-02,37.64,37.7,36.4,36.56,2681441
2010-12-03,37.99,37.9981,37.16,37.51,1667898
2010-12-06,37.58,37.9,37.24,37.85,1635983
2010-12-07,37.27,38.05,37.17,37.97,2821866
2010-12-08,37.83,37.83,37.295,37.5,2745695
2010-12-09,38.09,38.36,37.91,38.0,2460877
2010-12-10,39.11,39.19,38.1,38.1,3062863
2010-12-13,38.55,39.2,38.55,39.16,2874900
2010-12-14,38.92,39.17,38.44,38.64,3512276
2010-12-15,38.31,39.01,38.1,38.8,3703828
2010-12-16,38.71,38.76,37.58,38.46,2641101
2010-12-17,39.13,39.5,38.63,38.75,3228665
2010-12-20,39.39,39.51,38.48,39.14,2444819
2010-12-21,39.65,39.72,39.05,39.5,1509744
2010-12-22,39.62,39.8,39.25,39.67,1225818
2010-12-23,39.31,39.635,39.03,39.49,1001620
2010-12-24,39.31,39.635,39.03,39.49,0
2010-12-27,39.13,39.23,38.38,39.07,1108390
2010-12-28,39.01,39.48,38.75,39.22,1288694
2010-12-29,39.23,39.41,38.81,39.04,892853
2010-12-30,38.79,39.35,38.77,39.2,1162462
2010-12-31,38.2,38.82,37.92,38.71,1491238
2011-01-03,39.27,39.85,38.63,38.63,2969446
2011-01-04,38.525,39.32,38.04,39.28,2691720
2011-01-05,41.24,41.33,39.36,39.48,6283781
2011-01-06,41.26,41.39,40.91,41.16,2867763
2011-01-07,40.76,41.45,40.345,41.41,3329245
2011-01-10,40.865,41.12,39.88,40.44,1991721
2011-01-11,40.8,41.37,40.63,41.18,2373982
2011-01-12,40.53,40.93,39.36,39.91,3675068
2011-01-13,41.08,41.24,40.33,40.43,2311650
2011-01-14,41.44,41.62,40.8,40.9,1959944
2011-01-17,41.44,41.62,40.8,40.9,0
2011-01-18,42.03,42.32,41.41,41.41,1978707
2011-01-19,41.49,42.0,41.21,41.8,1603497
2011-01-20,41.31,41.49,40.425,41.44,2247510
2011-01-21,41.5,42.09,41.26,41.4,2860749
2011-01-24,41.05,41.65,40.63,41.47,2282778
2011-01-25,40.33,40.81,39.51,40.8,2529341
2011-01-26,40.88,41.34,40.26,40.44,2685640
2011-01-27,40.77,40.99,39.77,40.89,2787034
2011-01-28,39.97,41.39,39.36,40.84,2590183
2011-01-31,40.68,40.75,39.88,39.99,2263789
2011-02-01,42.16,42.3,40.92,41.0,3049081
2011-02-02,43.41,43.54,41.81,41.97,3537887
2011-02-03,43.75,43.815,42.84,43.17,3331158
2011-02-04,43.69,44.37,43.59,43.8,2628024
2011-02-07,43.52,43.8795,43.31,43.62,1841483
2011-02-08,42.93,43.41,42.32,43.41,2440524
2011-02-09,42.24,42.89,42.03,42.68,1596095
2011-02-10,42.75,42.87,41.83,42.0,2429396
2011-02-11,42.69,42.86,42.32,42.62,1691197
2011-02-14,42.34,43.09,42.29,42.55,2530925
2011-02-15,42.71,42.78,42.01,42.17,1369326
2011-02-16,43.84,44.44,42.73,42.78,3075817
2011-02-17,43.66,43.86,42.77,43.73,2463945
2011-02-18,43.4,44.25,43.31,43.68,2041121
2011-02-21,43.4,44.25,43.31,43.68,0
2011-02-22,42.1,43.01,41.75,42.68,2601613
2011-02-23,39.59,42.1,39.57,41.93,5509314
2011-02-24,40.43,41.04,39.7,39.87,3938296
2011-02-25,42.75,43.63,41.12,42.0,4944663
2011-02-28,42.05,42.76,41.63,42.62,3268824
2011-03-01,41.21,42.28,41.09,42.13,2799852
2011-03-02,40.35,41.37,40.26,41.09,4221490
2011-03-03,41.17,41.93,40.71,40.71,1989748
2011-03-04,40.71,41.35,40.46,41.07,2012665
2011-03-07,40.11,41.29,39.72,41.0,2650750
2011-03-08,40.68,40.94,39.98,40.05,2420811
2011-03-09,40.34,40.7,39.91,40.53,2697502
2011-03-10,39.9,40.17,38.51,39.7,3099074
2011-03-11,40.11,40.4,39.51,39.53,2603399
2011-03-14,40.38,40.69,39.49,39.58,2292945
2011-03-15,39.25,39.57,38.675,38.88,3044567
2011-03-16,38.47,39.4,38.14,38.89,3806127
2011-03-17,38.56,39.42,38.36,39.2,2682343
2011-03-18,39.4,39.83,39.02,39.02,3364928
2011-03-21,40.9725,41.45,40.11,40.27,2886462
2011-03-22,41.51,41.66,40.9302,41.12,2904649
2011-03-23,41.62,41.87,40.583,41.31,2666940
2011-03-24,43.81,44.0,41.98,42.0,3705282
2011-03-25,43.27,44.0,43.1132,43.61,2266345
2011-03-28,42.97,43.56,42.8,42.96,1616919
2011-03-29,43.4,43.69,42.53,42.85,1542628
2011-03-30,43.6,43.82,43.38,43.71,1307206
2011-03-31,44.11,44.43,43.54,43.59,3407551
2011-04-01,43.83,44.0,42.92,42.92,3207563
2011-04-04,44.0,44.5,43.71,43.74,2532461
2011-04-05,43.96,44.19,43.46,43.87,1867595
2011-04-06,43.47,44.5,43.01,44.2,2318458
2011-04-07,43.16,43.47,42.77,43.28,2501983
2011-04-08,42.79,43.46,42.47,43.28,1791046
2011-04-11,42.85,43.18,42.5341,42.88,1748226
2011-04-12,42.36,43.0,42.204,42.63,1867602
2011-04-13,42.63,42.96,42.18,42.55,2091552
2011-04-14,42.7,42.76,42.05,42.26,1505954
2011-04-15,43.09,43.24,42.47,42.78,2237842
2011-04-18,42.47,42.65,41.72,42.45,1886213
2011-04-19,42.43,42.66,42.15,42.51,1709891
2011-04-20,44.35,44.64,43.09,43.09,3990015
2011-04-21,44.88,44.96,44.41,44.44,1812300
2011-04-22,44.88,44.96,44.41,44.44,0
2011-04-25,45.55,45.58,44.57,44.67,3424606
2011-04-26,44.99,45.6,44.93,45.56,2012284
2011-04-27,45.11,45.13,44.585,45.05,1975589
2011-04-28,45.0,45.45,44.71,45.07,1812342
2011-04-29,44.98,45.31,44.81,44.95,2960506
2011-05-02,44.66,45.37,44.28,45.32,1989480
2011-05-03,44.22,44.81,43.66,44.72,1258163
2011-05-04,43.75,44.31,43.21,44.21,1447100
2011-05-05,43.43,44.11,43.19,43.57,2726644
2011-05-06,44.31,45.29,43.71,44.04,2853741
2011-05-09,44.29,44.81,44.08,44.37,1196737
2011-05-10,45.15,45.31,44.28,44.33,2126482
2011-05-11,45.2,45.495,44.52,45.06,2384142
2011-05-12,45.99,46.0,44.73,44.97,3020398
2011-05-13,45.57,46.15,45.46,45.95,3268619
2011-05-16,44.39,45.54,44.29,45.25,2114526
2011-05-17,43.49,44.41,43.37,44.2,3167099
2011-05-18,44.28,44.38,43.23,43.39,2460951
2011-05-19,44.39,45.0,44.07,44.5,2442527
2011-05-20,42.35,44.36,41.59,44.36,6938486
2011-05-23,42.27,42.39,41.17,41.72,4938498
2011-05-24,42.09,42.85,42.01,42.29,3800905
2011-05-25,42.38,42.64,41.98,42.06,1920603
2011-05-26,42.68,42.83,42.15,42.22,1619394
2011-05-27,42.5,42.91,42.37,42.77,1398554
2011-05-30,42.5,42.91,42.37,42.77,0
2011-05-31,42.98,43.0,42.41,42.98,2304705
2011-06-01,41.44,42.96,41.4,42.75,2523757
2011-06-02,41.36,41.63,40.78,41.38,3192163
2011-06-03,40.84,41.09,40.54,40.9,2271567
2011-06-06,40.28,40.8,40.185,40.68,1939151
2011-06-07,39.54,40.17,39.39,40.0,4456684
2011-06-08,38.24,39.5,37.645,39.5,6155120
2011-06-09,38.08,38.42,37.97,38.41,3628116
2011-06-10,37.9,38.22,37.61,37.97,2996813
2011-06-13,37.56,38.27,37.48,37.99,3437777
2011-06-14,37.92,38.22,37.84,37.88,2028914
2011-06-15,36.57,37.57,36.34,37.46,5115403
2011-06-16,36.44,36.85,36.0,36.63,2379663
2011-06-17,35.685,36.9,35.65,36.88,4274398
2011-06-20,35.7,35.91,35.53,35.67,3395233
2011-06-21,37.04,37.11,35.75,35.78,4803928
2011-06-22,36.47,36.79,36.01,36.66,2966868
2011-06-23,37.17,37.23,35.87,36.05,3687767
2011-06-24,36.69,37.35,36.32,36.96,4203888
2011-06-27,37.43,37.72,36.5,36.55,2693089
2011-06-28,38.18,38.24,37.41,37.46,3463711
2011-06-29,38.54,38.72,37.59,38.26,4308987
2011-06-30,38.6,39.15,38.49,38.76,2808447
2011-07-01,38.7,38.89,38.44,38.6,3290774
2011-07-04,38.7,38.89,38.44,38.6,0
2011-07-05,38.87,38.93,38.44,38.83,2222084
2011-07-06,39.37,39.43,38.69,38.92,2238355
2011-07-07,40.39,40.45,39.55,39.55,2627087
2011-07-08,40.12,40.24,39.73,39.9,2257593
2011-07-11,38.99,39.91,38.91,39.73,2373495
2011-07-12,37.23,39.19,37.14,39.03,3825904
2011-07-13,37.26,38.21,37.2,37.54,2475418
2011-07-14,36.35,37.69,36.24,37.43,2917955
2011-07-15,36.15,36.8,35.82,36.53,2663416
2011-07-18,35.33,36.04,34.99,36.03,3074650
2011-07-19,36.33,36.57,35.58,35.62,4378236
2011-07-20,35.87,36.29,35.46,36.27,2984313
2011-07-21,36.2,36.43,35.5,35.94,3605387
2011-07-22,37.07,37.59,36.5,37.15,2728076
2011-07-25,36.48,36.96,36.37,36.64,2357161
2011-07-26,36.57,36.77,36.221,36.48,1859511
2011-07-27,34.9,36.33,34.84,36.21,3995688
2011-07-28,34.34,35.11,34.29,34.91,3121142
2011-07-29,34.4,34.79,33.67,34.03,2910449
2011-08-01,34.405,34.8,33.58,34.65,4635111
2011-08-02,33.44,34.48,33.44,34.08,3981545
2011-08-03,33.95,34.01,32.86,33.6,5072435
2011-08-04,31.57,33.62,31.54,33.45,4456548
2011-08-05,30.92,32.0594,29.86,31.91,6257685
2011-08-08,28.06,30.24,28.05,29.93,9971304
2011-08-09,29.96,29.97,27.815,28.48,7179577
2011-08-10,28.16,29.45,28.09,29.32,6816904
2011-08-11,28.75,29.16,28.19,28.41,6257568
2011-08-12,29.18,29.49,28.41,28.9,5358431
2011-08-15,30.09,30.11,29.14,29.24,3052749
2011-08-16,29.45,29.88,28.94,29.8,3388053
2011-08-17,28.85,29.92,28.63,29.5,2879726
2011-08-18,26.51,27.9,26.16,27.49,8907244
