Date,Close,High,Low,Open,Volume
2010-01-01,34.79,35.395,34.79,35.37,0
2010-01-04,34.94,36.0,34.8,35.1,4076545
2010-01-05,34.54,35.12,34.36,34.98,5112310
2010-01-06,34.89,35.1,34.46,34.56,3157312
2010-01-07,35.19,35.31,34.69,34.78,3581131
2010-01-08,35.61,35.81,34.93,35.18,3980508
2010-01-11,35.98,36.1,35.61,35.78,3992856
2010-01-12,35.62,35.87,35.5701,35.79,2834363
2010-01-13,36.06,36.11,35.58,35.58,2729733
2010-01-14,36.2,36.25,35.9,36.1,3117720
2010-01-15,36.01,36.12,35.46,35.97,4896043
2010-01-18,36.01,36.12,35.46,35.97,0
2010-01-19,36.44,36.48,35.83,35.83,4263774
2010-01-20,36.52,36.55,36.02,36.3,4945509
2010-01-21,36.11,36.86,36.0,36.73,4413180
2010-01-22,35.42,36.19,35.42,36.17,4206270
2010-01-25,35.62,35.85,35.2,35.67,2515924
2010-01-26,35.61,35.795,35.47,35.55,3542803
2010-01-27,35.53,35.94,35.05,35.54,3908441
2010-01-28,35.06,35.73,35.06,35.58,3953812
2010-01-29,34.65,35.3,34.62,35.14,3931846
2010-02-01,34.6,34.91,34.22,34.81,5117947
2010-02-02,35.06,35.11,34.35,34.69,2912421
2010-02-03,34.7,34.97,34.55,34.97,5341060
2010-02-04,33.75,34.65,33.72,34.52,3442933
2010-02-05,33.64,33.86,33.05,33.69,4443945
2010-02-08,32.82,33.34,32.77,33.34,3219812
2010-02-09,33.2,33.54,33.03,33.05,3414755
2010-02-10,33.02,33.22,32.71,33.19,2619192
2010-02-11,33.08,33.13,32.75,32.96,3055501
2010-02-12,32.95,33.09,32.68,32.94,3188365
2010-02-15,32.95,33.09,32.68,32.94,0
2010-02-16,33.7,33.71,32.8,33.22,3134176
2010-02-17,33.55,33.87,33.5,33.87,2145224
2010-02-18,33.52,33.71,33.46,33.53,3834743
2010-02-19,33.97,34.13,33.28,33.32,3854258
2010-02-22,33.65,34.18,33.64,34.05,2929770
2010-02-23,33.72,33.8,33.39,33.64,3124035
2010-02-24,33.91,33.94,33.3,33.86,3935199
2010-02-25,33.68,33.74,33.15,33.4,2476489
2010-02-26,33.62,33.84,33.47,33.79,2635107
2010-03-01,33.94,34.14,33.72,33.84,2964942
2010-03-02,34.12,34.26,34.0,34.16,2936701
2010-03-03,33.97,34.3,33.87,34.22,1924102
2010-03-04,33.91,34.0,33.68,33.92,2291116
2010-03-05,34.25,34.29,33.84,34.1,1971990
2010-03-08,34.18,34.37,34.05,34.29,1983759
2010-03-09,34.12,34.26,34.01,34.1,1659051
2010-03-10,34.15,34.33,34.0,34.28,2522249
2010-03-11,34.22,34.34,33.95,34.19,2909380
2010-03-12,34.1,34.29,33.98,34.23,2955489
2010-03-15,34.39,34.39,34.04,34.12,2211650
2010-03-16,34.77,34.8,34.21,34.35,2181128
2010-03-17,34.82,34.89,34.58,34.81,1890375
2010-03-18,34.76,34.97,34.57,34.8,2402884
2010-03-19,34.52,34.88,34.26,34.79,3919344
2010-03-22,34.08,34.52,34.07,34.42,2323225
2010-03-23,34.3,34.3,34.0,34.1,3014346
2010-03-24,33.99,34.21,33.86,34.19,2909773
2010-03-25,33.9,34.21,33.89,34.11,2297751
2010-03-26,34.09,34.219,33.8775,34.03,2006959
2010-03-29,34.37,34.4,34.09,34.13,2519148
2010-03-30,34.42,34.74,34.3,34.46,3362462
2010-03-31,34.18,34.43,34.05,34.25,2536999
2010-04-01,34.49,34.64,34.25,34.35,2285546
2010-04-02,34.49,34.64,34.25,34.35,0
2010-04-05,34.31,34.65,34.27,34.63,3779157
2010-04-06,34.3,34.35,34.18,34.19,5680119
2010-04-07,34.08,34.29,33.97,34.2,2924494
2010-04-08,33.96,34.03,33.75,33.94,2312781
2010-04-09,34.27,34.28,33.75,34.09,2303879
2010-04-12,34.08,34.44,34.05,34.44,3368295
2010-04-13,34.07,34.2,33.78,34.12,3265191
2010-04-14,33.9,34.06,33.605,34.0,3563185
2010-04-15,33.77,33.85,33.49,33.75,4216009
2010-04-16,33.73,33.97,33.58,33.77,4516680
2010-04-19,33.8,33.81,33.5,33.73,3768415
2010-04-20,33.95,33.985,33.68,33.8,2328225
2010-04-21,33.95,34.0,33.77,33.9,1845137
2010-04-22,33.98,34.04,33.6,33.85,2377752
2010-04-23,34.02,34.02,33.67,33.93,2673971
2010-04-26,33.76,34.05,33.65,34.0,4968011
2010-04-27,33.34,34.05,33.3,33.72,5724507
2010-04-28,33.52,33.61,33.225,33.45,4427699
2010-04-29,33.84,34.1999,33.63,33.76,3689661
2010-04-30,34.3,35.0,34.3,34.89,5848176
2010-05-03,34.56,34.73,34.18,34.51,4733042
2010-05-04,33.61,34.53,33.41,34.37,8011457
2010-05-05,33.37,33.68,33.08,33.59,6648105
2010-05-06,32.18,32.93,28.17,32.9,8322020
2010-05-07,31.92,32.56,31.52,32.17,7693797
2010-05-10,33.14,33.22,32.68,32.87,5531493
2010-05-11,33.15,33.44,32.86,32.97,4951488
2010-05-12,33.58,33.74,32.9,33.14,4478734
2010-05-13,33.3,33.87,33.2,33.38,3039381
2010-05-14,33.0,33.3,32.66,33.23,4779258
2010-05-17,32.99,33.14,32.55,33.09,3300801
2010-05-18,32.6,33.1499,32.51,32.84,3806821
2010-05-19,32.31,32.53,32.02,32.5,3744666
2010-05-20,31.34,31.95,31.3,31.74,4475149
2010-05-21,31.46,31.49,30.78,30.82,4499590
2010-05-24,31.19,31.66,31.08,31.2,2014581
2010-05-25,30.97,30.97,30.07,30.47,5701817
2010-05-26,31.02,31.37,30.85,31.06,4037365
2010-05-27,31.99,32.0,31.32,31.5,4105127
2010-05-28,31.96,32.28,31.78,32.04,3972655
2010-05-31,31.96,32.28,31.78,32.04,0
2010-06-01,31.2,31.77,31.16,31.67,3436372
2010-06-02,31.85,31.88,31.15,31.36,2978542
2010-06-03,32.16,32.35,31.87,31.99,2637259
2010-06-04,31.12,31.84,31.0,31.75,3479440
2010-06-07,31.43,31.83,31.12,31.21,3940593
2010-06-08,31.72,31.81,31.21,31.39,5671825
2010-06-09,31.74,31.92,31.58,31.85,5480858
2010-06-10,32.68,32.73,32.11,32.25,5458477
2010-06-11,32.45,32.59,32.01,32.59,5313958
2010-06-14,32.41,32.76,32.37,32.76,2908538
2010-06-15,33.41,33.41,32.64,32.67,4921899
2010-06-16,33.68,33.82,33.18,33.32,3213098
2010-06-17,34.0,34.02,33.55,33.69,3137440
2010-06-18,34.06,34.17,33.84,34.05,3664171
2010-06-21,33.87,34.39,33.75,34.31,2455186
2010-06-22,33.3,33.98,33.22,33.92,3364863
2010-06-23,32.72,33.38,32.62,33.26,4166445
2010-06-24,32.72,33.06,32.525,32.65,4412397
2010-06-25,32.99,33.11,32.5,32.83,3537040
2010-06-28,33.31,33.5,32.76,33.0,3214219
2010-06-29,32.69,33.06,32.6,32.99,5427560
2010-06-30,32.3,32.98,32.21,32.71,5664717
2010-07-01,32.22,32.48,31.87,32.42,3940011
2010-07-02,32.39,32.6,32.2,32.35,3292556
2010-07-05,32.39,32.6,32.2,32.35,0
2010-07-06,33.26,33.3,32.56,32.62,5648824
2010-07-07,34.37,34.42,33.27,33.47,7050143
