Date,Close,High,Low,Open,Volume
2010-01-01,13.31,13.72,13.31,13.66,0
2010-01-04,13.67,13.7,13.38,13.38,4597591
2010-01-05,13.53,13.84,13.5,13.67,5093177
2010-01-06,13.39,13.74,13.38,13.45,7507548
2010-01-07,13.4,13.58,13.15,13.37,16843850
2010-01-08,13.78,13.82,13.35,13.39,5647412
2010-01-11,13.87,14.01,13.76,13.77,8616523
2010-01-12,13.71,13.87,13.67,13.8,5703153
2010-01-13,14.08,14.14,13.71,13.74,5488452
2010-01-14,14.09,14.24,14.0,14.02,4320868
2010-01-15,14.04,14.22,13.8,14.02,5588373
2010-01-18,14.04,14.22,13.8,14.02,0
2010-01-19,14.13,14.22,13.87,14.03,4699287
2010-01-20,13.71,14.0,13.56,14.0,6220681
2010-01-21,13.37,13.9,13.28,13.73,6067992
2010-01-22,13.02,13.47,13.0,13.39,6531229
2010-01-25,13.41,13.48,13.085,13.19,6202010
2010-01-26,13.07,13.31,13.025,13.31,4829329
2010-01-27,12.88,13.08,12.5,13.07,11972131
2010-01-28,12.68,12.99,12.47,12.89,8802986
2010-01-29,12.63,12.83,12.54,12.79,13698706
2010-02-01,12.89,12.91,12.48,12.66,5800437
2010-02-02,13.12,13.15,12.76,12.88,4175252
2010-02-03,12.9,13.18,12.85,12.99,3366649
2010-02-04,11.84,12.83,11.82,12.77,16486560
2010-02-05,11.73,11.95,11.46,11.82,9749785
2010-02-08,11.75,11.99,11.66,11.8,5248345
2010-02-09,12.13,12.33,11.9,11.94,9419644
2010-02-10,11.94,12.15,11.8,12.15,8151611
2010-02-11,11.95,11.98,11.74,11.9,8128425
2010-02-12,11.77,11.795,11.62,11.79,10828629
2010-02-15,11.77,11.795,11.62,11.79,0
2010-02-16,11.85,11.94,11.69,11.93,18711934
2010-02-17,12.03,12.04,11.78,11.9,11136315
2010-02-18,12.03,12.12,11.94,11.99,7280750
2010-02-19,12.18,12.18,11.85,11.91,6705444
2010-02-22,12.0,12.29,11.94,12.2,4871503
2010-02-23,11.77,12.03,11.75,11.97,5441121
2010-02-24,11.8,11.86,11.6,11.84,6354263
2010-02-25,11.7,11.76,11.51,11.63,6364766
2010-02-26,11.69,11.95,11.55,11.8,7000062
2010-03-01,11.17,11.74,11.08,11.63,16674620
2010-03-02,11.24,11.64,11.18,11.19,13684731
2010-03-03,11.52,11.63,11.28,11.36,8599694
2010-03-04,11.32,11.55,11.25,11.45,6509022
2010-03-05,11.58,11.65,11.36,11.38,6779967
2010-03-08,11.49,11.7,11.46,11.58,8339448
2010-03-09,11.4,11.48,11.33,11.41,7163639
2010-03-10,11.26,11.44,11.16,11.42,12658334
2010-03-11,11.6,11.64,11.239,11.24,9170208
2010-03-12,11.66,11.71,11.54,11.67,5814083
2010-03-15,11.57,11.66,11.43,11.63,8602443
2010-03-16,11.88,11.88,11.61,11.71,5306104
2010-03-17,11.76,12.0,11.71,11.96,8993973
2010-03-18,11.56,11.83,11.51,11.72,5940335
2010-03-19,11.46,11.81,11.4,11.65,9621248
2010-03-22,11.27,11.42,11.18,11.38,13087936
2010-03-23,11.23,11.36,11.11,11.32,8879137
2010-03-24,11.02,11.21,11.01,11.19,11099096
2010-03-25,10.76,11.15,10.73,11.05,15058401
2010-03-26,10.86,10.97,10.77,10.9,8682490
2010-03-29,11.24,11.26,10.91,10.95,8027374
2010-03-30,11.07,11.23,11.0,11.21,6992381
2010-03-31,11.0,11.12,10.83,10.96,9039326
2010-04-01,11.3,11.36,11.06,11.09,7927338
2010-04-02,11.3,11.36,11.06,11.09,0
2010-04-05,11.6,11.63,11.27,11.32,11365905
2010-04-06,11.81,11.86,11.48,11.5,8671334
2010-04-07,11.4,11.82,11.36,11.74,7835610
2010-04-08,11.28,11.38,11.23,11.29,7767797
2010-04-09,11.28,11.39,11.2,11.3,7910337
2010-04-12,11.28,11.46,11.25,11.36,5484970
2010-04-13,11.26,11.3,11.09,11.28,6874211
2010-04-14,11.63,11.68,11.25,11.26,9120201
2010-04-15,11.77,11.92,11.56,11.64,7787816
2010-04-16,11.56,11.82,11.465,11.72,19694675
2010-04-19,11.56,11.64,11.48,11.49,8793597
2010-04-20,11.94,11.96,11.6,11.63,8423429
2010-04-21,12.27,12.275,11.89,11.91,9541604
2010-04-22,12.34,12.39,11.94,12.12,10428477
2010-04-23,12.37,12.46,12.19,12.31,8605216
2010-04-26,12.15,12.38,12.12,12.37,11075181
2010-04-27,11.65,12.12,11.64,12.07,14631883
2010-04-28,11.68,11.92,11.55,11.74,7572499
2010-04-29,11.7,11.91,11.64,11.8,5705541
2010-04-30,11.54,11.9,11.54,11.79,6231381
2010-05-03,12.06,12.1,11.53,11.59,9668858
2010-05-04,11.61,11.88,11.53,11.8,9795993
2010-05-05,11.09,11.515,11.05,11.38,9716633
2010-05-06,10.71,11.13,9.99,10.99,15479197
2010-05-07,9.89,10.63,9.74,10.6,21614989
2010-05-10,10.65,11.18,10.44,10.57,12475200
2010-05-11,10.79,10.99,10.38,10.53,10013468
2010-05-12,11.11,11.12,10.89,10.98,8417441
2010-05-13,10.9,11.12,10.85,10.92,4874261
2010-05-14,10.66,10.9,10.52,10.86,6201768
2010-05-17,10.36,10.74,10.15,10.72,11305036
2010-05-18,10.0,10.44,9.903,10.3,11215321
2010-05-19,9.82,10.03,9.67,9.87,11238991
2010-05-20,9.22,9.54,9.18,9.49,15325289
2010-05-21,9.62,9.63,9.01,9.09,16178832
2010-05-24,9.35,9.6205,9.32,9.53,7644797
2010-05-25,9.63,9.64,8.94,9.06,12754656
2010-05-26,9.92,10.08,9.72,9.73,14321735
2010-05-27,10.23,10.26,9.57,10.14,7577211
2010-05-28,10.27,10.48,10.17,10.22,6248730
2010-05-31,10.27,10.48,10.17,10.22,0
2010-06-01,9.47,10.125,9.46,9.99,13109047
2010-06-02,9.85,9.85,9.51,9.57,10818849
2010-06-03,9.99,10.04,9.68,9.8,8443319
2010-06-04,9.6,9.995,9.55,9.72,9550835
2010-06-07,9.61,9.92,9.59,9.61,8153400
2010-06-08,9.7,9.78,9.46,9.62,7460386
2010-06-09,9.8,10.14,9.76,9.77,9222318
2010-06-10,10.36,10.44,10.04,10.07,10847344
2010-06-11,10.38,10.405,10.2,10.24,6375847
2010-06-14,10.38,10.64,10.36,10.5,6985568
2010-06-15,10.75,10.78,10.43,10.54,6026269
2010-06-16,10.65,10.75,10.49,10.53,5949792
2010-06-17,10.6,10.76,10.38,10.65,6574599
2010-06-18,10.51,10.61,10.455,10.6,9506479
2010-06-21,10.54,10.82,10.42,10.69,6078327
2010-06-22,10.17,10.59,10.14,10.52,7157417
2010-06-23,10.02,10.2,9.91,10.17,5447313
2010-06-24,9.68,10.06,9.66,9.92,9017099
2010-06-25,9.86,9.97,9.65,9.69,16158301
2010-06-28,9.77,9.97,9.72,9.9,4400202
2010-06-29,9.25,9.66,9.22,9.63,8417455
2010-06-30,9.24,9.485,9.15,9.24,9741488
2010-07-01,9.09,9.225,8.99,9.2,8170555
2010-07-02,9.12,9.35,9.04,9.17,4869855
2010-07-05,9.12,9.35,9.04,9.17,0
2010-07-06,8.9,9.39,8.82,9.26,8637534
2010-07-07,9.86,9.92,8.95,9.0,17659350
2010-07-08,9.79,10.06,9.65,10.06,8104055
2010-07-09,10.23,10.265,9.67,9.67,12917691
2010-07-12,10.25,10.28,10.07,10.17,6444429
2010-07-13,10.23,10.46,10.16,10.41,4839089
2010-07-14,10.21,10.39,10.1,10.16,5886807
2010-07-15,10.2,10.23,10.0,10.17,5184791
2010-07-16,9.98,10.14,9.91,10.11,7567785
2010-07-19,10.07,10.14,9.97,10.08,3161061
2010-07-20,10.25,10.3,9.89,9.9,4050409
2010-07-21,10.03,10.33,9.96,10.28,4990226
2010-07-22,10.39,10.43,10.11,10.16,5488013
2010-07-23,10.46,10.49,10.26,10.39,5934306
2010-07-26,10.47,10.5,10.36,10.43,4165027
2010-07-27,10.71,10.71,10.43,10.54,6921807
2010-07-28,10.55,10.69,10.49,10.63,3270542
2010-07-29,10.34,10.68,10.27,10.66,4291463
2010-07-30,10.31,10.37,10.12,10.22,4133358
2010-08-02,10.76,10.79,10.46,10.46,5463362
2010-08-03,10.45,10.75,10.4175,10.69,5012326
2010-08-04,10.54,10.6,10.33,10.44,3317987
2010-08-05,10.67,10.74,10.42,10.45,4052125
2010-08-06,10.65,10.71,10.03,10.56,7938134
2010-08-09,11.07,11.14,10.66,10.7,9045585
2010-08-10,11.16,11.4,10.91,10.93,9361413
2010-08-11,10.61,11.01,10.5975,10.96,5679744
2010-08-12,10.59,10.75,10.3,10.48,4506773
2010-08-13,10.62,10.95,10.51,10.52,4378031
2010-08-16,10.66,10.7699,10.33,10.54,4504557
2010-08-17,10.93,11.04,10.63,10.77,4743467
2010-08-18,10.9,11.05,10.82,10.9,4265715
2010-08-19,10.58,10.85,10.56,10.85,4523882
2010-08-20,10.4,10.54,10.37,10.5,5073601
2010-08-23,10.46,10.63,10.42,10.47,3269498
2010-08-24,10.27,10.46,10.21,10.31,6724213
2010-08-25,10.43,10.4925,10.13,10.26,7568963
2010-08-26,10.4,10.62,10.345,10.52,7605016
2010-08-27,10.6,10.63,10.29,10.51,4382408
2010-08-30,10.4,10.63,10.39,10.57,2539843
2010-08-31,10.24,10.49,10.21,10.35,6239487
2010-09-01,10.66,10.68,10.29,10.36,5449476
2010-09-02,10.93,10.93,10.56,10.67,3722563
2010-09-03,11.14,11.15,10.91,10.98,3586728
2010-09-06,11.14,11.15,10.91,10.98,0
2010-09-07,11.0,11.05,10.85,11.02,2899938
2010-09-08,11.02,11.24,10.97,11.09,3858386
2010-09-09,11.11,11.19,10.96,11.15,2883417
2010-09-10,11.05,11.12,11.0,11.08,2354340
2010-09-13,11.16,11.21,11.07,11.17,4350322
2010-09-14,11.19,11.29,11.02,11.1,3480546
2010-09-15,10.98,11.16,10.88,11.16,4610974
2010-09-16,10.9,10.97,10.77,10.88,1989248
2010-09-17,10.88,11.04,10.78,11.01,4327619
2010-09-20,11.38,11.41,10.88,10.88,5320825
2010-09-21,11.38,11.54,11.21,11.36,6998170
2010-09-22,11.25,11.44,11.135,11.31,4167843
2010-09-23,11.09,11.17,11.02,11.12,3272538
2010-09-24,11.35,11.36,11.16,11.24,3085972
2010-09-27,11.39,11.5,11.33,11.35,4021612
2010-09-28,11.48,11.5,11.25,11.44,5047015
2010-09-29,11.39,11.5,11.21,11.37,5842060
2010-09-30,11.35,11.57,11.21,11.47,4932356
2010-10-01,11.54,11.57,11.375,11.44,3966557
2010-10-04,11.37,11.6,11.3,11.5,2770381
2010-10-05,11.68,11.73,11.51,11.55,3050767
2010-10-06,11.75,11.77,11.58,11.63,3722586
2010-10-07,11.8,11.83,11.69,11.8,3925941
