Date,Close,High,Low,Open,Volume
2010-01-01,31.7,32.4,31.61,32.12,0
2010-01-04,33.0,33.08,31.87,32.06,5671979
2010-01-05,32.53,33.1,32.26,32.94,4573540
2010-01-06,32.4,32.75,32.25,32.5,4303032
2010-01-07,33.43,33.55,31.75,31.91,6181624
2010-01-08,32.7,33.37,32.54,33.34,5226497
2010-01-11,32.74,33.2,32.6,32.77,3674088
2010-01-12,30.61,32.76,30.31,32.63,19543279
2010-01-13,30.75,31.09,29.62,30.5,10466216
2010-01-14,31.41,31.44,30.41,30.43,6630386
2010-01-15,31.36,32.01,30.95,31.25,9794030
2010-01-18,31.36,32.01,30.95,31.25,0
2010-01-19,32.66,33.25,32.2,32.3,13045071
2010-01-20,32.48,33.65,32.05,33.1,11007715
2010-01-21,31.88,32.77,31.55,32.58,7837717
2010-01-22,31.3,32.31,31.17,31.68,7000038
2010-01-25,30.97,31.79,30.85,31.73,5431627
2010-01-26,30.5,30.84,30.17,30.84,7576917
2010-01-27,30.43,31.08,30.06,30.28,6254934
2010-01-28,30.36,31.05,30.1,30.56,6626886
2010-01-29,29.97,30.54,29.79,30.54,5883608
2010-02-01,29.77,30.4,29.25,30.09,7141213
2010-02-02,30.28,30.38,29.5,29.71,5291436
2010-02-03,30.33,30.48,29.54,30.12,5545040
2010-02-04,29.23,30.23,29.17,30.11,6108269
2010-02-05,29.61,30.38,28.75,28.78,12751448
2010-02-08,29.2,30.33,29.17,30.09,5395185
2010-02-09,28.97,29.7,28.0,29.57,9961248
2010-02-10,28.65,29.07,27.94,28.83,8725171
2010-02-11,28.85,28.9,28.3,28.65,3915343
2010-02-12,28.63,28.7,28.12,28.55,5536569
2010-02-15,28.63,28.7,28.12,28.55,0
2010-02-16,28.75,29.0,28.14,29.0,5137493
2010-02-17,29.61,30.0,28.83,28.97,7520066
2010-02-18,29.74,29.9,29.15,29.28,4763437
2010-02-19,28.93,29.64,28.86,29.3,5361246
2010-02-22,29.35,29.91,28.6,28.79,8774363
2010-02-23,28.98,29.25,28.59,29.13,4965272
2010-02-24,29.56,29.5913,28.75,29.05,4741069
2010-02-25,29.97,30.01,28.96,29.36,7252625
2010-02-26,29.99,30.49,29.76,30.02,5006042
2010-03-01,30.32,30.86,29.87,30.19,4639420
2010-03-02,31.03,31.14,30.09,30.5,6033551
2010-03-03,31.28,31.73,30.86,31.13,5201432
2010-03-04,30.65,31.33,30.13,31.15,6793874
2010-03-05,31.38,31.45,30.61,30.71,3929853
2010-03-08,31.22,31.48,31.12,31.23,2145483
2010-03-09,31.23,31.63,31.135,31.34,2406985
2010-03-10,31.65,31.88,31.07,31.12,3271236
2010-03-11,32.69,32.77,31.4,31.57,6797377
2010-03-12,31.84,33.04,31.68,32.69,5003492
2010-03-15,31.62,31.74,31.02,31.59,3512939
2010-03-16,31.95,31.98,31.29,31.65,3966115
2010-03-17,31.74,32.09,31.53,32.01,3923211
2010-03-18,33.24,33.34,31.12,31.64,9147571
2010-03-19,34.46,34.94,33.31,33.93,14186770
2010-03-22,34.64,35.24,34.01,34.55,12434553
2010-03-23,34.99,35.06,34.4,34.68,6113931
2010-03-24,34.41,35.15,34.41,34.88,4192179
2010-03-25,34.79,35.15,34.39,34.65,5267130
2010-03-26,34.32,34.88,33.925,34.59,4896068
2010-03-29,34.92,35.02,34.27,34.32,2927589
2010-03-30,35.38,35.615,34.86,34.99,4494911
2010-03-31,35.11,35.43,34.79,35.2,4797195
2010-04-01,34.93,35.49,34.58,35.3,4314554
2010-04-02,34.93,35.49,34.58,35.3,0
2010-04-05,35.17,35.53,35.0,35.22,3083141
2010-04-06,35.11,35.96,34.96,35.15,4085793
2010-04-07,34.3,35.05,34.21,34.91,5034212
