Date,Close,High,Low,Open,Volume
2010-01-01,23.125,23.575,23.12,23.505,0
2010-01-04,23.785,23.85,23.25,23.25,4723964
2010-01-05,24.475,24.54,23.53,23.745,7930464
2010-01-06,24.69,24.915,24.36,24.915,5851500
2010-01-07,24.955,25.0,24.5,24.705,5535674
2010-01-08,24.705,24.83,24.375,24.83,4393252
2010-01-11,25.355,25.39,24.855,24.935,5699322
2010-01-12,25.225,25.86,25.135,25.695,7697408
2010-01-13,25.5,25.56,25.2151,25.31,5104220
2010-01-14,25.835,25.895,25.34,25.58,4533692
2010-01-15,25.555,25.865,25.335,25.775,5949778
2010-01-18,25.555,25.865,25.335,25.775,0
2010-01-19,26.05,26.08,25.47,25.62,6527586
2010-01-20,25.575,25.89,25.375,25.89,5305450
2010-01-21,25.235,25.77,25.05,25.745,8124224
2010-01-22,24.55,25.31,24.5,25.145,8375830
2010-01-25,25.09,25.37,25.005,25.005,9891966
2010-01-26,24.86,25.5,24.82,24.99,9834520
2010-01-27,24.905,25.08,24.535,24.87,8353368
2010-01-28,24.595,25.24,24.405,25.175,8419072
2010-01-29,24.215,24.925,24.1,24.78,8466196
2010-02-01,24.59,24.735,24.295,24.295,6887392
2010-02-02,24.85,24.915,24.355,24.675,10029284
2010-02-03,25.47,25.95,25.255,25.255,11918250
2010-02-04,24.15,25.35,24.115,25.225,10892430
2010-02-05,23.825,24.405,22.975,24.205,17984420
2010-02-08,22.975,23.89,22.935,23.855,13133292
2010-02-09,23.53,23.825,22.89,23.35,11154856
2010-02-10,23.555,23.865,23.155,23.57,6684118
2010-02-11,23.68,23.815,23.055,23.43,6632062
2010-02-12,23.57,23.605,22.935,23.5,10385586
2010-02-15,23.57,23.605,22.935,23.5,0
2010-02-16,24.125,24.19,23.575,23.865,6281520
2010-02-17,24.37,24.565,24.165,24.32,5900736
2010-02-18,24.425,24.53,24.025,24.235,4833404
2010-02-19,24.52,24.65,24.055,24.17,7212172
2010-02-22,24.56,24.69,24.4,24.57,5541970
2010-02-23,24.065,24.682,23.895,24.585,5783224
2010-02-24,24.535,24.625,24.12,24.23,4585352
2010-02-25,24.595,24.63,23.975,24.065,5502802
2010-02-26,24.725,24.77,24.415,24.675,4703392
2010-03-01,25.01,25.02,24.765,24.88,5342060
2010-03-02,24.97,25.175,24.865,25.055,4766734
2010-03-03,25.085,25.28,24.995,25.03,5124702
2010-03-04,25.285,25.36,25.125,25.23,5098182
2010-03-05,25.755,25.81,25.2055,25.5,5177256
2010-03-08,25.85,26.0,25.745,25.77,4408374
2010-03-09,25.625,25.84,25.4616,25.75,4445482
2010-03-10,26.235,26.25,25.5425,25.595,7183474
2010-03-11,26.315,26.32,25.955,26.155,5080406
2010-03-12,26.345,26.505,26.125,26.455,3764438
2010-03-15,26.385,26.485,26.125,26.315,5003124
2010-03-16,26.85,26.875,26.375,26.5,4767104
2010-03-17,27.32,27.5,26.925,26.995,5413404
2010-03-18,27.41,27.415,27.2,27.355,4801698
2010-03-19,27.05,27.6,27.03,27.545,7135510
2010-03-22,26.93,26.93,26.53,26.755,4292924
2010-03-23,26.75,26.765,26.305,26.59,7604542
2010-03-24,26.825,26.94,26.595,26.705,4708264
2010-03-25,26.605,27.15,26.56,26.985,5431198
2010-03-26,26.735,27.03,26.605,26.72,4811772
2010-03-29,26.825,27.005,26.74,26.92,4707092
2010-03-30,26.895,26.975,26.687,26.855,5451794
2010-03-31,27.145,27.16,26.73,26.76,6306834
2010-04-01,27.37,27.585,27.215,27.38,4532132
2010-04-02,27.37,27.585,27.215,27.38,0
2010-04-05,27.76,27.76,27.45,27.565,4161542
2010-04-06,27.98,28.06,27.56,27.63,4903030
2010-04-07,27.64,27.9,27.425,27.85,5456862
2010-04-08,27.7,27.8275,27.43,27.56,5574476
2010-04-09,27.88,27.88,27.525,27.715,3726954
2010-04-12,27.78,27.975,27.715,27.96,4490338
2010-04-13,27.735,27.815,27.419,27.73,4851956
2010-04-14,28.28,28.28,27.795,27.845,4614542
2010-04-15,27.735,28.14,27.6148,27.95,6474778
2010-04-16,27.21,27.705,26.87,27.68,9726312
2010-04-19,27.295,27.33,26.83,26.965,5282688
2010-04-20,27.66,27.7,27.365,27.53,4359290
2010-04-21,27.375,27.875,27.07,27.74,4785718
2010-04-22,27.3,27.325,26.75,27.085,4898174
2010-04-23,27.735,27.8,27.16,27.295,5140248
2010-04-26,27.365,27.81,27.335,27.71,4925296
2010-04-27,26.205,27.19,26.105,27.1,8470424
2010-04-28,24.815,27.12,24.365,27.1,29953558
2010-04-29,26.165,26.285,25.25,25.41,19296654
2010-04-30,25.48,26.18,25.465,26.1,8957426
2010-05-03,25.715,25.87,25.42,25.705,6408502
2010-05-04,24.41,25.25,24.03,25.0,19391608
2010-05-05,24.07,24.675,23.625,23.945,13016954
2010-05-06,23.14,24.51,21.245,24.015,20330804
2010-05-07,22.135,23.25,21.7,22.97,22672958
2010-05-10,24.875,25.2,22.255,23.925,27616374
2010-05-11,24.47,25.125,24.18,24.405,10551538
2010-05-12,25.02,25.095,24.375,24.525,8820944
2010-05-13,24.21,25.05,24.205,24.81,5581902
2010-05-14,22.95,23.955,22.5,23.9,17390750
2010-05-17,22.985,23.13,22.315,22.75,10639588
2010-05-18,22.505,23.84,22.255,23.79,13306252
2010-05-19,22.17,22.595,21.5625,22.145,15446952
2010-05-20,20.81,21.635,20.615,21.56,14806804
2010-05-21,21.695,21.93,20.255,20.34,20044032
2010-05-24,21.11,21.74,21.08,21.56,11073200
2010-05-25,21.245,21.285,20.16,20.39,12910006
2010-05-26,21.38,22.02,21.275,21.705,12617168
2010-05-27,22.915,22.96,21.835,22.02,14455702
2010-05-28,22.15,22.93,22.05,22.905,10101920
2010-05-31,22.15,22.93,22.05,22.905,0
2010-06-01,21.565,22.315,21.5,21.61,9200476
2010-06-02,22.32,22.34,21.42,21.705,10042270
2010-06-03,22.23,22.535,21.83,22.4,6307274
2010-06-04,20.665,21.725,20.52,21.48,13453496
2010-06-07,20.24,21.035,20.19,20.855,12321776
2010-06-08,20.88,20.9,19.955,20.305,13445260
2010-06-09,20.61,21.345,20.52,21.11,11060394
2010-06-10,21.39,21.43,20.865,20.96,8199490
2010-06-11,21.395,21.425,20.83,20.93,6114214
2010-06-14,21.245,21.785,21.145,21.375,7550814
2010-06-15,22.19,22.26,21.255,21.28,10848934
2010-06-16,22.01,22.19,21.855,21.885,7597468
2010-06-17,21.875,22.16,21.4675,21.9,8751234
2010-06-18,22.2,22.265,21.95,21.955,8400766
2010-06-21,22.225,22.81,22.0659,22.76,7538690
2010-06-22,21.885,22.575,21.85,22.29,8837872
2010-06-23,21.705,21.97,21.335,21.925,8041563
2010-06-24,21.345,21.77,21.26,21.505,7872584
2010-06-25,21.795,21.86,21.17,21.46,9145638
2010-06-28,22.39,23.1,22.035,22.075,14170490
2010-06-29,21.18,22.135,21.015,21.89,17380518
2010-06-30,21.335,21.705,21.11,21.2,12440590
2010-07-01,21.655,21.845,20.775,21.575,12581006
2010-07-02,21.56,21.92,21.265,21.86,7113148
2010-07-05,21.56,21.92,21.265,21.86,0
2010-07-06,21.78,22.275,21.56,21.875,10331516
2010-07-07,22.735,22.76,21.7078,21.78,11838476
2010-07-08,23.595,23.665,22.92,22.945,12098138
2010-07-09,24.04,24.065,23.5,23.5,7778486
2010-07-12,23.955,24.07,23.715,23.815,5761708
2010-07-13,24.44,24.695,24.17,24.3,11767522
2010-07-14,24.205,24.55,23.945,24.275,8074134
2010-07-15,24.19,24.275,23.5645,24.23,7971880
2010-07-16,23.13,23.945,23.04,23.805,8490542
2010-07-19,23.255,23.455,22.855,23.295,6549454
2010-07-20,23.935,23.96,22.765,22.835,8004764
2010-07-21,23.44,24.315,23.245,24.315,10285398
2010-07-22,24.925,24.96,23.55,23.735,14913630
2010-07-23,25.255,25.305,24.29,24.79,14984582
2010-07-26,25.52,25.63,25.2,25.31,11309620
2010-07-27,25.355,25.92,25.015,25.8,11385830
2010-07-28,24.76,25.085,24.435,24.88,13273032
2010-07-29,24.9,25.36,24.545,25.0,9536120
2010-07-30,24.595,24.945,24.27,24.6,9285812
2010-08-02,25.495,25.685,25.03,25.03,9007872
2010-08-03,24.905,25.43,24.82,25.395,8245896
2010-08-04,25.525,25.64,24.915,24.97,8062358
2010-08-05,25.64,25.78,25.25,25.46,5737436
2010-08-06,25.375,25.58,24.86,25.265,5879970
2010-08-09,25.74,25.8,25.375,25.57,5592592
2010-08-10,25.445,25.69,25.185,25.39,5562950
2010-08-11,24.725,25.325,24.695,24.975,8503238
2010-08-12,24.335,24.59,24.18,24.29,9097870
2010-08-13,23.88,24.36,23.86,24.295,7319268
2010-08-16,23.78,23.875,23.425,23.565,4726026
2010-08-17,24.135,24.36,23.88,24.035,6159062
2010-08-18,24.03,24.255,23.905,24.195,5862756
2010-08-19,23.28,23.865,23.175,23.865,8762576
2010-08-20,23.315,23.41,22.845,23.135,7991384
2010-08-23,23.115,23.49,22.9775,23.24,6755886
2010-08-24,22.6,22.885,22.455,22.74,8744794
2010-08-25,22.97,23.085,22.175,22.37,8821228
2010-08-26,22.88,23.29,22.755,23.105,7699630
2010-08-27,23.91,23.925,22.71,23.09,7282272
2010-08-30,23.235,23.795,23.2,23.77,4595174
2010-08-31,23.625,23.745,22.845,23.005,8215324
2010-09-01,24.785,24.805,24.0,24.02,10597984
2010-09-02,25.01,25.015,24.595,24.785,8703096
2010-09-03,25.47,25.52,25.13,25.43,7101878
2010-09-06,25.47,25.52,25.13,25.43,0
2010-09-07,24.96,25.29,24.695,25.245,6137272
2010-09-08,25.05,25.5,24.985,25.09,6555586
2010-09-09,25.3,25.635,25.1,25.535,4694586
2010-09-10,25.385,25.495,25.105,25.41,3952838
2010-09-13,26.095,26.175,25.69,25.695,6889276
2010-09-14,26.12,26.375,25.755,26.015,6413054
2010-09-15,25.945,26.085,25.66,25.935,5531484
2010-09-16,25.925,25.94,25.63,25.86,3841756
2010-09-17,25.89,26.125,25.755,26.015,5128890
2010-09-20,26.805,26.875,25.995,26.06,6450016
2010-09-21,26.58,26.94,26.455,26.855,6030342
2010-09-22,25.99,26.64,25.86,26.495,5355752
2010-09-23,25.23,25.835,25.17,25.695,7587192
2010-09-24,26.175,26.185,25.625,25.625,5581326
2010-09-27,25.965,26.19,25.825,26.145,4642844
2010-09-28,26.235,26.32,25.545,26.105,4412254
2010-09-29,25.785,26.24,25.73,26.02,4816856
2010-09-30,25.855,26.46,25.85,26.165,7885764
2010-10-01,26.03,26.395,25.77,26.2149,6458834
2010-10-04,25.725,26.04,25.46,25.99,5253342
2010-10-05,26.37,26.595,25.675,26.065,7475130
2010-10-06,26.87,26.9075,26.1,26.345,7615104
2010-10-07,26.795,27.135,26.57,27.01,4897350
2010-10-08,27.175,27.36,26.78,26.895,5291630
2010-10-11,27.18,27.34,27.05,27.205,3259908
2010-10-12,27.25,27.305,26.83,26.95,4380692
2010-10-13,27.41,27.775,27.35,27.42,5246116
2010-10-14,27.415,27.88,27.25,27.415,6877964
2010-10-15,27.26,27.765,26.89,27.63,6656986
2010-10-18,27.82,27.955,27.27,27.27,5146590
2010-10-19,27.35,27.885,27.145,27.385,6197424
2010-10-20,27.515,27.805,27.38,27.53,6091932
2010-10-21,27.62,27.995,27.415,27.645,6616372
2010-10-22,27.73,27.82,27.535,27.82,4158196
2010-10-25,27.625,28.07,27.55,27.955,5844234
2010-10-26,27.595,27.74,27.4,27.485,5846696
2010-10-27,28.195,28.49,27.675,27.87,9641662
2010-10-28,28.11,28.375,27.775,28.355,5056442
2010-10-29,27.945,28.125,27.7,28.0,4335876
2010-11-01,27.96,28.4,27.675,28.14,3374890
2010-11-02,28.2,28.285,28.06,28.245,2779104
2010-11-03,28.345,28.35,27.72,28.255,5810654
2010-11-04,28.925,29.005,28.425,28.72,6823678
2010-11-05,28.88,29.155,28.64,28.855,6574088
2010-11-08,28.59,28.82,28.475,28.79,4807888
2010-11-09,28.245,28.745,28.155,28.73,7291510
2010-11-10,28.4,28.43,27.81,28.33,6162944
2010-11-11,27.85,27.995,27.185,27.985,7931904
2010-11-12,27.325,27.86,27.19,27.57,6852436
2010-11-15,27.23,27.5,27.205,27.465,5577392
2010-11-16,26.79,27.105,26.56,27.02,7884300
2010-11-17,26.8,26.97,26.615,26.775,6470526
2010-11-18,27.335,27.615,27.255,27.3,6590638
2010-11-19,27.325,27.345,26.91,27.33,6448418
2010-11-22,27.18,27.2449,26.735,27.15,4204254
2010-11-23,26.465,26.83,26.34,26.68,5810512
2010-11-24,26.99,27.0,26.625,26.735,4639612
2010-11-25,26.99,27.0,26.625,26.735,0
2010-11-26,25.775,26.645,25.71,26.61,6644556
2010-11-29,26.085,26.185,25.515,25.61,9848194
2010-11-30,25.75,26.065,25.445,25.73,9106010
2010-12-01,26.5,26.59,26.115,26.39,8490112
2010-12-02,27.14,27.27,26.565,26.58,6811872
2010-12-03,27.21,27.265,26.77,26.93,4353382
2010-12-06,27.12,27.275,26.9,27.105,4658250
2010-12-07,26.865,27.46,26.83,27.455,5691964
2010-12-08,27.46,27.495,26.85,26.97,5824840
2010-12-09,27.81,28.115,27.535,27.78,5528916
2010-12-10,28.06,28.09,27.56,28.0,5209070
2010-12-13,27.935,28.235,27.93,28.15,5797698
2010-12-14,27.69,28.17,27.605,27.92,4811428
