Date,Close,High,Low,Open,Volume
2010-01-01,25.1146,26.0444,25.1062,25.6758,0
2010-01-04,25.0392,25.5837,24.6371,25.5753,9257025
2010-01-05,24.57,25.4329,24.4193,25.1146,10648633
2010-01-06,24.4109,24.6287,24.0926,24.5868,8557833
2010-01-07,23.9418,24.3774,23.6821,24.2936,11035115
2010-01-08,24.5784,25.2989,23.9669,23.9836,15169137
2010-01-11,24.8214,25.3575,24.3271,24.9889,12809460
2010-01-12,23.8412,25.257,23.6821,24.7878,10797900
2010-01-13,24.3439,24.503,23.749,24.2852,7334528
2010-01-14,23.9585,24.2015,23.7659,24.059,7336349
2010-01-15,23.5062,24.0004,23.4894,23.925,6622740
2010-01-18,23.5062,24.0004,23.4894,23.925,0
2010-01-19,23.6653,24.7711,22.8611,23.4978,21711371
2010-01-20,23.4224,24.3774,23.2716,23.5062,8257017
2010-01-21,23.0789,24.1093,22.97,23.4643,9578113
2010-01-22,22.1993,23.2465,22.0737,23.1962,7049477
2010-01-25,21.8559,22.6182,21.3616,22.4004,7969727
2010-01-26,20.4401,21.7302,20.1721,21.5292,10248882
2010-01-27,20.8674,21.1019,19.3008,20.5071,19619558
2010-01-28,20.2391,21.7972,20.1469,21.6548,8502364
2010-01-29,20.2977,20.725,20.1721,20.549,6818491
2010-02-01,20.0715,20.5239,19.6359,20.4234,5538186
2010-02-02,20.0799,20.4401,19.8286,20.0967,7017150
2010-02-03,19.9291,20.482,19.8621,20.0129,5752748
2010-02-04,18.9239,19.8872,18.8987,19.7113,7109858
2010-02-05,18.7731,18.949,18.0443,18.8485,8951658
2010-02-08,18.5637,19.0998,18.2621,18.7731,5126189
2010-02-09,19.3846,19.9375,18.5553,18.748,11591785
2010-02-10,22.5512,23.1543,19.2283,19.4433,37761666
2010-02-11,22.0318,24.0004,21.7972,22.1993,37187823
2010-02-12,22.4674,22.7187,21.2611,21.6297,15991454
2010-02-15,22.4674,22.7187,21.2611,21.6297,0
2010-02-16,22.9784,23.3637,22.6601,22.6601,8231292
2010-02-17,22.5344,23.3219,22.3334,23.1543,6411128
2010-02-18,22.3752,23.0538,21.9899,22.0402,7744886
2010-02-19,22.2245,22.4758,22.0653,22.0737,5577586
2010-02-22,23.8161,24.5449,22.258,22.4171,28834108
2010-02-23,22.4171,24.1009,22.2663,23.6653,16250783
2010-02-24,23.4475,23.8412,22.5009,22.7522,14477580
2010-02-25,23.0454,23.9166,22.6182,22.769,14773522
2010-02-26,20.7501,21.7302,20.6998,21.4454,32381706
2010-03-01,21.5962,23.4391,21.5962,23.3637,35404446
2010-03-02,20.9679,21.7302,20.5239,21.7135,21716486
2010-03-03,20.8422,21.3197,20.5574,21.2778,12443418
2010-03-04,22.3752,22.8611,20.9344,21.0014,30800718
2010-03-05,23.5229,23.9753,22.4004,22.702,23297560
2010-03-08,24.3774,25.3407,24.0004,24.6957,32603677
2010-03-09,27.4518,29.1523,23.5229,23.7658,69138241
2010-03-10,30.3586,31.2801,27.812,28.4403,84338021
2010-03-11,29.412,32.21,29.3366,31.4141,55605700
2010-03-12,28.6748,30.5345,28.3398,30.1576,25081575
2010-03-15,28.7502,30.4675,27.8958,28.901,52132750
2010-03-16,28.1554,30.1408,27.9293,29.3199,42182275
2010-03-17,28.8256,29.0518,28.3314,28.8926,21508187
2010-03-18,29.0183,29.6382,28.5659,29.1188,17106246
2010-03-19,29.1523,29.3366,28.3565,29.2528,13193682
2010-03-22,27.9711,28.6329,27.7282,28.2979,17634069
2010-03-23,27.879,28.3146,27.0162,28.256,15629203
2010-03-24,27.7869,28.7586,27.5942,27.6277,16422792
2010-03-25,28.9094,29.8811,27.9293,28.3649,35160865
2010-03-26,28.6581,29.8225,28.3649,29.4455,15558475
2010-03-29,28.8591,29.3199,28.3649,28.9848,12940838
2010-03-30,28.6413,29.4455,28.5492,29.1356,10284474
2010-03-31,28.5994,29.0853,28.1471,28.3984,9694863
2010-04-01,28.5743,28.8926,28.323,28.7754,7460965
2010-04-02,28.5743,28.8926,28.323,28.7754,0
