Date,Close,High,Low,Open,Volume
2010-01-01,22.51,22.88,22.51,22.83,0
2010-01-04,22.33,22.81,22.28,22.6,379235
2010-01-05,22.21,22.42,21.9,22.35,545625
2010-01-06,22.22,22.44,22.11,22.26,349366
2010-01-07,22.08,22.15,21.96,22.1,633418
2010-01-08,22.14,22.18,22.0,22.1,391204
2010-01-11,22.17,22.3,22.05,22.14,582572
2010-01-12,22.3,22.35,22.1,22.1,446963
2010-01-13,22.29,22.36,22.2,22.31,244143
2010-01-14,22.23,22.28,22.13,22.22,299397
2010-01-15,22.0,22.28,21.98,22.24,243260
2010-01-18,22.0,22.28,21.98,22.24,0
2010-01-19,22.25,22.26,22.02,22.02,400709
2010-01-20,22.14,22.14,21.9,22.08,278730
2010-01-21,22.31,22.37,22.02,22.09,501514
2010-01-22,22.7,22.73,22.31,22.36,778418
2010-01-25,22.82,23.34,22.6801,22.82,558603
2010-01-26,22.66,22.99,22.66,22.84,316969
2010-01-27,22.48,22.83,22.32,22.59,561699
2010-01-28,22.6,22.74,22.27,22.55,385808
2010-01-29,22.55,22.98,22.5467,22.66,469984
2010-02-01,22.78,22.84,22.53,22.61,404695
2010-02-02,22.7,23.0,22.55,22.83,903749
2010-02-03,23.74,24.12,22.8,22.8,1457821
2010-02-04,23.56,23.78,23.32,23.5,925242
2010-02-05,23.1,23.52,22.82,23.49,843385
2010-02-08,22.77,23.25,22.71,23.25,571010
2010-02-09,22.86,23.0,22.72,22.92,530781
2010-02-10,22.88,22.95,22.71,22.85,339517
2010-02-11,22.94,23.0,22.76,22.9,304488
2010-02-12,22.98,22.98,22.68,22.85,523615
2010-02-15,22.98,22.98,22.68,22.85,0
2010-02-16,23.04,23.04,22.76,23.04,399020
2010-02-17,23.27,23.33,22.95,23.0,588568
2010-02-18,23.34,23.36,23.15,23.28,443504
2010-02-19,23.54,23.54,23.28,23.34,361031
2010-02-22,23.61,23.62,23.41,23.6,317127
2010-02-23,23.72,23.81,23.49,23.6,455896
2010-02-24,23.87,23.88,23.73,23.79,378730
2010-02-25,23.77,23.8,23.59,23.63,362493
2010-02-26,23.73,23.83,23.59,23.79,480712
2010-03-01,24.02,24.03,23.7,23.77,567609
2010-03-02,24.13,24.16,23.88,24.01,484366
2010-03-03,24.29,24.32,24.06,24.09,389054
2010-03-04,24.17,24.5,24.015,24.39,482767
2010-03-05,24.43,24.45,24.05,24.32,334737
2010-03-08,24.39,24.56,24.36,24.42,541136
2010-03-09,24.43,24.48,24.19,24.37,728773
2010-03-10,24.64,24.64,24.2,24.42,768310
2010-03-11,24.73,24.81,24.46,24.58,434989
2010-03-12,25.21,25.21,24.7,24.86,729131
2010-03-15,25.32,25.44,25.05,25.25,625887
2010-03-16,25.49,25.61,25.29,25.3,496422
2010-03-17,25.64,25.68,25.4,25.56,325263
2010-03-18,25.73,25.84,25.61,25.7,327813
2010-03-19,25.58,25.6,24.96,25.14,890477
2010-03-22,24.97,25.5,24.92,25.28,2011083
2010-03-23,25.21,25.21,24.76,24.9,746575
2010-03-24,25.06,25.17,24.74,25.06,510461
2010-03-25,25.17,25.28,25.06,25.18,569747
2010-03-26,25.09,25.31,25.02,25.15,410407
2010-03-29,24.95,25.12,24.77,24.93,450726
2010-03-30,24.91,25.04,24.76,25.01,425010
2010-03-31,24.55,24.94,24.53,24.83,450955
2010-04-01,24.5,24.73,24.33,24.59,463341
2010-04-02,24.5,24.73,24.33,24.59,0
2010-04-05,24.6,24.65,24.46,24.5,510157
2010-04-06,24.73,24.82,24.46,24.57,467810
2010-04-07,24.68,24.77,24.4575,24.64,455128
2010-04-08,24.58,24.7325,24.5,24.68,537898
2010-04-09,24.61,24.62,24.29,24.51,398888
2010-04-12,24.81,24.81,24.3,24.55,303311
2010-04-13,25.02,25.02,24.71,24.71,409672
2010-04-14,25.24,25.24,24.99,25.01,286472
2010-04-15,25.34,25.42,25.1,25.18,454188
2010-04-16,25.37,25.53,25.17,25.35,598764
2010-04-19,25.4,25.44,25.07,25.25,505092
2010-04-20,25.84,25.84,25.31,25.49,437727
2010-04-21,25.76,25.89,25.51,25.74,551219
2010-04-22,26.31,26.35,25.51,25.64,631783
2010-04-23,26.51,27.0,26.21,26.5,782589
2010-04-26,26.44,26.65,26.38,26.49,519969
2010-04-27,26.06,26.79,26.02,26.4,752398
2010-04-28,25.81,26.29,25.71,26.2,706757
2010-04-29,26.56,26.56,25.8,25.85,785169
2010-04-30,26.27,26.56,26.22,26.5,560890
2010-05-03,26.59,26.61,26.3,26.38,496610
2010-05-04,26.41,26.53,26.26,26.35,675072
2010-05-05,25.87,26.5,25.74,26.23,854957
2010-05-06,24.58,25.85,22.63,25.76,1912605
2010-05-07,24.29,24.73,24.03,24.55,1491408
2010-05-10,25.19,25.24,24.6,24.91,584274
2010-05-11,25.29,25.58,24.91,24.91,446561
2010-05-12,25.46,25.54,25.14,25.42,508344
2010-05-13,25.19,25.45,25.19,25.35,631476
2010-05-14,25.13,25.2,24.935,25.01,880373
2010-05-17,25.11,25.26,24.63,25.14,593865
2010-05-18,25.0,25.36,24.84,25.2,820538
2010-05-19,24.9,25.13,24.69,24.85,560159
2010-05-20,24.43,24.83,24.43,24.56,1326560
2010-05-21,24.65,24.67,23.931,24.17,965215
2010-05-24,24.45,24.6716,24.4,24.52,469698
2010-05-25,24.15,24.19,23.66,24.0,549535
2010-05-26,23.95,24.37,23.92,24.19,620700
2010-05-27,24.84,24.85,24.21,24.34,620694
2010-05-28,24.69,24.92,24.56,24.77,348886
2010-05-31,24.69,24.92,24.56,24.77,0
2010-06-01,24.37,24.87,24.37,24.62,410880
2010-06-02,24.7,24.7,24.28,24.41,458846
2010-06-03,25.54,25.66,24.87,25.0,778199
2010-06-04,24.52,25.34,24.49,25.2,566114
2010-06-07,24.29,24.74,24.29,24.58,447925
2010-06-08,24.42,24.46,23.96,24.28,543720
2010-06-09,24.27,24.65,24.24,24.55,632130
2010-06-10,24.79,24.82,24.53,24.64,389862
2010-06-11,25.08,25.1,24.53,24.55,348959
2010-06-14,25.36,25.55,25.12,25.29,859248
2010-06-15,25.74,25.77,25.28,25.42,519490
2010-06-16,25.72,25.745,25.44,25.65,499025
2010-06-17,25.67,25.8,25.36,25.79,482810
2010-06-18,25.66,25.68,25.35,25.46,427220
2010-06-21,25.81,25.99,25.73,25.88,499135
2010-06-22,25.59,26.05,25.59,25.86,373875
2010-06-23,25.67,25.8,25.38,25.6,454294
2010-06-24,25.68,25.8,25.5,25.54,613350
2010-06-25,25.9,26.05,25.44,25.77,1962532
2010-06-28,25.39,25.75,25.34,25.55,614650
2010-06-29,24.79,25.19,24.72,25.12,668762
2010-06-30,24.38,24.89,24.38,24.75,549621
2010-07-01,24.39,24.42,23.96,24.36,688402
2010-07-02,24.35,24.54,24.2,24.43,451854
2010-07-05,24.35,24.54,24.2,24.43,0
2010-07-06,24.29,24.7081,24.13,24.63,380322
2010-07-07,24.92,24.94,24.29,24.29,438775
2010-07-08,25.21,25.27,24.9,25.11,632566
2010-07-09,25.34,25.37,25.07,25.18,246100
2010-07-12,25.12,25.28,24.98,25.22,277037
2010-07-13,25.92,26.0,25.25,25.27,582765
2010-07-14,25.81,25.91,25.7,25.77,402937
2010-07-15,25.77,25.83,25.493,25.83,308727
2010-07-16,25.28,25.75,25.27,25.7,557795
2010-07-19,25.19,25.41,25.02,25.4,271851
2010-07-20,25.78,25.78,24.87,25.0,419699
2010-07-21,25.31,25.84,25.27,25.84,466869
2010-07-22,25.8,25.81,25.52,25.54,654024
