Date,Close,High,Low,Open,Volume
2010-01-01,17.82,18.1,17.79,18.02,0
2010-01-04,18.5,18.5,18.05,18.09,374143
2010-01-05,18.01,18.5,17.7,18.4,431889
2010-01-06,17.48,17.97,17.37,17.77,666990
2010-01-07,17.43,17.49,16.95,17.42,449932
2010-01-08,17.66,17.8,17.05,17.42,678628
2010-01-11,17.54,17.76,17.26,17.69,440732
2010-01-12,17.23,17.61,17.11,17.35,317213
2010-01-13,17.58,17.7,17.12,17.24,296758
2010-01-14,17.13,17.51,17.05,17.51,378982
2010-01-15,16.93,17.22,16.47,17.2,706469
2010-01-18,16.93,17.22,16.47,17.2,0
2010-01-19,17.34,17.35,16.95,17.07,492194
2010-01-20,17.68,17.79,17.135,17.22,646576
2010-01-21,16.85,17.75,16.83,17.575,931708
2010-01-22,16.53,16.93,16.47,16.75,666940
2010-01-25,16.7,16.89,16.25,16.76,549618
2010-01-26,16.46,17.04,16.4,16.67,494367
2010-01-27,16.69,16.78,16.11,16.29,577982
2010-01-28,18.03,19.25,17.99,18.74,2492432
2010-01-29,18.75,19.09,18.14,18.19,1092647
2010-02-01,18.58,18.75,18.5,18.67,596174
2010-02-02,18.12,18.52,17.97,18.46,1289062
2010-02-03,18.11,18.48,17.83,18.08,553292
2010-02-04,17.49,17.94,17.33,17.89,897802
2010-02-05,17.68,17.86,17.27,17.46,540526
2010-02-08,17.28,17.81,17.25,17.54,310479
2010-02-09,17.2,17.6,17.09,17.5,423465
2010-02-10,17.26,17.3,16.93,17.17,445991
2010-02-11,17.45,17.74,17.175,17.25,405206
2010-02-12,17.53,17.54,17.22,17.25,371682
2010-02-15,17.53,17.54,17.22,17.25,0
2010-02-16,17.95,17.95,17.4,17.7,268338
2010-02-17,17.92,18.0,17.83,18.0,190013
2010-02-18,17.99,18.0,17.81,17.85,187111
2010-02-19,17.94,18.02,17.9,18.0,317027
2010-02-22,17.92,18.0,17.67,17.89,477163
2010-02-23,17.92,18.0,17.17,17.2,677777
2010-02-24,18.0,18.25,17.87,17.88,557054
2010-02-25,18.12,18.16,17.4,17.55,750465
2010-02-26,18.1,18.2,17.84,17.84,800324
2010-03-01,18.78,18.78,18.075,18.16,797372
2010-03-02,18.96,19.01,18.58,18.77,815137
2010-03-03,18.75,19.08,18.6,19.04,520107
2010-03-04,18.83,18.87,18.6,18.74,243536
2010-03-05,19.17,19.34,18.8,18.84,627955
2010-03-08,19.27,19.43,19.08,19.17,336349
2010-03-09,19.44,19.6,19.08,19.2,514569
2010-03-10,19.47,19.71,19.35,19.43,275483
2010-03-11,19.43,19.51,19.25,19.39,171086
2010-03-12,19.18,19.525,19.09,19.5,377609
2010-03-15,18.54,19.06,18.12,19.06,699241
2010-03-16,18.9,19.13,18.3701,18.62,497845
2010-03-17,19.32,19.58,18.81,18.99,625422
2010-03-18,19.2,19.44,19.07,19.34,280908
2010-03-19,19.16,19.34,19.04,19.08,544282
2010-03-22,19.61,19.91,19.03,19.03,558053
2010-03-23,19.89,19.9,19.54,19.65,400495
2010-03-24,19.66,19.98,19.48,19.8,315151
2010-03-25,19.35,20.0,19.35,19.72,270478
2010-03-26,19.46,19.88,19.3,19.45,877227
2010-03-29,19.52,19.6495,19.31,19.56,435924
2010-03-30,19.51,19.94,19.41,19.55,339859
2010-03-31,19.34,19.85,19.3,19.5,245699
2010-04-01,19.58,19.79,19.34,19.44,272766
2010-04-02,19.58,19.79,19.34,19.44,0
2010-04-05,20.44,20.56,19.455,19.58,405829
2010-04-06,18.44,20.03,18.18,19.9,4071494
2010-04-07,18.17,18.89,17.96,18.37,1414528
2010-04-08,17.49,18.15,17.48,18.1,1831787
2010-04-09,17.57,18.13,17.33,17.54,1000661
2010-04-12,17.7,17.89,17.52,17.64,978204
2010-04-13,18.09,18.18,17.69,17.72,609375
2010-04-14,18.34,18.38,17.93,18.14,793307
2010-04-15,18.67,18.77,18.29,18.42,583161
2010-04-16,18.7,18.9,18.04,18.65,850148
2010-04-19,18.63,18.66,18.07,18.59,544550
2010-04-20,18.82,18.82,18.47,18.66,365306
2010-04-21,18.8,18.89,18.51,18.78,702766
2010-04-22,17.62,19.42,17.18,19.42,5676729
2010-04-23,16.88,17.79,16.42,17.74,4019793
2010-04-26,17.14,17.25,16.5,16.92,2787317
2010-04-27,17.0,17.13,16.73,17.04,3349359
2010-04-28,16.56,17.16,16.51,17.16,1182792
2010-04-29,17.93,18.2,16.58,16.7,3052272
2010-04-30,17.0,17.93,16.885,17.89,1533257
2010-05-03,17.4,17.59,16.925,17.0,1232693
2010-05-04,17.53,17.53,16.93,17.27,1470672
2010-05-05,17.49,17.59,17.25,17.45,1394977
2010-05-06,17.26,17.58,16.57,17.4,1772823
2010-05-07,16.52,17.11,16.36,17.11,2664810
2010-05-10,17.26,17.46,17.03,17.03,1066625
2010-05-11,17.17,17.4,17.0,17.07,1144923
2010-05-12,17.46,17.46,17.09,17.17,730551
2010-05-13,17.31,17.48,17.17,17.37,940398
2010-05-14,17.02,17.17,16.62,17.17,1088863
2010-05-17,17.31,17.37,16.94,17.01,798836
2010-05-18,17.3,17.9099,17.22,17.31,997307
2010-05-19,16.91,17.37,16.67,17.21,861998
2010-05-20,16.01,16.64,15.8,16.63,1459958
2010-05-21,15.86,16.12,15.5,15.77,1333360
2010-05-24,15.84,16.22,15.81,15.81,995064
2010-05-25,15.25,15.61,14.87,15.54,1542156
2010-05-26,14.75,15.45,14.73,15.29,1535519
2010-05-27,15.19,15.22,14.87,15.02,1139323
2010-05-28,14.92,15.225,14.88,15.18,933421
2010-05-31,14.92,15.225,14.88,15.18,0
2010-06-01,14.38,14.85,14.21,14.85,1672953
2010-06-02,14.77,14.79,14.305,14.42,1012967
2010-06-03,14.43,15.075,14.25,14.87,1199525
2010-06-04,13.79,14.05,13.38,14.0,2776263
2010-06-07,14.19,14.4125,13.84,13.86,1935186
2010-06-08,13.51,14.19,13.44,14.19,1264185
2010-06-09,13.27,13.795,13.18,13.6,979059
2010-06-10,13.7,13.98,13.33,13.49,1452570
2010-06-11,14.54,14.56,13.43,13.61,1368668
2010-06-14,14.81,15.225,14.6,14.6,1223048
2010-06-15,15.0,15.03,14.8,14.87,692369
2010-06-16,14.85,15.02,14.69,14.9,362025
2010-06-17,14.88,15.02,14.71,14.86,431633
2010-06-18,14.75,14.97,14.69,14.97,1039676
2010-06-21,15.2,15.34,14.87,14.94,783116
2010-06-22,14.96,15.37,14.85,15.28,770956
2010-06-23,14.75,14.96,14.35,14.96,779308
2010-06-24,14.49,14.81,14.44,14.68,587281
2010-06-25,14.96,15.0,14.4135,14.5,797560
2010-06-28,15.0,15.1,14.93,15.0,698136
2010-06-29,14.91,14.97,14.01,14.78,1107614
2010-06-30,14.87,15.17,14.78,14.95,1060413
2010-07-01,14.3,14.89,13.9,14.89,662477
2010-07-02,14.195,14.45,13.97,14.39,328702
2010-07-05,14.195,14.45,13.97,14.39,0
2010-07-06,14.1,14.595,14.005,14.37,612414
2010-07-07,14.88,14.92,14.14,14.21,651829
2010-07-08,14.88,15.16,14.69,14.97,557121
2010-07-09,14.44,14.82,14.25,14.82,674774
2010-07-12,14.27,14.58,14.2,14.36,387806
2010-07-13,14.84,14.87,14.42,14.45,447296
2010-07-14,15.62,16.38,15.07,15.07,2141768
2010-07-15,15.27,15.68,15.05,15.62,651618
2010-07-16,14.57,15.12,14.46,15.12,790688
2010-07-19,14.29,14.74,14.19,14.6,208758
2010-07-20,14.44,14.51,14.0,14.13,1068497
2010-07-21,14.49,14.69,14.28,14.49,688884
2010-07-22,14.83,15.27,14.55,14.61,1461119
2010-07-23,17.12,17.5,15.86,17.26,3750612
2010-07-26,18.35,18.46,17.13,17.17,2234516
2010-07-27,18.05,18.5,17.81,18.35,973533
2010-07-28,17.37,18.23,17.24,17.89,1340724
2010-07-29,17.47,17.49,17.08,17.42,667047
2010-07-30,17.35,17.67,17.19,17.25,685110
2010-08-02,17.9,18.02,17.47,17.47,771692
2010-08-03,17.79,17.92,17.42,17.79,918068
2010-08-04,17.76,17.97,17.37,17.82,899763
2010-08-05,17.65,17.76,17.33,17.61,385865
2010-08-06,17.83,17.92,17.05,17.5,496333
2010-08-09,18.11,18.28,17.73,17.97,543650
2010-08-10,17.96,18.25,17.7,17.91,529112
2010-08-11,17.21,17.65,16.86,17.65,564284
2010-08-12,17.33,17.41,16.53,16.93,497586
2010-08-13,17.0,17.41,16.9,17.22,509592
2010-08-16,17.15,17.3,16.83,16.92,473394
2010-08-17,17.65,17.72,17.0,17.33,723059
2010-08-18,17.55,17.89,17.42,17.61,529903
2010-08-19,17.32,17.55,16.95,17.42,714919
2010-08-20,17.24,17.42,16.9,17.23,555820
2010-08-23,16.635,17.26,16.39,17.26,597984
2010-08-24,16.205,16.69,15.71,16.39,576231
2010-08-25,16.29,16.36,15.75,16.04,725344
2010-08-26,16.24,16.51,16.13,16.29,420160
2010-08-27,16.3,16.4,15.98,16.4,421900
2010-08-30,15.8,16.35,15.8,16.2,325479
2010-08-31,15.99,16.44,15.72,15.72,469218
2010-09-01,16.95,17.04,16.17,16.24,571510
2010-09-02,17.26,17.29,16.68,16.87,387864
2010-09-03,17.22,17.85,17.1,17.41,496570
2010-09-06,17.22,17.85,17.1,17.41,0
2010-09-07,16.65,17.23,16.64,17.19,340853
2010-09-08,16.96,17.13,16.5,16.72,374051
2010-09-09,17.05,17.17,16.79,17.12,289764
2010-09-10,17.82,17.915,16.97,17.11,640679
2010-09-13,18.68,18.95,17.74,17.85,1387744
2010-09-14,18.42,18.82,18.37,18.64,776814
2010-09-15,18.93,18.95,18.25,18.35,641969
2010-09-16,18.92,19.0,18.6,18.85,655465
2010-09-17,19.29,19.38,18.79,19.07,978337
2010-09-20,19.89,19.95,19.29,19.34,754757
2010-09-21,19.58,19.93,19.48,19.85,440888
2010-09-22,19.29,19.7,18.95,19.43,322818
2010-09-23,18.9,19.42,18.8302,19.14,470902
2010-09-24,19.66,19.66,19.06,19.13,500967
2010-09-27,19.75,19.87,19.43,19.72,262147
2010-09-28,19.73,19.79,19.25,19.72,975912
2010-09-29,19.85,19.94,19.52,19.59,637835
2010-09-30,19.58,19.95,19.295,19.95,645982
2010-10-01,19.65,19.8599,19.37,19.77,495515
2010-10-04,19.32,19.6,19.24,19.54,302184
2010-10-05,19.5,19.59,19.22,19.48,1035571
2010-10-06,19.69,19.76,19.465,19.52,493346
2010-10-07,19.83,19.9,19.5,19.76,305477
2010-10-08,19.63,19.8,19.41,19.78,425221
2010-10-11,19.57,19.81,19.54,19.6,483299
2010-10-12,19.88,19.96,19.41,19.6,1400566
2010-10-13,20.5,20.61,20.04,20.06,2654080
2010-10-14,20.68,20.97,20.55,20.58,1440677
2010-10-15,20.48,20.95,20.43,20.95,1235321
2010-10-18,21.0,21.05,20.48,20.49,830586
2010-10-19,20.28,20.89,20.08,20.7,1501395
2010-10-20,21.08,21.29,20.33,20.43,3015398
2010-10-21,20.71,21.4,20.23,21.24,2321785
2010-10-22,18.15,18.42,17.5,18.14,7228970
2010-10-25,17.48,18.12,17.42,18.12,2566374
2010-10-26,16.65,17.06,16.25,16.91,4126877
2010-10-27,16.89,16.97,16.35,16.5,2130495
2010-10-28,17.06,17.29,16.3,16.96,2269028
2010-10-29,17.02,17.17,16.91,16.98,1108044
2010-11-01,17.15,17.45,17.0,17.02,942021
2010-11-02,17.36,17.46,16.6519,17.2,1062691
2010-11-03,17.4,17.41,17.0,17.33,888303
2010-11-04,17.8,17.9,17.45,17.58,1488289
2010-11-05,18.5,18.67,17.7275,17.8,1559798
2010-11-08,18.24,18.545,18.14,18.5,694344
2010-11-09,18.25,18.36,18.03,18.24,899567
2010-11-10,18.43,18.43,18.11,18.33,439748
2010-11-11,18.5,18.54,18.19,18.2,379257
2010-11-12,18.31,18.56,18.2,18.31,606780
2010-11-15,18.27,18.46,18.065,18.35,508248
2010-11-16,17.88,18.29,17.71,18.13,1213654
2010-11-17,17.68,18.0,17.625,17.99,650885
2010-11-18,17.91,18.2,17.8,17.91,966972
2010-11-19,17.5,18.16,17.47,17.91,1019635
2010-11-22,17.4,17.64,17.12,17.37,737369
2010-11-23,17.45,17.54,17.01,17.12,608331
2010-11-24,17.85,17.85,17.52,17.58,426179
2010-11-25,17.85,17.85,17.52,17.58,0
2010-11-26,17.57,18.04,17.5,17.67,295422
2010-11-29,17.6,17.73,17.29,17.44,361761
2010-11-30,17.49,17.84,16.73,17.36,1702787
2010-12-01,17.97,18.32,17.7,17.84,781086
2010-12-02,17.5,18.03,17.43,17.94,1068347
2010-12-03,17.62,17.72,17.18,17.45,1337907
2010-12-06,17.77,17.98,17.63,17.68,484742
2010-12-07,17.8095,18.19,17.72,17.98,407351
2010-12-08,18.1,18.335,17.63,17.83,557506
2010-12-09,18.39,18.53,18.2,18.31,477013
2010-12-10,18.67,18.79,18.33,18.45,352551
2010-12-13,18.52,18.77,18.5,18.77,299081
2010-12-14,18.71,18.94,18.58,18.62,543278
2010-12-15,18.79,19.139,18.69,18.73,390592
2010-12-16,19.42,19.4299,18.65,18.81,391743
2010-12-17,20.11,20.16,19.2,19.4,1665168
2010-12-20,20.07,20.65,19.97,20.3,777933
2010-12-21,20.28,20.61,19.89,20.14,618304
2010-12-22,20.37,20.6199,20.15,20.29,407339
2010-12-23,20.24,20.4691,20.19,20.38,186518
2010-12-24,20.24,20.4691,20.19,20.38,0
2010-12-27,20.12,20.23,19.96,20.12,274578
2010-12-28,20.13,20.17,19.42,20.11,418364
2010-12-29,19.96,20.21,19.9,20.13,273632
2010-12-30,20.02,20.24,19.91,19.91,324651
2010-12-31,19.54,20.24,19.5,20.04,349292
2011-01-03,19.87,20.27,19.62,19.75,444685
2011-01-04,19.5,20.12,19.23,20.0,475969
2011-01-05,19.83,20.1,19.34,19.45,656112
2011-01-06,19.59,20.0,19.435,19.83,531422
2011-01-07,20.0,20.14,19.3,19.54,1316945
2011-01-10,20.2,20.29,19.62,19.95,722243
2011-01-11,20.3,20.46,20.02,20.25,847184
2011-01-12,20.42,20.8,20.36,20.5,534871
2011-01-13,20.56,20.6,20.31,20.38,359772
2011-01-14,20.5,20.57,20.35,20.5,617233
2011-01-17,20.5,20.57,20.35,20.5,0
2011-01-18,20.82,20.85,20.2,20.4,786304
2011-01-19,20.52,20.89,20.4,20.77,1026310
2011-01-20,20.29,20.58,20.0501,20.42,902342
2011-01-21,19.87,20.37,19.87,20.37,801221
2011-01-24,19.95,20.41,19.8699,19.94,967502
2011-01-25,19.92,20.0325,19.72,19.79,649847
2011-01-26,20.51,20.51,19.73,19.93,1373784
2011-01-27,20.9025,21.2,19.41,19.94,1804730
2011-01-28,20.35,20.92,20.31,20.85,1116708
2011-01-31,20.83,21.0,20.29,20.3,863111
2011-02-01,21.38,21.39,20.51,20.51,1187036
2011-02-02,21.95,22.24,21.24,21.24,1243929
2011-02-03,22.05,22.24,21.73,21.89,820397
2011-02-04,21.86,22.15,21.651,21.97,789118
2011-02-07,21.0,21.47,20.32,21.25,3073852
2011-02-08,21.26,21.4,20.77,20.96,756192
2011-02-09,20.715,21.25,20.62,21.12,480362
2011-02-10,20.79,21.17,20.65,20.66,535415
2011-02-11,20.865,20.95,20.55,20.8,728120
2011-02-14,20.97,21.2,20.7,20.94,455831
2011-02-15,20.51,21.07,20.5,20.75,665747
2011-02-16,21.02,21.05,20.54,20.66,546251
2011-02-17,21.03,21.22,20.74,20.96,661536
2011-02-18,20.79,21.15,20.66,21.1,678693
2011-02-21,20.79,21.15,20.66,21.1,0
2011-02-22,19.86,20.56,19.67,20.5,859228
2011-02-23,19.31,19.815,19.1,19.53,1277147
2011-02-24,19.5425,19.61,19.2,19.27,604738
2011-02-25,20.29,20.37,19.51,19.6,945483
2011-02-28,20.85,21.15,20.15,20.51,1181255
2011-03-01,20.52,20.99,20.46,20.83,724289
2011-03-02,20.8,20.86,20.4421,20.52,314650
2011-03-03,21.6,21.88,21.01,21.01,523240
2011-03-04,21.68,21.78,21.32,21.65,428556
2011-03-07,21.51,21.89,21.154,21.85,642766
2011-03-08,21.795,22.05,21.02,21.52,667514
2011-03-09,21.775,21.93,21.6,21.77,435842
2011-03-10,20.96,21.55,20.85,21.55,452368
2011-03-11,21.04,21.19,20.7,20.93,827841
2011-03-14,20.85,21.15,20.82,20.93,724786
2011-03-15,20.43,20.74,20.17,20.22,284834
2011-03-16,20.33,21.11,20.23,20.32,473151
2011-03-17,20.33,20.69,20.24,20.62,362993
2011-03-18,20.91,20.9121,20.48,20.55,493884
2011-03-21,20.8,21.27,20.757,21.15,732921
2011-03-22,20.7375,21.03,20.72,20.89,205915
2011-03-23,20.34,20.74,20.22,20.66,407862
2011-03-24,20.63,20.68,20.23,20.51,456863
2011-03-25,21.0,21.21,20.56,20.67,249032
2011-03-28,20.98,21.13,20.93,21.1,186740
