Date,Close,High,Low,Open,Volume
2013-11-18,48.475,50.0,47.49,49.75,587184
2013-11-19,45.8,49.0,45.3,48.99,1682041
2013-11-20,48.475,48.475,48.475,48.475,0
2013-11-21,48.475,48.475,48.475,48.475,0
2013-11-22,48.475,48.475,48.475,48.475,0
2013-11-25,48.475,48.475,48.475,48.475,0
2013-11-26,43.2,45.0,43.04,45.0,873717
2013-11-27,43.24,43.55,42.5,43.55,1153343
2013-11-28,48.475,48.475,48.475,48.475,0
2013-11-29,43.24,43.85,42.75,42.75,949924
2013-12-02,43.14,44.74,41.52,43.9,5130708
2013-12-03,42.9,44.9,42.7,42.8,3239252
2013-12-04,41.83,42.605,41.6501,42.43,2777748
2013-12-05,41.05,42.28,40.63,42.28,3380502
2013-12-06,40.7,41.06,40.64,40.75,4662340
2013-12-09,41.18,41.27,40.24,40.7,3073953
2013-12-10,42.56,42.84,41.04,41.07,3289354
2013-12-11,42.46,43.015,42.0,42.32,3367890
2013-12-12,42.97,43.1,42.0,42.01,1770490
2013-12-13,43.25,43.8,42.92,42.92,683791
2013-12-16,43.69,43.99,42.11,43.01,1953878
2013-12-17,43.75,44.0,43.16,43.43,1396938
2013-12-18,44.27,44.5,43.1,43.65,1225195
2013-12-19,44.45,44.5,43.82,43.96,593011
2013-12-20,44.26,44.45,43.91,44.3,2878557
2013-12-23,44.65,44.85,43.55,44.17,773646
2013-12-24,44.58,45.02,44.25,44.76,304706
2013-12-25,44.58,44.58,44.58,44.58,0
2013-12-26,44.7,45.01,44.44,44.86,513177
2013-12-27,44.64,44.97,44.09,44.77,393256
2013-12-30,44.12,44.88,44.0,44.45,381478
2013-12-31,44.19,44.5,43.76,44.23,874161
2014-01-01,44.19,44.19,44.19,44.19,0
2014-01-02,43.65,44.18,43.27,44.08,992872
2014-01-03,43.96,44.32,43.17,43.57,378396
2014-01-06,43.68,43.98,43.37,43.97,597834
2014-01-07,43.87,43.98,42.16,42.16,1371252
2014-01-08,43.88,44.36,43.4,44.02,1407140
2014-01-09,44.13,44.25,43.84,43.89,1093527
2014-01-10,45.73,46.08,44.02,44.17,2008621
2014-01-13,47.04,47.44,45.2,45.7,2278501
2014-01-14,47.8,47.894,46.91,47.16,2338221
2014-01-15,47.5,49.19,47.26,47.97,1732951
2014-01-16,47.4,47.68,47.04,47.28,1178666
2014-01-17,48.0,48.24,47.0,47.52,1572137
2014-01-20,48.0,48.0,48.0,48.0,0
2014-01-21,48.17,49.38,47.94,49.38,1570433
2014-01-22,48.51,49.16,48.08,48.11,682208
2014-01-23,47.72,48.68,47.58,48.68,867599
2014-01-24,46.84,47.71,45.8275,47.62,1417529
2014-01-27,46.6,48.0,45.2,45.2,717829
2014-01-28,47.73,47.88,46.77,46.77,721686
2014-01-29,47.78,48.48,47.1301,47.35,800899
2014-01-30,49.42,49.63,47.83,47.91,1247052
2014-01-31,49.35,49.96,49.03,49.25,2011057
2014-02-03,47.44,49.94,47.2,49.35,1184839
2014-02-04,48.05,48.48,47.3164,47.44,891295
2014-02-05,47.6,48.65,47.152,47.84,823106
2014-02-06,49.24,49.27,47.5,47.5,1168384
2014-02-07,49.94,50.2699,49.33,49.33,1837821
2014-02-10,49.84,50.12,49.45,49.99,763357
2014-02-11,49.89,50.41,49.33,49.73,1447661
2014-02-12,50.0,51.0,49.7275,49.92,1405279
