Date,Close,High,Low,Open,Volume
2010-01-01,13.94,14.14,13.92,14.05,0
2010-01-04,14.3,14.57,14.03,14.03,18615915
2010-01-05,14.19,14.38,14.04,14.23,15173730
2010-01-06,14.16,14.4,14.1,14.2,13704947
2010-01-07,14.01,14.21,13.96,14.13,21549570
2010-01-08,14.552,14.59,14.11,14.24,41214820
2010-01-11,14.87,14.94,14.45,14.84,33671535
2010-01-12,14.2,14.77,14.03,14.75,40350890
2010-01-13,14.27,14.42,13.92,14.28,25138237
2010-01-14,14.35,14.38,14.02,14.25,26933567
2010-01-15,13.73,14.34,13.67,14.34,36034794
2010-01-18,13.73,14.34,13.67,14.34,0
2010-01-19,13.97,14.02,13.75,13.78,14621400
2010-01-20,13.8,13.89,13.65,13.82,19221147
2010-01-21,13.58,14.09,13.5205,13.83,25265910
2010-01-22,12.63,13.39,12.61,13.36,48106811
2010-01-25,12.64,12.94,12.59,12.67,39767220
2010-01-26,12.65,13.01,12.64,12.75,36902494
2010-01-27,13.04,13.07,12.69,12.75,30451734
2010-01-28,12.61,13.09,12.35,13.07,35024673
2010-01-29,12.18,12.85,12.15,12.8,25602070
2010-02-01,12.52,12.56,12.23,12.32,20227284
2010-02-02,12.51,12.59,12.35,12.58,21525946
2010-02-03,12.28,12.48,12.12,12.36,36170398
2010-02-04,11.8,12.22,11.66,12.15,40737384
2010-02-05,12.23,12.27,11.68,11.82,43783918
2010-02-08,12.07,12.33,12.03,12.2,17976371
2010-02-09,12.15,12.4,12.04,12.29,21123650
2010-02-10,12.23,12.315,12.1,12.23,17214647
2010-02-11,12.47,12.53,12.06,12.21,18388123
2010-02-12,12.47,12.72,12.15,12.32,23748539
2010-02-15,12.47,12.72,12.15,12.32,0
2010-02-16,12.95,12.97,12.56,12.67,21664852
2010-02-17,12.99,13.15,12.75,13.09,25202562
2010-02-18,12.68,12.79,12.31,12.78,45212201
2010-02-19,12.5,12.64,12.35,12.62,29092724
2010-02-22,12.45,12.585,12.39,12.53,22697691
2010-02-23,12.01,12.48,11.94,12.46,30238709
2010-02-24,12.27,12.42,12.05,12.08,25625480
2010-02-25,12.22,12.25,11.94,12.05,21750416
2010-02-26,12.24,12.3,12.03,12.27,15882521
2010-03-01,12.5,12.5,12.29,12.3,16465306
2010-03-02,12.42,12.64,12.35,12.55,22429473
2010-03-03,12.39,12.55,12.34,12.45,17031167
2010-03-04,12.26,12.48,12.09,12.4,27424883
2010-03-05,12.29,12.43,12.23,12.34,23994050
2010-03-08,12.36,12.53,12.31,12.52,29715697
2010-03-09,12.29,12.415,12.24,12.31,24562983
2010-03-10,12.53,12.55,12.26,12.26,35119012
2010-03-11,12.41,12.52,12.28,12.48,30594536
2010-03-12,12.36,12.55,12.3,12.5,25069852
2010-03-15,12.23,12.33,12.12,12.33,23661249
2010-03-16,12.45,12.49,12.2,12.27,29795885
2010-03-17,12.66,12.69,12.45,12.5,27777779
2010-03-18,12.63,12.77,12.53,12.7,18689307
2010-03-19,12.49,12.71,12.37,12.71,24674146
2010-03-22,12.78,12.82,12.39,12.44,26257010
2010-03-23,13.235,13.32,12.8,12.82,39650839
2010-03-24,13.0,13.23,12.91,13.2,34134606
2010-03-25,13.16,13.38,13.09,13.1,38280615
2010-03-26,13.21,13.45,13.01,13.27,30092972
2010-03-29,13.31,13.45,13.22,13.24,27828857
2010-03-30,13.45,13.6,13.23,13.38,39364815
2010-03-31,13.4675,13.75,13.43,13.45,40814332
2010-04-01,13.35,13.73,13.2666,13.63,37116433
2010-04-02,13.35,13.73,13.2666,13.63,0
2010-04-05,13.52,13.61,13.37,13.44,29332028
2010-04-06,13.48,13.555,13.39,13.49,16452409
2010-04-07,13.58,13.71,13.37,13.47,20871638
2010-04-08,13.34,13.5,13.3,13.5,29179465
2010-04-09,13.465,13.47,13.31,13.35,15447498
2010-04-12,13.63,13.74,13.42,13.49,23554387
2010-04-13,13.8,13.84,13.561,13.6,26791992
2010-04-14,14.41,14.5,14.0,14.0,45410268
2010-04-15,14.34,14.49,14.26,14.45,22966501
2010-04-16,14.36,14.45,14.18,14.29,33767171
2010-04-19,14.3,14.39,13.99,14.26,25694950
2010-04-20,14.46,14.46,14.23,14.35,18480804
2010-04-21,14.43,14.5,14.115,14.46,19228136
2010-04-22,14.37,14.41,13.97,14.21,33127795
2010-04-23,14.47,14.48,14.18,14.37,23703286
2010-04-26,14.36,14.57,14.3,14.43,17276232
2010-04-27,13.93,14.39,13.9,14.31,30112205
2010-04-28,14.05,14.16,13.85,13.99,23999734
2010-04-29,14.26,14.28,14.01,14.1,20898960
2010-04-30,13.78,14.31,13.76,14.31,25899936
2010-05-03,14.0,14.1,13.77,13.85,17461479
2010-05-04,13.39,13.82,13.18,13.82,37269134
2010-05-05,13.22,13.48,13.08,13.23,26151777
2010-05-06,12.71,13.36,11.99,13.19,43992429
2010-05-07,12.5,12.74,12.03,12.62,38399494
2010-05-10,13.19,13.39,12.85,12.99,27919289
2010-05-11,13.36,13.61,12.96,13.06,37543535
2010-05-12,13.77,13.81,13.3899,13.45,32925128
2010-05-13,13.23,13.76,13.15,13.73,22714755
2010-05-14,12.95,13.16,12.75,13.13,27251803
2010-05-17,13.18,13.24,12.8,12.97,18444217
2010-05-18,12.94,13.45,12.88,13.4,25296651
2010-05-19,13.02,13.21,12.78,12.89,36127375
2010-05-20,12.69,13.04,12.34,12.5,46664797
2010-05-21,12.72,12.92,12.3,12.31,41209914
2010-05-24,12.49,12.7,12.41,12.53,20424768
2010-05-25,12.67,12.69,12.05,12.14,25951005
2010-05-26,12.52,12.94,12.5168,12.8,24185211
2010-05-27,13.07,13.11,12.8,12.82,21643110
2010-05-28,12.92,13.1,12.75,13.03,17231267
2010-05-31,12.92,13.1,12.75,13.03,0
2010-06-01,12.59,13.0,12.58,12.81,20702695
