Date,Close,High,Low,Open,Volume
2010-01-01,9.68,9.77,9.625,9.75,0
2010-01-04,9.7,9.9,9.68,9.79,18748684
2010-01-05,9.71,9.9,9.68,9.71,22145696
2010-01-06,9.57,9.76,9.55,9.68,18651454
2010-01-07,9.47,9.55,9.18,9.51,26806740
2010-01-08,9.43,9.47,9.29,9.37,13757290
2010-01-11,9.14,9.44,9.08,9.38,23700035
2010-01-12,8.65,8.92,8.52,8.89,33392719
2010-01-13,9.15,9.2,8.55,8.71,32741844
2010-01-14,9.0,9.26,8.92,9.18,22658744
2010-01-15,8.84,9.19,8.8,9.13,34344763
2010-01-18,8.84,9.19,8.8,9.13,0
2010-01-19,9.01,9.21,8.84,8.84,24875646
2010-01-20,8.87,9.0,8.755,8.98,22813520
2010-01-21,8.99,9.1,8.7701,9.01,37888647
2010-01-22,7.88,8.56,7.82,8.55,69136346
2010-01-25,8.07,8.14,7.93,8.01,20568128
2010-01-26,8.09,8.19,7.93,8.03,20948317
2010-01-27,8.19,8.22,7.91,8.03,26833066
2010-01-28,7.88,8.25,7.71,8.24,32087072
2010-01-29,7.46,8.1,7.3,8.01,37457655
2010-02-01,7.98,7.98,7.53,7.61,25476319
2010-02-02,7.91,7.96,7.72,7.74,21118021
2010-02-03,7.81,7.96,7.76,7.83,14524359
2010-02-04,7.19,7.65,7.1,7.64,33172122
2010-02-05,7.35,7.37,6.98,7.13,28808221
2010-02-08,7.42,7.62,7.28,7.38,24304201
2010-02-09,7.54,7.64,7.42,7.59,19978077
2010-02-10,7.64,7.71,7.45,7.47,17270734
2010-02-11,7.84,7.9,7.6,7.67,14974197
2010-02-12,7.87,8.0,7.6485,7.71,21789605
2010-02-15,7.87,8.0,7.6485,7.71,0
2010-02-16,8.06,8.14,7.87,7.98,13582540
2010-02-17,8.03,8.2,7.94,8.11,12028648
2010-02-18,7.95,8.08,7.87,7.97,14677002
2010-02-19,7.93,7.99,7.82,7.89,8111129
2010-02-22,7.9,8.0,7.83,7.95,9715211
2010-02-23,7.79,7.94,7.69,7.94,15569003
2010-02-24,8.05,8.1,7.77,7.79,16543733
2010-02-25,7.89,7.89,7.62,7.85,20956780
2010-02-26,7.91,7.96,7.68,7.81,17089777
2010-03-01,8.21,8.25,7.94,7.96,14860117
2010-03-02,8.38,8.6,8.29,8.32,25506034
2010-03-03,8.35,8.55,8.28,8.42,14261534
2010-03-04,8.5,8.5,8.28,8.36,14452939
2010-03-05,8.61,8.7,8.48,8.56,14832871
2010-03-08,8.64,8.69,8.51,8.66,12762955
2010-03-09,8.63,8.69,8.43,8.49,17665818
2010-03-10,8.92,9.09,8.59,8.61,23426886
2010-03-11,8.95,9.0,8.74,8.88,15989301
2010-03-12,8.93,9.04,8.9,9.03,12804631
2010-03-15,8.92,8.95,8.8,8.88,11428806
2010-03-16,9.4,9.42,8.94,8.96,25360638
2010-03-17,9.67,9.74,9.42,9.45,23577626
2010-03-18,9.39,9.66,9.26,9.61,17776516
2010-03-19,9.11,9.41,9.1,9.38,15791159
2010-03-22,9.31,9.32,8.79,8.83,15104156
2010-03-23,9.45,9.49,9.26,9.35,10624620
2010-03-24,9.23,9.38,9.2,9.33,12097754
2010-03-25,9.03,9.44,9.02,9.34,15831988
2010-03-26,9.02,9.19,8.91,9.1,12159435
2010-03-29,9.11,9.2,9.06,9.07,9631894
2010-03-30,9.27,9.28,9.09,9.19,13453061
2010-03-31,9.27,9.44,9.13,9.17,12850824
2010-04-01,9.37,9.49,9.22,9.33,11758012
2010-04-02,9.37,9.49,9.22,9.33,0
2010-04-05,9.53,9.54,9.42,9.5,10471390
2010-04-06,9.35,9.49,9.18,9.49,18741699
2010-04-07,9.66,9.83,9.25,9.4,29129812
2010-04-08,9.42,9.63,9.33,9.63,21499492
2010-04-09,9.3,9.58,9.28,9.45,24215465
2010-04-12,9.42,9.53,9.35,9.37,16548497
2010-04-13,9.56,9.59,9.35,9.42,14601344
2010-04-14,9.89,9.965,9.71,9.83,29201348
2010-04-15,10.16,10.24,9.9,9.95,55096424
2010-04-16,9.81,9.9,9.37,9.75,67758404
2010-04-19,9.58,9.8382,9.29,9.73,27876052
2010-04-20,9.77,9.81,9.63,9.74,21252322
2010-04-21,9.78,9.91,9.49,9.78,28669264
2010-04-22,9.86,9.9,9.45,9.6,22389586
2010-04-23,9.76,9.85,9.61,9.81,18841609
2010-04-26,9.97,10.15,9.7,9.81,24343237
2010-04-27,9.58,10.06,9.53,9.82,27168932
2010-04-28,9.55,9.8,9.35,9.64,23028231
2010-04-29,9.72,9.78,9.59,9.7,14359570
2010-04-30,9.07,9.72,9.06,9.7,37982099
2010-05-03,9.29,9.38,9.02,9.18,27511436
2010-05-04,8.68,9.08,8.54,9.05,46482481
2010-05-05,8.58,8.88,8.35,8.45,36757287
2010-05-06,8.27,8.72,7.81,8.57,44875372
2010-05-07,8.38,8.67,7.92,8.3,48469410
2010-05-10,8.99,9.03,8.31,8.91,34701662
2010-05-11,9.07,9.29,8.75,8.88,41070188
2010-05-12,9.49,9.58,9.15,9.16,33570361
2010-05-13,9.42,9.78,9.32,9.47,33222656
2010-05-14,8.8,9.31,8.57,9.27,59026743
2010-05-17,8.85,8.87,8.47,8.8,27726628
2010-05-18,8.42,9.01,8.37,8.97,29721554
2010-05-19,8.47,8.63,8.2,8.25,29870317
2010-05-20,8.09,8.37,8.0,8.25,37505361
2010-05-21,8.4,8.55,7.75,7.82,39736534
2010-05-24,8.09,8.56,8.07,8.33,24554963
2010-05-25,8.15,8.15,7.68,7.76,30416396
2010-05-26,8.22,8.59,8.18,8.37,37483054
2010-05-27,8.8,8.8,8.4,8.4,24225622
2010-05-28,8.57,8.87,8.45,8.87,28074167
2010-05-31,8.57,8.87,8.45,8.87,0
2010-06-01,8.14,8.43,8.14,8.36,31201195
2010-06-02,8.54,8.54,8.11,8.23,24161868
2010-06-03,8.69,8.73,8.36,8.59,22540839
2010-06-04,8.105,8.665,8.01,8.4,37657449
2010-06-07,7.71,8.22,7.64,8.17,27240359
2010-06-08,7.77,7.88,7.42,7.75,36013476
2010-06-09,7.61,8.05,7.58,7.94,24760274
2010-06-10,8.01,8.04,7.74,7.8,27991246
2010-06-11,8.12,8.18,7.81,7.86,21057078
2010-06-14,8.28,8.45,8.24,8.31,21795543
2010-06-15,8.82,8.88,8.34,8.38,35702433
2010-06-16,8.9,9.19,8.65,8.74,33580509
2010-06-17,8.91,9.05,8.71,9.01,21711991
2010-06-18,8.83,9.05,8.77,8.91,16527151
2010-06-21,8.8,9.16,8.71,9.05,25879664
2010-06-22,8.58,9.02,8.54,8.82,23877542
2010-06-23,8.56,8.8,8.48,8.62,23040880
2010-06-24,8.13,8.57,8.05,8.53,31289698
2010-06-25,8.09,8.22,7.93,8.18,22859302
2010-06-28,8.05,8.24,7.96,8.15,21560464
2010-06-29,7.48,7.93,7.41,7.93,43871479
2010-06-30,7.32,7.65,7.3,7.58,26412777
2010-07-01,7.39,7.53,7.1,7.35,27291521
2010-07-02,7.17,7.48,7.02,7.45,26079505
2010-07-05,7.17,7.48,7.02,7.45,0
2010-07-06,7.04,7.42,6.96,7.4,25874774
2010-07-07,7.39,7.41,7.04,7.04,23676822
2010-07-08,7.37,7.52,7.215,7.52,21849440
2010-07-09,7.34,7.35,7.14,7.34,20377695
2010-07-12,7.36,7.6,7.32,7.38,36052919
2010-07-13,7.52,7.69,7.4287,7.6,39013880
2010-07-14,7.44,7.82,7.33,7.82,49139681
2010-07-15,7.41,7.48,7.18,7.46,51384055
2010-07-16,7.37,7.59,7.11,7.28,72988575
2010-07-19,7.44,7.535,7.22,7.41,27900951
2010-07-20,7.6,7.63,7.15,7.21,30643457
2010-07-21,7.4,7.65,7.35,7.61,28179170
2010-07-22,7.61,7.68,7.36,7.49,25153142
2010-07-23,7.82,7.84,7.46,7.57,28582316
2010-07-26,8.07,8.1,7.68,7.82,32465536
2010-07-27,8.21,8.25,8.03,8.14,34587643
2010-07-28,7.98,8.2,7.875,8.09,30818453
2010-07-29,7.78,7.88,7.58,7.88,40214111
2010-07-30,7.49,7.67,7.41,7.61,35906116
2010-08-02,7.65,7.77,7.47,7.63,29113451
2010-08-03,7.51,7.59,7.41,7.57,20269150
2010-08-04,7.52,7.61,7.44,7.55,18850497
2010-08-05,7.5,7.62,7.45,7.49,14588674
2010-08-06,7.45,7.72,7.43,7.49,33055447
2010-08-09,7.42,7.52,7.38,7.48,26505642
2010-08-10,6.83,7.13,6.75,7.06,80795897
2010-08-11,6.49,6.68,6.41,6.63,54955874
2010-08-12,6.57,6.75,6.26,6.35,55112384
2010-08-13,6.49,6.72,6.47,6.6,24334443
2010-08-16,6.62,6.71,6.43,6.47,20045249
2010-08-17,6.63,6.77,6.62,6.72,14696974
2010-08-18,6.57,6.66,6.51,6.62,20111950
2010-08-19,6.42,6.55,6.28,6.48,21658462
