Date,Close,High,Low,Open,Volume
2010-01-01,16.9956,17.2089,16.9956,17.1867,0
2010-01-04,17.1556,17.4222,17.0889,17.0889,876669
2010-01-05,17.08,17.2178,17.0578,17.1778,714015
2010-01-06,17.0978,17.1733,17.0444,17.1111,725586
2010-01-07,17.1422,17.1867,16.9689,16.9778,799517
2010-01-08,17.4756,17.4889,16.9867,17.1378,991467
2010-01-11,17.5778,17.5956,17.3244,17.4889,446780
2010-01-12,17.2178,17.48,17.1956,17.4444,675119
2010-01-13,17.2667,17.2844,17.08,17.2089,569137
2010-01-14,17.2711,17.4711,17.1556,17.1733,428267
2010-01-15,17.0844,17.3733,17.0178,17.28,320694
2010-01-18,17.0844,17.3733,17.0178,17.28,0
2010-01-19,17.1911,17.4533,17.1067,17.1244,718625
2010-01-20,17.0311,17.1378,16.9311,17.0667,631109
2010-01-21,16.9778,17.2444,16.88,16.9956,827435
2010-01-22,16.6089,17.0489,16.5822,17.0222,677601
2010-01-25,16.5022,16.7111,16.4178,16.7022,1804162
2010-01-26,16.2933,16.5333,16.0444,16.5289,2155610
2010-01-27,16.0889,16.3311,15.9156,16.2489,1091121
2010-01-28,16.2044,16.2533,15.9556,16.0933,1163090
2010-01-29,16.1956,16.6356,16.1956,16.3022,1729530
2010-02-01,16.3378,16.4444,16.2578,16.28,869429
2010-02-02,16.5733,16.6489,16.2622,16.3111,980993
2010-02-03,16.5333,16.7067,16.4089,16.4933,715268
2010-02-04,16.0711,16.4,16.0711,16.3778,1068858
2010-02-05,16.1289,16.16,15.84,16.0622,1216498
2010-02-08,16.1244,16.3022,16.0044,16.0889,1080015
2010-02-09,16.3422,16.3956,16.1911,16.2622,972825
2010-02-10,16.3111,16.5067,16.2489,16.2578,890867
2010-02-11,16.5556,16.5911,16.28,16.32,737347
2010-02-12,16.7333,16.7378,16.2889,16.44,970065
2010-02-15,16.7333,16.7378,16.2889,16.44,0
2010-02-16,16.9022,16.9244,16.7867,16.8311,794839
2010-02-17,16.8711,17.04,16.7556,16.9244,674509
2010-02-18,17.0533,17.0667,16.8533,16.9156,411477
2010-02-19,17.2533,17.2756,17.0,17.0,743827
2010-02-22,17.2756,17.3333,17.2089,17.2844,626919
2010-02-23,16.9556,17.2978,16.92,17.1956,578065
2010-02-24,16.9778,17.0489,16.9111,17.0356,770159
2010-02-25,17.2444,17.28,16.6489,16.7422,1327234
2010-02-26,17.3511,17.3911,17.1778,17.2978,1030180
2010-03-01,17.5778,17.7111,17.3467,17.3644,618729
2010-03-02,17.68,17.7778,17.5333,17.56,652596
2010-03-03,17.84,17.9556,17.6667,17.76,699747
2010-03-04,17.7244,17.8711,17.64,17.8133,783679
2010-03-05,17.7556,17.7911,17.6622,17.7733,989210
2010-03-08,17.6578,17.7778,17.5822,17.7778,596907
2010-03-09,17.68,17.7556,17.6267,17.6533,617240
2010-03-10,17.7556,17.8178,17.5822,17.6178,1279572
2010-03-11,17.7956,17.8,17.5511,17.6267,1041822
2010-03-12,17.84,17.8622,17.6533,17.8267,820197
2010-03-15,17.7511,17.9022,17.6,17.9022,593885
2010-03-16,17.6844,17.8,17.5867,17.76,1462686
2010-03-17,17.6489,17.84,17.6356,17.6444,1151705
2010-03-18,17.6133,17.6889,17.4622,17.6578,1151923
2010-03-19,17.5644,17.6267,17.4222,17.6178,1322482
2010-03-22,17.6889,17.8044,17.44,17.44,1642470
2010-03-23,17.8578,17.8978,17.64,17.7467,1379711
2010-03-24,17.7867,17.92,17.7778,17.8178,1820292
2010-03-25,17.6311,17.9156,17.6311,17.9111,1717742
2010-03-26,17.7422,17.8444,17.6222,17.6311,1452172
2010-03-29,18.0667,18.0667,17.7644,17.7644,865473
2010-03-30,18.4444,18.4844,18.0578,18.0711,1746429
2010-03-31,18.4267,18.5956,18.3067,18.4578,1576174
2010-04-01,18.6089,18.8,18.5067,18.5511,1021463
2010-04-02,18.6089,18.8,18.5067,18.5511,0
2010-04-05,18.6711,18.7689,18.5689,18.6044,602039
2010-04-06,18.7733,18.8089,18.5689,18.5778,586424
2010-04-07,18.7111,18.8622,18.5911,18.7956,753437
2010-04-08,18.8267,18.8267,18.5422,18.6933,670995
2010-04-09,18.8622,18.8889,18.7378,18.8444,632308
2010-04-12,18.88,18.9333,18.7867,18.9333,433599
