Date,Close,High,Low,Open,Volume
2010-01-01,56.57,57.5,56.57,57.42,0
2010-01-04,57.7153,57.87,56.56,56.85,5277348
2010-01-05,57.22,57.69,56.27,57.45,7882733
2010-01-06,56.79,57.39,56.5,57.2,6015293
2010-01-07,56.27,56.53,54.65,56.375,10377133
2010-01-08,56.77,56.83,55.64,55.88,6576197
2010-01-11,57.02,57.36,56.62,56.82,4062611
2010-01-12,56.03,57.42,54.82,57.1,11268491
2010-01-13,56.53,56.75,55.96,56.33,5056153
2010-01-14,56.16,56.53,55.91,56.38,4668852
2010-01-15,56.25,56.51,55.65,56.4,7239998
2010-01-18,56.25,56.51,55.65,56.4,0
2010-01-19,57.55,57.75,56.24,56.27,8570067
2010-01-20,57.2,57.62,56.41,57.48,6626880
2010-01-21,56.63,57.56,56.31,57.41,5835261
2010-01-22,56.6,57.3,56.53,56.7,5967541
2010-01-25,55.71,56.79,55.55,56.66,6725406
2010-01-26,56.58,56.87,55.7,56.04,14880834
2010-01-27,57.74,57.88,56.35,56.41,9696514
2010-01-28,58.08,58.78,57.56,57.94,11638635
2010-01-29,58.48,58.93,58.16,58.27,9465684
2010-02-01,58.72,58.84,58.37,58.52,7081652
2010-02-02,59.23,59.3,58.41,58.54,7670798
2010-02-03,59.07,59.42,58.86,59.0,7082575
2010-02-04,57.53,59.06,57.33,58.85,9534487
2010-02-05,57.68,58.03,56.64,57.53,8415902
2010-02-08,57.46,57.92,56.7,57.47,5951722
2010-02-09,57.21,58.4,56.7,58.17,18732186
2010-02-10,56.84,57.29,56.37,57.05,6022303
2010-02-11,56.501,57.0,56.23,56.73,8491024
2010-02-12,56.48,56.72,56.02,56.02,8008629
2010-02-15,56.48,56.72,56.02,56.02,0
2010-02-16,56.99,57.0,56.2,56.68,5245895
2010-02-17,57.2,57.57,56.75,57.0,6831870
2010-02-18,57.27,57.44,57.1,57.21,8120443
2010-02-19,57.38,57.71,56.95,57.23,7131581
2010-02-22,57.1,57.44,56.8,57.36,7183911
2010-02-23,56.38,57.2239,56.35,56.97,7702955
2010-02-24,56.74,56.98,56.354,56.52,4887605
2010-02-25,56.25,56.48,55.78,56.3,6592161
2010-02-26,56.61,57.03,56.1,56.27,6351636
2010-03-01,56.9,57.09,56.72,56.73,5638744
2010-03-02,56.87,57.02,56.47,56.91,7219097
2010-03-03,56.9,57.17,56.67,56.74,5655596
2010-03-04,56.77,57.08,56.37,56.92,6126984
2010-03-05,57.24,57.26,56.21,56.68,6529035
2010-03-08,57.61,58.1,57.2,57.25,4409256
