Date,Close,High,Low,Open,Volume
2010-01-01,38.82,39.24,38.8,39.105,0
2010-01-04,39.88,39.97,38.92,39.1,2238687
2010-01-05,40.81,40.81,39.73,39.77,2782191
2010-01-06,41.38,41.55,40.86,41.37,3575119
2010-01-07,41.69,41.95,41.1,41.3,2992809
2010-01-08,41.84,41.9,41.3419,41.38,1463505
2010-01-11,42.38,42.98,41.91,41.98,3510621
2010-01-12,41.7,42.43,41.32,42.06,2711402
2010-01-13,42.21,42.28,41.42,41.91,2946665
2010-01-14,42.02,42.1899,41.59,41.99,1698337
2010-01-15,41.62,41.85,41.45,41.8,2017531
2010-01-18,41.62,41.85,41.45,41.8,0
2010-01-19,42.06,42.2,41.29,41.49,2086485
2010-01-20,41.9,41.95,41.32,41.75,1721129
2010-01-21,40.75,42.15,40.34,41.88,2616489
2010-01-22,39.76,40.9199,39.67,40.68,2967047
2010-01-25,40.43,40.96,40.07,40.28,1541150
2010-01-26,40.1,40.88,39.89,40.18,1996343
2010-01-27,40.91,40.93,39.88,40.14,1992340
2010-01-28,39.97,41.28,39.22,41.18,2013262
2010-01-29,38.24,40.15,38.01,40.1,4036628
2010-02-01,39.76,39.83,38.41,38.5,2155328
2010-02-02,39.98,40.52,39.57,39.97,2020354
2010-02-03,39.19,40.0,39.03,39.75,2333448
2010-02-04,37.62,39.55,37.62,39.36,4182946
2010-02-05,37.93,38.1,36.1401,37.52,3264122
2010-02-08,37.23,38.02,37.23,37.62,2631580
2010-02-09,37.93,38.07,36.99,37.65,3471447
2010-02-10,38.54,38.76,37.55,37.55,3022726
2010-02-11,38.06,38.5,37.91,38.41,2574572
2010-02-12,38.26,38.32,37.14,37.7,2551310
2010-02-15,38.26,38.32,37.14,37.7,0
2010-02-16,39.26,39.27,38.32,38.61,1964633
2010-02-17,39.82,39.97,39.21,39.49,2164484
2010-02-18,39.78,39.89,39.53,39.76,1630954
2010-02-19,40.14,40.38,39.56,39.61,2382235
2010-02-22,40.48,40.77,40.11,40.19,1535861
2010-02-23,39.77,40.49,39.59,40.3,1825938
2010-02-24,40.65,40.69,39.75,39.89,2459580
2010-02-25,40.17,40.26,39.58,39.58,4720118
2010-02-26,40.03,40.36,39.84,40.36,2232662
2010-03-01,40.29,40.5,39.82,40.1,1734027
2010-03-02,40.5,40.63,40.28,40.58,2380261
2010-03-03,40.66,40.99,40.47,40.74,1492702
2010-03-04,41.26,41.3,40.65,40.73,2376447
