Date,Close,High,Low,Open,Volume
2010-01-01,134.52,137.28,134.52,137.08,0
2010-01-04,133.9,136.61,133.14,136.28,7600543
2010-01-05,134.69,135.479,131.81,133.25,8856456
2010-01-06,132.25,134.73,131.65,134.63,7180977
2010-01-07,130.0,132.32,128.8,131.96,11030124
2010-01-08,133.52,133.68,129.03,130.7,9833829
2010-01-11,130.308,132.8,129.21,132.73,8786668
2010-01-12,127.35,129.82,126.55,129.06,9098190
2010-01-13,129.11,129.71,125.75,128.07,10727856
2010-01-14,127.35,130.38,126.4,129.18,9788435
2010-01-15,127.14,129.65,127.06,129.35,15382763
2010-01-18,127.14,129.65,127.06,129.35,0
2010-01-19,127.61,128.0,124.33,126.2,8900116
2010-01-20,125.78,129.2,125.08,127.18,9081533
2010-01-21,126.62,128.15,125.0,127.27,9976146
2010-01-22,121.43,127.67,120.76,125.6,11577818
2010-01-25,120.31,122.28,118.12,122.03,12031053
2010-01-26,119.48,122.98,119.061,120.05,9567607
2010-01-27,122.75,123.33,118.8,120.99,14765273
2010-01-28,126.03,127.2,122.8,124.46,27293062
2010-01-29,125.41,131.8499,124.14,129.74,29478976
2010-02-01,118.87,124.86,113.82,123.22,37774317
2010-02-02,118.12,118.98,114.4,118.86,23084986
2010-02-03,119.1,119.61,116.56,117.09,12409012
2010-02-04,115.94,120.33,115.74,118.61,12783912
2010-02-05,117.39,117.65,114.1,115.85,11027086
2010-02-08,116.83,121.0,116.56,119.64,9898391
2010-02-09,118.03,119.09,117.0,118.29,9227158
2010-02-10,117.36,118.61,116.0,117.88,6236250
2010-02-11,120.09,120.4201,116.5,117.22,8344469
2010-02-12,119.66,119.94,117.5,118.99,8075533
2010-02-15,119.66,119.94,117.5,118.99,0
2010-02-16,117.53,120.5,117.18,119.93,8938494
2010-02-17,116.31,117.13,115.55,117.0,8947449
2010-02-18,118.08,118.51,114.82,115.81,9807497
2010-02-19,117.52,119.09,117.0,117.86,7117494
2010-02-22,118.01,118.97,116.18,117.33,6809386
2010-02-23,117.24,119.25,116.51,118.01,7069011
2010-02-24,119.72,119.8,117.15,117.96,7393039
2010-02-25,118.2,118.34,115.85,118.29,9535889
2010-02-26,118.4,119.43,117.0,117.91,5721864
2010-03-01,124.54,124.66,117.53,118.85,13300501
2010-03-02,125.53,127.35,124.8,125.0,12098298
2010-03-03,125.89,126.94,124.43,125.4,6443021
2010-03-04,128.53,128.85,125.57,125.89,7509644
2010-03-05,128.91,129.45,127.07,128.74,6771126
2010-03-08,130.11,130.85,127.71,128.3,5607327
2010-03-09,128.82,130.81,127.97,129.59,6071029
2010-03-10,130.51,131.17,128.48,128.68,5627431
2010-03-11,133.58,133.62,130.36,130.5,7244668
2010-03-12,131.82,134.2,131.18,134.2,6151927
2010-03-15,131.13,132.0,128.63,131.72,6329310
2010-03-16,131.79,132.29,130.5,131.24,4136434
2010-03-17,131.34,132.694,131.22,132.41,4358962
2010-03-18,132.76,132.85,130.44,131.02,5024120
2010-03-19,130.35,133.71,129.66,133.64,8778305
2010-03-22,130.47,130.96,128.64,130.2,5383302
2010-03-23,129.26,130.94,128.07,130.89,4213607
2010-03-24,128.04,129.4,127.2,128.66,4703238
2010-03-25,134.73,136.91,128.04,129.23,16212627
2010-03-26,135.06,136.99,133.76,134.86,6575480
2010-03-29,135.12,136.63,134.33,135.5,4627668
2010-03-30,136.579,138.19,135.36,135.6,6202284
2010-03-31,135.77,136.8,134.48,136.0,4602196
2010-04-01,131.81,136.51,131.18,136.32,8787628
2010-04-02,131.81,136.51,131.18,136.32,0
2010-04-05,131.49,133.74,130.78,132.78,5817409
2010-04-06,135.56,136.0,131.18,131.18,7950439
2010-04-07,134.87,136.08,133.86,136.0,5947297
2010-04-08,140.96,141.25,134.71,135.0,12694329
2010-04-09,140.06,141.33,139.07,140.68,6014526
2010-04-12,141.2,142.915,139.68,139.92,5382495
2010-04-13,140.16,141.98,139.12,141.23,4766049
2010-04-14,144.28,144.5,139.2,140.31,7900274
2010-04-15,145.82,147.09,144.0,144.3,7831717
2010-04-16,142.171,147.17,141.45,144.88,8401062
2010-04-19,142.43,143.67,139.13,142.35,6023117
2010-04-20,144.2,144.64,142.1,143.71,4314512
2010-04-21,146.43,149.0,143.5219,145.0,7374343
2010-04-22,150.09,151.09,145.88,147.17,15165734
2010-04-23,143.63,149.09,142.42,145.2,18981078
2010-04-26,147.11,147.73,142.9,143.2,9319997
2010-04-27,142.02,146.44,141.11,145.34,8641245
2010-04-28,139.35,142.75,138.69,142.56,9236364
2010-04-29,141.73,142.45,139.79,140.09,6314873
2010-04-30,137.1,141.4,136.91,141.4,6113453
2010-05-03,137.49,139.44,136.11,137.5,5662833
2010-05-04,129.83,135.81,128.38,135.81,12670239
2010-05-05,130.93,131.61,127.55,128.0,9462155
2010-05-06,128.71,132.33,120.6,130.0,10195596
2010-05-07,124.98,131.18,123.76,127.97,11936041
2010-05-10,131.29,132.21,129.26,129.94,6806846
2010-05-11,130.46,133.08,128.47,130.25,6047677
2010-05-12,133.87,134.13,129.68,130.87,5905373
2010-05-13,131.47,136.99,131.0,133.95,5940987
2010-05-14,128.533,131.0,126.76,130.2,5277824
2010-05-17,128.91,129.95,125.8,127.88,5642751
2010-05-18,126.28,131.25,125.51,130.0,5258767
2010-05-19,124.59,127.93,123.8,125.51,6464521
2010-05-20,119.71,125.0,118.78,122.64,8594302
2010-05-21,122.72,124.97,117.52,117.72,7968396
2010-05-24,122.12,124.5,120.65,122.34,4544265
2010-05-25,124.86,125.19,118.5,118.54,7121633
2010-05-26,123.21,125.79,122.3,125.09,6968764
2010-05-27,126.7,126.85,120.6,124.98,4748544
2010-05-28,125.46,127.6,124.01,126.0,3955852
2010-05-31,125.46,127.6,124.01,126.0,0
2010-06-01,123.24,126.572,123.02,124.97,3659489
2010-06-02,126.31,126.43,121.65,123.9,4764623
2010-06-03,128.76,129.15,124.85,126.25,5277304
2010-06-04,122.77,128.2,122.18,126.77,5497625
2010-06-07,122.01,126.606,121.6744,125.84,6574503
2010-06-08,118.835,122.0,115.8,122.0,11517726
2010-06-09,117.91,121.47,117.36,120.3,7371717
2010-06-10,123.21,123.5,119.2,119.56,6061755
2010-06-11,123.03,123.53,120.29,121.39,4205811
2010-06-14,123.83,125.7,123.5,124.24,3922912
2010-06-15,126.84,126.92,122.5,123.2,4541551
2010-06-16,126.9,127.98,125.365,125.39,3964437
2010-06-17,125.89,127.8,124.69,126.72,3480029
2010-06-18,125.83,127.48,125.07,126.02,3840699
2010-06-21,122.55,127.48,121.41,126.79,5327679
2010-06-22,122.307,125.23,121.55,122.64,6207395
2010-06-23,121.45,123.22,120.04,122.15,5455131
2010-06-24,118.33,120.85,116.8,120.61,7771960
2010-06-25,121.0,121.76,117.626,118.14,5770282
2010-06-28,117.8,120.04,117.1,118.89,5612525
2010-06-29,108.61,116.48,106.01,116.29,12866217
2010-06-30,109.26,112.68,108.11,108.58,9740934
2010-07-01,110.96,111.69,106.7,108.7,8530344
2010-07-02,109.14,111.29,108.56,110.92,4477303
2010-07-05,109.14,111.29,108.56,110.92,0
2010-07-06,110.06,112.53,109.0,111.25,5219408
2010-07-07,113.43,113.63,109.81,109.98,4944961
2010-07-08,116.22,117.48,114.07,115.02,6776483
2010-07-09,117.26,117.4,114.65,116.55,4065036
2010-07-12,119.51,119.7,117.32,117.81,4783737
2010-07-13,123.65,124.88,120.3,120.96,7091088
2010-07-14,123.3,123.75,121.4749,123.03,5257540
2010-07-15,122.06,122.48,119.26,120.15,6051125
2010-07-16,118.49,121.92,118.01,121.36,6227899
2010-07-19,119.94,120.74,117.0,118.38,5030817
2010-07-20,120.1,120.71,117.51,120.61,6785727
2010-07-21,117.43,121.25,117.26,120.62,5011618
2010-07-22,120.07,120.87,118.02,118.71,15003327
2010-07-23,118.87,119.28,105.8,105.93,42421074
2010-07-26,118.4,118.6,114.88,118.28,11137741
2010-07-27,117.13,118.5,115.0658,118.43,7796020
2010-07-28,117.13,118.2,116.4,116.94,5472256
2010-07-29,116.86,118.87,115.52,117.99,6184850
2010-07-30,117.89,118.74,114.51,115.53,7083180
2010-08-02,120.07,120.38,117.57,119.5,5482619
2010-08-03,122.42,122.87,119.68,120.02,5962926
2010-08-04,127.58,128.47,123.0,123.08,9275063
2010-08-05,127.83,128.0,125.82,126.77,4282297
2010-08-06,128.32,128.4,125.9,126.72,5065977
2010-08-09,128.83,129.93,127.8501,128.46,5087069
2010-08-10,130.0,130.0,127.38,127.95,5706813
2010-08-11,125.89,128.12,125.2,128.1,5542390
2010-08-12,126.56,127.0,123.55,123.75,4368459
2010-08-13,124.69,127.48,124.26,126.06,3983580
2010-08-16,126.07,127.37,123.04,123.61,4027614
2010-08-17,128.86,129.98,126.79,127.34,5045092
2010-08-18,129.65,130.81,128.26,129.25,7902371
2010-08-19,127.57,130.02,126.82,129.26,5582487
2010-08-20,127.76,128.04,126.02,127.2,4172548
2010-08-23,126.6,129.22,126.5,127.89,3867811
2010-08-24,124.53,125.44,123.18,125.44,5369619
2010-08-25,126.85,127.37,123.83,123.85,5346447
2010-08-26,124.86,127.59,124.82,127.24,4699222
2010-08-27,126.64,126.64,122.25,125.46,5080505
2010-08-30,123.79,126.95,123.69,126.03,3430965
2010-08-31,124.83,125.9,122.5,122.85,4226620
2010-09-01,132.49,132.599,126.17,126.36,7138237
2010-09-02,135.21,135.21,132.05,132.17,5407347
2010-09-03,138.79,139.5,136.625,136.75,6590809
2010-09-06,138.79,139.5,136.625,136.75,0
2010-09-07,137.22,138.6,136.89,137.56,3887333
2010-09-08,139.14,139.7,136.45,137.93,5832513
2010-09-09,140.38,141.37,139.26,140.05,4966544
2010-09-10,142.44,142.6001,140.04,140.75,5044666
2010-09-13,145.07,145.74,143.76,144.2,5083219
2010-09-14,145.75,146.7,143.832,144.5,4323591
2010-09-15,145.45,145.62,143.56,144.8,4905675
2010-09-16,148.13,148.23,145.16,145.4,5826973
2010-09-17,148.325,148.98,146.5,148.9,7262649
2010-09-20,151.3048,151.95,147.35,148.7,6456145
2010-09-21,150.73,153.31,149.6,150.75,7546662
2010-09-22,151.83,152.7,149.1,149.7,6618751
2010-09-23,152.85,155.92,150.97,151.2,7066939
2010-09-24,160.73,160.89,155.42,155.48,10590503
2010-09-27,159.37,161.2,157.88,160.24,6453678
2010-09-28,159.7,160.88,154.89,159.7,8494910
2010-09-29,158.99,161.78,157.75,159.03,7290539
2010-09-30,157.06,160.93,155.6,160.0,7606104
2010-10-01,153.71,157.44,152.2,157.08,8691126
2010-10-04,155.39,155.96,152.79,153.95,5354314
2010-10-05,160.87,161.21,157.0145,157.13,5620928
2010-10-06,155.4,160.68,154.6,160.6,6060796
2010-10-07,156.27,157.4,153.39,156.55,4635900
2010-10-08,155.55,156.28,152.78,155.18,6922014
2010-10-11,153.03,156.63,152.34,154.89,4486390
2010-10-12,156.48,156.95,151.4,152.51,5289793
2010-10-13,155.17,156.79,153.85,156.69,5637813
2010-10-14,155.53,156.9499,154.23,155.16,4032909
2010-10-15,164.64,164.88,156.75,158.56,10135456
2010-10-18,163.56,165.19,161.82,165.0,6338544
2010-10-19,158.67,162.8,157.0,160.68,7531854
2010-10-20,158.67,159.87,156.57,158.78,5790387
2010-10-21,164.97,166.13,161.29,162.67,13585342
2010-10-22,169.13,170.17,162.27,162.46,16322251
2010-10-25,169.0,171.99,168.32,171.5,6534224
2010-10-26,169.95,171.0,167.5,167.58,4693643
2010-10-27,167.51,169.75,166.54,168.87,5729134
2010-10-28,166.84,168.49,165.05,168.31,4688210
2010-10-29,165.23,168.5,164.81,165.8,4998465
2010-11-01,162.58,164.58,161.52,164.45,5245249
2010-11-02,164.61,165.94,163.36,163.75,4264710
2010-11-03,168.47,168.61,162.29,165.4,6119680
2010-11-04,168.93,172.53,168.4,169.86,7378763
2010-11-05,170.77,171.65,168.59,169.35,5218668
2010-11-08,171.99,173.2,168.78,170.84,5247255
2010-11-09,170.27,173.14,169.06,172.67,3980867
2010-11-10,173.33,173.37,169.41,170.59,5450045
2010-11-11,170.37,172.05,169.4201,171.0,5697867
2010-11-12,165.68,171.26,165.05,170.12,7167318
2010-11-15,158.9,165.35,158.56,165.16,9648534
2010-11-16,157.78,160.91,156.77,158.59,6573783
2010-11-17,158.35,160.85,157.55,157.84,4527206
2010-11-18,164.17,165.0,160.7401,160.99,6230844
2010-11-19,164.82,164.99,162.84,163.95,4466200
2010-11-22,170.39,170.6,165.0,165.1,6149610
2010-11-23,168.2,168.81,164.62,168.81,6472593
2010-11-24,177.25,177.89,171.53,171.53,10055739
2010-11-25,177.25,177.89,171.53,171.53,0
2010-11-26,177.2,178.38,176.16,177.36,4272138
2010-11-29,179.49,181.8425,177.57,179.99,9699540
2010-11-30,175.4,177.7,174.9,176.65,6767225
2010-12-01,176.55,179.32,176.0,179.16,5778757
2010-12-02,176.53,177.45,173.92,176.86,5541683
2010-12-03,175.68,176.4,174.05,175.5,4909659
2010-12-06,178.05,178.43,174.6,175.67,5663482
2010-12-07,176.77,181.47,176.57,180.5,5079928
2010-12-08,176.29,178.16,175.2,177.49,3735998
2010-12-09,174.85,178.11,173.8,177.77,4555974
2010-12-10,175.62,175.95,173.36,174.88,3566523
2010-12-13,174.25,177.94,173.73,176.33,4206511
2010-12-14,173.94,175.76,173.09,174.28,3689528
2010-12-15,175.57,179.0,173.5909,173.72,5817620
2010-12-16,178.04,178.3,175.04,175.58,4123222
2010-12-17,177.58,178.75,177.02,178.41,4508074
2010-12-20,183.29,183.98,178.04,179.27,8735272
2010-12-21,184.75,185.65,182.6001,183.9,5112753
2010-12-22,184.76,185.45,184.11,185.0,2580840
2010-12-23,182.59,184.98,181.8905,184.34,3359880
2010-12-24,182.59,184.98,181.8905,184.34,0
2010-12-27,182.14,183.14,180.45,182.26,2249734
2010-12-28,181.09,182.77,181.05,182.06,1975718
2010-12-29,183.37,184.35,180.41,181.8,3122379
2010-12-30,182.75,184.55,182.75,183.92,1961549
2010-12-31,180.0,182.3,179.51,181.96,3453895
2011-01-03,184.22,186.0,181.21,181.37,5333813
2011-01-04,185.01,187.6995,183.78,186.24,5034775
2011-01-05,187.42,187.45,184.07,184.1,3418779
2011-01-06,185.86,187.41,185.25,186.5,3179610
2011-01-07,185.49,188.45,183.74,187.88,5222815
2011-01-10,184.68,185.29,182.51,185.04,3376678
2011-01-11,184.34,186.0,183.21,185.42,2815814
2011-01-12,184.08,185.38,183.3,185.36,2679087
2011-01-13,185.53,186.45,183.51,183.6,3368768
2011-01-14,188.75,188.94,184.92,185.5,3664965
2011-01-17,188.75,188.94,184.92,185.5,0
2011-01-18,191.25,191.6,188.25,188.48,3901726
2011-01-19,186.87,191.0,186.21,190.9,3889410
2011-01-20,181.96,186.85,181.0,185.02,5717568
2011-01-21,177.42,183.25,176.84,183.25,6812240
2011-01-24,176.85,178.49,174.1475,177.95,5602345
2011-01-25,176.7,176.75,174.28,175.57,4653276
2011-01-26,175.39,177.89,174.63,177.5,3762167
2011-01-27,184.45,185.0,177.31,177.48,14594320
2011-01-28,171.14,173.71,166.9,171.72,19914851
2011-01-31,169.64,171.44,167.41,170.16,6715338
2011-02-01,172.11,173.1,169.51,170.78,5089748
2011-02-02,173.53,175.2,170.87,171.61,4551448
2011-02-03,173.71,174.67,171.95,173.5,3681259
2011-02-04,175.93,177.19,173.75,174.0,4352491
2011-02-07,176.43,177.55,174.77,176.15,5256698
2011-02-08,183.06,183.11,176.59,176.66,7802311
2011-02-09,185.3,186.47,182.26,183.0,8315841
2011-02-10,186.21,187.24,183.6,184.39,5332604
2011-02-11,189.25,189.5,185.37,185.38,4497699
2011-02-14,190.42,191.4,188.35,189.25,4070689
2011-02-15,189.03,190.49,188.25,188.59,3890806
2011-02-16,186.62,190.0,186.35,189.51,4633082
2011-02-17,187.76,189.09,185.31,185.36,3426374
2011-02-18,186.5,188.5,185.13,187.74,4179840
2011-02-21,186.5,188.5,185.13,187.74,0
2011-02-22,180.42,184.72,179.32,183.62,5639604
2011-02-23,176.68,181.15,174.39,180.25,5487837
2011-02-24,177.75,179.75,174.56,176.86,4661140
2011-02-25,177.24,180.75,177.1,179.0,4194514
