Date,Close,High,Low,Open,Volume
2010-01-01,43.46,43.92,43.41,43.74,0
2010-01-04,44.64,44.99,43.51,43.69,736891
2010-01-05,43.64,44.8803,43.51,44.65,652493
2010-01-06,43.35,43.83,43.33,43.79,486530
2010-01-07,43.46,43.53,43.03,43.29,471218
2010-01-08,43.76,43.77,43.16,43.51,381214
2010-01-11,43.93,43.9999,43.28,43.96,361160
2010-01-12,42.74,43.9121,42.54,43.87,310174
2010-01-13,43.04,43.62,42.67,43.0,301191
2010-01-14,43.49,43.52,42.89,43.13,253172
2010-01-15,43.34,43.84,43.1,43.63,332262
2010-01-18,43.34,43.84,43.1,43.63,0
2010-01-19,44.09,44.14,43.01,43.26,338860
2010-01-20,42.79,44.09,42.54,43.89,297633
2010-01-21,41.835,43.18,41.76,43.03,303197
2010-01-22,40.8,42.03,40.72,41.76,299345
2010-01-25,40.77,41.31,40.49,41.01,303903
2010-01-26,40.56,40.83,40.2801,40.55,252521
2010-01-27,42.19,42.21,40.24,40.41,943855
2010-01-28,41.97,42.37,41.59,41.59,456910
2010-01-29,41.86,42.47,41.86,42.26,643201
2010-02-01,42.19,42.19,41.54,41.8,376137
2010-02-02,42.35,42.57,41.86,42.03,267469
2010-02-03,42.57,42.67,42.01,42.03,275691
2010-02-04,40.97,42.22,40.9,42.18,392460
2010-02-05,41.19,41.22,40.26,41.08,429479
2010-02-08,40.68,41.16,40.4,40.9,183925
2010-02-09,41.05,41.25,40.52,40.73,273816
2010-02-10,41.27,41.41,40.7,40.86,362657
2010-02-11,41.35,41.45,40.83,41.04,344032
2010-02-12,41.59,41.62,40.9,41.02,295587
2010-02-15,41.59,41.62,40.9,41.02,0
2010-02-16,42.03,42.06,41.71,42.0,222506
2010-02-17,42.83,42.88,41.98,42.0,429850
2010-02-18,43.36,43.5,42.71,42.93,256307
2010-02-19,43.17,43.58,43.1001,43.27,243024
2010-02-22,43.18,43.38,42.9,43.24,150159
2010-02-23,42.99,43.25,42.7,43.13,276368
2010-02-24,44.04,44.36,43.19,43.2,486753
2010-02-25,43.62,43.64,42.03,43.1,462706
2010-02-26,43.86,43.97,42.74,43.51,498879
2010-03-01,44.3,44.3,43.66,43.97,565952
2010-03-02,44.62,44.67,44.14,44.22,517499
2010-03-03,44.46,45.0,44.46,44.46,416712
2010-03-04,44.23,44.73,43.95,44.66,431649
2010-03-05,44.87,45.08,44.22,44.52,252714
2010-03-08,44.93,45.24,44.52,44.95,358148
2010-03-09,44.66,45.19,44.38,44.65,418493
2010-03-10,45.13,45.23,44.52,44.52,389143
2010-03-11,45.14,45.31,44.58,44.82,376626
2010-03-12,45.17,45.5,44.9,45.47,298739
2010-03-15,45.21,45.29,44.65,45.1,299168
2010-03-16,45.03,45.425,44.7,45.17,866076
2010-03-17,45.8,45.87,45.21,45.23,470732
2010-03-18,46.29,46.49,45.64,45.64,776968
2010-03-19,44.89,46.23,44.67,46.18,1041134
2010-03-22,44.85,45.13,44.45,44.62,457290
2010-03-23,44.76,44.99,44.48,44.92,486634
2010-03-24,44.41,44.97,44.2295,44.55,264485
2010-03-25,43.66,44.83,43.65,44.83,463111
2010-03-26,43.4,43.9375,43.17,43.7,580090
2010-03-29,43.8,43.88,43.492,43.62,283355
2010-03-30,43.54,43.9,43.4,43.73,340835
2010-03-31,43.185,43.75,43.1,43.31,256404
2010-04-01,43.02,43.47,42.6023,43.12,426328
2010-04-02,43.02,43.47,42.6023,43.12,0
2010-04-05,44.21,44.23,43.0,43.24,332682
2010-04-06,44.28,44.45,43.52,43.91,415980
2010-04-07,43.73,44.2,43.48,44.12,275790
2010-04-08,43.88,44.16,43.43,43.45,200866
2010-04-09,44.03,44.07,43.55,43.88,419518
2010-04-12,44.15,44.24,43.74,43.94,311484
2010-04-13,43.96,44.04,43.4,43.73,448279
2010-04-14,43.52,44.04,43.25,44.04,527610
2010-04-15,43.82,44.105,43.14,43.34,440246
2010-04-16,43.56,43.99,43.38,43.57,372686
2010-04-19,43.77,43.99,43.14,43.34,490366
2010-04-20,44.68,44.68,43.76,43.99,247165
2010-04-21,44.65,44.87,44.38,44.82,420377
2010-04-22,45.39,45.42,43.76,44.25,386958
2010-04-23,45.67,45.76,45.12,45.52,305673
2010-04-26,45.54,45.74,45.28,45.51,196499
2010-04-27,44.95,45.46,44.7225,45.3,469241
2010-04-28,44.93,45.5,44.57,45.11,536126
2010-04-29,46.04,46.34,44.97,45.09,513463
2010-04-30,44.96,46.48,44.93,46.0,412659
2010-05-03,45.42,45.43,44.8,45.02,232355
2010-05-04,44.34,45.0125,43.93,44.82,253523
2010-05-05,43.815,44.75,43.665,43.98,494471
2010-05-06,44.41,46.6,42.27,44.9,1127796
2010-05-07,42.86,44.16,42.29,44.0,870358
2010-05-10,44.98,45.0,43.72,43.93,851673
2010-05-11,45.03,45.57,44.475,44.49,573710
2010-05-12,46.26,46.35,44.83,45.26,493089
2010-05-13,45.95,46.88,45.6901,45.98,497753
2010-05-14,44.79,46.15,44.59,45.6,473825
2010-05-17,45.39,45.49,44.2315,45.05,424378
2010-05-18,44.4,45.95,44.165,45.86,386162
2010-05-19,44.16,44.53,43.55,44.13,315941
2010-05-20,42.57,43.89,42.4425,43.39,514810
2010-05-21,43.52,43.61,41.74,42.2,895092
2010-05-24,42.84,43.79,42.84,43.52,378157
2010-05-25,43.05,43.21,41.22,41.82,614639
2010-05-26,43.37,44.169,42.72,43.1,451345
2010-05-27,44.66,44.67,43.93,44.18,305407
2010-05-28,43.73,44.58,43.55,44.47,379720
2010-05-31,43.73,44.58,43.55,44.47,0
2010-06-01,43.41,44.25,43.1,43.61,402991
2010-06-02,44.16,44.16,43.28,43.75,636736
2010-06-03,44.08,44.32,43.59,44.0,811456
2010-06-04,42.81,43.96,42.61,43.17,395416
2010-06-07,41.84,43.29,41.72,42.79,240971
2010-06-08,41.46,42.6695,40.9,41.96,274496
2010-06-09,41.93,42.62,41.7,41.8,304560
2010-06-10,43.01,43.08,42.25,42.4,290359
2010-06-11,43.34,43.45,42.34,43.45,272942
2010-06-14,43.12,43.59,42.96,43.58,463983
2010-06-15,43.6,43.62,43.19,43.34,433550
2010-06-16,43.84,44.105,43.09,43.26,659392
2010-06-17,43.93,44.16,43.36,43.83,337462
2010-06-18,43.83,44.34,43.72,43.87,391678
2010-06-21,43.64,44.41,43.43,44.33,465324
2010-06-22,43.39,44.27,43.38,43.82,494359
2010-06-23,43.16,43.81,42.9,43.49,439760
2010-06-24,42.72,43.35,42.66,42.91,433809
2010-06-25,43.2,43.31,42.29,42.7,393486
2010-06-28,43.48,43.9697,42.812,43.05,480055
2010-06-29,41.22,43.1,40.99,43.04,553566
2010-06-30,40.57,41.57,40.49,41.21,379908
2010-07-01,40.1,40.889,39.59,40.82,442670
2010-07-02,40.32,40.65,39.88,40.19,304639
2010-07-05,40.32,40.65,39.88,40.19,0
2010-07-06,40.81,41.4,40.425,40.76,626370
2010-07-07,41.55,41.58,40.66,40.97,576589
2010-07-08,41.95,42.22,41.61,41.9,575248
2010-07-09,42.15,42.51,41.79,41.79,197848
2010-07-12,42.31,42.39,41.3,41.91,350936
2010-07-13,43.65,43.74,42.55,42.59,404969
2010-07-14,43.9,44.1,43.52,43.59,276131
2010-07-15,43.51,43.95,43.12,43.79,191625
2010-07-16,42.08,43.51,42.01,43.2,196221
2010-07-19,42.34,42.44,41.79,42.13,212785
2010-07-20,42.47,42.53,41.46,41.84,421435
2010-07-21,42.3,42.9,42.13,42.69,226517
2010-07-22,43.74,43.85,42.79,42.79,223317
2010-07-23,45.04,45.05,43.56,43.56,373391
2010-07-26,45.55,45.57,44.6315,45.05,259390
2010-07-27,45.56,45.94,45.4,45.68,364355
2010-07-28,45.02,45.8,44.84,45.64,200677
2010-07-29,44.26,45.53,44.2101,45.18,345339
2010-07-30,44.95,45.09,43.21,43.72,379621
2010-08-02,45.92,45.93,45.27,45.52,285634
2010-08-03,45.6,45.95,45.08,45.67,219531
2010-08-04,46.58,46.66,45.65,45.77,330355
2010-08-05,43.96,44.87,43.18,44.01,814236
2010-08-06,44.21,44.3,43.38,43.68,304097
2010-08-09,44.1,44.58,43.87,44.58,288292
2010-08-10,43.68,44.09,43.27,43.59,167589
2010-08-11,42.65,43.13,42.47,43.04,330002
2010-08-12,41.67,42.2,41.54,42.2,287927
2010-08-13,40.91,41.72,40.86,41.56,431352
2010-08-16,40.87,41.27,40.55,40.75,282462
2010-08-17,41.84,42.21,41.19,41.29,309770
2010-08-18,42.19,42.37,41.27,41.71,257581
2010-08-19,41.6,42.33,41.55,41.93,220638
2010-08-20,41.98,42.03,41.32,41.37,213085
2010-08-23,40.48,42.2799,40.47,42.14,513233
2010-08-24,40.04,40.6175,39.84,40.01,337953
2010-08-25,40.19,40.34,38.88,39.82,558853
2010-08-26,39.76,40.47,39.57,40.3,423661
2010-08-27,40.14,40.32,39.32,40.06,387378
2010-08-30,39.37,40.06,39.08,40.06,415850
2010-08-31,38.78,39.43,38.69,39.37,800439
2010-09-01,40.32,40.43,39.03,39.32,549951
2010-09-02,40.01,40.246,39.68,40.07,530422
2010-09-03,40.66,41.23,40.21,40.35,286360
2010-09-06,40.66,41.23,40.21,40.35,0
2010-09-07,40.58,40.89,40.5,40.52,237164
2010-09-08,40.57,41.05,40.36,40.62,221549
2010-09-09,40.5,41.4,40.21,41.07,376439
2010-09-10,40.87,40.93,40.34,40.5,265838
2010-09-13,42.245,42.29,41.21,41.29,409062
2010-09-14,41.81,42.48,41.65,42.2,273307
2010-09-15,42.14,42.59,41.46,41.54,348353
2010-09-16,42.24,42.32,41.8801,42.0,234290
2010-09-17,42.83,43.04,42.01,42.54,414885
2010-09-20,43.55,43.8,42.87,43.05,265201
2010-09-21,42.78,43.78,42.64,43.37,375286
2010-09-22,42.33,42.951,41.92,42.55,221637
2010-09-23,42.03,42.74,41.591,41.99,173777
2010-09-24,42.68,42.68,42.29,42.62,311618
2010-09-27,43.26,43.45,42.4,42.63,581007
2010-09-28,42.5,43.36,42.28,43.3,546520
2010-09-29,42.4,42.74,42.19,42.4,436394
2010-09-30,42.25,42.83,42.18,42.52,1092446
2010-10-01,41.75,42.63,41.65,42.58,582897
2010-10-04,41.29,42.14,41.05,41.27,408672
2010-10-05,42.56,42.7722,41.83,41.83,824872
2010-10-06,41.39,42.64,41.34,42.32,651026
2010-10-07,41.21,41.51,40.88,41.51,384151
2010-10-08,41.61,41.64,40.63,41.2,945631
2010-10-11,42.74,43.01,41.65,41.81,994519
2010-10-12,44.39,44.56,42.71,42.87,1252858
2010-10-13,45.5,45.65,44.04,44.61,1163130
2010-10-14,45.09,45.64,44.67,45.37,579093
2010-10-15,45.59,45.74,44.91,45.51,449939
2010-10-18,46.09,46.19,45.03,45.5,673469
2010-10-19,44.87,46.0302,44.59,45.44,496656
2010-10-20,45.05,45.3,44.74,45.01,340107
2010-10-21,45.2,45.6,44.79,45.22,278137
2010-10-22,45.33,45.69,45.23,45.42,382643
2010-10-25,45.44,45.61,44.49,44.49,801385
2010-10-26,45.37,45.48,44.95,45.28,528511
2010-10-27,45.08,45.19,44.77,45.0,574868
2010-10-28,45.1,45.36,44.6,45.27,550078
2010-10-29,45.25,45.65,44.93,45.04,351999
2010-11-01,44.86,45.51,44.65,45.51,646617
2010-11-02,45.31,45.69,45.26,45.32,390367
2010-11-03,45.41,45.5,44.37,45.4,817474
2010-11-04,45.75,46.66,45.06,45.55,1479162
2010-11-05,46.06,46.13,45.67,45.73,886648
2010-11-08,47.67,47.85,45.96,45.96,1241228
2010-11-09,48.17,48.66,47.48,47.59,701066
2010-11-10,49.27,49.38,47.97,48.24,762142
2010-11-11,49.09,49.13,47.85,48.71,661641
2010-11-12,48.98,49.37,48.61,48.91,651768
2010-11-15,48.97,49.1,48.59,49.0,540509
2010-11-16,47.56,48.67,47.21,48.47,764975
2010-11-17,47.69,47.91,47.32,47.71,289946
2010-11-18,48.47,48.94,48.06,48.17,298955
2010-11-19,48.3,48.84,48.11,48.48,352107
2010-11-22,48.63,48.71,47.57,47.9,319208
2010-11-23,47.71,48.14,47.11,47.98,249007
2010-11-24,48.99,49.1,47.98,47.98,237962
2010-11-25,48.99,49.1,47.98,47.98,0
2010-11-26,48.88,49.08,48.66,48.66,74386
2010-11-29,48.05,48.66,47.16,48.66,518282
2010-11-30,48.5,48.72,47.13,47.59,555312
2010-12-01,50.79,50.89,49.08,49.22,942622
2010-12-02,51.09,51.21,50.36,50.64,957595
2010-12-03,51.36,51.79,50.71,50.76,355789
2010-12-06,50.92,51.33,50.62,51.0,339565
2010-12-07,51.05,51.62,50.74,51.32,348232
2010-12-08,51.07,51.33,50.77,51.03,356138
2010-12-09,51.13,51.48,50.91,51.2,455048
2010-12-10,52.36,52.5,51.16,51.36,453185
2010-12-13,51.87,52.82,51.79,52.66,310038
2010-12-14,52.02,52.55,51.84,51.84,301753
2010-12-15,51.77,52.845,51.71,51.82,344127
2010-12-16,52.15,52.19,51.4,51.92,290795
2010-12-17,53.11,53.16,51.65,52.24,672709
2010-12-20,52.98,53.51,52.43,53.33,292092
2010-12-21,52.94,53.64,52.85,53.25,251970
2010-12-22,53.25,53.58,52.71,52.97,235052
2010-12-23,52.98,53.3399,52.97,53.16,203093
2010-12-24,52.98,53.3399,52.97,53.16,0
2010-12-27,52.98,53.14,52.17,52.88,230496
2010-12-28,52.82,53.16,52.47,53.16,167435
2010-12-29,52.76,53.32,52.46,52.89,291270
2010-12-30,52.54,53.18,52.5,52.73,236219
2010-12-31,52.07,53.22,52.02,52.54,798649
2011-01-03,52.57,53.46,52.48,52.55,383872
2011-01-04,52.34,53.01,51.95,52.57,408169
2011-01-05,53.2,53.39,52.05,52.36,340242
2011-01-06,53.27,53.82,53.05,53.34,424594
2011-01-07,52.45,53.25,51.81,53.25,464437
2011-01-10,53.61,53.69,51.85,52.13,509627
2011-01-11,53.97,54.24,53.75,53.9,225504
2011-01-12,53.82,54.42,53.2,54.32,309007
2011-01-13,53.96,54.08,53.69,53.72,180071
2011-01-14,54.96,54.96,53.67,53.76,248139
2011-01-17,54.96,54.96,53.67,53.76,0
2011-01-18,55.99,55.99,53.6,53.93,884155
2011-01-19,54.93,56.4,54.67,55.81,531493
2011-01-20,52.15,55.23,52.09,54.52,993526
2011-01-21,52.51,53.66,52.49,52.55,583757
2011-01-24,53.31,53.55,52.46,52.5,564975
2011-01-25,51.82,53.11,51.12,53.11,860185
2011-01-26,52.97,53.45,51.9,51.97,361694
2011-01-27,52.55,52.91,52.21,52.91,411545
2011-01-28,51.85,53.22,51.61,52.61,453310
2011-01-31,52.45,52.5,51.72,51.95,442003
2011-02-01,53.53,54.0,52.51,52.68,441505
2011-02-02,54.11,54.44,53.39,53.39,198270
2011-02-03,53.89,54.28,53.4,54.06,213555
2011-02-04,54.26,54.55,53.69,54.1,160095
2011-02-07,55.04,55.25,54.24,54.29,318422
2011-02-08,54.43,55.16,54.07,55.16,267239
2011-02-09,53.65,54.35,53.5,54.35,250435
2011-02-10,54.4,54.51,53.04,53.38,409801
2011-02-11,54.37,54.77,53.9,54.13,302575
2011-02-14,54.24,54.88,54.13,54.4,329809
2011-02-15,54.12,54.35,53.68,54.13,288596
2011-02-16,54.51,54.8253,54.01,54.32,317468
2011-02-17,54.77,54.9959,54.08,54.38,194184
2011-02-18,55.09,55.39,54.54,54.95,170532
2011-02-21,55.09,55.39,54.54,54.95,0
2011-02-22,54.02,55.14,53.99,54.0,360671
2011-02-23,53.32,54.47,53.08,53.92,606126
2011-02-24,54.11,55.0,52.78,53.98,900116
2011-02-25,55.83,56.65,54.04,54.99,1035581
2011-02-28,56.32,56.86,55.2,56.34,914432
2011-03-01,54.93,56.53,54.31,56.53,567815
2011-03-02,55.07,55.57,54.53,54.78,531657
2011-03-03,55.28,56.08,55.18,55.52,665571
2011-03-04,55.0,55.67,54.38,55.32,560227
2011-03-07,53.93,55.28,53.7109,55.28,558565
2011-03-08,54.73,55.1,53.44,53.87,458147
