Date,Close,High,Low,Open,Volume
2010-01-01,58.29,58.94,58.17,58.92,0
2010-01-04,59.75,59.81,58.38,58.69,4641745
2010-01-05,60.4,61.25,60.17,60.59,8385482
2010-01-06,61.38,61.53,60.12,60.12,6450142
2010-01-07,63.66,63.78,61.23,61.68,6035912
2010-01-08,63.94,64.07,63.01,63.59,5271102
2010-01-11,64.31,64.88,63.87,64.28,4370060
2010-01-12,63.46,64.31,62.63,63.8,5813238
2010-01-13,64.97,65.01,63.47,63.76,5555913
2010-01-14,66.22,66.48,64.68,64.95,5137647
2010-01-15,66.65,67.23,65.62,66.34,7040934
2010-01-18,66.65,67.23,65.62,66.34,0
2010-01-19,68.06,69.49,67.39,67.82,12115965
2010-01-20,67.68,70.0,67.2,69.37,14642809
2010-01-21,65.5,68.36,65.32,67.88,8139097
2010-01-22,65.1,66.78,62.25,65.87,6916184
2010-01-25,65.55,66.46,65.17,65.45,5771647
2010-01-26,63.88,65.1,63.88,65.0,7405445
2010-01-27,64.62,65.33,62.11,62.71,9362366
2010-01-28,64.42,66.47,64.34,65.0,8125617
2010-01-29,63.72,64.75,63.71,64.47,4598872
2010-02-01,64.2,64.88,62.6,64.1,3986009
2010-02-02,65.05,65.18,63.98,64.46,4178453
2010-02-03,64.07,65.13,63.38,64.53,3814122
2010-02-04,62.83,64.15,62.78,63.37,4608902
2010-02-05,61.69,63.07,60.31,62.59,8633697
2010-02-08,61.65,62.66,61.1,61.63,5380863
2010-02-09,61.45,62.29,60.44,62.15,7747078
2010-02-10,60.01,61.59,58.56,61.45,10418675
2010-02-11,60.52,60.58,59.35,60.0,5833041
2010-02-12,59.33,59.85,59.06,59.83,5726935
2010-02-15,59.33,59.85,59.06,59.83,0
2010-02-16,58.46,59.57,56.99,59.57,9030807
2010-02-17,59.7,61.09,58.55,58.58,9182219
2010-02-18,59.11,59.88,58.25,59.11,6166358
2010-02-19,58.47,59.27,58.39,59.15,5993474
2010-02-22,59.44,59.78,57.91,58.01,8005155
2010-02-23,59.01,59.76,58.545,59.3,5930150
2010-02-24,60.14,60.37,58.5,59.45,6493855
2010-02-25,61.45,61.61,59.22,59.75,15277216
2010-02-26,61.87,62.99,61.49,61.54,7666045
2010-03-01,62.06,63.46,61.2,62.32,6988111
2010-03-02,61.9,62.89,61.19,61.19,5509537
2010-03-03,62.36,62.7,61.12,61.15,4413124
2010-03-04,61.23,62.23,60.07,62.14,8895180
2010-03-05,62.25,62.31,61.17,61.31,4360633
2010-03-08,61.96,62.75,61.62,62.23,4424972
2010-03-09,61.43,62.07,61.29,61.65,3654258
2010-03-10,62.48,62.92,61.25,61.36,6002149
2010-03-11,63.55,63.73,62.07,62.37,6307228
2010-03-12,62.58,63.95,62.19,63.6,5541460
2010-03-15,61.52,62.56,60.61,62.56,6408888
2010-03-16,61.97,62.02,60.67,61.47,4710003
2010-03-17,61.94,62.38,61.03,62.38,6469338
2010-03-18,63.82,64.3,60.82,61.66,10554023
2010-03-19,65.07,65.84,64.25,64.35,11856272
2010-03-22,64.39,66.33,64.12,65.25,8654709
2010-03-23,63.61,64.53,62.94,64.08,5986356
2010-03-24,63.4,64.17,63.09,63.31,5141169
2010-03-25,63.59,64.26,63.01,63.71,3414395
2010-03-26,63.05,63.91,63.03,63.82,3656409
2010-03-29,64.19,64.38,63.03,63.11,4434171
2010-03-30,64.69,65.15,63.8405,64.23,3618401
2010-03-31,64.38,65.21,64.31,65.07,5289237
2010-04-01,64.71,64.84,64.18,64.49,3527839
2010-04-02,64.71,64.84,64.18,64.49,0
2010-04-05,65.34,65.57,64.7,65.2,2962681
2010-04-06,64.61,65.81,64.61,64.93,3795756
2010-04-07,63.26,64.58,62.79,64.29,7326749
2010-04-08,62.09,63.21,61.54,62.93,7520386
2010-04-09,61.26,62.05,60.31,61.91,7036630
2010-04-12,61.34,61.64,61.0,61.18,4580986
2010-04-13,60.18,61.4,59.9,61.07,6139782
2010-04-14,58.96,60.0,58.62,59.79,7712878
2010-04-15,58.58,58.9,56.98,58.66,11739991
2010-04-16,59.08,59.35,58.22,58.58,8121236
2010-04-19,60.55,60.77,58.83,59.0,6357588
2010-04-20,59.84,61.49,59.39,61.27,6309878
2010-04-21,58.64,60.015,58.3,59.95,4944996
2010-04-22,58.41,58.56,57.4,58.4,4702783
2010-04-23,57.98,58.32,57.43,58.27,6426529
2010-04-26,56.56,58.41,56.12,58.22,7605032
2010-04-27,55.92,57.02,55.69,56.18,6182628
2010-04-28,57.45,58.19,55.23,55.58,8218049
2010-04-29,59.08,59.93,57.79,57.87,7866484
2010-04-30,53.8,58.14,53.5,58.0,18771021
2010-05-03,53.52,54.9,53.03,54.46,8863154
2010-05-04,52.6,53.53,51.82,52.94,8588446
2010-05-05,52.53,52.9,50.68,51.21,6335464
2010-05-06,51.3,53.34,49.1,52.28,6950310
2010-05-07,50.94,51.52,49.79,51.08,6543498
2010-05-10,51.14,53.0,50.43,52.09,8039096
2010-05-11,52.11,52.81,50.5,50.69,5368893
2010-05-12,54.04,54.06,51.65,52.51,5568290
2010-05-13,53.16,54.21,53.05,54.17,4188329
2010-05-14,53.09,53.18,52.15,53.03,3463857
2010-05-17,53.52,53.69,52.38,53.04,3931042
2010-05-18,53.08,54.4,52.99,53.78,4790917
2010-05-19,53.4,53.72,52.41,52.67,4244861
2010-05-20,51.17,52.78,51.13,52.69,6949157
2010-05-21,51.25,51.57,50.08,50.11,6164106
2010-05-24,51.1,51.72,50.6,50.89,4266300
2010-05-25,50.7,50.87,49.82,50.1,5216467
2010-05-26,50.89,51.68,50.73,50.86,5054251
2010-05-27,51.72,52.03,51.03,51.91,3248869
2010-05-28,51.3,51.84,51.16,51.74,2855370
2010-05-31,51.3,51.84,51.16,51.74,0
2010-06-01,51.05,51.72,50.82,50.95,3860024
2010-06-02,52.37,52.41,50.87,51.08,4040129
2010-06-03,54.45,54.56,52.51,52.66,6149221
2010-06-04,54.14,56.34,53.69,54.0,8072762
2010-06-07,53.57,55.48,52.45,54.25,8954626
2010-06-08,53.27,54.28,52.6,53.44,6156372
2010-06-09,52.31,53.9,52.1575,53.4,4695310
2010-06-10,52.79,53.33,52.26,53.14,4494182
2010-06-11,52.65,53.28,51.93,52.29,3746323
2010-06-14,53.1,53.89,52.71,52.77,3400797
2010-06-15,54.03,54.08,53.22,53.35,3749875
2010-06-16,54.71,54.95,53.5,53.58,4271837
2010-06-17,55.05,55.13,54.53,54.93,3798049
2010-06-18,55.22,55.35,54.7999,55.08,6458150
2010-06-21,55.24,55.98,55.02,55.67,4184087
2010-06-22,53.72,55.56,53.615,55.16,5136185
2010-06-23,53.03,53.78,52.76,53.62,4099864
2010-06-24,52.37,53.32,52.1,52.87,3304650
2010-06-25,51.75,52.82,51.63,52.12,7671662
2010-06-28,50.79,51.98,50.78,51.9,3558872
2010-06-29,49.57,50.63,49.37,50.43,5118098
2010-06-30,48.93,49.71,48.855,49.54,4979205
2010-07-01,47.79,48.73,46.52,48.73,7295579
2010-07-02,47.43,48.09,47.11,48.01,3473679
2010-07-05,47.43,48.09,47.11,48.01,0
2010-07-06,48.11,48.62,47.62,48.01,3705421
2010-07-07,48.91,49.0,48.21,48.31,3723459
2010-07-08,49.87,49.88,48.94,49.17,3022267
2010-07-09,51.17,51.18,49.67,49.9,3941716
2010-07-12,51.28,51.35,50.38,51.06,3469904
2010-07-13,51.61,51.94,51.38,51.77,3140559
2010-07-14,51.97,51.99,50.86,51.38,2752076
2010-07-15,53.15,53.16,51.48,51.74,4625061
2010-07-16,51.39,53.19,51.37,52.81,4127657
2010-07-19,52.49,52.73,51.63,51.63,3209987
2010-07-20,52.61,52.78,51.43,52.19,3477352
2010-07-21,51.49,52.91,51.2,52.69,3110194
2010-07-22,52.46,52.75,51.63,51.9,2669023
2010-07-23,51.99,52.46,51.63,52.18,2881593
2010-07-26,53.19,53.19,51.995,52.15,2364452
2010-07-27,52.8,53.87,52.64,53.3,3052752
2010-07-28,50.83,52.8,50.2,52.62,5779596
2010-07-29,49.88,51.46,49.45,51.18,5047900
2010-07-30,50.72,51.04,48.76,49.32,4321873
2010-08-02,52.01,52.1,50.97,51.12,4464959
2010-08-03,53.24,53.84,51.7,51.81,5206197
2010-08-04,54.24,54.35,53.13,53.41,4395874
2010-08-05,54.96,55.06,53.65,53.9,3402898
2010-08-06,55.05,55.14,54.22,54.58,3716565
2010-08-09,55.14,55.7,55.08,55.32,2459479
2010-08-10,55.02,55.46,54.56,54.85,3682561
2010-08-11,51.31,54.5,51.29,54.47,14100731
2010-08-12,51.58,51.95,50.72,50.86,3969476
2010-08-13,51.79,52.04,50.81,51.31,2322545
2010-08-16,51.62,51.8,50.78,51.37,2969801
2010-08-17,52.38,52.61,51.72,52.14,2805659
2010-08-18,51.98,52.62,51.71,52.48,2807895
2010-08-19,50.12,51.71,49.79,51.7,3826968
2010-08-20,49.89,50.29,49.17,50.13,3035588
2010-08-23,49.64,50.78,49.58,50.1,2494599
2010-08-24,49.68,49.94,48.61,49.15,4368817
2010-08-25,51.04,51.51,49.28,49.56,4358497
2010-08-26,50.64,52.29,50.56,51.33,3249818
2010-08-27,50.87,51.2,49.81,50.93,2410552
2010-08-30,49.6,50.91,49.6,50.71,1945256
2010-08-31,49.6575,50.58,48.82,49.2,3994527
2010-09-01,50.88,51.0499,49.91,50.28,3672282
2010-09-02,51.82,51.82,50.93,51.12,2445178
2010-09-03,53.25,53.27,52.06,52.24,3655589
2010-09-06,53.25,53.27,52.06,52.24,0
2010-09-07,52.4,52.95,52.3,52.81,2393550
2010-09-08,52.91,53.09,52.26,52.5,2441778
