Date,Close,High,Low,Open,Volume
2010-01-01,64.29,65.585,63.58,65.22,0
2010-01-04,63.55,65.35,62.92,64.69,467054
2010-01-05,62.88,63.77,62.35,63.5,526931
2010-01-06,62.55,63.38,62.14,62.99,566624
2010-01-07,63.13,63.49,62.1,62.55,850871
2010-01-08,62.92,63.53,62.68,63.06,665177
2010-01-11,63.25,63.92,62.7,63.64,443041
2010-01-12,63.34,63.58,62.6,62.7,1281864
2010-01-13,63.51,64.19,63.2,63.7,827472
2010-01-14,63.49,63.71,62.805,63.47,438359
2010-01-15,62.71,64.17,62.71,63.3,692862
2010-01-18,62.71,64.17,62.71,63.3,0
2010-01-19,63.45,63.79,62.65,62.88,1163127
2010-01-20,63.99,64.4,63.03,64.07,961044
2010-01-21,62.3,64.14,61.96,64.12,867887
2010-01-22,61.88,63.02,61.05,62.3,975023
2010-01-25,62.05,62.57,61.32,62.57,681258
2010-01-26,60.86,61.5,60.58,61.43,671861
2010-01-27,60.87,61.15,59.45,60.74,418753
2010-01-28,60.26,60.99,59.68,60.99,344308
2010-01-29,59.73,60.94,59.31,60.36,613640
2010-02-01,60.72,61.01,59.89,60.18,423272
2010-02-02,61.5,61.5897,60.12,60.72,467183
2010-02-03,61.36,61.54,60.35,61.0,576783
2010-02-04,58.67,60.95,58.64,60.77,595481
2010-02-05,59.28,59.63,57.545,58.67,381047
2010-02-08,57.37,59.51,57.34,59.51,346336
2010-02-09,57.25,58.3,56.5,58.3,604528
2010-02-10,57.34,57.74,56.1201,57.15,425195
2010-02-11,56.89,57.39,55.54,57.04,579626
2010-02-12,58.38,58.46,56.13,56.13,518294
2010-02-15,58.38,58.46,56.13,56.13,0
2010-02-16,61.2,61.4,59.14,59.19,551010
2010-02-17,61.07,61.67,60.58,61.27,277164
2010-02-18,61.69,62.0,60.81,60.82,496551
2010-02-19,61.59,62.03,61.26,61.47,326683
2010-02-22,61.35,62.18,61.31,62.02,402532
2010-02-23,61.76,62.17,61.09,61.21,799274
2010-02-24,61.68,62.04,61.36,61.68,554260
2010-02-25,62.0,62.13,60.4875,60.6,528328
2010-02-26,61.62,62.58,61.38,62.04,606700
2010-03-01,61.9,62.16,61.55,61.9,299779
2010-03-02,62.4,62.49,61.69,62.36,571082
2010-03-03,62.43,62.95,61.72,62.39,581519
2010-03-04,62.19,63.07,61.95,62.72,530915
2010-03-05,63.28,63.6,62.25,62.57,581902
2010-03-08,64.47,64.67,63.03,63.25,259548
2010-03-09,64.62,65.885,63.82,64.04,358489
2010-03-10,64.82,65.0,64.05,64.46,321134
2010-03-11,64.9,65.3,64.24,64.47,361003
2010-03-12,65.01,65.44,64.54,65.09,233244
2010-03-15,65.26,65.53,64.14,65.03,420984
2010-03-16,66.92,67.0,65.08,65.3,550606
2010-03-17,67.34,67.62,66.69,66.93,325193
2010-03-18,67.45,68.26,67.27,67.34,397309
2010-03-19,66.59,67.58,66.51,67.49,269234
2010-03-22,67.5,67.79,65.7205,66.16,226886
2010-03-23,66.99,67.14,65.83,67.1,468479
2010-03-24,67.4,67.94,66.46,66.81,705886
2010-03-25,67.87,69.03,67.69,67.91,364334
2010-03-26,68.23,68.68,67.48,67.8,445181
2010-03-29,68.6,68.81,67.91,68.56,222314
2010-03-30,68.17,68.51,67.79,68.28,416351
2010-03-31,67.6,68.42,67.31,67.99,549443
2010-04-01,68.03,68.41,67.55,67.92,641527
2010-04-02,68.03,68.41,67.55,67.92,0
2010-04-05,69.77,69.93,67.96,68.05,320414
2010-04-06,71.84,71.9299,69.08,69.57,1089763
2010-04-07,71.02,72.41,70.58,71.84,481098
2010-04-08,71.2,71.5999,70.55,70.82,306261
2010-04-09,72.56,72.66,71.2,71.25,410168
2010-04-12,71.5,72.69,71.13,72.57,295122
2010-04-13,72.76,73.31,71.39,71.53,273419
2010-04-14,71.85,73.42,71.425,73.13,495085
2010-04-15,70.24,72.27,70.08,71.76,588439
2010-04-16,69.4,70.71,68.79,70.06,451803
2010-04-19,69.53,70.4,68.44,69.11,269418
2010-04-20,70.59,70.62,68.99,70.0,258712
2010-04-21,70.55,71.15,69.56,70.59,605783
2010-04-22,70.96,71.1696,69.87,69.87,422583
2010-04-23,74.19,74.31,70.68,71.17,558464
2010-04-26,74.6,75.18,73.81,74.25,389188
2010-04-27,72.16,74.62,71.92,74.21,437460
2010-04-28,72.02,73.16,71.66,72.62,341126
2010-04-29,73.91,74.25,72.19,72.61,739213
2010-04-30,70.81,74.32,70.75,74.04,548602
2010-05-03,73.02,73.22,71.06,71.08,935966
2010-05-04,71.03,72.8599,70.49,72.06,913684
2010-05-05,70.17,71.79,69.2,70.3,411762
2010-05-06,66.97,69.98,62.35,69.74,834241
2010-05-07,65.01,68.27,64.2,67.0,967460
2010-05-10,69.76,69.77,67.45,69.33,705245
2010-05-11,69.94,70.6436,68.175,69.0,478038
2010-05-12,70.97,71.47,69.97,70.41,686820
2010-05-13,69.81,71.2,69.58,70.95,472623
2010-05-14,66.97,69.78,65.88,68.86,1490101
2010-05-17,66.88,68.37,65.43,67.46,1682173
2010-05-18,65.25,68.1599,64.93,67.77,504158
2010-05-19,65.11,66.17,62.84,64.94,633410
2010-05-20,62.03,64.2,62.0,63.46,701159
2010-05-21,63.6,64.25,60.4801,61.19,720777
2010-05-24,63.21,64.74,62.94,63.36,462720
2010-05-25,63.14,63.29,60.69,61.06,389632
2010-05-26,62.92,64.98,62.62,63.7,386800
2010-05-27,66.6,66.69,63.84,64.5,345080
2010-05-28,65.58,67.01,65.45,66.2,383694
2010-05-31,65.58,67.01,65.45,66.2,0
2010-06-01,64.25,66.14,64.1,65.05,323155
2010-06-02,65.82,65.88,63.14,64.48,485019
2010-06-03,65.74,66.24,64.96,65.81,322605
2010-06-04,62.36,65.08,62.15,64.14,495111
2010-06-07,62.55,64.29,62.24,62.77,442191
2010-06-08,65.2,65.39,61.47,62.76,800883
2010-06-09,65.86,67.42,65.27,65.66,531790
2010-06-10,69.48,69.95,66.64,67.27,554654
2010-06-11,71.16,71.67,68.68,68.74,490935
2010-06-14,71.91,73.36,71.11,71.81,839859
2010-06-15,72.8,73.19,71.73,72.68,798878
2010-06-16,72.23,73.0,71.46,72.56,751320
2010-06-17,73.39,73.77,72.04,72.53,568355
2010-06-18,73.18,74.03,72.98,73.96,623495
2010-06-21,71.87,74.42,71.6,74.0,663606
2010-06-22,68.89,72.74,68.59,71.84,862865
2010-06-23,69.28,70.35,68.0,68.82,495054
2010-06-24,67.9,69.07,67.42,68.62,639148
2010-06-25,68.49,69.5,68.0,68.27,810142
2010-06-28,67.63,68.72,67.51,68.63,288928
2010-06-29,63.78,66.66,63.32,66.16,572124
2010-06-30,63.37,64.68,63.07,63.82,975313
2010-07-01,63.41,64.06,61.63,63.45,635073
2010-07-02,61.75,64.2,61.511,63.84,595043
2010-07-05,61.75,64.2,61.511,63.84,0
2010-07-06,60.83,64.07,60.11,62.92,575325
2010-07-07,64.69,64.73,60.88,60.89,744759
2010-07-08,65.0,66.16,64.02,65.63,429466
2010-07-09,65.21,65.97,64.61,65.0,328412
2010-07-12,65.06,65.55,64.19,64.8,184456
2010-07-13,67.23,67.5,65.57,65.93,376540
2010-07-14,66.87,67.6,66.0,66.51,224093
2010-07-15,66.34,67.02,65.15,67.02,191270
2010-07-16,64.36,66.0,63.93,65.81,569463
2010-07-19,65.35,65.61,63.74,64.65,285799
2010-07-20,67.9,68.03,63.95,64.3,391638
2010-07-21,66.23,68.55,65.84,68.3,357293
2010-07-22,69.73,70.05,66.87,67.42,439466
2010-07-23,70.91,71.04,68.28,69.43,393411
2010-07-26,72.59,72.71,70.61,71.1,424335
2010-07-27,72.09,73.75,71.41,73.18,648742
2010-07-28,71.43,72.92,71.05,71.8,616640
2010-07-29,69.93,72.24,69.57,72.05,339598
2010-07-30,70.55,70.78,69.18,69.22,330846
2010-08-02,72.83,72.96,70.6,71.93,835052
2010-08-03,72.0,72.51,71.58,72.22,371554
2010-08-04,72.18,72.6,71.5,72.11,239310
2010-08-05,71.64,72.75,71.19,71.96,334920
2010-08-06,72.34,72.49,70.66,70.66,323423
2010-08-09,73.25,73.4292,72.04,72.04,297782
2010-08-10,71.18,72.29,70.46,72.2,445690
2010-08-11,69.57,70.56,68.36,69.68,1471312
2010-08-12,68.25,69.26,67.88,68.6,511576
2010-08-13,67.35,68.65,67.17,67.98,344638
2010-08-16,67.47,68.25,66.69,66.9,309996
2010-08-17,69.2,69.88,67.47,68.32,489706
2010-08-18,70.35,71.02,68.64,69.2,601467
2010-08-19,68.57,70.26,68.29,69.97,477374
