Date,Close,High,Low,Open,Volume
2016-10-20,19.67,20.0,16.81,16.81,2521
2016-10-21,20.1,20.1,19.75,19.75,1218
2016-10-24,19.71,20.1,19.7,20.1,2923
2016-10-25,20.49,20.49,19.75,20.05,12610
2016-10-26,20.83,21.01,20.5925,21.0,182138
2016-10-27,21.18,21.21,21.0,21.11,24469
2016-10-28,21.35,21.59,21.0,21.21,63470
2016-10-31,21.57,21.955,21.2,21.44,145000
2016-11-01,18.92,22.64,18.75,22.24,17903782
2016-11-02,17.94,18.97,17.63,18.86,16370086
2016-11-03,17.49,18.045,17.42,17.73,8453949
2016-11-04,17.68,17.8,17.51,17.6,9454502
2016-11-07,17.34,18.0,17.28,17.9,9256807
2016-11-08,17.41,17.55,17.22,17.36,6536228
2016-11-09,17.53,17.695,16.75,16.95,7495318
2016-11-10,18.45,18.53,17.55,17.55,12429015
2016-11-11,18.86,18.94,18.31,18.43,5358248
2016-11-14,19.09,19.12,18.83,18.94,5293459
2016-11-15,19.91,19.96,19.16,19.16,4856755
2016-11-16,19.61,19.8,19.45,19.75,4151123
2016-11-17,19.5,19.62,19.36,19.55,4208930
2016-11-18,19.91,19.91,19.37,19.46,4858163
2016-11-21,20.18,20.19,19.82,19.89,3611637
2016-11-22,19.89,20.28,19.8,20.07,4807995
2016-11-23,20.28,20.4,19.71,19.81,3667640
2016-11-24,20.28,20.28,20.28,20.28,0
2016-11-25,20.53,20.65,20.24,20.32,2575151
2016-11-28,20.15,20.43,19.92,20.4,4554108
2016-11-29,19.67,20.04,19.51,20.04,5881084
2016-11-30,19.28,19.85,19.25,19.59,6410492
2016-12-01,19.5,19.82,19.26,19.34,7831570
2016-12-02,19.69,19.72,19.35,19.39,3108223
2016-12-05,20.26,20.28,19.61,19.64,4553946
2016-12-06,20.32,20.34,19.7,19.89,4405882
2016-12-07,20.88,20.9,20.38,20.41,4498824
2016-12-08,20.91,21.21,20.89,21.01,3820590
2016-12-09,21.8,21.82,21.11,21.13,6328440
2016-12-12,21.58,22.2,21.51,21.73,4975670
2016-12-13,21.19,21.76,20.91,21.57,4540644
2016-12-14,20.75,21.385,20.7,20.91,5890965
2016-12-15,20.56,21.01,20.43,20.71,4612729
2016-12-16,20.26,20.865,20.13,20.49,16170722
2016-12-19,20.02,20.2,19.85,20.05,4507626
2016-12-20,20.1,20.368,20.0,20.0,3422525
2016-12-21,20.02,20.2,19.93,20.02,2912807
2016-12-22,20.07,20.13,19.81,19.92,3482555
2016-12-23,19.78,20.09,19.67,20.0,2162550
2016-12-26,19.78,19.78,19.78,19.78,0
2016-12-27,19.78,20.13,19.63,19.8,2424749
2016-12-28,19.25,19.86,19.23,19.69,3243371
