Date,Close,High,Low,Open,Volume
2010-01-01,22.41,22.77,22.37,22.71,0
2010-01-04,22.65,22.86,22.41,22.41,2176053
2010-01-05,22.88,22.91,22.585,22.67,1843513
2010-01-06,23.0,23.15,22.83,22.89,2089315
2010-01-07,23.05,23.15,22.9,23.12,1353143
2010-01-08,23.0,23.18,22.82,23.1,1359024
2010-01-11,23.23,23.77,22.94,23.0,2313460
2010-01-12,23.12,23.25,23.0,23.25,1117469
2010-01-13,23.22,23.32,23.0,23.08,703581
2010-01-14,22.98,23.15,22.88,23.12,1173619
2010-01-15,22.6,23.06,22.425,23.06,996670
2010-01-18,22.6,23.06,22.425,23.06,0
2010-01-19,22.5,22.81,22.5,22.69,779435
2010-01-20,22.45,22.6,22.21,22.59,1438753
2010-01-21,22.11,22.62,22.09,22.47,1280342
2010-01-22,22.06,22.18,21.64,22.17,1491353
2010-01-25,22.15,22.37,21.96,22.23,1004710
2010-01-26,22.02,22.18,21.39,21.85,659944
2010-01-27,22.02,22.2,21.75,22.0,1078029
2010-01-28,21.66,22.1,21.6,22.02,1195191
2010-01-29,21.8,22.02,21.567,21.67,1422992
2010-02-01,22.14,22.18,21.83,21.89,878289
2010-02-02,22.1,22.405,22.03,22.22,816119
2010-02-03,22.36,22.36,21.77,22.1,933247
2010-02-04,21.75,22.3,21.75,22.11,1156320
2010-02-05,21.68,21.92,21.34,21.84,836188
2010-02-08,21.61,21.88,21.5301,21.67,668916
2010-02-09,21.4,21.9,21.37,21.7,811267
2010-02-10,21.57,21.605,21.2,21.38,681835
2010-02-11,21.82,21.93,21.4,21.6,1096905
2010-02-12,22.16,22.16,21.55,21.74,906528
2010-02-15,22.16,22.16,21.55,21.74,0
2010-02-16,22.12,22.2,21.99,22.07,759877
2010-02-17,22.21,22.41,22.085,22.21,1092637
2010-02-18,22.51,22.53,22.16,22.26,751723
2010-02-19,22.88,22.99,22.45,22.53,1019398
2010-02-22,22.69,23.0,22.65,22.95,431249
2010-02-23,22.45,22.77,22.32,22.71,916080
2010-02-24,22.26,22.56,22.12,22.56,639474
2010-02-25,22.31,22.34,21.8419,22.09,1211648
2010-02-26,22.26,22.36,22.09,22.3,1079780
2010-03-01,21.08,22.39,20.72,21.93,5563442
2010-03-02,20.75,21.075,20.39,20.98,4386187
2010-03-03,20.92,21.07,20.75,20.8,3049246
2010-03-04,21.25,21.34,20.91,21.0,1550883
2010-03-05,21.41,21.46,21.12,21.3,929200
2010-03-08,21.35,21.47,21.17,21.42,877771
2010-03-09,21.22,21.37,21.0,21.25,935932
2010-03-10,21.07,21.2,20.99,21.12,840790
2010-03-11,21.02,21.09,20.95,21.04,1320126
2010-03-12,20.96,21.14,20.89,21.14,1969969
2010-03-15,21.1,21.31,20.98,21.06,1568764
2010-03-16,21.07,21.25,20.9199,21.2,1044364
2010-03-17,21.27,21.33,20.98,21.13,905869
2010-03-18,21.4,21.5,21.18,21.21,732595
2010-03-19,21.25,21.4,20.95,21.23,1315647
2010-03-22,21.11,21.19,20.89,21.19,841678
2010-03-23,21.61,21.67,20.96,21.21,1645639
2010-03-24,21.7,21.78,21.5,21.53,1263768
2010-03-25,21.51,21.81,21.36,21.74,1274251
2010-03-26,21.25,21.61,21.12,21.56,1035800
2010-03-29,21.43,21.45,21.14,21.28,506317
2010-03-30,21.37,21.57,21.08,21.4,1025447
2010-03-31,21.76,21.8,21.274,21.4,964347
