Date,Close,High,Low,Open,Volume
2010-01-01,54.13,55.22,54.05,55.0,0
2010-01-04,56.18,56.39,54.8,55.72,6187088
2010-01-05,58.02,58.28,56.0,56.25,8872728
2010-01-06,59.78,59.99,57.88,58.23,8838016
2010-01-07,62.2,62.31,59.02,59.51,14380744
2010-01-08,61.6,61.78,60.86,61.54,7147427
2010-01-11,60.87,62.09,60.51,61.95,5627699
2010-01-12,60.43,61.2,59.91,60.07,5273875
2010-01-13,61.16,61.7,60.35,60.61,4950400
2010-01-14,61.56,61.62,60.78,61.03,3000398
2010-01-15,60.82,61.56,60.21,61.53,5067225
2010-01-18,60.82,61.56,60.21,61.53,0
2010-01-19,60.65,61.01,59.96,60.6,5428029
2010-01-20,60.2,60.57,58.53,60.33,5374069
2010-01-21,59.2,61.26,58.9,60.3,5401938
2010-01-22,57.77,59.17,57.7,58.62,4745396
2010-01-25,57.78,58.7464,57.5,58.35,3489914
2010-01-26,57.71,58.5,57.23,57.54,4552136
2010-01-27,61.93,62.08,58.83,58.84,14760056
2010-01-28,62.56,62.95,61.31,62.15,8865642
2010-01-29,60.6,63.4,60.32,62.8,8726177
2010-02-01,61.7,61.86,60.72,60.74,5929599
2010-02-02,61.94,62.0,61.0,61.29,7862734
2010-02-03,61.46,61.8,60.85,61.52,5480578
2010-02-04,59.32,61.17,59.25,60.95,7491344
2010-02-05,58.4,59.74,57.14,59.21,9676128
2010-02-08,57.89,58.9704,57.78,58.33,4724664
2010-02-09,59.74,60.43,58.39,58.62,8250844
2010-02-10,59.54,60.05,58.94,59.71,4237165
2010-02-11,60.59,60.75,58.94,59.75,4395736
2010-02-12,59.65,59.92,58.93,59.87,5178568
2010-02-15,59.65,59.92,58.93,59.87,0
2010-02-16,61.26,61.29,59.9,60.3,4268659
2010-02-17,61.82,62.0,61.0,61.36,4116170
2010-02-18,62.89,63.01,61.72,61.84,4391778
2010-02-19,63.59,64.34,62.65,62.95,7371049
2010-02-22,63.97,64.47,63.19,63.64,6034004
2010-02-23,62.77,64.17,62.25,63.57,6484460
2010-02-24,63.48,63.7,62.64,63.11,3400361
2010-02-25,62.87,62.97,62.0,62.65,5043170
2010-02-26,63.16,63.88,63.03,63.34,4415909
2010-03-01,64.0,64.33,63.0,63.17,5265630
2010-03-02,64.44,65.33,64.36,64.75,4383103
2010-03-03,64.45,64.97,64.05,64.72,4289350
2010-03-04,65.55,65.8,64.85,64.99,7718659
2010-03-05,67.93,68.04,66.03,66.19,8506441
2010-03-08,67.24,68.01,67.13,67.95,5077225
2010-03-09,67.79,68.34,67.35,67.35,7655839
2010-03-10,70.01,70.48,68.03,68.18,10616531
2010-03-11,70.07,70.43,69.15,70.07,7293133
2010-03-12,69.83,70.49,69.25,70.45,5302767
2010-03-15,69.4,69.77,68.52,69.68,7709023
2010-03-16,68.72,69.3149,68.3,69.0,7495575
2010-03-17,69.38,69.49,68.29,68.9,6004213
2010-03-18,70.87,70.93,69.19,69.37,7435774
2010-03-19,70.72,73.3,70.72,73.2,16403258
2010-03-22,71.91,72.64,71.51,71.68,9014855
2010-03-23,72.18,72.63,71.51,72.56,4986322
2010-03-24,72.32,73.2,71.78,72.48,7699920
2010-03-25,72.49,73.43,72.0,73.1,5431155
2010-03-26,72.59,72.99,72.35,72.62,4933688
2010-03-29,74.11,74.53,73.0,73.01,9064111
2010-03-30,73.53,74.18,72.7,73.89,4381292
2010-03-31,72.61,73.06,71.95,72.85,5884899
