Date,Close,High,Low,Open,Volume
2010-01-01,39.46,40.35,39.46,40.2,0
2010-01-04,40.19,40.58,39.63,39.84,6434333
2010-01-05,41.21,41.5,40.5,40.54,6980090
2010-01-06,40.89,41.34,40.66,41.21,4194522
2010-01-07,41.54,41.59,40.7,40.8,8761905
2010-01-08,39.91,40.86,39.75,40.64,14178807
2010-01-11,39.23,40.04,39.0,40.04,9571435
2010-01-12,39.26,39.33,38.71,39.1,6773384
2010-01-13,39.73,39.85,39.31,39.37,4400286
2010-01-14,39.35,39.74,39.24,39.31,4047628
2010-01-15,38.93,39.46,38.75,39.34,5806439
2010-01-18,38.93,39.46,38.75,39.34,0
2010-01-19,39.1,39.4,38.65,38.87,4974993
2010-01-20,38.77,39.06,38.5,38.77,5295150
2010-01-21,38.17,39.03,38.0,38.72,6825422
2010-01-22,37.15,38.22,37.06,38.09,9599182
2010-01-25,37.53,37.84,37.32,37.32,5595230
2010-01-26,37.06,37.58,37.01,37.13,6953962
2010-01-27,36.92,37.44,36.83,37.25,8380440
2010-01-28,36.35,37.09,36.05,36.95,8300272
2010-01-29,36.65,37.1257,36.51,36.64,9077130
2010-02-01,36.76,36.93,36.61,36.82,5631301
2010-02-02,37.28,37.45,36.75,36.8,5378996
2010-02-03,37.03,37.47,36.91,37.13,4443764
2010-02-04,35.59,36.8,35.55,36.78,6387006
2010-02-05,35.82,35.85,35.16,35.65,7297847
2010-02-08,35.47,36.245,35.47,35.82,4602371
2010-02-09,35.98,36.33,35.7,35.72,5554209
2010-02-10,35.4,36.02,35.35,35.9,6440671
2010-02-11,35.65,35.75,35.16,35.53,5387509
2010-02-12,35.76,35.96,35.01,35.44,5195745
2010-02-15,35.76,35.96,35.01,35.44,0
2010-02-16,36.43,36.45,35.785,35.91,4622573
2010-02-17,36.28,36.84,36.02,36.5,5794358
2010-02-18,36.15,36.25,35.94,36.08,4706472
2010-02-19,36.34,36.49,36.0,36.02,4469199
2010-02-22,36.57,36.76,36.28,36.33,5585389
2010-02-23,36.4,36.73,36.03,36.5,6150934
2010-02-24,36.94,36.96,36.375,36.67,5881699
2010-02-25,36.87,37.0,36.18,36.52,6126328
2010-02-26,36.5,37.09,36.43,37.0,5112998
2010-03-01,36.8,36.98,36.42,36.62,5262278
2010-03-02,36.45,36.97,36.38,36.87,6336859
2010-03-03,36.55,36.96,36.28,36.49,5129117
2010-03-04,37.15,37.35,36.7,36.74,9585423
2010-03-05,38.64,39.01,37.4,37.83,11727654
2010-03-08,39.35,39.56,38.67,38.79,6830929
2010-03-09,38.91,39.47,38.59,39.12,5642327
2010-03-10,38.96,39.23,38.75,39.0,4274606
2010-03-11,39.47,39.58,38.78,38.91,5996816
2010-03-12,40.12,40.3802,39.75,40.0,7516219
2010-03-15,39.6,40.16,39.32,39.78,6154888
2010-03-16,39.58,39.71,39.13,39.64,4842289
2010-03-17,40.11,40.15,39.6,39.83,5520592
2010-03-18,40.45,40.92,40.01,40.08,6618672
2010-03-19,40.99,41.8,40.8,41.79,14096728
2010-03-22,41.2,41.295,40.54,40.59,8233746
2010-03-23,41.51,41.6,40.81,41.47,7759023
2010-03-24,41.18,41.59,41.11,41.51,7529421
2010-03-25,42.66,44.79,41.18,44.3,30643314
2010-03-26,43.16,43.47,42.56,42.59,10669968
2010-03-29,43.0,43.42,42.41,43.35,6876102
2010-03-30,42.62,43.23,42.42,43.12,6991190
2010-03-31,42.54,42.62,42.36,42.5,5581330
2010-04-01,42.57,43.3,42.37,43.06,7314358
2010-04-02,42.57,43.3,42.37,43.06,0
2010-04-05,43.37,43.46,42.65,42.95,5064918
2010-04-06,44.11,44.3,43.4,43.49,7586369
2010-04-07,44.2,44.7,43.88,44.0,8816301
2010-04-08,44.66,44.88,43.7,43.87,9756940
2010-04-09,44.89,44.9,44.21,44.63,6528452
2010-04-12,45.23,45.65,44.77,45.0,6001912
2010-04-13,44.69,44.99,44.395,44.92,5836382
2010-04-14,45.57,45.67,44.78,44.78,6628061
2010-04-15,45.89,46.3,45.24,45.32,5650430
2010-04-16,45.39,45.99,45.27,45.89,7507914
2010-04-19,44.89,45.4,44.09,44.88,7211308
2010-04-20,45.2,45.595,44.911,45.1,4524955
2010-04-21,46.18,46.3289,45.3,45.37,5517905
2010-04-22,47.19,47.33,45.54,45.68,7652808
2010-04-23,48.58,48.75,47.35,47.47,12412113
2010-04-26,48.31,48.83,47.97,48.37,6620457
2010-04-27,46.49,48.13,46.43,47.88,7597536
2010-04-28,46.5,47.04,46.0,46.89,5684482
2010-04-29,47.68,47.72,46.82,47.15,4589367
2010-04-30,45.52,48.0,45.5,47.66,7581405
2010-05-03,46.11,46.7201,44.36,45.79,8928919
2010-05-04,44.55,45.7,43.92,45.56,10154232
2010-05-05,42.9,44.14,42.8,43.43,12621786
2010-05-06,41.51,43.28,39.0,42.63,13674043
2010-05-07,41.03,42.35,39.6,41.34,14129531
2010-05-10,43.55,43.665,42.46,42.9,6824122
2010-05-11,44.43,45.17,42.78,42.8,9197207
2010-05-12,45.11,45.21,44.21,44.86,4795666
2010-05-13,43.73,45.37,43.63,45.16,4884753
2010-05-14,43.07,43.3,42.52,43.18,6224611
2010-05-17,43.24,43.59,42.2,43.45,6054215
2010-05-18,42.58,44.18,42.44,43.82,4691163
2010-05-19,42.08,42.93,41.55,42.29,5288041
2010-05-20,40.75,41.9,40.12,40.88,6876432
2010-05-21,41.8,42.18,39.88,39.91,6353140
2010-05-24,41.17,41.96,41.16,41.47,4879158
2010-05-25,40.99,41.06,39.68,40.28,8321611
2010-05-26,40.56,41.92,40.51,41.35,7586453
2010-05-27,42.24,42.29,40.93,41.35,8014138
2010-05-28,42.25,42.6016,41.7,42.27,6363185
2010-05-31,42.25,42.6016,41.7,42.27,0
2010-06-01,40.72,42.19,40.68,41.99,6493979
2010-06-02,40.2,40.97,38.6,40.75,14995286
2010-06-03,40.27,40.78,39.56,40.22,6389453
2010-06-04,38.8825,39.59,38.63,39.3,8279182
2010-06-07,37.91,39.79,37.81,39.12,8539615
2010-06-08,38.71,38.8,37.39,37.91,8449850
2010-06-09,39.0,39.83,38.82,39.08,6396589
2010-06-10,40.24,40.33,39.61,39.76,5063663
2010-06-11,41.2,41.3299,39.61,40.04,6251628
2010-06-14,41.05,42.65,41.0,41.92,8361378
2010-06-15,38.56,39.21,37.93,38.9,29300164
2010-06-16,38.18,38.5,38.02,38.35,9605004
2010-06-17,37.82,38.4,37.45,38.36,8399969
2010-06-18,37.83,38.17,37.71,37.88,7346995
2010-06-21,37.08,38.22,36.89,38.15,7737897
2010-06-22,36.61,37.54,36.52,37.0,5895429
2010-06-23,36.63,36.9,35.92,36.77,6083637
2010-06-24,35.74,36.68,35.58,36.42,8686970
2010-06-25,35.16,35.92,35.0,35.74,13206898
2010-06-28,35.35,35.73,35.04,35.3,7275436
2010-06-29,34.16,34.97,33.96,34.95,6831415
2010-06-30,33.86,34.55,33.77,34.17,5666381
2010-07-01,34.12,34.49,33.4,33.68,8338888
2010-07-02,33.86,34.34,33.8,34.21,5901426
2010-07-05,33.86,34.34,33.8,34.21,0
2010-07-06,33.13,34.49,32.81,34.23,9261753
2010-07-07,34.43,34.45,33.04,33.1,10658852
2010-07-08,34.4,34.9,33.83,34.86,6539909
2010-07-09,34.37,34.38,33.61,33.66,6246818
2010-07-12,34.13,34.51,33.75,34.2,5227128
2010-07-13,35.42,35.58,34.53,34.61,7361439
2010-07-14,34.95,35.2799,34.66,35.24,6890181
2010-07-15,35.42,35.52,34.54,34.85,5210304
2010-07-16,34.33,35.39,33.92,35.26,8564004
2010-07-19,34.37,34.6275,34.03,34.35,4615610
2010-07-20,34.55,34.74,33.8,33.89,6040480
2010-07-21,33.84,34.74,33.8102,34.74,6996109
2010-07-22,34.93,35.13,34.22,34.26,6153709
2010-07-23,35.79,35.82,34.61,35.04,5826858
2010-07-26,36.9,36.91,35.61,35.86,5757720
2010-07-27,35.45,37.04,35.35,37.04,7903176
2010-07-28,35.14,35.79,34.95,35.45,5888150
2010-07-29,34.55,35.56,34.3,35.31,6867790
2010-07-30,34.66,34.82,34.0,34.25,7350609
2010-08-02,35.84,36.21,34.7099,35.11,7179966
2010-08-03,34.9,35.84,34.79,35.8,5634935
2010-08-04,35.16,35.44,34.8,35.1,5720087
2010-08-05,35.13,35.55,34.46,35.07,6157415
2010-08-06,34.91,35.11,34.5,34.91,5335818
2010-08-09,35.58,35.6513,35.07,35.09,4035525
2010-08-10,34.57,34.87,34.21,34.79,6298814
2010-08-11,33.29,34.1,33.24,34.1,6836305
2010-08-12,33.43,33.71,32.81,32.97,5555281
2010-08-13,33.14,33.55,33.08,33.27,3691217
2010-08-16,33.05,33.275,32.61,32.98,4214682
2010-08-17,32.9,33.4,32.77,33.36,6229228
2010-08-18,33.18,33.34,32.77,32.91,6358943
2010-08-19,32.66,33.38,32.49,33.09,4082081
2010-08-20,32.5,32.57,32.05,32.41,4958721
2010-08-23,32.22,32.96,32.13,32.7,3801617
2010-08-24,31.68,32.28,31.38,32.0,4887024
2010-08-25,32.48,32.68,31.25,31.34,5492311
2010-08-26,31.93,32.74,31.9,32.45,4762826
2010-08-27,31.86,32.27,30.9,32.24,7578670
2010-08-30,31.46,31.94,31.46,31.89,4265475
2010-08-31,31.39,32.2,31.32,31.35,6721442
2010-09-01,32.66,32.7,31.77,31.78,5408149
2010-09-02,33.46,33.55,32.5,32.76,5651859
2010-09-03,34.37,34.67,33.75,33.91,6411557
2010-09-06,34.37,34.67,33.75,33.91,0
2010-09-07,33.69,34.65,33.68,34.2,4542932
2010-09-08,33.54,33.83,33.15,33.36,8884710
2010-09-09,33.56,34.2,33.22,33.96,6448319
