Date,Close,High,Low,Open,Volume
2010-01-01,78.86,79.66,78.86,79.48,0
2010-01-04,78.6,79.68,78.26,78.99,1793104
2010-01-05,77.87,78.72,77.7675,78.4,1122171
2010-01-06,77.66,78.08,77.28,77.99,1207997
2010-01-07,77.64,77.89,77.02,77.45,2266836
2010-01-08,77.91,78.31,77.38,77.67,1184993
2010-01-11,78.41,78.6,77.77,78.35,1535513
2010-01-12,77.25,78.28,77.14,78.28,1412745
2010-01-13,77.5,77.99,77.32,77.32,1392986
2010-01-14,77.04,77.25,76.11,76.5,2099858
2010-01-15,76.29,76.94,75.68,76.76,1382360
2010-01-18,76.29,76.94,75.68,76.76,0
2010-01-19,77.29,77.67,76.36,76.42,1692288
2010-01-20,76.79,77.6,76.01,77.4,1382028
2010-01-21,76.15,77.31,76.08,77.2,1203567
2010-01-22,75.08,76.4,74.76,75.1,1535146
2010-01-25,75.78,76.392,75.12,75.26,863997
2010-01-26,75.57,75.8,75.03,75.47,745478
2010-01-27,76.0,76.34,74.75,75.3,1179913
2010-01-28,76.48,78.63,75.6,78.63,1577647
2010-01-29,75.37,76.82,75.11,76.74,1090273
2010-02-01,75.71,76.12,74.81,75.43,806281
2010-02-02,77.02,77.06,75.38,75.93,1388528
2010-02-03,76.64,76.94,76.118,76.94,1458695
2010-02-04,74.71,76.38,74.68,76.11,1470376
2010-02-05,74.89,74.93,73.85,74.56,1913076
2010-02-08,74.68,75.145,74.07,74.69,1284608
2010-02-09,75.26,75.66,74.33,75.47,1185830
2010-02-10,74.64,75.25,74.28,75.11,1249350
2010-02-11,75.22,75.29,74.27,74.71,1832457
2010-02-12,75.84,75.93,74.14,74.75,1726557
2010-02-15,75.84,75.93,74.14,74.75,0
2010-02-16,76.91,76.96,75.33,76.0,1384251
2010-02-17,77.36,77.74,76.9309,77.0,1282610
2010-02-18,77.96,78.0,76.96,77.36,1155932
2010-02-19,77.54,77.9,76.68,77.42,1618655
2010-02-22,77.5,77.9,77.1,77.85,949666
2010-02-23,77.87,78.06,76.75,77.39,1560228
2010-02-24,78.82,78.86,77.58,77.8,1888190
2010-02-25,78.52,78.62,77.73,78.42,1494334
2010-02-26,77.87,78.9,77.75,78.73,1357021
2010-03-01,79.02,79.02,77.88,77.95,1680451
2010-03-02,79.14,79.63,78.73,78.8,1354295
2010-03-03,78.68,79.21,78.62,79.21,1055661
2010-03-04,78.5,79.02,78.21,78.76,1667562
2010-03-05,78.6,78.68,78.24,78.68,1601348
2010-03-08,77.95,78.66,77.77,78.15,1061671
2010-03-09,78.47,78.64,77.75,77.75,1079610
2010-03-10,78.92,79.1,78.29,78.37,1266862
2010-03-11,78.46,79.02,77.55,78.78,1088433
2010-03-12,78.37,78.69,77.79,78.5,908215
2010-03-15,79.0,79.01,78.06,78.37,701572
2010-03-16,79.03,79.57,78.77,79.1,849497
2010-03-17,79.24,79.56,78.85,79.25,842273
