Date,Close,High,Low,Open,Volume
2010-01-01,14.2853,14.5227,14.28,14.4773,0
2010-01-04,14.3467,14.4613,14.2773,14.2853,1169058
2010-01-05,14.1973,14.3653,14.032,14.304,1507878
2010-01-06,14.3947,14.4213,14.1973,14.2213,1497780
2010-01-07,14.2533,14.4213,14.1867,14.4213,802597
2010-01-08,14.2507,14.2613,14.0933,14.2587,811203
2010-01-11,14.304,14.3653,14.188,14.3227,838800
2010-01-12,14.4053,14.408,14.2347,14.2667,971621
2010-01-13,14.704,14.816,14.3573,14.392,1054046
2010-01-14,14.584,14.7147,14.5227,14.664,654787
2010-01-15,14.3573,14.6587,14.304,14.6027,1192616
2010-01-18,14.3573,14.6587,14.304,14.6027,0
2010-01-19,14.3653,14.3837,14.204,14.3493,913695
2010-01-20,14.248,14.2587,14.016,14.2587,830775
2010-01-21,14.0427,14.3627,13.96,14.3493,965553
2010-01-22,13.7893,14.0267,13.7573,13.9707,878010
2010-01-25,13.8027,13.912,13.6933,13.912,682488
2010-01-26,13.7547,13.8053,13.584,13.7787,614516
2010-01-27,13.712,13.7547,13.56,13.7547,867146
2010-01-28,13.6587,13.8693,13.624,13.7627,710823
2010-01-29,13.6853,13.7707,13.5467,13.7707,1156451
2010-02-01,13.784,13.8027,13.6853,13.7813,655080
2010-02-02,13.8747,13.8853,13.6027,13.8213,791430
2010-02-03,13.7013,13.9173,13.6693,13.8107,636127
2010-02-04,13.1973,13.728,13.1867,13.6613,858243
2010-02-05,13.2,13.2693,13.048,13.176,924191
2010-02-08,13.216,13.4,13.2,13.2987,1293063
2010-02-09,13.5467,13.7173,13.3627,13.3867,1102038
2010-02-10,13.5333,13.6747,13.424,13.5227,629332
2010-02-11,13.5333,13.5653,13.3013,13.5413,1110303
2010-02-12,13.5067,13.5867,13.3493,13.4773,1297631
2010-02-15,13.5067,13.5867,13.3493,13.4773,0
2010-02-16,13.64,13.6427,13.4833,13.5467,1045788
2010-02-17,13.8667,13.8933,13.5973,13.6533,744787
2010-02-18,14.072,14.0987,13.888,13.888,565023
2010-02-19,14.1173,14.2,13.9387,14.016,740508
2010-02-22,14.088,14.1947,14.0507,14.176,461812
2010-02-23,13.9707,14.0933,13.856,14.0907,631061
2010-02-24,14.192,14.256,13.9733,14.0693,1013640
2010-02-25,14.152,14.1867,13.8507,14.0027,1204950
2010-02-26,13.9627,14.2053,13.9227,14.2053,1582237
2010-03-01,14.248,14.5627,14.0293,14.0587,1292613
2010-03-02,14.384,14.4133,14.224,14.2853,1330676
2010-03-03,14.4053,14.5147,14.3547,14.384,1148628
2010-03-04,14.5653,14.624,14.3467,14.3467,1019336
2010-03-05,14.8027,14.8133,14.6747,14.6747,1050907
2010-03-08,14.792,14.864,14.696,14.7493,819840
2010-03-09,14.904,14.9493,14.6853,14.7547,1677487
