Date,Close,High,Low,Open,Volume
2010-01-01,49.2789,49.5829,49.1039,49.5552,0
2010-01-04,49.4079,49.7118,49.371,49.6197,2681205
2010-01-05,49.1684,50.6606,48.8184,50.4027,5319035
2010-01-06,49.2144,49.4631,48.6341,48.9657,6031609
2010-01-07,48.8092,49.2789,48.321,48.8368,3973324
2010-01-08,49.8132,50.0434,48.6434,48.6526,3253103
2010-01-11,49.6474,50.0619,49.3065,49.6105,1968609
2010-01-12,49.0486,49.7671,48.7631,49.3894,3520675
2010-01-13,49.8132,50.0434,48.7815,49.0763,2313873
2010-01-14,50.0711,50.0711,49.3618,49.5184,1922600
2010-01-15,49.9053,50.5224,49.5368,50.4027,3253933
2010-01-18,49.9053,50.5224,49.5368,50.4027,0
2010-01-19,50.8724,50.9461,50.0066,50.0711,3193538
2010-01-20,50.4027,51.0014,49.7487,50.725,2859723
2010-01-21,49.0118,50.2277,48.5144,50.0526,5136421
2010-01-22,48.8736,49.4723,48.4499,49.0026,3439134
2010-01-25,48.5144,49.2789,48.0539,48.8921,2459263
2010-01-26,48.8184,48.9197,48.0446,48.2104,2547692
2010-01-27,49.3526,49.3894,48.2381,48.2933,3217613
2010-01-28,49.0671,50.2092,48.4499,49.979,3598542
2010-01-29,49.5,49.6566,48.8276,49.2236,3395748
2010-02-01,49.6566,49.675,48.7999,49.6105,2694932
2010-02-02,50.6053,50.6145,49.0394,49.4816,2365045
2010-02-03,50.2921,50.4856,49.7671,50.2461,2340291
2010-02-04,48.9105,50.1632,48.8092,49.8868,3039332
2010-02-05,49.3065,49.4631,48.1091,49.0486,3950374
2010-02-08,48.671,49.3342,48.3302,48.9934,3096667
2010-02-09,49.8224,50.55,49.1223,49.6566,3218929
2010-02-10,50.0987,50.5777,49.8039,49.9329,2783854
2010-02-11,51.2961,51.508,49.6658,49.9974,3066037
2010-02-12,50.854,51.3974,50.4027,50.8724,3207252
2010-02-15,50.854,51.3974,50.4027,50.8724,0
2010-02-16,50.7711,51.3698,50.5869,51.1672,3557679
2010-02-17,51.7935,51.8212,50.9461,50.9461,2711752
2010-02-18,51.5632,51.9225,51.3974,51.5632,2815574
2010-02-19,52.1435,52.4936,51.1119,51.3238,3318834
2010-02-22,51.2777,52.1896,51.1488,52.0699,2356248
2010-02-23,50.8908,51.6922,50.5224,51.2409,3159948
2010-02-24,50.9277,51.5356,50.4211,51.1211,5740935
2010-02-25,50.5592,50.6329,49.7671,50.0066,3068236
2010-02-26,50.6698,50.8356,50.2369,50.4856,3090961
2010-03-01,52.3001,52.4107,50.9737,51.0106,2787870
2010-03-02,52.7883,52.9357,52.0606,52.0791,2747547
2010-03-03,52.3093,53.0462,52.231,52.7423,2160916
2010-03-04,52.1896,52.4107,51.8948,52.3093,1495888
2010-03-05,52.6962,52.6962,52.1435,52.1435,1657255
2010-03-08,53.1199,53.866,52.4199,52.4936,3327413
2010-03-09,53.2765,53.7094,52.991,53.0923,2383259
2010-03-10,54.0779,54.3081,53.3318,53.3318,2441127
2010-03-11,54.1423,54.216,53.166,53.9305,2025499
2010-03-12,54.1239,54.2791,53.4976,54.1792,1595579
2010-03-15,54.2529,54.3358,53.714,54.2805,1527882
2010-03-16,55.0174,55.1279,54.0134,54.5568,3515536
2010-03-17,54.6766,55.0174,54.5568,54.9253,2152596
2010-03-18,54.5292,54.6674,53.7186,54.4555,2727148
2010-03-19,54.9253,55.4227,53.9673,55.1003,5404677
2010-03-22,55.1003,55.524,54.87,55.0634,2349630
2010-03-23,55.1187,55.2108,54.7226,54.9621,1337972
2010-03-24,54.2068,55.0819,54.0871,55.045,1964089
2010-03-25,53.6726,54.5937,53.6726,54.5568,2614421
2010-03-26,53.562,54.1239,53.2581,53.8844,1462550
2010-03-29,53.8107,54.0686,53.3226,53.737,1954850
2010-03-30,53.1568,53.8384,52.9633,53.6265,2203905
2010-03-31,52.862,53.3686,52.7238,52.9633,1759247
2010-04-01,52.9817,53.4147,52.5304,53.2397,1698688
2010-04-02,52.9817,53.4147,52.5304,53.2397,0
2010-04-05,52.991,53.387,52.6225,53.0186,1240015
2010-04-06,52.9633,53.3226,52.7515,52.7975,1544370
2010-04-07,52.7515,53.212,52.4936,52.9725,2029146
2010-04-08,51.9777,52.7791,51.7567,52.7791,2600516
2010-04-09,52.0606,52.4107,51.858,51.9593,2948608
2010-04-12,51.5817,52.0606,51.2961,51.987,2564050
2010-04-13,50.725,51.6461,50.5685,51.3145,4450370
2010-04-14,50.6237,50.8724,49.7855,50.5132,4699319
2010-04-15,50.119,50.6882,49.675,50.4027,3034779
2010-04-16,49.4079,49.9974,48.9289,49.9237,4557621
2010-04-19,50.4671,50.7066,49.2789,49.4079,3339517
2010-04-20,49.6566,50.6329,49.0579,50.3474,3835835
2010-04-21,48.5605,49.5552,48.2657,49.4171,4695640
2010-04-22,47.9249,48.4591,47.5472,48.4591,4694411
2010-04-23,48.4407,48.4776,47.7867,48.017,2735380
2010-04-26,48.1275,48.6203,47.9848,48.2473,2487036
2010-04-27,47.9894,48.9381,47.9157,48.0354,4083600
2010-04-28,48.0078,48.5235,47.9525,48.2565,2628489
2010-04-29,49.1039,49.4631,47.713,48.1091,3860493
2010-04-30,49.0855,49.7763,48.9381,49.2881,3635726
2010-05-03,49.371,49.6658,49.0579,49.2789,2234100
2010-05-04,48.1736,48.9031,47.7105,48.8184,2484925
2010-05-05,48.542,48.7355,47.9157,48.1644,2758713
2010-05-06,46.6998,48.4315,45.53,48.4315,4769629
2010-05-07,46.4143,46.9946,45.4656,46.359,5107225
2010-05-10,47.0959,47.713,46.7367,47.0314,3523318
2010-05-11,47.3262,47.6301,46.7183,46.7551,3124018
2010-05-12,47.9341,47.9525,46.838,47.2709,2578447
2010-05-13,47.3446,47.7959,47.2801,47.5288,1814764
2010-05-14,46.1748,47.3078,45.7235,47.1604,4375170
2010-05-17,46.5801,46.6814,45.4011,46.1011,2450332
2010-05-18,46.6998,47.2064,46.465,46.6906,2616662
2010-05-19,46.4788,47.013,46.0643,46.5248,2750038
2010-05-20,45.3642,46.3406,45.3642,45.6682,4233617
2010-05-21,45.1155,46.0643,44.8853,44.9774,5479101
2010-05-24,44.4616,45.1063,44.4247,44.9221,4186445
2010-05-25,44.5352,44.6089,43.3839,44.001,2973717
2010-05-26,43.6234,44.8945,43.5865,44.5813,4096900
2010-05-27,44.4708,44.4892,43.6602,44.1576,3816657
2010-05-28,43.6878,44.6181,43.6856,44.3418,5005007
2010-05-31,43.6878,44.6181,43.6856,44.3418,0
2010-06-01,43.4944,44.305,43.2733,43.522,3997797
2010-06-02,44.5352,44.6089,43.2733,43.476,3293605
2010-06-03,45.3642,45.4471,44.2958,44.4431,3326994
2010-06-04,44.0655,44.9866,44.001,44.6734,4308797
2010-06-07,43.8813,44.4616,43.8721,44.2589,3126410
2010-06-08,43.1536,44.4247,42.8865,44.3602,4387862
2010-06-09,43.3654,44.0332,42.7115,43.3839,3155707
2010-06-10,44.3418,44.4523,43.5589,43.955,3182599
2010-06-11,42.5733,43.8628,42.3338,43.651,6437889
2010-06-14,43.0983,43.7339,42.7207,42.7667,3351405
2010-06-15,44.3234,44.3787,43.2273,43.4023,3361134
2010-06-16,44.5352,44.6458,44.001,44.1392,2163888
2010-06-17,45.1432,45.2169,44.4155,44.4155,2989779
2010-06-18,45.9261,46.1932,45.2261,45.2445,6272494
2010-06-21,45.5853,46.313,45.4932,46.0735,2849025
2010-06-22,45.6314,46.5617,45.5577,45.8064,2671795
2010-06-23,45.7695,45.9445,45.3366,45.5392,1960045
2010-06-24,45.484,45.9445,45.1984,45.5577,2040905
2010-06-25,45.659,46.313,45.2998,45.5945,9424764
2010-06-28,45.659,45.9952,44.959,45.6682,1909858
2010-06-29,44.8576,45.2169,44.2958,45.1708,2993352
2010-06-30,43.7063,45.18,43.6878,44.6826,4088037
