Date,Close,High,Low,Open,Volume
2010-01-01,27.97,28.19,27.93,27.99,0
2010-01-04,28.29,28.44,27.93,28.19,6127614
2010-01-05,28.59,28.64,27.75,27.95,7189296
2010-01-06,28.16,28.51,28.09,28.48,7253257
2010-01-07,29.35,29.49,27.91,28.08,11051995
2010-01-08,29.53,29.55,28.98,29.28,7144454
2010-01-11,29.02,29.68,28.79,29.65,9364929
2010-01-12,29.07,29.32,28.79,28.88,8932626
2010-01-13,29.29,29.46,28.87,29.07,5872334
2010-01-14,29.25,29.46,28.91,29.26,5943437
2010-01-15,29.03,29.39,28.9,29.15,10784528
2010-01-18,29.03,29.39,28.9,29.15,0
2010-01-19,29.53,29.61,28.89,29.01,9110125
2010-01-20,30.96,31.23,29.79,29.89,17466894
2010-01-21,30.67,31.3,30.55,30.91,13330143
2010-01-22,29.27,31.14,29.13,30.65,12168261
2010-01-25,29.76,30.03,29.5,29.55,6831427
2010-01-26,29.27,29.88,29.22,29.58,7130394
2010-01-27,29.76,29.94,29.09,29.25,7728323
2010-01-28,29.17,29.93,28.77,29.93,8046735
2010-01-29,29.09,29.665,28.99,29.28,8299393
2010-02-01,29.58,29.87,29.2,29.29,6979162
2010-02-02,29.26,29.56,28.98,29.56,7542440
2010-02-03,28.57,29.17,28.51,29.09,7010265
2010-02-04,27.29,28.7,27.25,28.47,10374453
2010-02-05,27.14,27.79,26.35,27.38,14937161
2010-02-08,26.86,27.55,26.83,27.15,7672087
2010-02-09,27.06,27.39,26.76,27.06,7359944
2010-02-10,27.39,27.69,26.95,27.09,8491878
2010-02-11,27.46,27.65,27.11,27.3,5285350
2010-02-12,27.05,27.31,26.7,27.18,7778789
2010-02-15,27.05,27.31,26.7,27.18,0
2010-02-16,27.73,27.77,27.11,27.3,5080219
2010-02-17,27.71,27.91,27.53,27.81,4322646
2010-02-18,27.69,27.76,27.42,27.56,4701462
2010-02-19,28.66,29.18,27.65,27.68,12293581
2010-02-22,28.84,29.09,28.425,28.87,7654724
2010-02-23,28.12,28.84,28.01,28.81,7436926
2010-02-24,28.63,28.815,28.02,28.29,7151323
2010-02-25,28.39,28.43,27.91,28.22,6516627
2010-02-26,28.52,28.55,28.11,28.42,5389717
2010-03-01,28.42,28.63,28.235,28.47,4698157
2010-03-02,28.69,29.15,28.34,28.47,6755229
2010-03-03,28.69,28.87,28.51,28.65,5406075
2010-03-04,28.89,28.975,28.58,28.69,4431287
2010-03-05,29.7,29.73,28.94,29.02,7188262
2010-03-08,29.62,29.73,29.26,29.61,6132001
2010-03-09,29.81,29.89,29.33,29.43,6449842
2010-03-10,29.62,29.91,29.47,29.7,6623180
2010-03-11,29.67,29.67,29.16,29.47,5667570
2010-03-12,29.72,29.96,29.6,29.81,5641259
2010-03-15,29.94,30.01,29.56,29.72,5503021
2010-03-16,30.25,30.29,29.83,30.02,6283038
2010-03-17,30.69,30.76,30.19,30.26,6494701
2010-03-18,30.82,30.85,30.3,30.62,5921224
2010-03-19,30.64,31.07,30.55,30.84,7469815
2010-03-22,30.83,30.94,30.41,30.5,4298720
2010-03-23,31.35,31.37,30.78,30.82,6007782
2010-03-24,30.68,31.25,30.58,31.14,7640330
