Date,Close,High,Low,Open,Volume
2010-01-01,65.72,66.0198,65.6,65.8,0
2010-01-04,66.22,66.496,65.924,66.0,1576650
2010-01-05,66.54,66.59,66.15,66.3878,1308300
2010-01-06,66.2,66.5002,66.1946,66.5,1760750
2010-01-07,66.459,66.51,66.1424,66.2,1505600
2010-01-08,66.44,66.48,66.302,66.48,1499900
2010-01-11,66.4998,66.87,66.16,66.64,2621150
2010-01-12,66.002,66.54,65.996,66.2242,1738700
2010-01-13,66.0,66.46,65.9936,66.22,1532900
2010-01-14,65.96,66.2,65.85,66.2,1324500
2010-01-15,64.94,66.3,64.7208,66.3,2571650
2010-01-18,64.94,66.3,64.7208,66.3,0
2010-01-19,66.64,66.764,65.245,65.52,5537200
2010-01-20,69.52,70.05,66.8,67.52,12477250
2010-01-21,72.72,73.43,70.51,71.13,14497172
2010-01-22,70.1,73.27,69.36,72.9,8783159
2010-01-25,68.84,71.77,68.22,71.48,6568555
2010-01-26,68.0,69.68,67.87,69.33,5233926
2010-01-27,71.36,73.28,69.91,73.28,19886187
2010-01-28,73.75,73.99,71.79,71.94,14150687
2010-01-29,76.43,77.79,74.42,74.55,17297352
2010-02-01,75.41,78.0,74.62,77.79,13131494
2010-02-02,75.51,76.17,74.91,75.7,7979605
2010-02-03,74.36,75.51,74.15,75.43,7203981
2010-02-04,72.61,73.8,72.05,73.8,11190243
2010-02-05,73.57,73.69,71.61,72.25,11737910
2010-02-08,74.23,74.5,72.93,73.99,11992504
2010-02-09,74.53,74.72,73.9,74.72,13563728
2010-02-10,74.42,74.585,74.25,74.54,13792392
2010-02-11,76.69,76.8,74.15,74.5,23040186
2010-02-12,76.9,77.86,74.57,77.15,316134165
2010-02-15,76.9,77.86,74.57,77.15,0
2010-02-16,76.05,76.16,75.65,75.9,25034219
2010-02-17,76.25,76.41,75.44,76.3,11584051
2010-02-18,76.64,76.7,75.86,76.18,9297215
2010-02-19,78.74,79.35,76.5,76.72,24693127
2010-02-22,79.56,80.09,78.32,79.3,16954677
2010-02-23,79.15,80.06,78.98,79.3,14902010
2010-02-24,79.68,80.0,78.81,79.55,12045212
