Date,Close,High,Low,Open,Volume
2010-01-01,9.0,9.11,8.98,9.07,0
2010-01-04,9.01,9.13,8.78,8.86,14332579
2010-01-05,9.04,9.1,8.94,8.99,8594185
2010-01-06,9.16,9.28,8.99,9.07,12922951
2010-01-07,9.09,9.24,9.04,9.2,15366758
2010-01-08,9.0,9.13,8.93,8.94,18895302
2010-01-11,9.07,9.16,9.0,9.08,8951488
2010-01-12,9.14,9.28,8.98,9.04,14009529
2010-01-13,9.15,9.19,8.99,9.17,10789520
2010-01-14,9.51,9.52,9.09,9.12,20174445
2010-01-15,9.43,9.5,9.24,9.5,16701331
2010-01-18,9.43,9.5,9.24,9.5,0
2010-01-19,9.62,9.62,9.41,9.45,14560131
2010-01-20,9.48,9.79,9.4,9.61,33230283
2010-01-21,9.2,9.44,9.04,9.36,31725064
2010-01-22,9.0,9.24,9.0,9.16,22410013
2010-01-25,9.01,9.2,8.98,9.08,12609980
2010-01-26,9.03,9.15,8.93,8.99,10785797
2010-01-27,8.93,9.08,8.86,9.02,18179675
2010-01-28,8.72,8.99,8.66,8.93,16115943
2010-01-29,8.63,8.82,8.62,8.74,12241355
2010-02-01,8.42,8.83,8.24,8.48,68346927
2010-02-02,8.4,8.48,8.25,8.45,37334826
2010-02-03,8.36,8.4,8.26,8.35,12622275
2010-02-04,8.18,8.4,8.16,8.31,21675803
2010-02-05,8.21,8.21,8.06,8.16,17423413
2010-02-08,8.15,8.25,8.07,8.17,15515664
2010-02-09,8.23,8.25,8.08,8.22,19329185
2010-02-10,8.29,8.42,8.1,8.23,23735031
2010-02-11,7.47,7.78,7.39,7.77,154096124
2010-02-12,7.39,7.43,7.25,7.34,58085505
2010-02-15,7.39,7.43,7.25,7.34,0
2010-02-16,7.41,7.43,7.19,7.41,36872489
2010-02-17,7.75,7.82,7.47,7.49,38508021
2010-02-18,7.79,7.92,7.66,7.68,17745457
2010-02-19,7.69,7.73,7.61,7.65,12421181
2010-02-22,7.87,7.93,7.69,7.72,22636195
2010-02-23,7.75,7.85,7.72,7.82,18015886
2010-02-24,7.8,7.85,7.75,7.75,17359454
2010-02-25,7.73,7.75,7.64,7.68,21517263
2010-02-26,7.74,7.86,7.7,7.72,18903342
2010-03-01,7.77,7.84,7.72,7.78,19325828
2010-03-02,7.82,7.83,7.64,7.68,20926996
2010-03-03,7.9,8.0281,7.79,7.82,19317632
2010-03-04,7.92,8.03,7.81,7.9,33014736
2010-03-05,7.89,7.98,7.85,7.95,26906430
2010-03-08,7.9,7.95,7.82,7.91,20604018
2010-03-09,7.74,7.92,7.7,7.84,24442613
2010-03-10,7.65,7.76,7.64,7.7,16195674
2010-03-11,7.86,7.86,7.68,7.8,15701206
2010-03-12,7.78,7.96,7.76,7.89,14577144
2010-03-15,6.8,6.98,6.31,6.4,244627515
2010-03-16,7.09,7.18,6.84,6.93,134726366
2010-03-17,6.95,7.19,6.89,7.17,62407881
2010-03-18,7.07,7.09,6.8,6.99,79551492
2010-03-19,7.13,7.24,7.04,7.2,41060647
2010-03-22,6.95,7.17,6.94,7.12,32793030
2010-03-23,7.02,7.08,6.81,6.96,53540997
2010-03-24,7.04,7.08,6.94,6.96,17268556
2010-03-25,6.96,7.12,6.7,7.1,86613952
2010-03-26,7.01,7.03,6.91,6.96,24877691
2010-03-29,7.19,7.2,6.97,7.03,35298989
2010-03-30,7.25,7.27,7.01,7.1,50870839
2010-03-31,7.22,7.26,7.16,7.19,22734875
2010-04-01,7.23,7.32,7.15,7.25,27779743
2010-04-02,7.23,7.32,7.15,7.25,0
2010-04-05,7.21,7.24,7.15,7.23,14938614
2010-04-06,7.14,7.22,7.09,7.14,26673685
2010-04-07,7.15,7.16,7.05,7.1,20169744
2010-04-08,6.98,7.13,6.97,7.12,32164035
2010-04-09,6.97,7.02,6.89,7.0,39585467
2010-04-12,6.94,7.06,6.94,6.98,19865354
2010-04-13,6.9,6.98,6.84,6.95,58301663
2010-04-14,7.16,7.22,6.92,6.93,44924065
2010-04-15,7.14,7.2,7.09,7.12,23632000
2010-04-16,7.34,7.54,7.23,7.5,91255608
2010-04-19,7.35,7.44,7.24,7.34,33690646
2010-04-20,7.33,7.45,7.295,7.43,19816292
2010-04-21,7.23,7.35,7.16,7.33,25477362
2010-04-22,7.21,7.29,7.11,7.19,22780510
2010-04-23,7.21,7.33,7.12,7.24,17123429
2010-04-26,7.06,7.29,7.02,7.25,37314622
2010-04-27,7.1,7.24,6.76,6.89,62899875
2010-04-28,6.99,7.13,6.94,7.09,26427752
2010-04-29,6.96,7.07,6.945,7.0,19625957
2010-04-30,6.88,7.05,6.87,6.96,12100301
2010-05-03,6.86,6.92,6.8307,6.91,13524829
2010-05-04,6.68,6.84,6.63,6.8,22088966
2010-05-05,6.76,6.8,6.52,6.68,29376088
2010-05-06,6.59,6.88,6.38,6.77,39519024
2010-05-07,6.38,6.61,6.3,6.57,26148286
2010-05-10,6.6,6.69,6.51,6.59,17790921
2010-05-11,6.58,6.61,6.5,6.55,15554899
