Date,Close,High,Low,Open,Volume
2010-01-01,67.07,69.88,67.07,69.35,0
2010-01-04,67.1,68.33,66.53,67.59,1511417
2010-01-05,68.12,68.2,66.45,67.24,2173686
2010-01-06,68.44,68.94,68.03,68.23,1814857
2010-01-07,68.74,69.39,67.71,68.26,1329036
2010-01-08,67.85,68.64,67.09,68.26,1021832
2010-01-11,68.17,68.72,67.69,68.14,974354
2010-01-12,67.49,68.091,66.715,67.71,1391659
2010-01-13,68.6,68.74,67.3,67.61,1384149
2010-01-14,68.31,68.78,67.8,68.43,967058
2010-01-15,68.09,68.45,67.61,68.19,1421860
2010-01-18,68.09,68.45,67.61,68.19,0
2010-01-19,69.53,69.62,67.84,68.26,1721607
2010-01-20,69.07,69.19,68.33,69.02,1591263
2010-01-21,65.84,69.3,65.58,68.88,2598465
2010-01-22,64.28,66.52,63.94,65.52,2289305
2010-01-25,65.1,65.57,63.59,65.25,1560639
2010-01-26,64.72,65.94,64.23,64.78,1436897
2010-01-27,65.07,65.44,63.35,64.26,2375578
2010-01-28,65.39,65.93,64.69,65.75,1440367
2010-01-29,64.87,66.25,64.23,65.81,1783594
2010-02-01,66.87,66.88,65.04,65.71,1640341
2010-02-02,67.8,68.01,66.56,67.71,2092054
2010-02-03,66.5,67.6,66.2,67.59,1869303
2010-02-04,63.44,66.12,63.38,65.97,2384506
2010-02-05,64.53,64.96,62.39,63.64,1997359
2010-02-08,62.9,65.1375,62.74,64.65,1455611
2010-02-09,62.81,63.81,62.22,63.65,1713741
2010-02-10,62.49,63.28,61.5,62.72,1567644
2010-02-11,62.72,63.034,61.82,62.4,1196952
2010-02-12,63.4,63.47,61.78,62.08,1355576
2010-02-15,63.4,63.47,61.78,62.08,0
2010-02-16,65.03,65.15,63.61,64.32,1698279
2010-02-17,65.39,65.68,64.92,65.23,1083428
2010-02-18,66.35,66.62,64.7,65.11,1184273
2010-02-19,66.57,66.77,65.38,65.9,1294383
2010-02-22,67.03,67.49,66.54,66.9,1311135
2010-02-23,65.95,67.0,65.68,66.74,1525802
2010-02-24,66.71,66.73,65.72,65.92,1597939
2010-02-25,67.42,67.49,65.62,65.88,1380098
2010-02-26,67.93,68.75,67.25,67.56,1842147
2010-03-01,68.28,68.74,67.84,68.24,1261393
2010-03-02,68.62,68.94,68.41,68.72,1173427
2010-03-03,68.67,69.0,68.315,68.78,905003
2010-03-04,69.17,69.31,68.5,68.72,1056750
2010-03-05,71.14,71.26,69.34,69.66,1322580
2010-03-08,72.58,72.76,71.07,71.15,1341358
2010-03-09,72.49,73.76,71.92,72.23,1590086
2010-03-10,73.46,73.7,72.26,72.46,1209598
2010-03-11,73.72,73.76,72.75,73.18,1139440
2010-03-12,74.0,74.57,73.55,73.86,1259391
2010-03-15,74.06,74.33,72.94,73.98,1157573
2010-03-16,75.69,75.93,74.04,74.15,1194623
2010-03-17,77.14,77.35,75.86,76.13,1353197
2010-03-18,76.74,77.73,76.64,77.06,1433817
2010-03-19,75.89,77.6,75.88,76.89,1857838
2010-03-22,76.26,76.52,75.04,75.35,1347966
2010-03-23,76.03,76.47,75.33,76.1,1053255
2010-03-24,76.15,76.96,75.81,75.91,1045957
2010-03-25,76.73,78.22,76.62,76.94,1353628
2010-03-26,76.19,77.2,75.69,76.92,1192264
2010-03-29,76.25,76.25,75.43,75.73,901458
2010-03-30,76.24,76.78,75.93,76.13,791112
2010-03-31,75.44,76.18,75.1801,75.67,998802
2010-04-01,75.47,75.95,74.87,75.85,867208
2010-04-02,75.47,75.95,74.87,75.85,0
2010-04-05,77.79,77.79,75.52,75.76,971468
2010-04-06,79.41,79.61,76.98,77.23,1308945
2010-04-07,77.24,79.52,77.0,79.28,1241975
2010-04-08,76.95,77.14,76.56,77.01,1122302
2010-04-09,78.35,78.43,76.95,77.13,1022245
2010-04-12,77.45,78.46,77.26,78.34,1219318
2010-04-13,79.97,80.28,77.22,77.38,1134470
2010-04-14,80.13,80.71,79.59,80.26,952367
2010-04-15,78.04,80.24,77.95,79.82,1230098
2010-04-16,75.59,78.49,75.52,77.8,1753776
2010-04-19,76.09,76.61,74.87,75.28,922083
2010-04-20,77.0,77.01,75.2,76.39,1110074
2010-04-21,77.94,78.41,76.59,76.93,1114427
2010-04-22,79.37,79.77,76.65,77.15,1264459
2010-04-23,80.11,81.0,79.04,79.27,1567715
2010-04-26,80.69,81.4899,79.74,79.87,1314854
2010-04-27,78.12,80.41,78.1,79.52,2652901
2010-04-28,78.8,79.45,77.67,78.4,1629441
2010-04-29,83.39,83.42,79.41,79.49,2198705
2010-04-30,78.86,83.3,78.755,82.93,1811582
2010-05-03,81.51,82.34,79.42,79.45,1942347
2010-05-04,81.13,81.58,79.97,80.52,2726445
2010-05-05,80.72,81.87,78.95,79.94,2138668
2010-05-06,78.03,80.77,73.81,80.15,3535683
2010-05-07,76.09,79.56,75.38,77.72,2984018
2010-05-10,80.73,80.77,78.67,79.0,2647518
2010-05-11,81.16,82.48,79.27,79.58,1804784
2010-05-12,81.73,81.86,80.4,81.17,1799473
2010-05-13,80.76,82.33,80.65,81.34,1273657
2010-05-14,78.2,80.27,77.37,80.27,2042421
2010-05-17,78.45,79.84,76.04,79.04,1628806
2010-05-18,76.57,79.97,76.21,79.37,1737657
2010-05-19,76.05,77.86,74.18,76.18,1869373
2010-05-20,72.72,75.11,72.67,74.13,2579151
2010-05-21,75.5,75.6,71.31,71.65,2679866
2010-05-24,73.63,75.95,73.61,75.28,1332203
2010-05-25,74.83,74.89,70.94,71.69,2491024
2010-05-26,73.84,76.72,73.52,75.51,1769141
2010-05-27,78.12,78.23,74.9,75.56,1833405
2010-05-28,76.68,78.24,76.1905,77.92,1752686
2010-05-31,76.68,78.24,76.1905,77.92,0
2010-06-01,75.91,77.75,75.67,76.15,1714747
2010-06-02,76.18,76.455,74.44,76.31,2739486
2010-06-03,75.66,76.55,75.045,76.08,1913663
2010-06-04,71.81,74.76,71.52,73.83,2815277
2010-06-07,72.12,73.95,71.84,72.2,1998492
2010-06-08,73.8,74.05,70.91,72.27,1986658
2010-06-09,74.62,76.45,74.18,74.4,2039256
2010-06-10,78.19,78.47,75.35,75.83,2181647
2010-06-11,79.02,79.1,77.14,77.2,1540923
2010-06-14,79.26,80.52,78.45,79.68,1852483
2010-06-15,81.08,81.23,79.04,79.89,1655823
2010-06-16,80.45,81.12,79.87,80.59,1384653
2010-06-17,79.97,80.79,79.54,80.39,1634910
2010-06-18,80.09,80.42,79.66,80.3,1613870
2010-06-21,79.39,81.8,79.22,81.37,1286607
2010-06-22,76.36,79.77,76.27,79.7,1758197
2010-06-23,76.53,77.51,75.42,76.36,1348807
2010-06-24,74.24,76.36,74.12,76.05,1656107
2010-06-25,76.74,76.99,74.37,74.75,1671077
2010-06-28,74.65,76.44,74.49,76.21,1242107
2010-06-29,72.34,73.93,71.82,73.6,2258809
2010-06-30,71.34,73.49,71.07,72.06,1630184
2010-07-01,71.25,71.93,69.84,71.56,1592582
2010-07-02,69.7,71.85,69.5,71.6,1241955
2010-07-05,69.7,71.85,69.5,71.6,0
2010-07-06,69.08,72.08,68.47,71.27,2404878
2010-07-07,72.77,72.84,69.08,69.42,2129987
2010-07-08,73.85,74.37,72.33,73.7,1553379
2010-07-09,75.23,75.29,73.68,73.89,1261592
2010-07-12,75.51,75.75,74.15,75.17,866797
2010-07-13,77.38,77.66,76.07,76.53,1355616
2010-07-14,77.01,77.62,75.93,76.58,963929
2010-07-15,77.31,77.5,75.35,77.15,953663
2010-07-16,74.71,76.95,74.03,76.41,1791200
2010-07-19,76.25,76.68,73.93,74.75,1497629
2010-07-20,77.97,78.04,74.68,75.0,1828248
2010-07-21,76.08,78.5,75.74,78.37,1351734
2010-07-22,79.14,79.78,76.53,77.13,1709794
2010-07-23,79.97,80.1,77.62,78.84,1399370
2010-07-26,81.75,81.86,79.46,80.14,1161896
2010-07-27,81.63,82.5,80.37,82.0,1371135
2010-07-28,81.54,82.56,80.86,81.26,1227684
2010-07-29,81.1,82.18,80.27,82.18,1557014
2010-07-30,81.9,82.36,79.94,80.14,1631402
2010-08-02,85.08,85.66,82.99,83.76,2529674
2010-08-03,84.11,84.72,83.18,84.72,1732769
2010-08-04,85.65,85.92,84.0,84.25,1650584
2010-08-05,84.89,85.7,84.48,84.99,1201859
2010-08-06,84.73,84.89,83.26,84.46,890026
2010-08-09,85.87,86.08,84.45,85.04,959720
2010-08-10,84.59,85.61,83.786,85.35,1115147
2010-08-11,82.86,84.16,82.34,83.2,1387576
2010-08-12,81.32,82.86,81.28,81.45,1300489
2010-08-13,81.02,82.0,80.99,81.1,1280745
2010-08-16,81.04,81.61,80.0,80.57,971254
2010-08-17,83.65,84.38,81.37,81.78,1426883
2010-08-18,83.17,84.0,82.72,83.78,1148990
2010-08-19,81.24,82.83,80.53,82.74,1522762
2010-08-20,81.23,81.45,80.28,80.53,815215
2010-08-23,81.53,82.36,81.42,81.57,1024329
2010-08-24,79.94,80.98,79.64,80.98,1524386
2010-08-25,81.39,81.73,79.21,79.44,951754
2010-08-26,80.65,82.06,80.48,81.88,1288607
2010-08-27,81.72,82.21,79.38,81.34,1343629
2010-08-30,81.06,82.17,81.03,81.28,879842
2010-08-31,81.4,81.93,80.42,81.0,1189450
2010-09-01,84.47,84.79,82.19,82.8,1622777
2010-09-02,86.42,86.54,84.61,84.65,1922196
2010-09-03,87.85,88.37,86.67,87.47,1508888
2010-09-06,87.85,88.37,86.67,87.47,0
2010-09-07,86.52,87.57,86.45,87.09,992245
2010-09-08,86.8,87.04,85.86,86.0,1094151
2010-09-09,85.1,88.16,84.97,87.96,1458389
2010-09-10,85.2,86.1,84.71,85.41,1251406
2010-09-13,86.26,86.32,85.49,85.89,1188384
2010-09-14,86.4,86.89,85.31,85.87,859407
2010-09-15,87.5,87.55,85.51,85.75,871455
2010-09-16,86.77,87.42,86.33,87.19,615859
2010-09-17,87.1,87.37,86.41,87.06,873760
2010-09-20,88.88,89.25,87.25,87.67,1141134
2010-09-21,88.01,89.26,87.9,88.01,1561395
2010-09-22,86.54,88.24,86.07,87.78,1368871
2010-09-23,83.98,85.92,83.7,85.5,1690470
2010-09-24,85.78,86.03,84.83,85.0,1389638
2010-09-27,85.03,85.84,84.46,85.73,892474
2010-09-28,84.96,85.21,83.23,84.945,1228088
2010-09-29,83.48,84.81,83.12,84.69,1078411
2010-09-30,83.12,84.95,82.63,83.95,1829366
2010-10-01,83.64,83.99,82.71,83.9,1213491
2010-10-04,83.57,84.03,82.9,83.57,1006477
2010-10-05,85.08,85.21,83.62,84.475,1297994
2010-10-06,84.81,85.0,84.05,84.7,974077
2010-10-07,84.99,85.68,84.6101,85.2,704720
2010-10-08,84.86,85.18,84.2,85.04,1018464
2010-10-11,85.07,85.41,84.63,84.86,635552
2010-10-12,85.85,85.99,84.36,84.72,797756
2010-10-13,86.83,87.5399,86.02,86.35,1258071
2010-10-14,87.17,87.34,86.27,86.5,1019501
2010-10-15,86.96,87.99,86.62,87.6,939927
2010-10-18,88.45,88.46,86.2,86.53,1436113
2010-10-19,87.81,88.99,87.11,87.5,1583128
2010-10-20,89.89,90.88,87.96,88.16,1674403
2010-10-21,90.14,91.23,89.4699,90.11,873623
2010-10-22,90.5,91.04,89.56,90.21,881487
2010-10-25,90.73,91.45,90.48,91.18,853728
2010-10-26,89.87,90.23,89.18,90.19,1022861
2010-10-27,87.34,89.23,86.69,88.62,1890665
2010-10-28,86.25,88.06,86.05,87.91,1121404
2010-10-29,86.19,86.36,85.73,85.88,1153148
2010-11-01,86.32,86.93,85.85,86.59,1014060
2010-11-02,87.4,87.5,86.53,87.28,810694
2010-11-03,87.35,87.88,86.8,87.47,869414
2010-11-04,88.64,88.78,87.738,88.48,1228262
2010-11-05,90.15,90.51,88.4,88.63,1118728
2010-11-08,89.33,90.2,88.98,89.77,725233
2010-11-09,85.37,89.03,84.76,89.03,2146790
2010-11-10,86.32,86.5,85.37,85.52,958657
2010-11-11,85.07,86.62,85.05,85.47,850785
2010-11-12,84.7,85.31,83.94,84.45,887766
2010-11-15,83.77,85.81,83.69,85.04,919190
2010-11-16,81.56,83.71,81.02,83.28,1505848
2010-11-17,82.26,82.48,81.3919,81.84,1007825
2010-11-18,83.53,84.19,83.25,83.92,1479569
2010-11-19,84.12,84.3,82.82,83.52,937756
2010-11-22,84.06,84.59,83.42,83.67,768861
2010-11-23,83.47,83.84,82.81,83.07,912770
2010-11-24,84.96,85.12,83.85,84.13,847064
2010-11-25,84.96,85.12,83.85,84.13,0
2010-11-26,84.33,84.72,83.99,84.26,374953
2010-11-29,84.19,84.45,82.6001,83.67,727754
2010-11-30,83.8,84.5,83.01,83.2,1265364
2010-12-01,84.91,85.22,84.03,85.1,908940
2010-12-02,86.12,86.32,84.6819,84.92,905378
2010-12-03,86.19,86.37,85.3,85.68,580506
2010-12-06,86.41,86.81,85.08,85.95,739567
2010-12-07,86.41,87.33,86.1,87.33,717043
2010-12-08,84.51,86.48,84.03,86.41,1180758
2010-12-09,82.7,85.39,82.65,85.19,1391210
2010-12-10,83.37,83.43,82.5101,82.77,799141
2010-12-13,84.05,84.45,83.26,83.58,737104
2010-12-14,82.66,84.1,82.15,83.94,1069492
2010-12-15,81.95,83.14,81.9,82.5,1139086
2010-12-16,82.06,82.52,81.11,82.04,792626
2010-12-17,83.12,83.25,81.78,82.07,1748398
2010-12-20,84.19,84.38,83.32,83.56,798719
2010-12-21,84.74,84.86,83.825,84.56,995490
2010-12-22,85.56,86.18,84.74,85.15,675060
2010-12-23,85.41,86.12,85.37,85.45,513460
2010-12-24,85.41,86.12,85.37,85.45,0
2010-12-27,86.59,86.6,84.94,85.23,331080
2010-12-28,86.89,87.0,86.02,86.59,509656
2010-12-29,86.51,86.8,85.83,86.8,698624
2010-12-30,86.53,86.8499,86.4,86.59,548293
2010-12-31,86.1,86.98,86.03,86.53,745803
2011-01-03,89.18,89.32,86.84,86.86,1505478
2011-01-04,86.5,89.58,86.2,89.47,1907208
2011-01-05,87.08,87.42,85.94,86.18,1074707
2011-01-06,85.87,87.36,85.64,87.1,1562379
2011-01-07,84.93,86.73,84.21,86.11,1702432
2011-01-10,84.68,85.09,83.9,84.57,1387274
2011-01-11,84.66,85.54,84.12,84.82,941759
2011-01-12,86.46,86.63,85.01,85.02,1344148
2011-01-13,87.21,87.43,86.21,86.6,991046
2011-01-14,89.47,89.5,87.21,87.43,1646482
2011-01-17,89.47,89.5,87.21,87.43,0
2011-01-18,90.58,90.97,89.16,89.23,1386318
2011-01-19,89.63,90.7,89.39,90.41,1517529
2011-01-20,89.95,90.77,89.47,89.55,1464500
2011-01-21,90.29,90.29,89.28,89.99,1188740
2011-01-24,90.52,91.29,89.95,90.33,1068439
2011-01-25,91.26,91.29,89.83,90.11,1150411
2011-01-26,92.33,93.8,91.75,93.62,1157288
2011-01-27,93.72,93.76,92.66,92.99,1216544
2011-01-28,92.71,94.26,92.44,93.61,1117599
2011-01-31,94.37,94.94,93.03,93.03,987313
2011-02-01,93.77,95.12,93.12,94.92,1105259
2011-02-02,93.41,94.26,93.18,93.48,957184
2011-02-03,93.98,94.21,92.88,93.4,816629
2011-02-04,93.34,94.129,92.93,93.87,1047500
2011-02-07,94.69,94.92,93.32,93.76,1201356
2011-02-08,94.87,95.53,94.57,94.76,1196053
2011-02-09,94.75,95.0,94.18,94.32,1073803
2011-02-10,95.37,95.78,94.35,94.35,1146531
2011-02-11,95.9,96.34,95.06,95.1,1040643
2011-02-14,95.37,96.22,94.56,95.9,653104
2011-02-15,95.47,96.27,94.52,94.83,938044
2011-02-16,95.21,96.59,94.85,95.91,792399
2011-02-17,94.51,95.05,94.39,95.02,804007
2011-02-18,94.99,95.27,94.14,94.25,933429
2011-02-21,94.99,95.27,94.14,94.25,0
2011-02-22,94.0,95.77,93.88,94.27,1392438
2011-02-23,93.0,94.53,92.52,94.13,1386134
2011-02-24,92.45,93.78,92.06,92.73,1110446
2011-02-25,93.73,94.01,93.04,93.12,1470026
