Date,Close,High,Low,Open,Volume
2010-01-01,33.1,33.6,33.1,33.3,0
2010-01-04,34.0,34.1,33.4,33.6,40679346
2010-01-05,35.3,35.5,34.1,34.2,66861707
2010-01-06,36.4,36.8,35.1,35.6,67433882
2010-01-07,36.5,37.0,36.1,36.9,67245181
2010-01-08,35.9,36.7,35.1,36.5,62409768
2010-01-11,36.3,36.7,36.0,36.6,47557646
2010-01-12,35.2,36.1,34.8,35.9,47011802
2010-01-13,35.0,35.9,35.0,35.4,41035102
2010-01-14,35.1,35.6,35.0,35.6,27484725
2010-01-15,34.2,35.0,34.0,34.9,54048975
2010-01-18,34.2,35.0,34.0,34.9,0
2010-01-19,35.4,35.6,33.0,33.4,80789293
2010-01-20,34.6,36.0,34.5,35.1,47944931
2010-01-21,32.7,34.6,32.0,34.5,95968048
2010-01-22,32.5,33.9,32.2,32.75,65474143
2010-01-25,32.3,33.3,32.1,33.1,49752439
2010-01-26,31.5,32.7,31.5,32.2,45890272
2010-01-27,32.0,32.3,31.4,31.7,55891365
2010-01-28,32.4,32.9,32.0,32.5,51350510
2010-01-29,33.2,33.4,32.7,32.7,67959445
2010-02-01,33.4,33.7,33.1,33.6,23577689
2010-02-02,34.1,34.1,33.2,33.5,33423946
2010-02-03,33.7,34.6,33.7,33.9,27200588
2010-02-04,31.8,33.5,31.7,33.4,45029903
2010-02-05,32.2,32.4,31.5,32.1,46750168
2010-02-08,31.5,32.4,31.5,32.3,25620319
2010-02-09,31.8,32.3,31.1,31.9,49883791
2010-02-10,32.0,32.0,31.4,31.8,25499672
2010-02-11,32.1,32.2,31.7,31.9,23685273
2010-02-12,31.8,32.1,31.5,31.7,18926939
2010-02-15,31.8,32.1,31.5,31.7,0
2010-02-16,33.1,33.3,32.1,32.2,33228537
2010-02-17,34.1,34.5,33.6,33.9,57569039
2010-02-18,34.3,34.7,33.9,34.0,28868745
2010-02-19,34.2,34.4,33.9,34.0,27822280
2010-02-22,34.6,34.8,34.1,34.4,23360669
2010-02-23,33.5,34.8,33.5,34.4,28291708
2010-02-24,34.5,34.5,33.7,33.7,29262191
2010-02-25,33.9,34.0,33.6,33.9,25996902
2010-02-26,34.0,34.5,33.8,33.9,17855763
2010-03-01,33.9,34.4,33.443,34.2,15568689
2010-03-02,34.0,34.4,33.9,34.1,16428072
2010-03-03,34.0,34.3,33.9,34.1,16364982
2010-03-04,34.3,34.8,33.9,34.1,31935606
2010-03-05,35.0,35.0,34.5,34.7,31907964
2010-03-08,35.6,36.0,35.4,35.4,45986455
2010-03-09,38.2,38.6,35.4,35.5,110631142
2010-03-10,39.6,40.7,39.2,39.7,121205057
2010-03-11,41.8,41.8,39.5,39.8,120037431
2010-03-12,39.7,42.2,39.4,42.05,127975966
2010-03-15,38.9,39.4,38.3,38.8,63595753
2010-03-16,40.5,40.676,39.2,39.5,54320538
2010-03-17,40.5,41.7,39.9,41.0,68063580
2010-03-18,40.2,40.9,40.0,40.9,35021589
2010-03-19,39.0,40.5,39.0,40.3,53424780
