Date,Close,High,Low,Open,Volume
2010-01-01,56.99,57.96,56.99,57.6,0
2010-01-04,58.55,59.19,57.51,57.65,7326679
2010-01-05,59.25,59.44,58.23,58.55,5697197
2010-01-06,59.43,59.93,59.0505,59.18,4718749
2010-01-07,59.67,59.905,58.65,59.3,5432913
2010-01-08,60.34,60.37,59.25,59.25,6651511
2010-01-11,64.13,64.42,60.85,60.95,21958752
2010-01-12,62.24,63.16,61.18,63.01,13562604
2010-01-13,62.33,62.78,61.38,62.1,8399054
2010-01-14,61.98,62.84,61.75,62.1,6224295
2010-01-15,60.12,61.67,60.01,61.45,9397569
2010-01-18,60.12,61.67,60.01,61.45,0
2010-01-19,60.93,61.2,59.35,59.76,8056495
2010-01-20,59.76,60.43,59.31,60.17,6954007
2010-01-21,56.85,59.9,56.7,59.5,13877409
2010-01-22,54.25,57.5389,54.02,56.58,14762988
2010-01-25,55.14,56.19,54.83,55.16,9777305
2010-01-26,55.85,56.94,54.6,54.99,15219307
2010-01-27,53.44,53.84,51.03,52.96,34043254
2010-01-28,51.86,53.825,51.2,53.82,15625607
2010-01-29,52.24,53.78,52.0,52.78,13962798
2010-02-01,52.94,53.5,52.5,52.82,7159019
2010-02-02,53.55,53.72,52.62,53.48,7667988
2010-02-03,53.39,54.0,53.1,53.2,6345989
2010-02-04,51.4,52.86,51.38,52.8,11644933
2010-02-05,51.75,51.98,50.69,51.21,15989519
2010-02-08,50.78,52.15,50.5,51.64,8668847
2010-02-09,53.53,54.25,52.55,52.7,15499119
2010-02-10,53.15,54.05,52.45,53.65,8581640
2010-02-11,56.15,56.27,52.67,53.1,16411674
2010-02-12,56.2,56.55,54.61,55.09,13447622
2010-02-15,56.2,56.55,54.61,55.09,0
2010-02-16,57.12,57.24,56.19,56.65,7365370
2010-02-17,57.5,58.35,57.22,58.2,8454108
2010-02-18,57.81,58.05,56.85,57.24,6846924
2010-02-19,58.25,58.48,57.31,57.74,8009433
2010-02-22,58.03,58.97,58.0,58.7,6994824
2010-02-23,56.66,58.38,56.22,58.09,10314323
2010-02-24,56.96,57.46,56.46,56.69,5810076
2010-02-25,56.79,57.02,54.21,55.18,9966144
2010-02-26,57.05,57.24,56.1,57.0,6108486
2010-03-01,57.85,58.39,57.25,57.39,8399615
2010-03-02,58.15,58.82,58.02,58.45,6584292
2010-03-03,58.57,59.93,58.39,58.39,8833775
2010-03-04,58.45,59.0,57.81,58.51,6199197
2010-03-05,59.23,59.58,58.9,59.24,6628346
2010-03-08,58.91,59.49,58.5678,59.44,4755705
2010-03-09,59.18,59.72,58.4005,58.47,7693041
2010-03-10,58.78,59.5,58.43,59.1,6531417
2010-03-11,58.9,58.98,57.92,58.8,6173881
2010-03-12,60.36,60.49,59.35,59.5,9689526
2010-03-15,59.47,60.25,58.38,60.25,7907528
2010-03-16,59.45,59.68,58.84,59.66,7282247
2010-03-17,60.22,60.5,59.49,59.78,7925556
2010-03-18,59.77,60.39,59.335,59.77,7206998
2010-03-19,59.37,60.31,58.95,60.11,9319715
2010-03-22,59.95,60.27,58.66,58.71,7512883
2010-03-23,62.41,62.51,60.01,60.04,14316690
2010-03-24,62.06,62.54,61.42,61.94,11448093
2010-03-25,62.14,63.71,62.05,62.76,11363117
2010-03-26,62.44,63.18,61.99,62.3,7887298
2010-03-29,63.48,63.6,62.76,62.85,6986497
2010-03-30,63.16,63.63,62.81,63.38,6183557
2010-03-31,62.85,63.5,62.63,63.06,6661317
2010-04-01,63.99,64.2,63.29,63.5,7830447
2010-04-02,63.99,64.2,63.29,63.5,0
2010-04-05,64.99,65.0,64.2,64.39,6696129
2010-04-06,65.29,65.47,64.57,64.82,6388982
2010-04-07,64.47,65.38,64.0,65.25,6972955
2010-04-08,64.48,64.65,63.55,64.0,5418001
2010-04-09,65.27,65.52,64.82,64.88,6023209
2010-04-12,66.73,67.0,65.76,65.93,11830475
2010-04-13,66.19,67.25,66.16,66.7,6997116
2010-04-14,67.28,67.37,66.2,66.4,5497774
2010-04-15,68.22,68.71,67.16,67.37,7129579
2010-04-16,66.88,68.23,66.34,68.09,10385998
2010-04-19,66.99,67.7,65.77,66.69,7969489
2010-04-20,67.5,68.3,67.4,67.84,7695334
2010-04-21,67.75,67.92,66.7,67.76,6359395
2010-04-22,67.51,67.65,65.97,66.74,8722084
2010-04-23,68.78,68.95,66.99,67.2,9046377
2010-04-26,71.65,72.83,70.65,71.29,20134283
2010-04-27,68.53,71.58,68.28,71.18,14324300
2010-04-28,68.97,70.27,68.6,69.49,8233027
2010-04-29,70.75,70.76,69.62,70.0,7917403
2010-04-30,68.09,71.36,67.82,71.03,9428994
2010-05-03,69.94,70.16,68.09,68.38,7886360
2010-05-04,66.7,68.56,66.25,68.02,12561984
2010-05-05,65.96,67.44,64.08,65.65,11422937
2010-05-06,63.5,66.94,58.0,66.13,19370709
2010-05-07,62.1,64.45,60.64,62.25,15725835
2010-05-10,66.69,67.0,65.19,65.87,11859218
2010-05-11,66.07,66.98,65.0,65.29,7482206
2010-05-12,68.15,68.3,66.6,66.67,7793053
2010-05-13,66.91,68.4,66.67,68.05,6531293
2010-05-14,64.88,66.19,63.91,65.83,9939773
2010-05-17,63.78,65.74,61.99,65.18,11881237
2010-05-18,63.19,65.53,62.8499,64.94,9597380
2010-05-19,61.44,63.17,59.28,63.0,18584744
2010-05-20,58.67,60.41,58.0,59.3,22807950
2010-05-21,60.09,60.5,57.2,57.75,15890266
2010-05-24,59.22,61.11,59.09,60.0,11185253
2010-05-25,59.21,59.36,55.74,56.33,13795845
2010-05-26,59.73,61.4,59.25,59.75,11568896
2010-05-27,62.06,62.12,60.82,61.43,9558184
2010-05-28,60.76,62.42,60.05,62.24,7709405
2010-05-31,60.76,62.42,60.05,62.24,0
2010-06-01,59.27,61.64,59.22,59.91,8346328
2010-06-02,60.86,60.9,59.28,59.93,9455113
2010-06-03,61.11,62.36,60.42,62.1,8982766
2010-06-04,57.76,60.2,57.36,59.46,10279591
2010-06-07,55.83,58.28,55.8,57.97,8907089
2010-06-08,56.61,57.18,54.89,56.07,11606276
2010-06-09,56.81,58.85,56.59,57.37,9752678
2010-06-10,59.95,60.0,58.0,58.17,9704616
2010-06-11,60.23,60.24,58.99,59.1,7341745
2010-06-14,61.0,62.56,60.88,61.34,9783561
2010-06-15,63.46,63.56,61.5,61.9,11871974
2010-06-16,64.39,64.5168,62.73,63.0,10565454
2010-06-17,64.95,64.99,63.67,64.58,10579946
2010-06-18,65.85,65.9,64.57,65.05,11005511
2010-06-21,66.07,68.35,65.55,67.54,11652356
2010-06-22,64.11,66.48,63.88,66.3,8660136
2010-06-23,64.33,64.87,62.64,64.0,9037550
2010-06-24,63.37,64.45,63.05,63.85,8658229
2010-06-25,64.71,64.71,62.92,63.37,12068839
2010-06-28,64.4,65.3,64.01,64.71,6836814
2010-06-29,60.85,62.86,60.25,62.74,13064257
2010-06-30,60.07,61.94,59.91,61.02,9636191
2010-07-01,59.97,60.7,58.06,59.67,11598507
2010-07-02,59.18,60.66,58.62,60.3,7878228
2010-07-05,59.18,60.66,58.62,60.3,0
2010-07-06,59.81,61.65,59.21,60.6,9358700
2010-07-07,62.18,62.27,59.67,59.85,7593290
2010-07-08,63.17,63.35,62.18,63.08,6060571
2010-07-09,64.72,64.845,63.0,63.12,6458036
2010-07-12,64.28,65.1,63.87,64.5,4916438
