Date,Close,High,Low,Open,Volume
2010-01-01,50.4,50.98,50.4,50.68,0
2010-01-04,49.27,50.73,49.14,50.4,2670413
2010-01-05,48.16,49.065,47.69,48.62,9280361
2010-01-06,47.5,48.41,47.48,48.2,5479059
2010-01-07,47.77,47.96,47.32,47.7,7213253
2010-01-08,47.5,47.88,47.32,47.76,2484192
2010-01-11,48.01,48.1,47.09,47.62,3899069
2010-01-12,48.11,48.37,47.64,48.21,3012722
2010-01-13,48.27,48.505,48.09,48.3,2293808
2010-01-14,48.73,48.81,48.05,48.09,2444658
2010-01-15,48.21,48.56,47.92,48.45,2105079
2010-01-18,48.21,48.56,47.92,48.45,0
2010-01-19,48.82,48.96,48.0,48.09,2328676
2010-01-20,48.74,48.81,48.15,48.39,1519230
2010-01-21,48.41,48.87,47.74,48.87,2192714
2010-01-22,47.89,48.62,47.81,48.33,3630275
2010-01-25,48.44,48.61,47.99,48.19,1607701
2010-01-26,48.55,49.44,48.44,48.45,2622710
2010-01-27,48.96,48.97,48.22,48.4,1325366
2010-01-28,48.83,49.14,48.47,49.02,1801375
2010-01-29,49.27,49.65,48.56,48.82,2832685
2010-02-01,49.02,49.4,48.855,49.38,2368196
2010-02-02,49.56,49.65,48.56,49.15,2710206
2010-02-03,49.66,50.7,49.22,50.57,3324755
2010-02-04,48.13,49.89,47.93,49.48,5433288
2010-02-05,48.33,48.88,47.35,48.34,3492136
2010-02-08,48.31,48.81,48.15,48.42,2172733
2010-02-09,48.7,49.0,48.3875,48.77,1739677
2010-02-10,48.79,48.94,48.34,48.69,1299678
2010-02-11,48.78,49.0,47.66,48.87,2167052
2010-02-12,48.81,48.84,48.02,48.51,2110658
2010-02-15,48.81,48.84,48.02,48.51,0
2010-02-16,49.49,49.5,48.23,49.2,2424681
2010-02-17,49.75,49.94,49.29,49.4,2925990
2010-02-18,50.32,50.635,49.04,49.04,2134415
2010-02-19,50.39,50.63,49.63,49.87,1455370
2010-02-22,50.7,50.83,50.25,50.33,1303647
2010-02-23,50.29,50.71,50.28,50.52,1522508
2010-02-24,50.33,50.39,49.85,50.02,1892779
2010-02-25,50.37,50.42,49.85,50.0,1911382
2010-02-26,49.99,50.57,49.85,50.52,1979375
2010-03-01,50.43,50.505,49.99,50.02,1886563
2010-03-02,50.35,50.54,50.26,50.5,1422366
2010-03-03,50.55,50.81,50.01,50.38,1273856
2010-03-04,50.85,50.99,50.17,50.39,1196658
