Date,Close,High,Low,Open,Volume
2010-06-15,32.49,33.75,32.3,32.8,17033964
2010-06-16,32.07,32.79,31.97,32.37,2160895
2010-06-17,31.5,32.48,31.25,32.35,1467854
2010-06-18,31.01,31.6494,30.76,31.45,1132140
2010-06-21,32.04,33.0,31.01,31.66,1068969
2010-06-22,32.69,33.15,31.81,32.38,1010726
2010-06-23,33.48,33.5,32.0,33.0,1029328
2010-06-24,33.29,34.18,32.76,33.49,1601433
2010-06-25,32.07,33.35,32.07,33.3,641504
2010-06-28,32.78,33.05,31.76,32.47,718131
2010-06-29,31.76,32.3,31.27,32.25,622457
2010-06-30,32.55,32.65,31.65,31.99,402499
2010-07-01,30.31,32.5,30.0,32.25,1023131
2010-07-02,30.86,31.0,30.02,30.25,483745
2010-07-05,30.86,31.0,30.02,30.25,0
2010-07-06,29.8,31.4,29.7,31.4,805172
2010-07-07,29.23,30.43,29.17,29.8,583698
2010-07-08,29.01,30.32,28.45,29.05,2177717
2010-07-09,28.97,29.3299,28.66,29.22,448593
2010-07-12,26.8,28.84,26.67,28.75,1195153
2010-07-13,27.85,27.97,26.92,27.38,878071
2010-07-14,27.34,27.87,27.13,27.87,370259
2010-07-15,26.5,27.25,26.1,27.2,646355
2010-07-16,26.45,27.15,26.215,26.26,708696
2010-07-19,26.49,26.93,26.06,26.93,305973
2010-07-20,26.08,26.7,26.0,26.24,490097
2010-07-21,26.61,27.08,26.11,26.11,854389
2010-07-22,27.03,27.6,26.75,26.9,322516
2010-07-23,27.15,27.19,26.63,26.89,233276
2010-07-26,26.5,27.1399,26.11,27.0,631260
2010-07-27,27.19,27.65,26.25,26.41,537873
2010-07-28,27.15,27.22,26.57,27.05,131264
2010-07-29,26.67,27.21,26.3,27.0,296181
2010-07-30,26.6,27.19,26.32,26.47,220142
2010-08-02,27.54,27.63,26.68,27.14,356877
2010-08-03,27.25,27.63,27.15,27.34,254056
2010-08-04,26.71,27.5,26.65,27.3,412412
2010-08-05,24.8,26.26,24.24,26.26,1554117
2010-08-06,23.8,24.356,23.12,24.25,1222514
2010-08-09,23.97,24.19,23.53,24.0,436777
2010-08-10,23.0,23.89,23.0,23.89,396730
2010-08-11,22.95,23.17,22.38,22.86,578833
2010-08-12,23.31,23.55,22.7,22.94,515113
2010-08-13,23.0,23.36,22.8,23.1,321941
2010-08-16,22.79,23.22,22.73,22.79,190651
2010-08-17,23.12,23.15,22.46,22.87,329448
2010-08-18,23.11,23.18,22.5,22.88,361609
2010-08-19,23.0,23.65,22.8,23.43,654957
2010-08-20,22.87,23.01,22.63,22.91,326774
2010-08-23,23.0,23.2,22.78,22.78,279430
2010-08-24,21.79,22.67,21.25,22.5,762381
2010-08-25,21.67,21.83,21.25,21.29,242834
2010-08-26,21.28,22.28,21.25,21.76,213874
2010-08-27,20.87,21.42,20.25,21.36,378669
2010-08-30,20.62,21.17,20.35,20.87,273143
2010-08-31,20.91,20.98,20.41,20.51,110268
2010-09-01,21.62,21.9899,20.95,21.06,256964
2010-09-02,21.67,21.91,21.03,21.79,144558
2010-09-03,22.17,22.43,21.55,21.75,233369
2010-09-06,22.17,22.43,21.55,21.75,0
2010-09-07,22.23,22.23,21.71,22.23,188062
2010-09-08,22.05,22.58,21.81,22.22,262922
2010-09-09,21.8,22.51,21.51,22.51,214315
2010-09-10,21.94,22.2482,21.701,21.79,136064
2010-09-13,21.83,22.18,21.36,22.18,237620
2010-09-14,22.17,22.66,21.52,21.57,375050
2010-09-15,22.34,22.56,21.9,21.9,245710
2010-09-16,22.3,22.66,22.01,22.34,327771
2010-09-17,22.46,22.85,22.25,22.3,404711
2010-09-20,21.86,22.4,21.42,22.29,379427
2010-09-21,21.52,21.98,21.38,21.93,298493
2010-09-22,21.33,21.84,21.2,21.61,256071
2010-09-23,20.58,21.22,20.58,21.06,319646
2010-09-24,20.61,20.95,20.53,20.8,236966
2010-09-27,21.07,21.31,20.38,20.66,397017
2010-09-28,21.31,21.4691,20.84,21.03,204818
2010-09-29,20.78,21.4697,20.76,21.35,298301
2010-09-30,20.2,21.0,19.6,20.97,1710105
2010-10-01,20.6,20.68,19.83,20.25,481187
2010-10-04,20.39,20.69,20.02,20.57,271375
2010-10-05,20.83,20.93,20.32,20.47,385353
2010-10-06,20.83,21.1,20.55,20.8,179358
2010-10-07,20.6,20.9399,20.322,20.83,176874
2010-10-08,20.85,20.99,20.5,20.57,168840
2010-10-11,21.06,21.43,20.57,20.9,280472
2010-10-12,22.23,22.38,21.0001,21.06,608528
2010-10-13,22.21,22.8,22.1,22.48,713965
2010-10-14,22.63,22.84,22.18,22.3,286955
2010-10-15,22.48,22.69,22.22,22.69,250406
2010-10-18,23.2,23.49,22.351,22.45,467580
2010-10-19,23.13,23.5,23.07,23.2,432821
2010-10-20,23.73,23.92,22.91,23.2,394149
2010-10-21,23.91,24.06,23.42,23.88,243663
2010-10-22,24.54,24.61,23.99,24.04,454793
2010-10-25,24.37,24.98,24.25,24.62,329520
2010-10-26,24.23,24.75,24.0,24.6,161557
2010-10-27,24.17,24.21,23.9,24.0,228400
2010-10-28,24.0,24.2399,23.56,24.18,166381
2010-10-29,24.01,24.1906,23.92,23.92,194934
2010-11-01,23.59,24.5,23.13,24.03,269720
2010-11-02,24.11,24.15,23.2301,23.69,279574
2010-11-03,24.0,24.25,23.6,24.06,229428
2010-11-04,24.01,24.45,23.8,24.45,455884
2010-11-05,24.654,25.0,23.98,24.09,474145
2010-11-08,24.87,25.0,23.98,24.67,574702
2010-11-09,24.92,25.18,24.56,25.0,499204
2010-11-10,24.84,25.18,24.61,25.0,159064
2010-11-11,24.71,24.93,24.35,24.6,145808
2010-11-12,24.15,24.79,24.1,24.58,126999
2010-11-15,24.34,24.5,24.05,24.1,136618
2010-11-16,24.6,24.94,24.08,24.12,481983
2010-11-17,24.4,24.775,24.33,24.75,119931
2010-11-18,24.71,24.8,24.39,24.55,142368
2010-11-19,25.02,25.3,24.274,24.71,327862
2010-11-22,24.8,24.95,24.59,24.9,150939
2010-11-23,24.69,24.9,24.5,24.5,104616
2010-11-24,23.88,24.49,23.1,24.49,533603
2010-11-25,23.88,24.49,23.1,24.49,0
2010-11-26,23.5,24.57,23.36,23.73,95675
2010-11-29,23.63,23.85,23.22,23.5,198627
2010-11-30,23.77,23.83,23.42,23.53,346402
2010-12-01,23.91,24.33,23.9,23.95,350449
2010-12-02,24.34,24.34,23.91,23.91,177877
2010-12-03,24.4,24.45,24.01,24.07,162124
2010-12-06,24.82,25.16,24.2,24.4,192829
2010-12-07,24.79,25.06,24.39,25.06,133849
2010-12-08,24.23,24.77,24.0604,24.71,231262
2010-12-09,23.53,24.4,23.3,24.35,305236
2010-12-10,22.97,23.6499,22.9,23.47,388530
2010-12-13,23.01,23.29,22.57,22.92,436018
2010-12-14,22.95,23.42,22.65,22.95,376519
2010-12-15,22.86,23.4,22.54,22.75,411106
2010-12-16,22.035,23.16,22.0,22.92,861029
2010-12-17,22.11,22.28,21.78,21.94,636274
2010-12-20,22.2,22.32,21.795,22.11,429201
2010-12-21,22.2,22.295,22.02,22.25,486224
2010-12-22,22.1,22.31,22.01,22.17,504272
2010-12-23,22.42,22.55,22.01,22.02,406118
2010-12-24,22.42,22.55,22.01,22.02,0
2010-12-27,22.43,22.62,22.29,22.29,237429
2010-12-28,23.04,23.2,22.25,22.25,481393
2010-12-29,22.69,23.15,22.63,23.15,192333
2010-12-30,22.73,22.97,22.5,22.51,339123
2010-12-31,22.86,22.99,22.65,22.65,269678
2011-01-03,23.75,23.85,22.88,23.02,576333
2011-01-04,23.82,24.15,23.63,23.69,505553
2011-01-05,23.75,23.94,23.28,23.71,501970
2011-01-06,23.6,23.76,23.26,23.51,310844
2011-01-07,23.8125,23.8475,23.53,23.6,288847
2011-01-10,24.26,24.45,23.42,23.6,343681
2011-01-11,23.98,24.46,23.9,24.41,372248
2011-01-12,23.94,24.24,23.7101,24.05,379303
2011-01-13,23.54,24.0,23.33,23.93,303642
2011-01-14,23.8,23.89,23.36,23.43,299308
2011-01-17,23.8,23.89,23.36,23.43,0
2011-01-18,23.59,23.91,23.45,23.73,204494
2011-01-19,23.2,23.67,23.12,23.53,299541
2011-01-20,23.0,23.35,22.9,23.14,201698
2011-01-21,23.2,23.23,22.9,23.08,249968
2011-01-24,23.1,23.35,22.95,23.1,157308
2011-01-25,22.94,23.035,22.8,23.0,107214
2011-01-26,23.19,23.23,22.9617,23.0,249831
2011-01-27,23.15,23.2934,22.87,23.27,211634
2011-01-28,22.97,23.08,22.65,23.01,324464
2011-01-31,23.01,23.01,22.43,23.01,495649
2011-02-01,22.95,23.11,22.9,23.08,324293
2011-02-02,23.25,23.37,22.72,22.86,364659
2011-02-03,23.78,23.89,23.22,23.22,443578
2011-02-04,23.98,24.08,23.77,23.83,430799
2011-02-07,24.3,24.34,24.0,24.0,305733
2011-02-08,24.47,24.48,24.02,24.16,387985
2011-02-09,25.51,27.58,24.42,24.48,5433591
2011-02-10,26.87,27.14,25.18,26.0,2210909
2011-02-11,26.32,27.19,25.75,27.1,1090830
2011-02-14,27.84,28.2,26.35,26.51,1706874
2011-02-15,26.21,27.9,26.14,27.9,1408231
2011-02-16,26.32,26.7,25.75,26.31,793153
2011-02-17,27.31,27.44,26.32,26.51,833891
2011-02-18,27.11,27.75,26.81,27.42,860128
2011-02-21,27.11,27.75,26.81,27.42,0
2011-02-22,25.97,26.98,25.9,26.98,653844
2011-02-23,26.39,27.3,25.65,26.25,1291723
2011-02-24,27.52,27.63,26.23,26.5,960635
2011-02-25,29.43,29.5,28.01,28.42,2222880
2011-02-28,29.59,29.77,28.85,29.5,1035874
2011-03-01,27.867,29.59,27.79,29.59,1094831
2011-03-02,27.59,28.15,27.45,27.93,861208
2011-03-03,28.12,28.6,27.838,27.91,768757
2011-03-04,27.93,28.21,27.62,28.21,412385
2011-03-07,28.38,28.49,27.785,28.09,519435
2011-03-08,28.44,28.5,27.9,28.3,418763
2011-03-09,28.39,28.5,28.09,28.48,426022
2011-03-10,26.95,28.19,26.9,28.0,1440935
2011-03-11,27.77,27.89,26.9,26.9,415096
2011-03-14,27.95,28.05,27.01,27.3,507165
2011-03-15,27.56,27.8,27.04,27.16,720927
2011-03-16,27.7,28.04,27.37,27.5,491766
2011-03-17,27.82,28.06,27.7,27.9,427634
2011-03-18,27.78,28.1332,27.64,28.0,711260
2011-03-21,28.14,28.32,27.79,28.0,394169
2011-03-22,28.75,28.82,28.11,28.15,491801
2011-03-23,28.99,29.1,28.46,28.77,529170
2011-03-24,29.25,29.3,28.73,29.0,466302
