Date,Close,High,Low,Open,Volume
2010-01-01,39.04,39.54,38.99,39.46,0
2010-01-04,39.61,40.15,39.33,39.41,1964090
2010-01-05,39.99,40.49,39.63,39.76,2115961
2010-01-06,39.42,39.85,39.12,39.53,1612049
2010-01-07,38.77,39.45,38.61,39.45,1671711
2010-01-08,38.96,39.14,38.3,38.78,2005480
2010-01-11,38.97,39.5,38.93,39.28,1658208
2010-01-12,38.25,38.88,38.05,38.82,2345675
2010-01-13,38.67,38.8,38.26,38.26,1633710
2010-01-14,38.61,38.71,38.4,38.57,1569882
2010-01-15,38.69,39.61,38.58,39.61,1797786
2010-01-18,38.69,39.61,38.58,39.61,0
2010-01-19,38.83,38.95,38.61,38.64,1841880
2010-01-20,38.96,39.04,38.43,38.58,1796665
2010-01-21,38.43,39.19,38.14,39.19,1402360
2010-01-22,37.35,39.37,37.2,38.41,1550495
2010-01-25,38.05,38.55,37.48,37.69,1614895
2010-01-26,37.44,37.98,37.41,37.91,1309844
2010-01-27,38.25,38.26,37.01,37.28,1762083
2010-01-28,37.17,37.42,36.01,37.2,5190204
2010-01-29,36.94,37.4999,36.7,37.21,2703894
2010-02-01,37.27,37.44,36.81,37.13,1996692
2010-02-02,37.3,37.53,36.86,37.53,1954684
2010-02-03,36.79,37.39,36.59,36.96,1187216
2010-02-04,35.59,36.51,35.29,36.51,2957714
2010-02-05,35.28,35.69,34.115,35.46,3987640
2010-02-08,35.66,36.21,34.98,35.36,1875531
2010-02-09,35.87,36.49,35.5401,36.13,2194800
2010-02-10,35.97,36.03,35.26,35.85,1457862
2010-02-11,36.98,37.08,35.5,35.79,1582382
2010-02-12,37.33,37.35,36.38,36.47,1582232
2010-02-15,37.33,37.35,36.38,36.47,0
2010-02-16,37.98,38.0,37.45,37.5,1072718
2010-02-17,38.4,38.7,37.86,38.0,1441081
2010-02-18,38.49,38.6,38.21,38.31,1098207
2010-02-19,38.62,39.03,38.39,38.53,1238371
2010-02-22,38.29,38.57,38.0,38.56,886896
2010-02-23,37.16,38.21,36.8,38.21,1365962
2010-02-24,37.85,37.91,36.93,37.02,2476570
2010-02-25,37.85,38.0,37.08,37.39,1341432
2010-02-26,37.8,37.98,37.46,37.87,1128686
2010-03-01,38.17,38.43,37.81,37.92,955311
2010-03-02,38.32,38.66,38.2,38.42,1100384
2010-03-03,38.56,39.06,38.14,38.28,1234783
2010-03-04,38.92,38.99,38.51,38.68,1060023
2010-03-05,39.4,39.475,38.94,39.0,1358718
2010-03-08,38.47,39.11,38.22,38.53,2223120
2010-03-09,39.29,39.681,38.22,38.33,2214825
2010-03-10,39.46,39.63,39.16,39.25,1576285
2010-03-11,39.44,39.53,39.18,39.33,867603
2010-03-12,39.28,39.81,39.18,39.58,1273392
2010-03-15,38.8,39.52,38.42,39.24,1766530
2010-03-16,39.8,39.955,38.81,38.98,2724040
2010-03-17,39.1,39.85,39.05,39.4,3049411
2010-03-18,38.56,39.1,38.36,38.94,2446188
2010-03-19,38.39,39.0,38.39,38.54,1871282
2010-03-22,38.62,38.79,37.89,38.16,1795408
2010-03-23,38.71,39.0,38.55,38.71,1891960
2010-03-24,38.37,39.05,38.32,38.66,1734492
2010-03-25,36.88,38.73,36.78,38.44,4050427
2010-03-26,37.04,37.39,36.46,36.9,2782108
2010-03-29,37.68,38.27,37.14,37.25,2379439
2010-03-30,38.31,38.51,37.59,37.68,2078927
2010-03-31,38.23,38.73,38.09,38.33,1226317
2010-04-01,38.37,38.99,38.04,38.41,1421456
2010-04-02,38.37,38.99,38.04,38.41,0
2010-04-05,38.63,38.76,38.36,38.45,1484808
2010-04-06,37.58,38.48,37.46,38.37,2761511
2010-04-07,37.22,37.56,36.96,37.36,3605283
2010-04-08,37.62,37.69,36.97,37.06,2592652
2010-04-09,37.57,37.9,37.25,37.75,1438318
2010-04-12,37.59,37.99,37.33,37.6,1203635
2010-04-13,37.62,37.975,36.69,37.5,3915354
2010-04-14,37.32,37.71,36.97,37.71,2545033
2010-04-15,37.52,37.63,36.97,37.26,1677127
2010-04-16,37.46,37.57,36.87,37.33,2873293
2010-04-19,37.5,37.8,36.9,37.4,3184538
2010-04-20,38.39,38.56,37.64,37.74,2341858
2010-04-21,38.27,38.58,38.06,38.39,1516545
2010-04-22,38.21,38.31,37.75,38.06,1593783
2010-04-23,38.41,38.6,37.93,38.05,2672734
2010-04-26,38.18,38.79,38.12,38.34,1122299
2010-04-27,37.72,38.38,37.69,37.95,2005685
2010-04-28,37.52,38.31,37.27,38.25,3244160
2010-04-29,38.34,39.0,37.85,38.1,2361006
2010-04-30,37.85,38.58,37.81,38.25,1619740
2010-05-03,38.41,38.43,37.82,37.98,1730607
2010-05-04,37.52,38.07,37.37,38.0,1350073
