Date,Close,High,Low,Open,Volume
2010-01-01,31.69,32.19,31.67,32.16,0
2010-01-04,32.06,32.76,31.955,32.29,5372659
2010-01-05,32.37,32.54,32.2,32.28,3199875
2010-01-06,31.79,32.57,31.75,32.29,6171376
2010-01-07,32.14,32.36,31.9,32.12,3469374
2010-01-08,33.22,33.29,32.64,32.82,4950451
2010-01-11,33.42,33.66,33.3,33.59,3970655
2010-01-12,32.88,33.11,32.5,32.97,3566267
2010-01-13,34.05,34.11,32.96,33.09,5123719
2010-01-14,35.07,35.27,33.97,33.98,5417565
2010-01-15,34.23,35.07,33.95,34.885,3798670
2010-01-18,34.23,35.07,33.95,34.885,0
2010-01-19,35.01,35.22,34.41,34.63,3159564
2010-01-20,34.31,35.0,33.995,34.91,4015043
2010-01-21,34.21,35.4,34.14,35.13,5661636
2010-01-22,33.3,34.09,33.28,33.96,3937896
2010-01-25,33.56,34.17,33.44,34.17,2750148
2010-01-26,33.74,34.139,33.67,34.01,2864541
2010-01-27,33.88,33.94,33.36,33.73,3143255
2010-01-28,34.41,34.84,34.01,34.55,4463846
2010-01-29,33.33,34.54,33.27,34.54,4952213
2010-02-01,34.14,34.16,33.76,33.76,3674593
2010-02-02,34.59,34.71,34.33,34.71,3620434
2010-02-03,34.59,34.75,34.34,34.43,3552958
2010-02-04,32.9,34.16,32.87,33.83,4930162
2010-02-05,32.53,32.82,31.84,32.72,4682028
2010-02-08,33.16,33.58,32.2,32.44,5491449
2010-02-09,32.8,33.53,32.73,33.4,5075050
2010-02-10,32.61,33.12,32.5,33.02,4205112
2010-02-11,33.18,33.22,32.32,32.58,4144443
2010-02-12,32.82,32.91,32.49,32.74,3906105
2010-02-15,32.82,32.91,32.49,32.74,0
2010-02-16,33.48,33.61,33.08,33.32,3229090
2010-02-17,34.01,34.125,33.75,33.8,4150095
2010-02-18,33.78,34.07,33.71,33.97,5536501
2010-02-19,33.89,34.21,33.79,33.83,5416111
2010-02-22,34.11,34.34,33.9,34.0,2870551
2010-02-23,33.67,34.02,33.44,33.87,2553452
2010-02-24,35.8,35.91,34.25,34.36,13062476
2010-02-25,35.66,35.71,34.88,34.98,5850660
2010-02-26,35.96,36.16,34.96,35.09,5244726
2010-03-01,36.1,36.1,35.62,35.81,2459523
2010-03-02,35.75,36.78,35.71,36.52,5761963
2010-03-03,35.71,36.17,35.55,36.08,3514215
2010-03-04,36.15,36.23,35.83,35.96,3628417
2010-03-05,37.04,37.11,36.26,36.38,4858729
2010-03-08,36.94,37.24,36.76,36.93,2862045
2010-03-09,36.94,37.19,36.32,36.55,2761030
2010-03-10,37.17,37.36,36.57,36.68,2665580
2010-03-11,37.25,37.27,36.7,36.94,2640873
2010-03-12,37.49,37.6,37.04,37.41,2657744
2010-03-15,37.15,37.2,36.82,37.19,3136492
2010-03-16,37.12,37.23,36.78,37.15,3696600
2010-03-17,37.6,37.78,37.19,37.31,3484668
2010-03-18,37.66,37.78,37.35,37.49,1936200
2010-03-19,37.62,38.37,37.43,38.04,3223267
2010-03-22,37.91,38.09,36.89,37.15,3230447
2010-03-23,38.81,39.35,38.34,38.96,7207889
2010-03-24,38.46,38.58,38.06,38.45,3178055
2010-03-25,38.54,39.0,38.49,38.79,3735740
2010-03-26,38.8,39.0,38.51,38.61,2909438
2010-03-29,38.98,39.1,38.63,39.03,2470487
2010-03-30,39.19,39.32,38.9,39.15,3149891
2010-03-31,38.88,39.17,38.71,38.93,3078493
2010-04-01,39.24,39.54,38.92,39.42,2537157
2010-04-02,39.24,39.54,38.92,39.42,0
2010-04-05,39.39,39.8,39.1901,39.39,2883756
2010-04-06,39.33,39.41,39.02,39.09,2844289
2010-04-07,38.3,39.01,38.01,38.87,5311001
2010-04-08,38.59,38.82,37.84,37.98,4469053
2010-04-09,38.98,38.98,38.48,38.83,2954141
2010-04-12,38.82,39.29,38.71,39.17,3935691
2010-04-13,38.86,39.1,38.21,39.08,5294646
2010-04-14,39.16,39.16,38.54,38.91,3909420
2010-04-15,39.48,39.8,38.93,39.15,4152883
2010-04-16,38.97,39.45,38.43,39.43,4585395
2010-04-19,38.9,39.04,38.23,38.39,4037950
2010-04-20,39.92,40.05,38.99,39.09,5813027
2010-04-21,40.23,40.32,39.52,39.73,4312553
2010-04-22,41.6,41.7696,39.51,39.74,8159112
2010-04-23,42.77,42.81,41.74,41.79,8249453
2010-04-26,43.85,44.21,42.95,43.0,9082957
2010-04-27,42.43,43.62,42.28,43.21,7457507
2010-04-28,41.59,42.11,41.38,41.83,8604507
2010-04-29,43.16,43.19,42.0,42.0,4507930
2010-04-30,41.7,43.14,41.57,42.91,5973760
2010-05-03,42.42,42.5,41.91,41.97,3155256
2010-05-04,40.6,41.6,40.34,41.6,4773182
2010-05-05,39.6,40.35,39.23,39.71,6398004
2010-05-06,38.03,39.7401,35.62,39.23,7932032
2010-05-07,36.68,37.66,35.69,37.4,9814931
2010-05-10,39.21,39.47,38.29,39.0,5546419
2010-05-11,38.88,39.53,38.46,38.77,4812750
2010-05-12,40.08,40.15,39.23,39.46,3451578
2010-05-13,38.9,39.95,38.78,39.68,3285579
2010-05-14,37.57,38.83,37.25,38.71,5942108
