Date,Close,High,Low,Open,Volume
2010-01-01,5.99,6.08,5.99,6.02,0
2010-01-04,6.12,6.12,5.95,6.0,3089178
2010-01-05,6.06,6.12,5.9675,6.1,3981738
2010-01-06,6.13,6.2,6.02,6.05,4317638
2010-01-07,6.25,6.29,6.09,6.11,4079900
2010-01-08,6.34,6.3604,6.22,6.22,2336025
2010-01-11,6.34,6.42,6.3,6.35,4409235
2010-01-12,6.2,6.34,6.16,6.33,3100559
2010-01-13,6.39,6.41,6.2,6.23,3327951
2010-01-14,6.32,6.39,6.25,6.37,2326606
2010-01-15,6.22,6.33,6.16,6.29,2212231
2010-01-18,6.22,6.33,6.16,6.29,0
2010-01-19,6.22,6.25,6.13,6.2,4765913
2010-01-20,6.18,6.22,6.09,6.18,2890348
2010-01-21,6.12,6.225,6.075,6.17,2880640
2010-01-22,5.97,6.14,5.96,6.12,3340740
2010-01-25,5.95,6.07,5.89,6.01,6727220
2010-01-26,5.93,5.98,5.84,5.9,1461467
2010-01-27,5.99,6.03,5.86,5.94,2280277
2010-01-28,5.84,5.98,5.82,5.98,2452364
2010-01-29,5.81,6.0,5.79,5.86,3145101
2010-02-01,5.91,5.96,5.79,5.82,2795714
2010-02-02,6.09,6.13,5.87,5.91,4835200
2010-02-03,6.08,6.12,5.995,6.04,5049204
2010-02-04,5.77,6.08,5.74,5.96,8631387
2010-02-05,5.73,5.84,5.59,5.78,5601655
2010-02-08,5.6,5.73,5.6,5.7,5149244
2010-02-09,5.45,5.63,5.36,5.62,9613729
2010-02-10,5.54,5.58,5.4497,5.45,2866704
2010-02-11,5.64,5.69,5.49,5.57,2831957
2010-02-12,5.66,5.67,5.54,5.65,2626672
2010-02-15,5.66,5.67,5.54,5.65,0
2010-02-16,5.65,5.78,5.62,5.69,3022541
2010-02-17,5.77,5.78,5.6119,5.66,1573161
2010-02-18,5.82,5.87,5.73,5.79,1977219
2010-02-19,5.8,5.86,5.76,5.83,2202762
2010-02-22,5.7,5.83,5.6875,5.83,1252496
2010-02-23,5.66,5.73,5.51,5.67,5005569
2010-02-24,5.76,5.76,5.66,5.71,1964969
2010-02-25,5.74,5.76,5.58,5.67,2794161
2010-02-26,5.7,5.78,5.6,5.72,2134997
2010-03-01,5.76,5.82,5.63,5.7,1586122
2010-03-02,5.95,6.02,5.75,5.76,2612451
2010-03-03,6.01,6.12,5.93,5.95,2547906
2010-03-04,6.18,6.2,6.05,6.08,3857578
2010-03-05,6.22,6.32,6.15,6.2,2262512
2010-03-08,6.25,6.3,6.19,6.22,1725915
2010-03-09,6.3,6.43,6.22,6.26,2860928
2010-03-10,6.4,6.4,6.16,6.27,2035184
2010-03-11,6.36,6.38,6.22,6.35,1928800
2010-03-12,6.36,6.36,6.3,6.36,2085478
2010-03-15,6.32,6.34,6.22,6.32,1468111
2010-03-16,6.32,6.375,6.23,6.32,1860197
2010-03-17,6.5,6.51,6.26,6.35,2673982
2010-03-18,6.68,6.68,6.45,6.45,3789932
2010-03-19,6.87,6.92,6.65,6.7,8953433
2010-03-22,6.72,6.85,6.65,6.85,2898967
2010-03-23,6.72,6.78,6.66,6.72,2010344
2010-03-24,6.73,6.785,6.62,6.66,1714272
2010-03-25,6.64,6.8,6.6,6.79,2763857
2010-03-26,6.62,6.74,6.57,6.64,1392489
2010-03-29,6.68,6.715,6.59,6.66,1491252
2010-03-30,6.65,6.74,6.61,6.7,1338621
2010-03-31,6.67,6.74,6.6,6.61,1700760
2010-04-01,6.77,6.79,6.56,6.72,2505868
2010-04-02,6.77,6.79,6.56,6.72,0
2010-04-05,7.03,7.03,6.76,6.77,5916547
2010-04-06,6.76,7.03,6.705,6.98,4995774
2010-04-07,6.82,6.878,6.78,6.78,1825545
2010-04-08,6.8,6.87,6.74,6.79,1867299
2010-04-09,6.84,6.9,6.7603,6.78,1771436
2010-04-12,6.9,7.02,6.84,6.89,2223534
2010-04-13,6.89,6.96,6.8,6.86,2692860
2010-04-14,6.99,7.1,6.93,6.93,2407048
2010-04-15,7.01,7.07,6.9,6.97,2817811
2010-04-16,7.11,7.195,6.92,6.98,5646446
2010-04-19,7.22,7.23,6.9,7.11,6269674
2010-04-20,7.18,7.25,7.11,7.2,2739365
2010-04-21,7.17,7.21,6.99,7.18,2238123
2010-04-22,7.34,7.35,7.02,7.11,2641555
2010-04-23,7.35,7.38,7.21,7.32,3251522
2010-04-26,7.37,7.43,7.29,7.33,1904267
2010-04-27,7.16,7.45,7.16,7.33,3102567
2010-04-28,7.15,7.23,7.02,7.18,3635261
2010-04-29,7.65,7.66,7.2,7.22,5778439
2010-04-30,7.4525,7.68,7.36,7.68,3180979
2010-05-03,7.64,7.66,7.46,7.47,3302809
2010-05-04,7.3,7.59,7.18,7.55,3886394
2010-05-05,7.12,7.25,7.03,7.17,2270041
2010-05-06,6.91,7.22,6.5,7.1,4037966
2010-05-07,6.59,6.89,6.53,6.87,4296081
2010-05-10,6.81,6.9,6.66,6.9,2029370
2010-05-11,6.74,6.86,6.67,6.71,2935259
2010-05-12,6.87,6.88,6.71,6.88,2289901
2010-05-13,6.87,7.05,6.82,6.88,3620230
2010-05-14,6.77,6.98,6.7,6.82,3674963
2010-05-17,6.88,6.91,6.61,6.77,2643982
2010-05-18,6.69,6.98,6.66,6.92,2789432
2010-05-19,6.69,6.73,6.53,6.65,3610167
2010-05-20,6.39,6.6,6.32,6.56,5693528
2010-05-21,6.44,6.55,6.15,6.32,3903871
2010-05-24,6.36,6.5,6.35,6.46,2200853
2010-05-25,6.39,6.43,6.1,6.23,4531233
2010-05-26,6.64,6.79,6.32,6.39,7577246
2010-05-27,6.84,6.84,6.62,6.74,2711536
2010-05-28,6.7,6.82,6.68,6.82,2506096
2010-05-31,6.7,6.82,6.68,6.82,0
2010-06-01,6.49,6.77,6.49,6.69,2651250
2010-06-02,6.64,6.67,6.5,6.51,3220656
2010-06-03,6.61,6.82,6.6,6.71,4860734
2010-06-04,6.46,6.62,6.33,6.45,2411089
