Date,Close,High,Low,Open,Volume
2010-01-01,27.84,28.3,27.815,28.29,0
2010-01-04,27.87,28.32,27.665,28.285,4831886
2010-01-05,27.545,27.865,27.2975,27.795,6705638
2010-01-06,28.195,28.48,27.695,27.7,8272098
2010-01-07,27.945,28.37,27.875,28.02,5000544
2010-01-08,28.635,28.715,27.71,27.995,9241110
2010-01-11,28.635,29.33,27.19,28.77,18059442
2010-01-12,28.495,28.745,27.805,28.52,10758062
2010-01-13,28.84,28.99,28.43,28.74,7818500
2010-01-14,29.065,29.38,28.7,28.86,6850670
2010-01-15,28.76,29.47,28.435,29.47,8987170
2010-01-18,28.76,29.47,28.435,29.47,0
2010-01-19,29.37,29.625,28.585,28.745,7992776
2010-01-20,29.01,29.835,28.605,29.3,6969880
2010-01-21,28.895,29.245,28.57,28.96,7593014
2010-01-22,29.285,29.54,28.725,29.005,11487224
2010-01-25,29.155,29.405,29.0005,29.375,8581584
2010-01-26,28.93,29.21,28.785,28.885,5840474
2010-01-27,29.055,29.095,28.675,28.805,7247392
2010-01-28,28.4,29.0,28.295,28.76,9851566
2010-01-29,28.39,28.8,28.155,28.515,6487082
2010-02-01,28.48,28.7,28.21,28.43,4763360
2010-02-02,28.875,28.96,28.155,28.42,5553054
2010-02-03,29.155,29.285,28.575,28.67,6890228
2010-02-04,27.915,28.885,27.775,28.77,8635690
2010-02-05,27.58,28.07,27.015,27.985,9423404
2010-02-08,27.385,27.655,27.05,27.535,4671128
2010-02-09,27.75,28.165,27.505,27.845,5853538
2010-02-10,28.31,28.605,27.74,28.05,8121214
2010-02-11,28.585,28.75,27.84,28.165,6317184
2010-02-12,28.445,28.5,27.95,28.15,5883996
2010-02-15,28.445,28.5,27.95,28.15,0
2010-02-16,28.965,28.965,28.11,28.61,5596358
2010-02-17,29.54,29.69,28.855,28.975,5753650
2010-02-18,29.945,30.25,29.49,29.575,11323852
2010-02-19,30.02,30.215,29.6,29.875,7582736
2010-02-22,29.84,30.185,29.67,30.05,5032390
2010-02-23,29.57,30.245,29.39,29.705,5722386
2010-02-24,29.745,30.095,29.545,29.855,4481146
2010-02-25,29.645,29.65,29.075,29.455,4729700
2010-02-26,29.76,29.83,29.34,29.63,3161154
