Date,Close,High,Low,Open,Volume
2010-01-01,18.156,18.526,18.152,18.526,0
2010-01-04,18.368,18.5,18.106,18.478,6171670
2010-01-05,18.666,18.868,18.432,18.442,6662185
2010-01-06,19.444,19.46,18.7,18.752,6478890
2010-01-07,19.248,19.4,19.01,19.4,7291775
2010-01-08,19.662,19.664,19.198,19.198,6128230
2010-01-11,19.64,20.578,19.528,19.97,10518590
2010-01-12,18.938,19.414,18.73,19.376,8982535
2010-01-13,18.984,19.13,18.662,19.1,5108005
2010-01-14,18.638,19.118,18.626,19.02,6176985
2010-01-15,19.084,19.878,19.026,19.846,27360620
2010-01-18,19.084,19.878,19.026,19.846,0
2010-01-19,20.12,20.21,19.036,19.224,9929900
2010-01-20,19.798,19.924,19.5,19.852,6307045
2010-01-21,19.646,20.266,19.506,19.826,6387250
2010-01-22,19.226,19.75,19.21,19.528,4556995
2010-01-25,19.228,19.694,19.206,19.452,3174280
2010-01-26,19.23,19.688,18.91,19.08,3740280
2010-01-27,19.28,19.41,19.02,19.278,2438590
2010-01-28,19.06,19.24,18.78,19.118,3523075
2010-01-29,18.572,19.4,18.572,19.303,4284125
2010-02-01,19.056,19.182,18.616,18.79,4986590
2010-02-02,19.256,19.324,18.898,19.08,2794605
2010-02-03,19.422,19.636,19.338,19.58,2123250
2010-02-04,18.714,19.28,18.602,19.28,4495230
2010-02-05,18.844,18.95,18.356,18.64,4236775
2010-02-08,18.464,19.142,18.46,19.142,2868905
2010-02-09,19.16,19.284,18.706,18.714,4521570
2010-02-10,19.458,19.582,19.168,19.226,3541080
2010-02-11,20.024,20.158,19.466,19.58,5060920
2010-02-12,20.1,20.172,19.55,19.748,7234235
2010-02-15,20.1,20.172,19.55,19.748,0
2010-02-16,20.714,21.396,20.386,20.8,11940485
2010-02-17,20.93,21.492,20.774,20.904,11224940
2010-02-18,20.402,20.8756,20.174,20.818,11651375
2010-02-19,20.828,20.948,20.402,20.418,7530145
2010-02-22,20.73,21.118,20.618,20.978,5327640
2010-02-23,20.386,20.828,20.374,20.61,4889095
2010-02-24,20.158,20.66,20.116,20.378,7879535
2010-02-25,21.078,21.28,19.8,19.842,10770105
2010-02-26,21.248,21.29,20.822,21.0,3649285
2010-03-01,21.508,21.514,21.118,21.27,3645385
2010-03-02,21.284,21.356,20.266,20.3,33641760
2010-03-03,21.356,22.0,20.91,20.91,16783450
2010-03-04,21.646,21.682,21.302,21.416,7001335
2010-03-05,20.948,21.54,20.628,21.488,16390384
2010-03-08,20.596,21.13,20.532,20.866,8785325
2010-03-09,20.126,20.594,20.004,20.5,12228000
2010-03-10,20.71,20.956,19.6,19.8,19364960
2010-03-11,20.122,20.508,20.042,20.456,13749625
2010-03-12,19.346,19.63,18.972,19.53,68894880
2010-03-15,19.276,19.452,18.982,19.05,17519540
2010-03-16,19.124,19.484,19.02,19.36,19121365
2010-03-17,18.9,19.31,18.764,19.2,14040770
2010-03-18,18.624,18.9,18.12,18.818,21590735
2010-03-19,18.28,18.74,18.164,18.668,13020570
2010-03-22,18.51,18.616,18.056,18.166,15088770
2010-03-23,18.34,18.718,18.124,18.51,11863720
2010-03-24,18.482,18.71,18.132,18.278,8639985
2010-03-25,18.006,18.74,18.0,18.642,9699980
2010-03-26,18.634,18.694,18.12,18.252,12353495
2010-03-29,18.586,18.9297,18.528,18.794,9048605
2010-03-30,18.484,18.654,18.33,18.54,4129355
2010-03-31,18.236,18.47,18.164,18.414,7132980
2010-04-01,18.482,18.496,18.14,18.398,8243255
2010-04-02,18.482,18.496,18.14,18.398,0
2010-04-05,18.39,18.6,18.245,18.562,4490250
2010-04-06,18.486,18.5,18.244,18.276,5187650
2010-04-07,18.246,18.508,18.16,18.316,6480795
2010-04-08,18.3,18.476,18.17,18.374,6699685
2010-04-09,18.58,18.6,18.33,18.35,14838790
2010-04-12,18.406,18.56,18.356,18.4,6858890
2010-04-13,17.782,18.078,17.522,18.078,18703460
2010-04-14,17.766,17.838,17.43,17.642,10338450
2010-04-15,18.0,18.214,17.728,17.756,20566195
2010-04-16,18.0,18.39,17.88,18.06,63412450
2010-04-19,17.378,17.954,17.158,17.908,22481040
2010-04-20,17.456,17.646,17.266,17.47,16117885
2010-04-21,17.528,17.704,17.23,17.5,13417515
2010-04-22,17.534,17.592,17.196,17.446,11431490
