Date,Close,High,Low,Open,Volume
2014-09-24,23.08,23.22,21.35,21.5,60456032
2014-09-25,23.05,23.41,22.45,22.56,8430850
2014-09-26,23.25,23.37,22.91,23.18,2504353
2014-09-29,23.23,23.45,22.91,23.14,4832916
2014-09-30,23.42,23.57,23.05,23.11,4103103
2014-10-01,23.44,23.61,23.11,23.22,3915508
2014-10-02,23.34,23.59,23.303,23.34,3121384
2014-10-03,23.23,23.47,23.01,23.38,1585901
2014-10-06,22.64,23.37,22.61,23.28,1208403
2014-10-07,22.52,22.74,22.26,22.56,1508726
2014-10-08,22.75,23.15,22.11,22.11,1649208
2014-10-09,22.48,23.0,22.24,23.0,1229058
2014-10-10,22.28,22.56,22.135,22.39,924069
2014-10-13,22.45,22.66,22.12,22.13,1382774
2014-10-14,22.45,22.79,22.3,22.5,1605776
2014-10-15,21.85,22.2,21.5,22.13,3405401
2014-10-16,21.8,21.95,21.47,21.51,3105758
2014-10-17,21.92,22.07,21.73,21.89,2750608
2014-10-20,22.38,22.38,21.82,21.82,1870599
2014-10-21,22.82,22.93,22.11,22.11,1165506
2014-10-22,22.6,23.0,22.4025,22.78,884653
2014-10-23,23.03,23.08,22.59,22.97,1154177
2014-10-24,23.18,23.49,22.77,23.32,1357806
2014-10-27,22.85,23.19,22.725,23.15,2898819
2014-10-28,23.28,23.59,22.93,23.16,1500595
2014-10-29,23.48,23.53,23.2,23.35,1302330
2014-10-30,23.44,23.69,23.2971,23.46,1153587
2014-10-31,23.62,23.92,23.37,23.59,1238628
2014-11-03,24.0,24.0,23.16,23.49,1826936
2014-11-04,23.6,23.91,23.43,23.74,1474474
2014-11-05,23.9,23.95,23.55,23.8,1097594
2014-11-06,24.3,24.46,23.75,23.79,1010740
2014-11-07,23.97,24.48,23.96,24.48,600659
2014-11-10,23.95,24.25,23.75,24.04,1531257
2014-11-11,23.94,24.22,23.75,23.97,658274
2014-11-12,23.86,23.98,23.51,23.75,940834
2014-11-13,23.82,23.96,23.58,23.62,1149713
2014-11-14,23.96,24.0,23.74,23.74,1111501
2014-11-17,24.0,24.11,23.56,24.11,992390
2014-11-18,23.73,24.04,23.71,24.04,586010
2014-11-19,23.72,24.0,23.51,23.8,812772
2014-11-20,23.71,23.87,23.5001,23.57,745775
2014-11-21,23.77,24.21,23.695,23.95,725247
2014-11-24,24.25,24.36,23.68,23.8,836847
2014-11-25,24.03,24.3,24.02,24.24,701615
2014-11-26,24.23,24.27,23.92,24.11,703711
2014-11-27,24.23,24.23,24.23,24.23,0
2014-11-28,24.63,25.09,24.05,24.22,713406
2014-12-01,23.98,24.895,23.49,24.62,2282591
2014-12-02,24.2,24.43,23.8,24.02,1369272
2014-12-03,24.23,24.59,24.19,24.33,1854537
2014-12-04,24.4,24.56,24.09,24.32,1433682
2014-12-05,25.15,25.22,24.45,24.45,1008380
2014-12-08,25.04,25.14,24.68,25.08,2244927
2014-12-09,25.16,25.33,24.5,24.71,1141758
2014-12-10,24.65,25.41,24.62,25.15,630958
2014-12-11,24.69,25.28,24.51,24.85,1709147
2014-12-12,24.46,24.83,24.4,24.52,950809
2014-12-15,24.49,24.805,24.27,24.68,1175223
2014-12-16,24.25,24.875,24.22,24.53,1315552
2014-12-17,24.56,24.8,24.22,24.22,2160460
2014-12-18,25.08,25.14,24.68,24.75,1768470
2014-12-19,25.0,25.6,24.84,25.04,7523121
2014-12-22,25.1,25.2786,24.66,25.16,1689581
2014-12-23,25.44,25.5,25.12,25.31,1174551
2014-12-24,25.51,25.59,25.18,25.45,547225
2014-12-25,25.51,25.51,25.51,25.51,0
2014-12-26,25.31,25.51,25.25,25.51,304036
2014-12-29,25.37,25.51,25.18,25.2,1070954
2014-12-30,25.19,25.5,25.16,25.46,511820
2014-12-31,24.86,25.285,24.83,25.25,621617
2015-01-01,24.86,24.86,24.86,24.86,0
2015-01-02,24.76,25.0,24.29,24.97,643550
2015-01-05,24.18,24.68,23.84,24.58,1330389
2015-01-06,23.91,24.22,23.7,24.17,2075044
2015-01-07,24.0,24.13,23.79,23.99,1160199
2015-01-08,24.18,24.48,23.94,24.07,661452
2015-01-09,23.89,24.18,23.78,24.15,724738
2015-01-12,23.88,24.04,23.62,23.8,941126
2015-01-13,23.87,24.19,23.61,23.94,990061
2015-01-14,23.44,23.744,23.1,23.6,962525
2015-01-15,22.96,23.61,22.67,23.37,1558030
2015-01-16,23.19,23.24,22.79,22.83,1951966
2015-01-19,23.19,23.19,23.19,23.19,0
2015-01-20,23.1,23.85,22.91,23.16,1742114
2015-01-21,23.28,23.59,23.01,23.07,787349
2015-01-22,24.14,24.16,23.28,23.3,486535
2015-01-23,23.71,24.04,23.67,24.04,656610
2015-01-26,24.09,24.31,23.53,23.75,1167764
2015-01-27,24.15,24.64,23.7601,23.86,1308167
2015-01-28,23.86,24.35,23.84,24.17,1301860
2015-01-29,24.24,24.35,23.26,23.92,1818610
2015-01-30,23.9,24.24,23.81,24.1,1882316
2015-02-02,24.0,24.16,23.69,23.85,1445837
2015-02-03,24.29,24.45,23.8,23.91,1351750
2015-02-04,24.01,24.38,23.93,24.27,1102434
2015-02-05,24.35,24.41,23.98,24.09,984601
2015-02-06,24.5,25.0,24.22,24.41,1748389
2015-02-09,24.26,24.53,24.11,24.48,781608
2015-02-10,24.82,24.96,24.53,24.73,1384891
