Date,Close,High,Low,Open,Volume
2010-01-01,58.73,59.63,58.73,59.6,0
2010-01-04,59.34,59.655,58.94,59.1,822857
2010-01-05,58.11,59.49,57.39,59.34,2352622
2010-01-06,57.34,57.99,57.2,57.92,1685531
2010-01-07,56.79,57.14,56.18,57.04,1939503
2010-01-08,57.55,57.62,56.6,56.61,1332420
2010-01-11,57.72,57.91,57.22,57.74,1227260
2010-01-12,56.99,57.64,56.79,57.19,1425661
2010-01-13,57.32,57.465,56.34,57.01,1513222
2010-01-14,57.62,57.88,57.02,57.08,818081
2010-01-15,57.72,58.11,57.23,58.03,1592338
2010-01-18,57.72,58.11,57.23,58.03,0
2010-01-19,58.13,58.4674,57.64,57.72,1061127
2010-01-20,57.78,57.85,56.89,57.57,1157698
2010-01-21,57.63,58.37,56.98,57.95,1659137
2010-01-22,57.35,58.15,57.24,57.61,1558067
2010-01-25,57.46,57.845,56.79,57.49,1167221
2010-01-26,57.1,57.59,56.94,57.07,1347094
2010-01-27,57.46,57.6,56.62,56.65,881204
2010-01-28,56.54,57.64,56.2,57.46,1173135
2010-01-29,56.63,57.28,56.6267,57.03,1527762
2010-02-01,57.4,57.65,56.6875,56.75,985156
2010-02-02,57.42,57.54,56.68,57.24,1478244
2010-02-03,53.54,54.375,51.5,52.53,8727251
2010-02-04,53.25,53.95,52.67,53.25,3974254
2010-02-05,52.44,54.08,51.16,53.22,2832916
2010-02-08,52.08,52.97,52.01,52.18,2046242
2010-02-09,52.67,53.68,52.11,52.71,2715155
2010-02-10,51.84,52.51,51.31,52.39,1904200
2010-02-11,53.1,53.3,51.4601,51.52,2533277
2010-02-12,52.12,52.7,51.68,52.21,2414798
2010-02-15,52.12,52.7,51.68,52.21,0
2010-02-16,52.75,53.29,52.39,52.39,1510960
2010-02-17,53.0,53.43,52.57,53.05,1345293
2010-02-18,52.9,53.08,52.77,53.05,1031927
2010-02-19,53.5,53.97,52.78,52.78,1768057
2010-02-22,54.16,54.31,53.31,53.77,1625491
2010-02-23,53.56,54.5,53.14,54.24,2653711
2010-02-24,53.68,54.24,53.31,53.9,1822468
2010-02-25,53.49,53.54,52.5,53.0,1614202
2010-02-26,53.33,53.56,52.7,53.49,1701304
2010-03-01,53.56,63.65,53.02,53.29,2163567
2010-03-02,53.21,53.74,53.17,53.5,1598065
2010-03-03,52.47,53.08,52.38,52.82,2205405
2010-03-04,52.67,52.91,52.25,52.7,1609969
2010-03-05,53.25,53.38,52.67,52.68,1621433
2010-03-08,53.32,54.1,53.3,54.05,1488422
2010-03-09,53.39,53.56,53.02,53.25,1060157
2010-03-10,53.67,54.07,53.09,53.24,1695586
2010-03-11,53.46,53.65,53.04,53.36,1975460
2010-03-12,53.87,54.07,53.115,53.57,1710750
2010-03-15,53.88,54.23,53.45,54.05,1651000
2010-03-16,55.28,55.68,53.99,54.12,3479542
2010-03-17,55.68,56.21,55.16,55.35,1992284
2010-03-18,56.58,56.81,55.28,55.46,2114533
2010-03-19,56.6,57.68,56.38,57.2,3035346
2010-03-22,56.23,56.65,56.14,56.36,1451153
2010-03-23,56.43,56.49,55.76,56.07,1303835
2010-03-24,56.12,56.42,55.73,56.4,1293798
2010-03-25,55.65,56.78,55.56,56.43,1779859
2010-03-26,55.56,55.97,55.25,55.64,1545575
2010-03-29,56.09,56.77,55.71,55.71,1279462
2010-03-30,56.22,56.45,55.8,56.01,1372800
2010-03-31,55.85,56.12,55.64,55.83,1376365
2010-04-01,55.68,56.23,55.17,55.98,1178772
2010-04-02,55.68,56.23,55.17,55.98,0
2010-04-05,55.66,56.16,55.44,55.98,1094788
2010-04-06,55.28,55.68,54.995,55.24,1574400
2010-04-07,55.15,55.67,54.97,55.43,2051284
2010-04-08,55.6,55.72,54.78,55.18,1837687
2010-04-09,56.45,56.69,55.71,55.75,2885201
2010-04-12,56.44,57.59,56.44,57.54,2993115
2010-04-13,56.59,56.73,55.91,56.3,1624380
2010-04-14,57.74,57.81,56.49,56.5,1987439
2010-04-15,58.93,59.76,57.86,58.01,3466438
2010-04-16,58.38,58.95,57.84,58.85,2157232
2010-04-19,58.63,58.86,58.06,58.06,1601298
2010-04-20,58.9,59.31,58.48,58.92,1485229
2010-04-21,60.0,61.27,56.99,57.0,5813797
2010-04-22,61.462,62.15,59.51,60.11,4289676
2010-04-23,61.58,61.74,60.96,61.57,2183708
2010-04-26,61.15,61.71,61.03,61.5,1454582
2010-04-27,60.27,61.47,60.07,61.07,2987287
2010-04-28,60.56,61.03,60.33,60.86,1778065
2010-04-29,61.15,61.46,60.81,60.87,1554153
2010-04-30,60.32,61.62,60.3,60.91,1720764
2010-05-03,61.77,61.89,60.22,60.44,1788416
2010-05-04,60.7,61.48,60.12,61.46,1978163
2010-05-05,60.71,61.52,60.31,60.6,2088835
2010-05-06,59.16,61.24,57.25,60.65,2988004
2010-05-07,57.83,59.42,57.6,59.15,3390316
2010-05-10,60.68,60.68,59.0,59.27,2630628
2010-05-11,60.68,61.34,59.97,59.97,1817441
2010-05-12,61.22,61.5,60.49,60.68,1349953
2010-05-13,60.6,61.37,60.56,60.66,1662178
2010-05-14,59.61,60.25,59.07,59.98,1955813
