Date,Close,High,Low,Open,Volume
2010-01-01,39.2612,39.8142,35.3904,38.1553,0
2010-01-04,38.1553,39.2612,38.1553,39.2612,42949
2010-01-05,38.7083,38.7083,38.7083,38.7083,9042
2010-01-06,38.7083,38.7083,38.7083,38.7083,0
2010-01-07,38.7083,39.2612,38.7083,38.9847,8861
2010-01-08,37.0493,38.2106,37.0493,38.2106,29067
2010-01-11,37.0493,37.0493,37.0493,37.0493,3308
2010-01-12,37.0493,37.1046,37.0493,37.0493,4611
2010-01-13,36.2199,36.5074,35.9434,36.5074,204597
2010-01-14,36.2199,36.2199,36.2199,36.2199,136082
2010-01-15,35.6669,35.9434,35.6669,35.9434,41091
2010-01-18,35.6669,35.9434,35.6669,35.9434,0
2010-01-19,35.3904,35.6669,35.1139,35.6669,17541
2010-01-20,35.1139,35.1139,34.8374,34.8374,480
2010-01-21,34.948,34.948,34.8374,34.8374,531
2010-01-22,34.8374,34.8374,34.8374,34.8374,180
2010-01-25,34.5609,34.5609,34.2845,34.395,1175
2010-01-26,34.008,34.2845,34.008,34.2845,210
2010-01-27,34.008,34.2845,33.7868,33.7868,69623
2010-01-28,34.008,34.2845,34.008,34.2845,9335
2010-01-29,33.8752,34.1186,33.7315,34.1186,27739
2010-02-01,33.7315,33.7315,33.455,33.455,3164
2010-02-02,33.7315,33.7315,33.7315,33.7315,529
2010-02-03,32.902,33.2891,32.902,33.2891,4677
2010-02-04,33.455,33.455,33.1785,33.1785,26583
2010-02-05,33.7315,33.7315,33.1785,33.7094,1583
2010-02-08,33.0126,33.1785,32.902,33.1785,42851
2010-02-09,32.9573,33.1785,32.1831,32.1831,26799
2010-02-10,32.902,33.0126,32.5149,32.5149,97253
2010-02-11,32.891,32.891,32.6255,32.891,9042
2010-02-12,32.891,32.891,32.891,32.891,90
2010-02-15,32.891,32.891,32.891,32.891,0
2010-02-16,32.891,32.891,32.891,32.891,0
2010-02-17,32.891,32.891,32.891,32.891,0
2010-02-18,32.8467,32.8467,32.1831,32.1831,1537
2010-02-19,32.8467,32.8467,32.1831,32.1831,0
