Date,Close,High,Low,Open,Volume
2010-01-01,35.27,36.18,35.26,35.87,0
2010-01-04,36.37,36.41,35.18,35.27,3227282
2010-01-05,36.98,37.5,35.99,36.42,4564206
2010-01-06,36.9,37.56,36.54,36.94,2611845
2010-01-07,38.26,38.4,36.0,36.17,4951318
2010-01-08,37.97,38.36,37.51,38.36,2717883
2010-01-11,37.37,38.25,37.13,38.05,2409753
2010-01-12,36.54,37.37,36.14,37.24,4353748
2010-01-13,36.45,37.05,35.63,36.68,5431692
2010-01-14,36.77,36.92,35.87,36.32,3356125
2010-01-15,36.84,37.0,35.82,36.72,4148026
2010-01-18,36.84,37.0,35.82,36.72,0
2010-01-19,37.92,38.88,37.01,37.16,7780895
2010-01-20,38.2,39.26,37.9301,38.5,6612279
2010-01-21,37.05,38.86,36.95,38.31,4185854
2010-01-22,36.72,38.079,36.53,36.96,4325292
2010-01-25,36.35,37.21,36.3,37.21,3220975
2010-01-26,34.36,35.42,33.98,34.72,8537264
2010-01-27,34.59,34.98,33.75,34.21,4046319
2010-01-28,34.49,35.34,34.48,34.8,3675939
2010-01-29,33.77,34.64,33.71,34.53,2617084
2010-02-01,33.79,34.44,33.12,33.69,4726999
2010-02-02,35.24,35.36,33.64,33.83,4455349
2010-02-03,34.76,35.2,34.0,35.02,4012673
2010-02-04,33.52,35.64,33.09,34.63,6359765
2010-02-05,33.36,33.99,32.7,33.44,5360944
2010-02-08,33.08,33.84,32.7299,33.24,2747827
2010-02-09,33.48,33.75,32.68,33.49,2863830
2010-02-10,33.06,33.5,32.57,33.32,3263841
2010-02-11,33.34,33.41,32.59,32.9,3037884
2010-02-12,32.76,32.93,32.27,32.87,4099917
2010-02-15,32.76,32.93,32.27,32.87,0
2010-02-16,32.72,32.72,32.0,32.21,4181996
2010-02-17,33.19,33.72,32.63,32.76,5307162
2010-02-18,33.15,33.54,32.62,32.9,4585291
2010-02-19,32.8,33.0,32.5,32.91,2729753
2010-02-22,33.42,33.66,32.64,32.74,4063253
2010-02-23,33.0,33.34,32.62,33.2,3433428
2010-02-24,33.93,33.98,32.54,33.14,5177476
2010-02-25,33.87,34.2,32.99,33.25,4677929
2010-02-26,34.26,34.76,33.91,34.1,3212606
2010-03-01,34.58,34.99,34.03,34.46,3701005
2010-03-02,34.44,34.8,34.29,34.72,4177978
2010-03-03,34.69,35.07,34.21,34.51,3145257
2010-03-04,34.04,34.7,33.58,34.55,5000983
2010-03-05,34.77,34.82,33.98,34.1,3588083
2010-03-08,34.8,34.94,34.37,34.69,2346979
2010-03-09,34.05,34.58,33.78,33.8,3625593
2010-03-10,34.33,34.64,33.74,33.88,2762783
2010-03-11,34.95,34.99,33.88,34.18,3318342
2010-03-12,34.54,35.23,34.29,35.1,2432751
2010-03-15,34.29,34.44,33.45,34.4,2485439
2010-03-16,34.96,35.04,33.93,34.29,3322632
2010-03-17,34.83,35.09,34.421,34.93,2267307
2010-03-18,35.84,36.02,34.0,34.69,6015506
2010-03-19,37.08,38.01,35.99,36.03,7673733
2010-03-22,37.28,37.97,36.81,37.05,4975304
2010-03-23,36.94,37.47,36.67,37.47,3372819
2010-03-24,36.39,37.08,36.25,36.9,2617656
2010-03-25,36.1,36.85,36.03,36.73,3769114
2010-03-26,35.9,36.48,35.6,36.1,2683966
2010-03-29,36.35,36.43,35.78,36.04,1591858
2010-03-30,36.58,36.82,36.17,36.45,2405531
2010-03-31,36.58,36.67,36.06,36.43,2688160
2010-04-01,37.15,37.19,36.64,36.67,2346210
2010-04-02,37.15,37.19,36.64,36.67,0
2010-04-05,37.0,37.61,36.97,37.2,2677877
2010-04-06,37.09,37.3591,36.77,36.93,2011861
2010-04-07,36.25,36.97,35.89,36.83,3054877
2010-04-08,36.62,36.63,35.5,35.92,3895273
2010-04-09,36.63,36.7,36.15,36.55,3976655
2010-04-12,36.42,36.67,36.31,36.57,1859644
2010-04-13,35.71,36.3,35.22,36.27,4860816
2010-04-14,34.68,35.75,34.64,35.73,7120533
2010-04-15,34.72,34.88,34.06,34.6,5307948
2010-04-16,34.49,35.17,34.0,34.6,5123619
2010-04-19,35.3,35.7,34.28,34.42,4634781
2010-04-20,34.93,36.04,34.37,35.91,4115891
2010-04-21,34.0,35.08,33.81,34.87,4109874
2010-04-22,33.53,33.9,33.14,33.8,4792963
2010-04-23,33.99,34.21,33.28,33.42,4092721
2010-04-26,32.88,34.24,32.85,34.09,4320597
2010-04-27,32.36,33.28,32.17,32.39,7248743
2010-04-28,33.1,33.36,32.22,32.44,6627144
2010-04-29,33.81,34.58,33.18,33.43,6003132
2010-04-30,32.06,33.9,32.0,33.81,7562612
2010-05-03,32.72,32.77,31.9,32.25,6332294
2010-05-04,31.22,32.21,31.15,32.16,5232588
2010-05-05,32.0,32.26,30.78,30.87,7035043
2010-05-06,32.93,33.97,30.78,32.01,9088786
2010-05-07,31.39,33.06,30.97,32.93,8915313
2010-05-10,32.65,33.06,32.1,32.5,4642543
2010-05-11,33.13,33.655,32.17,32.37,3376321
2010-05-12,33.96,34.12,33.07,33.15,3256468
2010-05-13,33.84,34.6,33.5,33.72,4023061
2010-05-14,33.43,33.76,32.82,33.66,3296902
2010-05-17,33.67,33.88,32.87,33.46,2925197
2010-05-18,33.75,34.45,33.63,34.08,4323189
2010-05-19,33.74,34.32,33.44,33.5,3480157
2010-05-20,32.63,33.4,32.33,33.31,5484018
2010-05-21,32.65,33.16,31.88,31.98,4533316
2010-05-24,32.71,33.245,32.26,32.44,3057554
2010-05-25,32.16,32.19,31.22,31.66,6186653
2010-05-26,32.43,33.26,32.34,32.43,4027491
2010-05-27,33.68,33.71,32.72,33.1,2404084
2010-05-28,33.47,33.9,33.25,33.71,2789252
2010-05-31,33.47,33.9,33.25,33.71,0
2010-06-01,32.86,33.97,32.82,33.13,3195504
2010-06-02,33.76,33.79,32.95,32.97,3289402
2010-06-03,34.8,34.86,33.7,33.75,3178039
2010-06-04,34.07,35.76,33.97,34.27,4185692
2010-06-07,33.91,34.73,33.22,34.17,3499338
2010-06-08,33.63,34.42,33.01,33.82,4762559
2010-06-09,33.29,34.16,33.13,33.92,2949942
2010-06-10,34.14,34.2,33.38,33.72,3104344
2010-06-11,34.49,34.54,33.54,33.75,2417856
2010-06-14,34.55,35.19,34.53,34.85,2956960
2010-06-15,35.11,35.17,34.74,34.9,2226513
2010-06-16,35.19,35.49,34.75,34.88,1764538
2010-06-17,35.34,35.5,34.95,35.36,2370460
2010-06-18,35.21,35.465,35.07,35.44,2718025
2010-06-21,35.21,35.94,35.08,35.62,2188989
2010-06-22,34.21,35.41,34.11,35.13,4185397
2010-06-23,33.95,34.3,33.72,34.16,3243126
2010-06-24,33.34,34.14,33.28,33.75,2523730
2010-06-25,33.29,33.48,32.93,33.33,4592778
2010-06-28,33.19,33.73,33.09,33.39,2183403
2010-06-29,31.87,32.94,31.65,32.77,4941929
2010-06-30,31.06,31.97,30.95,31.67,4876826
2010-07-01,29.86,31.04,29.12,30.98,9695874
2010-07-02,29.77,30.16,29.58,29.99,3010595
2010-07-05,29.77,30.16,29.58,29.99,0
2010-07-06,30.19,30.74,29.83,30.25,4533599
2010-07-07,30.7,31.27,30.17,30.42,7405467
2010-07-08,31.01,31.29,30.625,30.87,2986648
2010-07-09,31.29,31.35,30.88,31.13,2148877
2010-07-12,31.13,31.41,30.89,31.22,2646493
2010-07-13,31.37,31.705,31.24,31.43,2619803
2010-07-14,31.45,31.66,31.06,31.33,3576298
2010-07-15,31.61,31.915,30.865,31.5,3702228
2010-07-16,30.34,31.68,30.3,31.39,3732481
2010-07-19,31.15,31.29,30.46,30.51,2679533
2010-07-20,31.25,31.32,30.42,30.73,3722626
2010-07-21,30.69,31.5,30.51,31.48,3290261
2010-07-22,31.52,31.63,30.9,31.03,3399781
2010-07-23,31.01,31.54,30.82,31.4,3799289
2010-07-26,31.78,31.85,30.95,31.0,2200079
2010-07-27,31.53,32.05,31.46,31.99,2129385
2010-07-28,30.37,31.66,30.23,31.41,3677761
2010-07-29,30.62,31.02,30.23,30.63,2944883
2010-07-30,30.76,31.01,30.06,30.39,2607052
2010-08-02,31.59,31.645,30.99,31.28,2893416
2010-08-03,31.77,32.21,31.32,31.4,3151337
2010-08-04,32.15,32.37,31.72,31.8,3199229
2010-08-05,33.96,34.03,32.66,33.78,5912363
2010-08-06,34.39,34.56,33.52,33.62,3242425
2010-08-09,34.64,34.77,34.38,34.68,2547177
2010-08-10,34.86,35.0,34.14,34.35,2727146
