Date,Close,High,Low,Open,Volume
2010-01-01,29.57,30.25,29.57,30.14,0
2010-01-04,30.5,30.62,29.68,29.95,1438343
2010-01-05,30.61,30.73,30.21,30.41,1336614
2010-01-06,31.29,31.49,30.43,30.57,1573376
2010-01-07,32.99,33.43,31.13,31.15,3495389
2010-01-08,32.57,33.38,32.29,32.97,3025584
2010-01-11,32.22,33.01,32.18,32.62,1516145
2010-01-12,32.55,33.25,31.95,32.58,3531978
2010-01-13,33.16,33.55,32.13,32.87,2622333
2010-01-14,34.13,34.59,33.51,33.51,3264337
2010-01-15,32.86,34.0,32.54,33.99,4025045
2010-01-18,32.86,34.0,32.54,33.99,0
2010-01-19,33.04,33.05,32.29,32.64,2047432
2010-01-20,33.57,33.89,32.55,32.84,4429144
2010-01-21,35.82,37.32,34.35,34.35,9916378
2010-01-22,35.62,36.15,34.6,36.05,4010003
2010-01-25,35.5,36.17,34.57,35.92,3605183
2010-01-26,34.78,35.96,34.67,35.25,3308128
2010-01-27,35.39,35.58,34.34,34.78,2835722
2010-01-28,35.2,36.17,34.6,35.64,5335030
2010-01-29,34.51,35.749,34.47,35.41,2368614
2010-02-01,35.45,35.49,34.81,35.32,2677259
2010-02-02,35.2,35.66,34.82,35.5,3370147
2010-02-03,34.54,35.07,34.18,35.07,2821078
2010-02-04,33.34,34.23,33.33,34.23,4476962
2010-02-05,34.03,34.07,32.77,33.34,4052531
2010-02-08,33.42,34.47,33.29,34.08,2205259
2010-02-09,34.05,34.27,33.37,33.82,2028236
2010-02-10,34.62,35.38,33.84,33.98,4218224
2010-02-11,35.04,35.09,34.39,34.51,2406106
2010-02-12,35.0,35.0,34.45,34.81,1978225
2010-02-15,35.0,35.0,34.45,34.81,0
2010-02-16,35.6,35.61,34.6,35.21,1748416
2010-02-17,35.21,35.78,34.82,35.7,2399496
2010-02-18,34.76,35.21,34.6,35.17,2195332
2010-02-19,35.55,35.6,34.52,34.77,3147564
2010-02-22,36.16,36.45,35.55,35.73,2199022
2010-02-23,35.17,36.08,35.16,36.04,2928242
2010-02-24,36.02,36.25,35.21,35.21,3098026
2010-02-25,35.79,35.85,35.27,35.51,2035749
2010-02-26,36.08,36.17,35.661,35.89,2050266
2010-03-01,35.73,36.23,35.39,36.11,2030142
2010-03-02,35.67,36.29,35.57,35.75,1418824
2010-03-03,35.52,35.93,35.43,35.83,1703930
2010-03-04,35.74,35.97,35.58,35.73,1779661
2010-03-05,36.74,36.91,35.91,36.0,2815884
2010-03-08,36.29,36.88,36.16,36.63,2025308
2010-03-09,35.7,35.9,35.25,35.5,25067029
2010-03-10,36.49,36.55,35.77,35.9,5169590
2010-03-11,36.59,36.6,36.0,36.29,4019516
2010-03-12,36.86,37.35,36.715,36.79,4237171
2010-03-15,37.26,37.3814,36.7,36.94,4285752
2010-03-16,37.75,38.23,37.27,37.46,5025353
2010-03-17,38.24,38.66,37.69,37.85,3610293
2010-03-18,37.98,38.44,37.65,38.31,3057542
2010-03-19,38.14,38.36,37.64,38.1,3859740
2010-03-22,38.11,38.23,37.36,37.88,2471140
2010-03-23,38.11,38.26,37.49,38.11,2327759
2010-03-24,38.43,38.62,37.95,37.99,2384859
2010-03-25,38.22,39.36,38.08,38.79,3700835
2010-03-26,37.56,38.74,37.275,38.4,3592790
2010-03-29,37.88,37.96,37.3,37.74,1776911
2010-03-30,37.86,38.09,37.21,38.06,2136775
2010-03-31,38.04,38.44,37.58,37.83,2870916
2010-04-01,37.97,38.44,37.66,38.3,1827231
2010-04-02,37.97,38.44,37.66,38.3,0
2010-04-05,38.94,38.94,38.03,38.1,1609768
2010-04-06,40.57,40.82,38.72,38.81,4528615
2010-04-07,40.79,41.11,40.23,40.68,5196109
2010-04-08,41.0,41.07,40.04,40.69,3180585
2010-04-09,41.56,41.62,41.01,41.01,2229827
2010-04-12,41.73,41.98,41.421,41.5,2332405
2010-04-13,41.34,41.44,40.59,41.43,2668603
2010-04-14,42.43,42.51,41.69,41.69,2859205
2010-04-15,42.11,43.09,41.92,42.4,2946623
2010-04-16,40.77,41.9,39.65,41.77,4594225
2010-04-19,40.92,41.27,39.83,40.52,2487590
2010-04-20,42.22,42.5,40.77,41.16,3743812
2010-04-21,43.4,45.845,42.54,44.8,9903255
2010-04-22,44.6,45.02,43.06,43.24,4637275
2010-04-23,44.28,44.59,43.76,44.51,2950384
2010-04-26,42.62,44.49,42.46,44.18,3660306
2010-04-27,41.5,42.89,41.5,42.26,3525596
2010-04-28,41.46,42.57,41.0,42.33,3724448
2010-04-29,41.91,42.35,41.57,42.07,3370939
2010-04-30,42.0,42.46,41.38,41.94,4119916
2010-05-03,43.15,43.18,42.36,42.41,2114519
2010-05-04,42.08,42.75,41.75,42.45,2911124
2010-05-05,42.6,42.91,40.88,41.24,4075156
2010-05-06,41.43,42.85,39.44,42.23,7079445
2010-05-07,40.29,40.93,39.49,40.25,10601223
2010-05-10,42.63,42.93,41.69,42.19,6324375
2010-05-11,43.15,43.89,41.82,42.08,3835375
2010-05-12,43.67,43.74,42.97,43.54,2745776
2010-05-13,43.35,44.17,43.3,43.52,2286604
2010-05-14,42.22,42.87,41.7,42.87,3580168
2010-05-17,42.06,42.78,41.28,42.33,3148187
2010-05-18,40.81,42.36,40.36,42.16,4402785
2010-05-19,40.65,41.52,39.87,40.69,2707252
2010-05-20,37.74,39.93,37.68,39.75,7163828
2010-05-21,38.65,38.77,37.01,37.12,4824393
2010-05-24,37.32,38.45,37.21,38.13,4091620
2010-05-25,37.98,38.03,36.04,36.31,4258785
2010-05-26,37.98,39.1,37.6,38.58,3692538
2010-05-27,39.08,39.11,38.12,38.76,2736838
2010-05-28,38.1,39.01,37.98,39.0,2024284
2010-05-31,38.1,39.01,37.98,39.0,0
2010-06-01,37.26,38.42,37.18,37.78,2173997
2010-06-02,38.57,38.59,37.24,37.74,2735127
2010-06-03,37.99,39.06,37.82,38.79,1704286
2010-06-04,36.25,37.39,36.05,37.16,2980983
2010-06-07,35.94,36.84,35.89,36.44,3323538
2010-06-08,36.76,36.91,35.44,36.11,3332803
2010-06-09,36.61,37.61,36.45,36.99,3724802
2010-06-10,37.72,37.75,36.84,37.29,2542452
2010-06-11,37.44,37.56,36.78,37.05,3521549
2010-06-14,37.66,38.7,37.38,37.86,2361628
2010-06-15,38.75,38.8,37.73,38.08,2011979
2010-06-16,38.56,39.06,38.16,38.38,1904706
2010-06-17,38.39,38.9,37.87,38.63,2149002
2010-06-18,39.22,39.72,38.24,38.59,3494650
2010-06-21,39.03,39.98,38.81,39.86,2089004
2010-06-22,38.31,39.27,38.25,39.12,1988431
2010-06-23,37.8,38.52,37.45,37.84,2129021
2010-06-24,36.86,37.69,36.8,37.61,2324420
2010-06-25,38.43,38.52,36.94,37.33,2936792
2010-06-28,38.58,38.76,38.06,38.62,2119953
2010-06-29,37.25,38.24,37.01,38.01,2864671
2010-06-30,36.83,37.96,36.7,37.18,3163213
2010-07-01,36.42,37.35,35.43,36.79,3683568
2010-07-02,35.28,36.7,35.12,36.58,3099487
2010-07-05,35.28,36.7,35.12,36.58,0
2010-07-06,36.04,36.9,35.6,35.97,2833067
2010-07-07,38.44,38.475,36.05,36.21,4253464
2010-07-08,38.18,39.08,37.56,38.66,2475887
2010-07-09,39.15,39.25,38.16,38.39,1905045
2010-07-12,38.93,39.07,38.43,39.01,1561845
2010-07-13,40.08,40.21,39.26,39.33,2141887
2010-07-14,39.17,39.57,38.57,39.55,3116977
2010-07-15,38.79,39.54,37.9,39.1,2577713
2010-07-16,36.17,38.35,35.965,38.25,6093374
2010-07-19,36.21,36.66,35.68,36.23,2130949
2010-07-20,36.81,36.89,35.18,35.31,5392853
2010-07-21,36.22,38.2,36.06,37.57,5540878
2010-07-22,37.34,37.52,36.82,36.84,2175166
2010-07-23,37.74,37.8085,37.09,37.09,2342010
2010-07-26,38.69,38.77,37.5,37.82,1741535
2010-07-27,39.16,39.73,38.86,39.09,2826686
2010-07-28,38.96,39.35,38.2301,39.04,2189383
2010-07-29,38.79,39.49,38.43,39.26,2008252
2010-07-30,38.36,38.85,37.94,38.25,2063140
2010-08-02,39.4,39.5,38.78,39.04,1779919
2010-08-03,39.25,39.65,38.99,39.12,1350799
2010-08-04,38.83,39.43,38.62,39.43,1640206
2010-08-05,38.22,38.7,38.08,38.58,1853312
2010-08-06,37.16,37.85,36.385,37.68,3095619
2010-08-09,37.32,37.49,36.38,37.47,1755977
2010-08-10,37.6,37.93,36.73,36.82,2854286
2010-08-11,36.25,37.18,36.25,36.99,3232858
2010-08-12,36.25,36.63,35.73,36.11,2169492
2010-08-13,35.87,36.59,35.87,36.12,1716496
2010-08-16,36.01,36.22,35.65,35.69,1865938
2010-08-17,36.33,36.53,35.86,36.47,2461056
2010-08-18,36.39,36.68,35.95,36.27,2240970
2010-08-19,35.52,36.48,35.13,36.18,3083692
2010-08-20,35.34,35.5,34.76,35.21,2516282
2010-08-23,35.04,35.8599,34.98,35.45,1660233
2010-08-24,34.2,34.76,34.19,34.54,2318509
2010-08-25,33.82,34.17,33.35,34.0,3058999
2010-08-26,33.31,34.23,33.165,34.0,2542190
2010-08-27,34.06,34.06,33.11,33.47,1666903
2010-08-30,33.44,33.91,33.44,33.86,2215575
2010-08-31,34.41,34.84,33.59,33.81,3243481
2010-09-01,35.53,35.75,34.56,34.69,2637121
2010-09-02,36.32,36.35,35.48,35.67,2165292
2010-09-03,36.93,37.0461,36.41,36.81,1874192
2010-09-06,36.93,37.0461,36.41,36.81,0
2010-09-07,36.07,36.71,35.87,36.71,1899669
2010-09-08,36.6,36.89,36.12,36.12,2452988
2010-09-09,36.76,37.88,36.5306,37.28,2822814
2010-09-10,36.7,37.51,36.51,37.29,2278188
2010-09-13,38.02,38.39,37.25,37.3,3181774
2010-09-14,37.5,37.97,37.11,37.9,2108424
2010-09-15,37.79,37.8,36.91,37.3,1476357
2010-09-16,37.15,37.55,36.98,37.4,1262549
2010-09-17,36.88,37.55,36.76,37.42,1918874
2010-09-20,37.67,37.73,36.56,37.03,2317886
2010-09-21,36.66,37.78,36.62,37.7,2450439
2010-09-22,35.97,36.46,35.68,36.41,3424983
2010-09-23,35.31,36.31,35.27,35.57,1927677
2010-09-24,36.33,36.39,35.81,35.97,1745919
2010-09-27,35.37,36.35,35.34,36.31,1805516
