Date,Close,High,Low,Open,Volume
2010-01-01,8.43,8.575,8.43,8.535,0
2010-01-04,8.485,8.565,8.375,8.39,27146736
2010-01-05,8.37,8.49,8.275,8.45,35492966
2010-01-06,8.31,8.4,8.265,8.345,27741644
2010-01-07,8.485,8.53,8.275,8.3,30214628
2010-01-08,8.46,8.535,8.405,8.475,25453898
2010-01-11,8.405,8.5,8.365,8.445,38109148
2010-01-12,8.255,8.375,8.205,8.37,36285788
2010-01-13,8.385,8.425,8.31,8.325,31533666
2010-01-14,8.335,8.415,8.305,8.33,34823522
2010-01-15,8.315,8.41,8.195,8.41,43235944
2010-01-18,8.315,8.41,8.195,8.41,0
2010-01-19,8.405,8.4305,8.31,8.365,25318874
2010-01-20,8.26,8.33,8.1,8.28,43376732
2010-01-21,8.0,8.29,7.92,8.255,65772416
2010-01-22,7.925,8.19,7.905,8.0,56665426
2010-01-25,8.005,8.085,7.88,7.93,30493056
2010-01-26,7.85,8.025,7.79,7.96,42569330
2010-01-27,7.925,8.045,7.79,7.835,40779826
2010-01-28,7.81,8.06,7.775,7.945,38618610
2010-01-29,7.915,8.065,7.755,7.815,54386414
2010-02-01,7.97,8.05,7.93,7.945,32681247
2010-02-02,8.145,8.175,7.92,7.965,38526326
2010-02-03,7.985,8.3,7.925,8.26,58381826
2010-02-04,7.76,7.975,7.76,7.905,45437914
2010-02-05,7.71,7.865,7.575,7.775,53443164
2010-02-08,7.605,7.735,7.6,7.715,31327992
2010-02-09,7.695,7.85,7.635,7.655,48789370
2010-02-10,7.655,7.72,7.59,7.68,43421670
2010-02-11,7.665,7.715,7.555,7.625,36471916
2010-02-12,7.67,7.685,7.55,7.595,55095584
2010-02-15,7.67,7.685,7.55,7.595,0
2010-02-16,7.835,7.855,7.725,7.755,40474452
2010-02-17,7.83,7.885,7.8,7.865,26798112
2010-02-18,7.865,7.9,7.8,7.85,25437186
2010-02-19,8.0,8.02,7.775,7.825,51954990
2010-02-22,8.095,8.145,8.005,8.045,39577884
2010-02-23,8.07,8.155,8.015,8.05,34481600
2010-02-24,8.21,8.235,8.05,8.135,53823648
2010-02-25,8.07,8.13,7.975,8.075,46155796
2010-02-26,8.22,8.235,8.035,8.095,43477988
2010-03-01,8.415,8.445,8.25,8.25,46011848
2010-03-02,8.4,8.485,8.35,8.42,44590756
2010-03-03,8.48,8.495,8.39,8.445,46038282
2010-03-04,8.585,8.6,8.47,8.5,31287580
2010-03-05,8.715,8.725,8.585,8.59,32694746
2010-03-08,8.78,8.835,8.62,8.67,33416289
2010-03-09,8.755,8.825,8.7025,8.79,34396516
2010-03-10,8.765,8.84,8.685,8.715,37625268
2010-03-11,8.785,8.785,8.645,8.71,21027998
2010-03-12,8.71,8.83,8.65,8.83,28875006
2010-03-15,8.765,8.78,8.66,8.72,25120136
2010-03-16,8.745,8.87,8.69,8.825,39739498
2010-03-17,8.79,8.87,8.7,8.75,27607846
2010-03-18,8.835,8.865,8.735,8.815,30982174
2010-03-19,8.765,8.935,8.675,8.92,48016068
2010-03-22,8.89,8.94,8.7,8.73,31109796
2010-03-23,9.045,9.065,8.855,8.925,41655616
2010-03-24,9.09,9.115,8.975,8.975,35449184
2010-03-25,9.22,9.335,9.08,9.12,50791972
2010-03-26,9.17,9.375,9.13,9.225,26236842
2010-03-29,9.25,9.29,9.125,9.17,29427516
2010-03-30,9.37,9.42,9.205,9.29,56301962
2010-03-31,9.415,9.47,9.285,9.325,54720504
2010-04-01,9.43,9.52,9.31,9.455,38877042
2010-04-02,9.43,9.52,9.31,9.455,0
2010-04-05,9.41,9.49,9.34,9.385,26500318
2010-04-06,9.38,9.46,9.29,9.34,22709400
2010-04-07,9.145,9.405,9.01,9.375,61457032
2010-04-08,9.215,9.26,9.085,9.135,32317234
2010-04-09,9.25,9.285,9.205,9.225,28667600
2010-04-12,9.315,9.36,9.225,9.265,24848470
2010-04-13,9.335,9.355,9.245,9.32,46289632
2010-04-14,9.465,9.475,9.24,9.295,41001320
2010-04-15,9.43,9.4975,9.35,9.43,44460226
2010-04-16,9.16,9.43,9.13,9.4,54171854
2010-04-19,9.29,9.305,9.125,9.165,38165106
2010-04-20,9.27,9.36,9.24,9.31,33924812
2010-04-21,9.265,9.305,9.18,9.265,29001438
2010-04-22,9.4,9.445,9.13,9.205,30899546
2010-04-23,9.48,9.49,9.31,9.335,30008288
2010-04-26,9.54,9.5962,9.41,9.445,36953366
2010-04-27,9.23,9.565,9.185,9.505,56558712
2010-04-28,9.405,9.6,9.2,9.505,78267560
2010-04-29,10.0,10.045,9.42,9.49,96205854
2010-04-30,9.885,9.935,9.73,9.9,81865052
2010-05-03,10.195,10.28,9.885,9.885,69744088
2010-05-04,9.935,10.135,9.78,10.05,48148478
2010-05-05,9.87,10.145,9.765,10.0,48842936
2010-05-06,9.255,9.745,8.825,9.73,116645474
2010-05-07,9.18,9.435,9.0,9.2,84844414
2010-05-10,9.015,9.54,8.865,9.355,94692510
2010-05-11,9.04,9.2942,8.825,8.94,84678800
