Date,Close,High,Low,Open,Volume
2010-01-01,15.66,16.13,15.65,16.04,0
2010-01-04,15.79,15.86,15.61,15.67,5875442
2010-01-05,15.74,15.89,15.64,15.89,4288526
2010-01-06,15.69,15.84,15.66,15.74,4671775
2010-01-07,15.49,15.72,15.33,15.72,5909299
2010-01-08,15.55,15.58,15.295,15.42,2398723
2010-01-11,15.75,15.79,15.54,15.69,4536732
2010-01-12,15.66,15.77,15.56,15.69,2906830
2010-01-13,15.78,15.86,15.56,15.68,2072930
2010-01-14,15.8,15.95,15.7,15.77,2644832
2010-01-15,15.69,15.79,15.49,15.78,3998712
2010-01-18,15.69,15.79,15.49,15.78,0
2010-01-19,15.9,15.91,15.65,15.69,1860655
2010-01-20,15.86,15.88,15.56,15.84,3240245
2010-01-21,15.54,16.02,15.54,15.92,3018630
2010-01-22,15.22,15.6,15.2,15.6,4304892
2010-01-25,15.38,15.465,15.19,15.37,2741646
2010-01-26,15.54,15.65,15.29,15.45,3243132
2010-01-27,15.39,15.52,15.23,15.52,3060907
2010-01-28,15.3,15.48,15.23,15.42,2980368
2010-01-29,15.17,15.48,15.13,15.3,4142641
2010-02-01,15.25,15.28,15.08,15.23,3140334
2010-02-02,15.51,15.52,15.13,15.31,2445704
2010-02-03,15.36,15.53,15.28,15.46,2443388
2010-02-04,14.89,15.21,14.89,15.16,3015236
2010-02-05,14.81,14.91,14.57,14.86,2723261
2010-02-08,14.59,14.85,14.57,14.83,2720937
2010-02-09,14.65,14.86,14.61,14.78,2576065
2010-02-10,14.57,14.64,14.4,14.59,2397313
2010-02-11,14.89,14.94,14.47,14.53,3992680
2010-02-12,14.83,14.88,14.71,14.81,3394946
2010-02-15,14.83,14.88,14.71,14.81,0
2010-02-16,15.12,15.13,14.86,14.95,1912154
2010-02-17,15.13,15.22,15.04,15.17,1475537
2010-02-18,15.19,15.27,15.05,15.11,3177485
2010-02-19,15.58,15.61,15.05,15.1,4304430
2010-02-22,15.49,15.59,15.44,15.56,2315701
2010-02-23,15.32,15.51,15.23,15.48,3054690
2010-02-24,15.4,15.42,14.92,15.4,4645363
2010-02-25,15.29,15.34,15.06,15.21,3015305
2010-02-26,15.27,15.46,15.2,15.34,2641198
2010-03-01,15.38,15.45,15.19,15.39,5502541
2010-03-02,15.63,15.68,15.44,15.5,5157181
2010-03-03,15.51,15.75,15.47,15.69,5419237
2010-03-04,15.5,15.53,15.3,15.36,4527123
2010-03-05,15.69,15.69,15.49,15.62,2549274
2010-03-08,15.62,15.7415,15.57,15.65,3532153
2010-03-09,15.76,15.79,15.48,15.6,4025940
2010-03-10,15.73,15.76,15.5575,15.71,3165417
2010-03-11,15.77,15.77,15.62,15.73,1395063
2010-03-12,15.71,15.8,15.63,15.8,1476990
2010-03-15,15.65,15.75,15.49,15.72,1187822
2010-03-16,15.74,15.76,15.58,15.65,1851492
2010-03-17,15.75,15.83,15.59,15.78,1901456
2010-03-18,15.83,15.93,15.68,15.71,2197214
2010-03-19,15.82,16.0,15.68,15.99,2087805
2010-03-22,15.67,15.75,15.61,15.71,2246790
2010-03-23,15.69,15.74,15.61,15.66,2558673
2010-03-24,15.55,15.71,15.47,15.67,2180479
2010-03-25,15.43,15.73,15.43,15.59,2498538
2010-03-26,15.53,15.63,15.41,15.49,3102770
2010-03-29,15.55,15.67,15.44,15.53,2913074
2010-03-30,15.53,15.75,15.51,15.53,2099112
2010-03-31,15.46,15.54,15.4,15.5,2990368
2010-04-01,15.62,15.65,15.49,15.61,3093344
2010-04-02,15.62,15.65,15.49,15.61,0
2010-04-05,15.84,15.85,15.59,15.65,2037402
2010-04-06,15.98,16.0,15.75,15.79,2007829
2010-04-07,15.94,16.04,15.85,15.92,4070473
2010-04-08,15.78,15.94,15.685,15.85,2121918
2010-04-09,15.9,15.91,15.65,15.77,1898787
2010-04-12,16.05,16.07,15.91,15.91,2167381
2010-04-13,15.91,16.09,15.85,16.02,2389009
2010-04-14,15.92,15.98,15.81,15.91,1468729
2010-04-15,15.85,15.95,15.8,15.86,2379135
2010-04-16,15.72,15.92,15.68,15.82,3621889
2010-04-19,15.77,15.79,15.6,15.67,3190865
2010-04-20,15.8,15.94,15.78,15.86,5002261
2010-04-21,15.77,15.85,15.71,15.78,2560758
2010-04-22,15.8,15.86,15.66,15.72,3488035
2010-04-23,16.38,16.48,15.81,15.82,6010218
2010-04-26,16.55,16.67,16.42,16.47,6375284
2010-04-27,16.13,16.62,16.11,16.5,5987658
2010-04-28,16.35,16.39,16.1,16.2,3176272
2010-04-29,16.31,16.48,16.27,16.39,2702061
2010-04-30,16.26,16.49,16.25,16.35,2880916
2010-05-03,16.51,16.52,16.2,16.29,4108480
2010-05-04,16.11,16.41,16.03,16.36,3493407
2010-05-05,15.69,15.94,15.63,15.86,4634974
2010-05-06,15.27,15.76,14.53,15.59,9256797
2010-05-07,15.07,15.48,14.85,15.25,7555116
2010-05-10,15.5,15.72,15.3,15.6,3417199
2010-05-11,15.46,15.65,15.3,15.33,3630672
2010-05-12,15.75,15.77,15.39,15.46,2237717
2010-05-13,15.68,15.895,15.5929,15.69,3130073
2010-05-14,15.56,15.74,15.445,15.57,4057591
2010-05-17,15.59,15.67,15.3475,15.66,2623012
2010-05-18,15.45,15.79,15.4,15.74,3110037
2010-05-19,15.3,15.48,15.14,15.41,3136773
2010-05-20,14.74,15.0582,14.71,15.03,3876441
2010-05-21,14.78,14.84,14.42,14.47,3113163
2010-05-24,14.61,14.87,14.59,14.68,1762671
2010-05-25,14.38,14.39,14.09,14.3,5866709
2010-05-26,14.51,14.69,14.28,14.42,8307505
2010-05-27,14.71,14.87,14.49,14.72,3395511
2010-05-28,14.68,14.86,14.62,14.72,3027709
2010-05-31,14.68,14.86,14.62,14.72,0
2010-06-01,14.32,14.73,14.32,14.59,2339631
2010-06-02,14.61,14.62,14.34,14.37,2461350
2010-06-03,14.76,14.8,14.59,14.64,1715272
2010-06-04,14.26,14.67,14.2,14.57,3159137
2010-06-07,14.31,14.59,14.26,14.26,3884144
2010-06-08,14.42,14.45,14.21,14.27,2710037
2010-06-09,14.45,14.81,14.4,14.47,4080215
2010-06-10,14.8,14.84,14.62,14.64,2448536
2010-06-11,14.91,14.93,14.56,14.67,3211110
2010-06-14,14.95,15.1,14.89,14.99,2016369
2010-06-15,15.29,15.3,14.985,15.01,2039542
2010-06-16,15.39,15.47,15.17,15.17,2258106
2010-06-17,15.55,15.55,15.31,15.41,1841911
2010-06-18,15.54,15.62,15.41,15.57,2167216
2010-06-21,15.46,15.71,15.365,15.69,2054601
2010-06-22,15.13,15.55,15.11,15.5,1772681
2010-06-23,14.89,15.17,14.8,15.11,2174197
2010-06-24,15.08,15.335,14.85,14.86,6098128
2010-06-25,15.18,15.25,14.9,15.11,5288865
2010-06-28,15.27,15.34,15.07,15.24,982569
2010-06-29,14.93,15.14,14.86,15.13,2602688
2010-06-30,14.65,15.02,14.59,14.93,2546713
2010-07-01,14.68,14.74,14.47,14.7,4692369
2010-07-02,14.68,14.78,14.5299,14.71,2170728
2010-07-05,14.68,14.78,14.5299,14.71,0
2010-07-06,14.87,14.96,14.67,14.79,2100085
2010-07-07,15.24,15.24,14.83,14.86,1858710
2010-07-08,15.44,15.44,15.14,15.29,2233545
2010-07-09,15.67,15.7,15.32,15.45,2912727
2010-07-12,15.76,15.83,15.62,15.64,3001142
2010-07-13,15.84,15.97,15.76,15.86,2815028
2010-07-14,15.81,15.84,15.65,15.76,5039397
2010-07-15,16.0,16.02,15.71,15.8,4176584
2010-07-16,15.62,15.95,15.58,15.88,2939216
2010-07-19,15.85,15.89,15.59,15.68,4506969
2010-07-20,15.97,16.02,15.6,15.71,2963206
2010-07-21,15.69,16.06,15.58,16.03,3050321
2010-07-22,15.92,15.97,15.78,15.78,2772178
2010-07-23,16.06,16.07,15.8,15.95,2281164
2010-07-26,16.28,16.28,16.03,16.03,2644155
