Date,Close,High,Low,Open,Volume
2010-01-01,14.51,14.73,14.49,14.63,0
2010-01-04,14.52,14.65,14.5,14.59,2239665
2010-01-05,14.41,14.61,14.29,14.56,4227039
2010-01-06,14.27,14.45,14.18,14.45,5716036
2010-01-07,14.41,14.42,14.09,14.3,5962827
2010-01-08,14.24,14.38,14.18,14.33,4050348
2010-01-11,14.34,14.34,14.21,14.3,2174915
2010-01-12,14.43,14.68,14.32,14.32,4563390
2010-01-13,14.55,14.55,14.37,14.42,2294216
2010-01-14,14.62,14.64,14.41,14.57,2262128
2010-01-15,14.61,14.64,14.35,14.55,3405875
2010-01-18,14.61,14.64,14.35,14.55,0
2010-01-19,14.82,14.9,14.62,14.63,3809026
2010-01-20,14.86,14.89,14.61,14.75,3133193
2010-01-21,14.56,14.9,14.44,14.83,5705383
2010-01-22,14.2,14.56,14.19,14.51,3879227
2010-01-25,14.33,14.42,14.2,14.36,3653531
2010-01-26,14.2,14.33,14.19,14.3,4317562
2010-01-27,14.08,14.26,13.9,14.26,4590105
2010-01-28,14.1,14.22,13.84,14.11,5906801
2010-01-29,13.95,14.24,13.93,14.11,3918627
2010-02-01,14.26,14.29,13.9,14.01,4989367
2010-02-02,14.46,14.49,14.13,14.3,4657043
2010-02-03,14.38,14.5,14.33,14.44,3609662
2010-02-04,13.89,14.39,13.89,14.32,5717765
2010-02-05,13.92,13.98,13.72,13.88,5084353
2010-02-08,13.75,14.0,13.74,13.98,4410350
2010-02-09,14.01,14.17,13.8,13.89,5162529
2010-02-10,13.83,14.05,13.71,14.02,4420027
2010-02-11,13.74,13.77,13.48,13.67,3952860
2010-02-12,13.65,13.7,13.51,13.64,5529284
2010-02-15,13.65,13.7,13.51,13.64,0
2010-02-16,13.95,13.98,13.7,13.8,2975321
2010-02-17,14.06,14.09,13.95,14.0,3407151
2010-02-18,14.39,14.4,14.0,14.05,5963338
2010-02-19,14.53,14.59,14.23,14.33,4373074
2010-02-22,14.45,14.61,14.41,14.44,2310192
2010-02-23,14.31,14.47,14.28,14.41,2839340
2010-02-24,14.21,14.36,13.99,14.31,3171732
2010-02-25,14.1,14.16,13.95,14.08,4075639
2010-02-26,13.38,14.04,13.36,13.92,12626830
2010-03-01,13.6,13.68,13.47,13.57,6794241
2010-03-02,13.83,13.91,13.65,13.69,3806805
2010-03-03,13.77,13.96,13.75,13.86,3725125
2010-03-04,14.02,14.02,13.76,13.83,3937794
2010-03-05,14.01,14.16,14.0,14.06,4250668
2010-03-08,14.15,14.19,14.02,14.08,2968568
2010-03-09,14.11,14.225,14.04,14.12,2637683
2010-03-10,14.12,14.15,14.01,14.07,2847930
2010-03-11,14.28,14.28,14.1,14.15,1936125
2010-03-12,14.24,14.39,14.16,14.38,1616803
2010-03-15,14.23,14.32,14.1,14.25,2251420
2010-03-16,14.43,14.46,14.16,14.21,2335105
2010-03-17,14.46,14.52,14.41,14.49,2584655
2010-03-18,14.41,14.52,14.33,14.49,1757433
2010-03-19,14.43,14.52,14.33,14.43,3848285
2010-03-22,14.28,14.44,14.27,14.35,3552523
2010-03-23,14.3,14.35,14.21,14.33,3383422
2010-03-24,14.19,14.35,14.17,14.31,2031723
2010-03-25,14.13,14.29,14.13,14.27,1783317
2010-03-26,14.19,14.28,14.07,14.17,3173004
2010-03-29,14.47,14.5,14.18,14.27,3443309
2010-03-30,14.44,14.5,14.32,14.41,3417736
2010-03-31,14.36,14.5,14.31,14.35,3647677
2010-04-01,14.5,14.62,14.37,14.43,4110808
2010-04-02,14.5,14.62,14.37,14.43,0
2010-04-05,14.64,14.69,14.51,14.52,2402585
2010-04-06,14.74,14.77,14.56,14.58,3617322
2010-04-07,14.47,14.76,14.41,14.66,4859461
2010-04-08,14.37,14.48,14.3,14.4,2889386
2010-04-09,14.5,14.56,14.31,14.4,2459671
