Date,Close,High,Low,Open,Volume
2010-01-01,38.34,38.87,38.32,38.36,0
2010-01-04,39.05,39.14,38.55,38.66,4447478
2010-01-05,40.59,40.63,39.62,39.63,8030373
2010-01-06,40.81,40.97,40.2,40.35,5818917
2010-01-07,42.83,43.11,40.59,40.69,7885517
2010-01-08,42.46,43.19,42.01,42.43,6930195
2010-01-11,41.7,42.99,41.68,42.81,5299840
2010-01-12,41.86,42.2,41.32,41.48,6491867
2010-01-13,42.12,42.24,40.72,41.52,6079020
2010-01-14,41.67,42.1,41.29,41.81,4302650
2010-01-15,41.13,42.11,40.9,41.32,7223598
2010-01-18,41.13,42.11,40.9,41.32,0
2010-01-19,43.01,43.09,40.81,40.97,7770891
2010-01-20,43.02,43.6,42.32,42.71,7280284
2010-01-21,42.7,43.54,41.45,42.86,11787756
2010-01-22,37.53,40.88,37.31,40.79,22022984
2010-01-25,36.11,38.35,35.65,38.32,17533906
2010-01-26,35.21,36.7,35.15,35.96,13504370
2010-01-27,36.55,36.86,34.65,35.31,11448017
2010-01-28,36.74,37.23,35.76,36.51,10455058
2010-01-29,36.86,37.9,36.7,37.75,8556387
2010-02-01,36.78,37.36,36.47,36.85,8421854
2010-02-02,37.43,38.44,36.92,37.47,9962254
2010-02-03,36.55,37.34,36.38,37.15,5431422
2010-02-04,34.95,36.34,34.85,36.18,9095429
2010-02-05,35.36,35.54,34.03,35.11,8869821
2010-02-08,34.63,35.76,34.6,35.41,4895048
2010-02-09,35.33,36.1143,34.86,35.17,5408975
2010-02-10,35.56,36.01,34.97,35.23,4672455
2010-02-11,35.64,35.87,34.83,35.5,4801024
2010-02-12,35.14,35.38,34.68,35.1,7014362
2010-02-15,35.14,35.38,34.68,35.1,0
2010-02-16,36.74,36.91,35.95,36.3,8240494
2010-02-17,36.85,37.29,36.45,36.91,6432107
2010-02-18,37.33,37.54,36.61,36.8,5329728
2010-02-19,37.79,37.85,36.86,37.18,6076070
2010-02-22,38.28,38.53,37.68,38.0,6873596
2010-02-23,37.03,38.37,36.83,38.11,7199553
2010-02-24,37.64,37.69,36.91,37.18,4333048
2010-02-25,37.37,37.43,36.4,36.81,5267779
2010-02-26,37.75,37.92,37.04,37.28,3824359
2010-03-01,37.38,38.065,37.23,38.0,4420332
2010-03-02,37.98,38.33,37.47,37.59,3617571
2010-03-03,37.76,38.76,37.46,38.04,5416717
2010-03-04,36.84,37.55,36.58,37.44,9498289
2010-03-05,37.94,38.05,36.15,36.5,10042495
2010-03-08,37.85,38.26,37.56,38.0,4008060
2010-03-09,38.66,39.13,37.5,37.53,6799143
2010-03-10,39.09,39.66,38.74,38.89,5788933
2010-03-11,39.81,39.85,38.75,38.99,4838307
2010-03-12,39.89,40.75,39.46,39.9,6531246
2010-03-15,39.98,40.43,38.95,39.89,7803328
2010-03-16,40.39,40.42,39.27,40.15,7873170
2010-03-17,40.25,40.91,39.955,40.57,5605739
2010-03-18,40.84,40.92,40.03,40.03,5478613
2010-03-19,39.77,41.23,39.75,40.94,7463749
2010-03-22,40.61,40.69,39.33,39.5,6350024
2010-03-23,40.91,41.12,40.3,40.59,4431196
2010-03-24,41.26,41.63,40.66,40.74,5131071
2010-03-25,42.05,42.79,41.56,41.72,6347171
2010-03-26,41.92,42.83,41.63,42.12,4469763
2010-03-29,42.65,42.75,41.79,42.3,4870689
2010-03-30,41.92,43.0,41.88,42.65,4641627
2010-03-31,41.41,41.83,41.14,41.55,5264596
2010-04-01,41.57,41.86,41.19,41.69,3969995
2010-04-02,41.57,41.86,41.19,41.69,0
2010-04-05,43.15,43.21,41.62,41.86,5690151
2010-04-06,43.26,43.38,42.7,42.89,5764921
2010-04-07,43.15,43.675,42.74,43.0,6164605
2010-04-08,43.99,44.155,42.77,42.92,5279989
2010-04-09,43.86,44.42,43.44,44.07,3445710
2010-04-12,45.18,45.35,43.91,43.91,6994956
2010-04-13,44.95,45.2,44.51,45.14,4506347
2010-04-14,46.06,46.395,44.27,45.38,9193766
2010-04-15,45.15,46.31,45.03,45.9,8515032
2010-04-16,43.49,45.47,42.82,45.25,11226913
2010-04-19,43.81,43.82,42.7,43.19,5968075
2010-04-20,44.58,44.6,43.71,44.08,4244540
2010-04-21,44.74,45.06,44.1,44.76,5103085
2010-04-22,45.55,45.85,44.02,44.41,6260949
2010-04-23,46.73,47.73,45.2,47.03,10860014
2010-04-26,45.24,46.84,45.14,46.62,7297638
2010-04-27,43.29,45.52,43.11,44.86,9439934
2010-04-28,43.87,44.5,43.5,43.77,5385462
2010-04-29,44.87,45.32,44.19,44.3,5679160
2010-04-30,43.41,45.11,43.3,44.85,5548896
2010-05-03,46.13,46.36,43.73,43.81,7934856
2010-05-04,44.89,46.0,44.4,45.45,7513478
2010-05-05,44.24,45.5999,43.67,44.25,7756711
2010-05-06,43.12,45.6,40.5,43.92,12246674
2010-05-07,42.14,43.74,40.97,42.8,11135290
2010-05-10,44.2,45.38,43.45,44.23,7256783
2010-05-11,44.78,45.78,43.28,43.62,8386483
2010-05-12,46.61,46.78,44.58,45.1,7920694
2010-05-13,44.91,46.12,44.9,46.03,6460753
2010-05-14,42.76,43.46,42.11,43.35,12582998
2010-05-17,42.61,43.79,40.86,43.48,11846317
2010-05-18,41.57,43.21,40.63,42.98,12252633
2010-05-19,42.38,43.22,41.18,41.18,12229641
2010-05-20,41.33,43.74,41.29,41.8,15338426
2010-05-21,41.81,42.035,40.26,40.26,12224780
2010-05-24,40.92,42.44,40.86,41.7,5806712
2010-05-25,40.65,40.77,39.08,39.59,8866170
2010-05-26,40.31,41.77,40.01,41.09,6136329
2010-05-27,42.21,42.28,41.07,41.27,4282534
2010-05-28,41.3,42.37,40.8975,42.08,4296461
2010-05-31,41.3,42.37,40.8975,42.08,0
2010-06-01,40.48,41.6,40.45,40.81,4489540
2010-06-02,41.75,41.81,40.2,40.66,5016145
2010-06-03,41.19,41.93,40.77,41.79,5151204
2010-06-04,39.31,40.68,39.03,40.01,7139016
2010-06-07,38.5,40.21,38.36,39.7,5735104
2010-06-08,39.01,39.1,37.71,38.67,7268300
2010-06-09,38.02,39.54,37.83,39.35,7364918
2010-06-10,40.07,40.16,38.57,38.9,6754194
2010-06-11,40.26,40.4,39.32,39.4,6717459
2010-06-14,40.46,40.95,40.07,40.61,5784882
2010-06-15,42.53,42.62,40.67,40.71,8836880
2010-06-16,42.5,42.84,41.87,42.13,6309513
2010-06-17,42.37,42.6,41.87,42.51,5387184
2010-06-18,42.64,42.74,42.11,42.4,4783050
2010-06-21,43.33,44.19,43.13,43.24,6820734
2010-06-22,43.65,44.78,43.02,43.55,7245331
2010-06-23,43.24,43.92,42.78,43.42,5154719
2010-06-24,42.77,43.67,42.5475,42.85,6763351
2010-06-25,43.44,43.59,42.16,43.1,6294397
2010-06-28,42.93,43.6,42.65,43.57,3794059
2010-06-29,40.82,42.47,40.52,42.23,7043988
2010-06-30,40.3,41.53,40.15,40.82,5451762
2010-07-01,39.58,40.78,38.66,40.25,7863586
2010-07-02,39.43,40.12,38.5975,40.02,4247041
2010-07-05,39.43,40.12,38.5975,40.02,0
2010-07-06,39.57,40.95,39.04,39.92,4988907
2010-07-07,42.09,42.18,39.89,39.89,6929672
2010-07-08,42.78,43.2,41.89,42.65,4933190
2010-07-09,43.68,43.81,42.52,42.74,4075850
2010-07-12,43.68,43.77,43.05,43.34,2860593
2010-07-13,45.0,45.2,43.93,44.26,5786958
2010-07-14,44.53,44.62,43.84,44.61,4540270
2010-07-15,43.26,44.5,42.27,44.49,9129539
2010-07-16,41.46,42.72,41.28,42.64,7639076
2010-07-19,40.99,41.8,40.58,41.61,4798989
2010-07-20,41.46,41.5,40.02,40.19,7504038
2010-07-21,40.09,41.9795,39.97,41.94,5058800
2010-07-22,42.08,42.6,40.96,40.98,6836601
2010-07-23,40.84,40.98,39.6,40.85,10399504
2010-07-26,41.45,41.7,40.59,40.72,4339104
2010-07-27,41.55,42.19,40.99,41.71,6533997
2010-07-28,41.77,42.0,41.1593,41.43,4991883
2010-07-29,42.42,42.76,41.68,41.68,6660509
2010-07-30,42.33,42.5125,41.67,41.94,4536322
2010-08-02,42.78,43.36,42.42,43.09,5762949
2010-08-03,41.93,42.54,41.65,42.39,4760903
2010-08-04,41.64,42.22,41.23,42.18,4278326
2010-08-05,41.17,41.7,41.06,41.21,3821068
2010-08-06,40.92,40.92,39.98,40.66,4626729
2010-08-09,41.27,41.41,40.56,41.04,2575792
2010-08-10,41.48,42.04,40.46,40.68,4811556
2010-08-11,39.86,40.9599,39.84,40.7,4651350
2010-08-12,38.61,39.59,38.5,39.41,8206948
2010-08-13,38.82,39.38,38.53,38.59,4497502
2010-08-16,38.93,39.5,38.53,38.62,4144082
2010-08-17,39.12,39.87,39.0,39.29,4548154
2010-08-18,39.06,39.32,38.59,39.22,3997822
2010-08-19,37.61,38.888,37.44,38.83,6318407
2010-08-20,37.78,38.0,37.3,37.41,4155674
2010-08-23,37.88,38.43,37.8101,37.97,4011074
2010-08-24,37.33,37.65,36.95,37.26,4864267
2010-08-25,37.12,37.37,36.69,37.03,5043361
2010-08-26,37.21,38.0,37.1,37.65,4361232
2010-08-27,38.21,38.45,36.91,37.5,5424650
2010-08-30,37.64,38.635,37.62,38.05,4823880
2010-08-31,37.87,38.42,37.41,37.63,3733137
2010-09-01,39.03,39.05,38.17,38.25,4939369
2010-09-02,39.52,39.53,38.91,39.17,3483729
2010-09-03,40.69,40.77,39.96,40.05,4110825
2010-09-06,40.69,40.77,39.96,40.05,0
2010-09-07,38.85,40.38,38.81,40.28,4752650
2010-09-08,39.08,39.93,38.96,39.01,6960346
2010-09-09,39.4,40.06,38.97,39.9,3867189
2010-09-10,38.89,39.61,38.515,39.5,3900757
2010-09-13,39.45,40.16,39.2,39.6,4754953
2010-09-14,38.6,39.36,38.48,39.19,4452807
2010-09-15,39.09,39.24,38.05,38.27,4263366
2010-09-16,39.51,39.73,38.87,38.88,4489606
2010-09-17,38.67,39.73,38.64,39.66,7636210
2010-09-20,39.33,39.48,38.8,38.9,4588371
2010-09-21,38.33,39.42,38.26,39.3,4835602
2010-09-22,37.89,38.72,37.6,38.37,6325528
2010-09-23,37.67,38.41,37.4,37.55,5994533
2010-09-24,39.35,39.4,38.07,38.35,5365275
2010-09-27,38.77,39.38,38.73,39.38,3660627
2010-09-28,39.15,39.21,38.4,38.86,3547456
2010-09-29,38.93,39.23,38.69,38.89,2860274
2010-09-30,39.55,39.91,38.8,39.21,5612052
2010-10-01,39.3,40.03,38.72,39.93,4673625
2010-10-04,38.57,39.47,38.43,39.23,4842877
2010-10-05,40.39,40.61,38.74,38.94,6730877
2010-10-06,40.16,40.63,39.95,40.3,3750766
2010-10-07,39.27,40.63,39.23,40.46,5375492
2010-10-08,39.36,39.8,39.205,39.41,3405011
2010-10-11,39.68,39.86,39.26,39.47,2491377
2010-10-12,40.57,40.69,39.484,39.56,3960994
2010-10-13,40.43,41.149,39.91,40.86,6419603
2010-10-14,39.89,40.41,39.2,40.18,7169820
2010-10-15,36.86,40.25,36.5,40.24,18954011
2010-10-18,37.23,37.24,36.1,36.86,10508195
2010-10-19,38.76,40.15,37.71,38.25,17154341
2010-10-20,38.75,38.89,37.21,38.79,11237871
2010-10-21,39.3,39.76,38.75,38.89,7079891
2010-10-22,39.12,39.56,38.89,39.24,2711382
2010-10-25,38.24,39.84,38.135,39.45,5967750
2010-10-26,37.77,38.41,37.62,38.14,5813510
2010-10-27,37.91,38.43,37.42,37.5,5151242
2010-10-28,37.92,38.43,37.55,38.21,3127976
2010-10-29,37.27,37.79,37.08,37.66,5144965
2010-11-01,37.31,38.0,36.88,37.41,5018150
2010-11-02,37.365,37.8,37.11,37.66,3822622
2010-11-03,37.76,37.81,37.16,37.47,4328703
2010-11-04,39.3,39.44,37.92,38.3,6998387
2010-11-05,40.36,41.0,39.1,39.44,7910844
2010-11-08,40.08,40.62,39.7799,40.1,4189983
2010-11-09,38.73,40.26,38.49,40.26,4981662
2010-11-10,39.66,39.7,38.57,38.9,4973585
2010-11-11,39.51,39.6399,38.93,39.19,3375241
2010-11-12,39.27,39.57,38.7,39.23,4467184
2010-11-15,39.69,40.52,39.38,39.43,4852408
2010-11-16,38.82,39.57,38.66,39.38,5681716
2010-11-17,38.27,38.98,38.13,38.78,3966531
2010-11-18,38.06,38.9,37.98,38.72,5124586
2010-11-19,37.82,38.12,37.5,37.85,4861290
2010-11-22,37.12,37.75,37.0,37.69,5174157
2010-11-23,36.55,37.175,36.44,36.81,4925115
2010-11-24,37.7,37.84,36.65,36.81,4737430
2010-11-25,37.7,37.84,36.65,36.81,0
2010-11-26,37.0,37.57,37.0,37.29,1481972
2010-11-29,37.73,37.88,36.54,36.8,5008504
2010-11-30,37.23,37.67,37.07,37.36,4649269
2010-12-01,38.13,38.25,37.52,37.79,4689250
2010-12-02,38.95,39.06,37.8,38.11,4658071
2010-12-03,38.76,38.84,38.16,38.66,4197199
2010-12-06,38.52,38.79,38.33,38.67,2362527
2010-12-07,38.57,39.36,38.37,38.93,3937373
2010-12-08,40.53,40.58,38.46,38.57,6391692
2010-12-09,41.27,41.4,40.64,40.8,5956202
2010-12-10,42.21,42.4,41.66,41.76,5281204
2010-12-13,42.22,42.69,41.93,42.61,3955905
2010-12-14,42.1,42.76,42.0,42.2,3064578
2010-12-15,41.52,41.905,41.29,41.82,4355287
2010-12-16,40.9,41.85,40.8,41.47,7306247
2010-12-17,40.49,41.0,40.08,40.85,5936903
2010-12-20,41.05,41.23,40.55,40.8,3809219
2010-12-21,42.18,42.42,41.15,41.32,4063246
2010-12-22,42.54,42.91,42.12,42.26,2632060
2010-12-23,42.36,42.785,42.13,42.21,1779116
2010-12-24,42.36,42.785,42.13,42.21,0
2010-12-27,42.59,42.83,42.01,42.08,1332099
2010-12-28,42.78,42.95,42.32,42.39,1411959
2010-12-29,42.6,42.9,42.45,42.79,1600793
2010-12-30,42.47,42.5795,42.06,42.47,2164950
2010-12-31,42.56,42.7,42.26,42.45,1781740
2011-01-03,43.69,44.1,43.01,43.01,3847715
2011-01-04,43.68,44.1,43.21,43.77,3339988
2011-01-05,45.52,45.52,43.42,43.67,6710873
2011-01-06,45.4,45.85,45.17,45.69,5195305
2011-01-07,45.41,45.68,44.2626,45.59,5620233
2011-01-10,45.57,46.11,44.88,44.99,3647072
2011-01-11,46.2,46.62,45.75,45.865,3374325
2011-01-12,47.17,47.38,46.58,46.7,5553985
2011-01-13,46.69,47.2,46.23,47.06,4081518
2011-01-14,48.38,48.62,46.66,46.66,5045918
2011-01-17,48.38,48.62,46.66,46.66,0
2011-01-18,48.01,49.06,47.46,49.06,4903702
2011-01-19,47.32,47.9,47.05,47.59,4960035
2011-01-20,47.25,47.48,46.25,47.2,5485537
2011-01-21,49.17,49.69,47.6,47.84,8087092
2011-01-24,48.47,49.295,48.28,49.06,4020005
2011-01-25,48.21,48.4,47.54,47.73,3958631
2011-01-26,48.28,49.14,48.24,48.47,2959160
2011-01-27,48.4,48.89,47.71,48.54,3691922
2011-01-28,48.24,49.05,47.98,48.67,5726279
2011-01-31,48.16,48.6,47.97,48.5,4013328
2011-02-01,49.86,50.0,48.31,48.54,5156071
2011-02-02,49.46,49.915,48.97,48.97,3822150
2011-02-03,49.05,49.46,48.54,49.39,2695812
2011-02-04,48.76,49.19,48.44,49.19,3043258
2011-02-07,49.53,49.95,48.82,48.99,2648643
2011-02-08,51.58,51.705,49.45,49.62,7630771
2011-02-09,51.03,51.625,50.44,51.26,4817151
2011-02-10,51.7,51.785,50.77,50.78,3820935
2011-02-11,52.06,52.4,51.52,51.55,4225498
2011-02-14,52.76,52.92,51.96,52.83,3792448
2011-02-15,52.11,52.9,51.83,52.87,4069848
2011-02-16,52.11,52.4,51.74,52.39,3722240
2011-02-17,52.13,52.4,51.77,51.99,2667368
2011-02-18,52.69,52.98,51.67,52.3,3793448
2011-02-21,52.69,52.98,51.67,52.3,0
2011-02-22,50.73,52.39,50.45,51.91,6293718
2011-02-23,50.34,51.11,49.39,50.8,4699609
2011-02-24,50.63,51.29,49.94,50.36,4408972
2011-02-25,49.99,51.03,49.98,50.86,4678939
2011-02-28,49.77,50.5,49.57,50.25,4722673
2011-03-01,48.26,49.88,48.19,49.88,6300441
2011-03-02,47.91,49.0,47.79,48.13,3918095
2011-03-03,48.97,49.14,48.14,48.37,5016066
