Date,Close,High,Low,Open,Volume
2010-01-01,55.36,56.39,55.3,56.22,0
2010-01-04,56.35,56.63,55.64,55.83,828011
2010-01-05,56.36,56.64,55.96,56.07,515120
2010-01-06,56.42,56.93,56.1,56.1,895396
2010-01-07,56.83,56.97,56.14,56.14,605489
2010-01-08,57.39,57.44,56.42,56.78,593139
2010-01-11,57.0,57.63,56.7,57.55,578614
2010-01-12,56.56,56.76,56.17,56.7,588317
2010-01-13,56.8,57.01,56.49,56.68,428258
2010-01-14,57.07,57.17,56.44,56.65,411176
2010-01-15,56.7,56.95,56.2,56.81,635907
2010-01-18,56.7,56.95,56.2,56.81,0
2010-01-19,56.78,57.15,56.45,56.53,761459
2010-01-20,56.04,56.28,55.31,56.23,814565
2010-01-21,54.47,55.975,54.18,55.91,1532249
2010-01-22,53.68,54.86,53.66,54.4,770650
2010-01-25,53.51,54.53,53.26,54.34,679702
2010-01-26,53.16,53.53,52.88,53.12,762148
2010-01-27,53.64,53.76,52.69,53.03,1009824
2010-01-28,53.3,53.8,52.35,53.0,968416
2010-01-29,53.19,54.22,53.05,53.61,1183895
2010-02-01,54.04,54.15,53.35,53.59,867424
2010-02-02,54.88,54.95,53.62,54.09,913536
2010-02-03,54.75,54.97,54.44,54.58,784506
2010-02-04,53.11,54.48,53.01,54.48,890565
2010-02-05,52.91,53.4054,52.03,53.2,1242391
2010-02-08,52.23,53.0,52.13,52.88,594111
2010-02-09,53.3,53.725,52.43,52.73,991153
2010-02-10,52.9,53.14,52.49,53.13,653822
2010-02-11,53.55,53.57,52.29,52.7,599592
2010-02-12,53.06,53.24,52.34,52.94,624851
2010-02-15,53.06,53.24,52.34,52.94,0
2010-02-16,54.13,54.14,53.37,53.56,514592
2010-02-17,54.29,54.57,53.87,54.45,859857
2010-02-18,55.24,55.3,54.14,54.36,454696
2010-02-19,55.47,55.87,54.42,54.42,804609
2010-02-22,55.01,55.592,54.93,55.43,610672
2010-02-23,54.31,55.21,54.05,54.91,765743
2010-02-24,54.93,55.07,54.41,54.58,669493
2010-02-25,54.86,54.89,53.66,53.96,1288352
2010-02-26,56.28,56.4,54.98,55.62,1642218
2010-03-01,58.39,58.64,56.18,56.36,1644127
2010-03-02,58.75,59.15,58.43,58.73,1914488
2010-03-03,58.98,59.33,58.7,59.0,1165070
2010-03-04,59.73,59.89,59.04,59.08,1372971
2010-03-05,60.04,60.395,59.61,60.0,1855043
2010-03-08,59.49,60.02,59.3,59.85,892176
2010-03-09,60.6,60.87,59.44,59.85,1638345
2010-03-10,60.9,61.17,60.37,60.4,940899
2010-03-11,61.21,61.22,60.11,60.55,877989
2010-03-12,60.93,61.22,60.38,61.22,476506
2010-03-15,60.3,60.89,59.96,60.74,640559
2010-03-16,60.52,60.7,60.0,60.34,927554
2010-03-17,60.69,60.93,60.33,60.55,820052
2010-03-18,61.16,61.2,60.37,60.47,899036
2010-03-19,62.97,63.43,61.82,61.82,3613792
2010-03-22,62.59,63.0,62.46,62.7,797552
2010-03-23,62.85,62.99,62.21,62.63,815941
2010-03-24,62.54,63.07,62.31,62.79,630591
2010-03-25,62.67,63.45,62.62,62.77,726009
2010-03-26,62.98,63.36,62.64,62.79,878978
2010-03-29,63.4,63.49,62.36,62.52,1082724
2010-03-30,63.13,63.73,62.81,63.33,737558
2010-03-31,62.59,63.05,62.46,62.99,996204
2010-04-01,62.87,63.65,62.33,63.17,828615
2010-04-02,62.87,63.65,62.33,63.17,0
2010-04-05,62.76,63.19,62.58,62.94,523926
2010-04-06,63.04,63.275,62.51,62.53,985793
2010-04-07,62.48,63.055,62.34,62.78,928764
2010-04-08,62.99,63.06,62.22,62.48,565619
2010-04-09,63.51,63.57,62.9,63.27,527148
2010-04-12,64.2,64.97,63.98,64.11,1166862
2010-04-13,63.8,64.44,63.24,64.05,1015957
2010-04-14,64.27,64.27,63.45,63.79,654552
2010-04-15,64.66,64.68,63.71,63.95,716491
2010-04-16,64.2,64.65,63.91,64.51,1622367
2010-04-19,63.93,64.22,63.63,63.81,1206589
2010-04-20,64.62,64.69,64.1,64.17,522012
2010-04-21,65.99,65.99,64.51,64.57,812788
2010-04-22,67.84,68.04,65.5,65.53,1984965
2010-04-23,65.9,67.28,64.16,66.86,3150162
2010-04-26,66.4,67.0,65.99,66.38,1281089
2010-04-27,64.84,66.56,64.74,66.11,1289047
2010-04-28,64.94,65.47,64.2,65.28,1584727
2010-04-29,66.27,66.33,65.39,65.53,1114753
2010-04-30,65.0,66.54,64.95,66.51,885200
2010-05-03,66.6,66.7,65.22,65.23,749279
2010-05-04,64.65,65.8,64.19,65.8,1338626
2010-05-05,64.11,64.45,63.63,64.36,1301046
2010-05-06,61.64,64.42,57.35,63.92,1581407
2010-05-07,60.15,62.2,59.45,61.64,1501069
2010-05-10,63.58,63.78,62.46,63.0,1231293
2010-05-11,63.77,64.85,62.86,63.01,2081338
2010-05-12,65.07,65.08,63.68,63.73,1160516
2010-05-13,63.64,64.76,63.52,64.63,1295232
2010-05-14,61.6,63.27,61.34,63.27,1344813
2010-05-17,61.7,62.18,60.55,61.87,1248371
2010-05-18,60.74,62.89,60.73,62.19,1083991
2010-05-19,59.39,60.67,58.79,60.52,1599915
2010-05-20,56.23,58.5,56.11,58.0,2075235
2010-05-21,58.94,58.98,55.11,55.12,2566422
2010-05-24,57.97,59.18,57.92,58.52,1304402
2010-05-25,57.58,57.6,56.0,56.45,1515652
2010-05-26,57.6,58.845,57.38,57.86,1161463
2010-05-27,59.37,59.38,57.89,58.86,966804
2010-05-28,58.34,59.63,57.86,59.39,1055893
2010-05-31,58.34,59.63,57.86,59.39,0
2010-06-01,57.15,58.78,57.09,57.53,995535
2010-06-02,58.63,58.6306,57.01,57.56,863543
2010-06-03,58.71,59.13,58.3,58.94,773311
2010-06-04,56.04,57.56,55.79,57.32,1258446
2010-06-07,54.5,56.16,54.391,56.16,1286846
2010-06-08,55.03,55.13,53.93,54.47,1303361
2010-06-09,54.81,56.52,54.53,55.34,1291307
2010-06-10,56.57,56.64,55.47,55.7,942701
2010-06-11,57.23,57.25,55.908,55.97,971974
2010-06-14,56.94,58.02,56.76,57.58,1033158
2010-06-15,58.86,58.88,57.31,57.42,940227
2010-06-16,58.93,59.19,58.29,58.5,678069
2010-06-17,58.27,59.14,57.82,59.02,1431195
2010-06-18,58.57,58.81,58.3,58.47,963309
2010-06-21,58.34,59.59,57.96,59.38,658176
2010-06-22,57.41,59.0,57.31,58.3,915409
2010-06-23,57.55,58.05,56.49,57.32,853975
2010-06-24,56.65,57.68,56.54,57.45,1006296
