Date,Close,High,Low,Open,Volume
2010-01-01,59.17,60.3,59.11,60.1,0
2010-01-04,59.41,60.07,59.13,59.5,3280136
2010-01-05,59.23,59.42,58.84,59.27,2775802
2010-01-06,60.0,60.05,59.0,59.15,3722838
2010-01-07,59.71,60.44,59.26,60.1,4527524
2010-01-08,59.28,59.61,59.1,59.51,2348272
2010-01-11,59.35,59.42,59.0,59.21,1830333
2010-01-12,59.03,59.39,58.72,59.24,2113234
2010-01-13,59.4,59.59,58.94,59.1,2052096
2010-01-14,58.72,59.25,58.71,59.12,2145635
2010-01-15,58.79,58.99,58.43,58.88,3081708
2010-01-18,58.79,58.99,58.43,58.88,0
2010-01-19,58.95,59.276,58.79,58.89,2558607
2010-01-20,58.27,58.68,57.62,58.59,4484750
2010-01-21,57.52,58.6,57.35,58.17,3456728
2010-01-22,57.07,57.96,57.04,57.41,4221256
2010-01-25,57.55,57.82,56.75,57.22,2690504
2010-01-26,57.93,58.48,57.14,57.23,3530432
2010-01-27,57.53,58.04,57.28,57.72,3776135
2010-01-28,57.35,57.82,57.06,57.73,3197007
2010-01-29,57.43,58.54,57.4,57.82,5414003
2010-02-01,57.91,57.92,57.36,57.61,4297937
2010-02-02,58.77,58.88,57.6,58.01,5231475
2010-02-03,58.42,58.95,58.38,58.6,5269084
2010-02-04,58.52,58.94,58.1,58.11,5962605
2010-02-05,58.58,58.9,58.07,58.6,4793748
2010-02-08,58.14,58.78,58.13,58.36,3319738
2010-02-09,58.76,59.0,58.2,58.69,3486817
2010-02-10,59.15,59.32,58.38,58.52,4520414
2010-02-11,59.67,59.78,58.67,58.9,4030760
2010-02-12,59.28,59.42,58.95,59.22,4337558
2010-02-15,59.28,59.42,58.95,59.22,0
2010-02-16,60.67,60.85,59.3,59.62,4052524
2010-02-17,61.05,61.3,60.74,60.84,2663023
2010-02-18,60.96,61.13,60.58,60.93,2275330
2010-02-19,61.14,61.36,60.66,60.73,2510091
2010-02-22,60.79,61.45,60.69,61.4,3004294
2010-02-23,60.51,60.92,60.41,60.64,3081114
2010-02-24,60.86,61.22,60.61,60.8,2908141
2010-02-25,61.4,61.52,60.21,60.35,3533947
2010-02-26,60.97,61.47,60.78,61.36,3681865
2010-03-01,61.65,62.11,60.68,61.0,4031690
2010-03-02,61.38,62.12,61.2,61.71,4129848
2010-03-03,60.68,61.58,59.64,59.75,10153492
2010-03-04,60.8,61.16,60.48,60.76,3286076
2010-03-05,60.68,60.97,60.5,60.83,3514759
2010-03-08,60.67,61.0,60.52,60.52,3020305
2010-03-09,60.13,60.57,60.04,60.38,3186925
