Date,Close,High,Low,Open,Volume
2010-01-01,33.8,34.31,33.8,34.14,0
2010-01-04,33.87,33.98,33.71,33.91,1574273
2010-01-05,33.93,34.17,33.6,33.92,2497019
2010-01-06,33.55,33.92,33.36,33.84,2829496
2010-01-07,33.04,33.45,32.97,33.45,3232525
2010-01-08,32.83,33.12,32.68,33.04,2203156
2010-01-11,32.93,33.0,32.6,32.83,2827671
2010-01-12,33.32,33.58,32.77,32.87,2601553
2010-01-13,33.82,33.9,33.33,33.46,2485457
2010-01-14,33.65,33.78,33.24,33.78,1976288
2010-01-15,32.99,33.73,32.8,33.67,3794471
2010-01-18,32.99,33.73,32.8,33.67,0
2010-01-19,33.05,33.23,32.96,33.03,1858338
2010-01-20,32.87,32.9,32.5,32.86,1605475
2010-01-21,32.62,33.03,32.4,32.83,2414546
2010-01-22,32.78,33.025,32.39,32.6,2738377
2010-01-25,32.77,33.1,32.58,33.1,1691514
2010-01-26,32.76,32.87,32.38,32.61,1866075
2010-01-27,33.05,33.17,32.61,32.87,2345981
2010-01-28,33.52,33.59,33.09,33.17,3139584
2010-01-29,33.11,33.71,33.05,33.65,2490600
2010-02-01,33.35,33.46,33.14,33.28,1189082
2010-02-02,33.66,33.66,33.25,33.43,1581123
2010-02-03,33.32,33.63,33.28,33.58,1809391
2010-02-04,32.44,33.63,32.44,33.52,3430235
2010-02-05,32.47,32.51,32.18,32.33,3018760
2010-02-08,32.69,33.09,32.49,32.56,1956751
2010-02-09,33.32,33.62,32.87,32.94,2823583
2010-02-10,33.32,33.48,33.05,33.26,1662232
2010-02-11,33.56,33.6,33.04,33.51,1294885
2010-02-12,33.04,33.4,32.84,33.32,2935902
2010-02-15,33.04,33.4,32.84,33.32,0
2010-02-16,33.59,33.65,33.03,33.12,2329086
2010-02-17,33.62,33.79,32.92,33.4,2972433
2010-02-18,33.85,33.93,33.5,33.54,2386848
2010-02-19,33.93,34.09,33.6,33.72,2054504
2010-02-22,33.5,33.98,33.21,33.87,2936498
2010-02-23,33.19,33.36,32.88,33.03,4498723
2010-02-24,33.15,33.43,32.89,33.35,3228746
2010-02-25,33.27,33.28,32.73,32.85,2618626
2010-02-26,33.33,33.46,33.18,33.32,2509081
2010-03-01,33.35,33.47,33.24,33.32,2101674
2010-03-02,33.85,34.09,33.37,33.38,2498430
2010-03-03,34.04,34.23,33.45,33.66,2677716
2010-03-04,34.15,34.39,33.79,34.22,3201534
2010-03-05,34.39,34.39,34.11,34.21,1747262
2010-03-08,34.16,34.4,34.035,34.27,1132013
2010-03-09,34.06,34.2,33.96,33.96,1763581
2010-03-10,33.88,34.07,33.77,33.96,2072099
2010-03-11,34.25,34.29,33.75,33.87,2482376
2010-03-12,34.49,34.53,34.18,34.23,1849408
2010-03-15,34.7,34.72,34.4,34.5,1711610
2010-03-16,35.0,35.04,34.68,34.8,2042043
2010-03-17,35.13,35.16,34.98,35.11,1767830
2010-03-18,35.04,35.04,34.74,35.0,1289804
2010-03-19,35.31,35.31,35.01,35.08,3660577
2010-03-22,35.33,35.43,35.13,35.13,1398108
2010-03-23,35.52,35.52,35.18,35.27,1253284
2010-03-24,35.24,35.54,35.16,35.36,1206694
2010-03-25,34.87,35.36,34.82,35.27,1691282
2010-03-26,34.92,35.05,34.78,34.98,1679622
2010-03-29,35.56,35.63,34.94,34.97,2089459
2010-03-30,35.63,35.75,35.515,35.66,1240096
2010-03-31,35.35,35.56,35.125,35.14,1610625
2010-04-01,35.56,35.66,35.41,35.48,1167773
2010-04-02,35.56,35.66,35.41,35.48,0
2010-04-05,35.42,35.66,35.38,35.56,1009347
2010-04-06,35.33,35.46,35.31,35.31,1061133
2010-04-07,35.4,35.545,35.2675,35.37,1545849
2010-04-08,35.13,35.46,35.11,35.32,2372755
2010-04-09,35.36,35.4,35.09,35.14,2619573
2010-04-12,35.42,35.5,35.13,35.27,2228970
2010-04-13,35.54,35.86,35.41,35.495,2896153
2010-04-14,35.63,35.66,35.43,35.55,1980928
2010-04-15,35.96,36.1,35.25,35.57,2512124
2010-04-16,35.71,36.04,35.56,35.92,2239694
2010-04-19,35.75,35.78,35.42,35.53,1809180
2010-04-20,36.0,36.02,35.74,35.92,1520464
2010-04-21,35.93,36.09,35.8,35.93,1493470
2010-04-22,35.78,36.0,35.41,35.87,1611627
2010-04-23,35.59,35.73,35.35,35.67,1630985
2010-04-26,35.48,35.68,35.42,35.51,1174236
2010-04-27,35.11,35.49,35.06,35.29,1677630
2010-04-28,35.38,35.45,34.98,35.12,1957116
2010-04-29,35.72,35.89,35.5,35.58,2230422
2010-04-30,35.86,36.25,35.6,35.67,2764412
2010-05-03,36.03,36.09,35.7,35.97,2034838
2010-05-04,35.64,35.94,35.44,35.8,1631708
2010-05-05,35.72,35.85,35.45,35.58,1564859
2010-05-06,35.07,35.69,34.18,35.64,3772535
2010-05-07,35.04,35.33,34.8,35.0,3796809
2010-05-10,35.8,36.28,35.34,35.75,1849605
2010-05-11,35.88,36.13,35.51,35.67,1791127
2010-05-12,36.02,36.16,35.7,35.93,2302769
2010-05-13,36.0,36.42,35.82,35.9,2294298
2010-05-14,35.34,36.0,35.21,35.91,2219535
2010-05-17,35.67,35.69,35.22,35.49,2016060
2010-05-18,35.48,35.99,35.41,35.78,2011130
2010-05-19,35.62,35.78,35.24,35.44,2796354
2010-05-20,34.96,35.4,34.79,35.21,5303382
2010-05-21,35.48,35.52,34.71,34.97,5248905
2010-05-24,35.38,35.59,34.8,35.11,3855089
2010-05-25,35.18,35.19,34.61,34.7,4244240
2010-05-26,34.88,35.29,34.84,35.25,3957419
2010-05-27,35.93,35.94,35.2,35.28,3470027
2010-05-28,35.81,36.0,35.78,35.9,2586778
2010-05-31,35.81,36.0,35.78,35.9,0
2010-06-01,35.66,36.07,35.49,35.55,4141788
2010-06-02,36.42,36.42,35.69,35.69,2779066
2010-06-03,36.65,36.79,36.44,36.5,2192166
2010-06-04,36.0,36.23,35.86,36.04,3506703
2010-06-07,36.03,36.4,35.935,35.94,3048845
2010-06-08,36.71,36.73,35.92,36.05,4636294
2010-06-09,36.59,37.17,36.52,36.84,3630249
2010-06-10,36.57,37.02,36.33,36.95,4300569
2010-06-11,36.47,36.47,36.08,36.24,3080606
2010-06-14,36.69,36.86,36.42,36.71,2654046
2010-06-15,37.0,37.0,36.71,36.96,2092471
2010-06-16,36.99,37.06,36.72,36.77,2774321
2010-06-17,37.49,37.5,36.99,37.11,2221598
2010-06-18,37.15,37.47,37.05,37.47,2165165
2010-06-21,37.11,37.5,36.96,37.5,2100455
2010-06-22,36.63,37.24,36.56,37.07,2018590
2010-06-23,36.75,36.92,36.48,36.69,3192695
2010-06-24,36.46,36.79,36.38,36.58,3020369
2010-06-25,36.11,36.52,36.05,36.5,2722495
2010-06-28,36.56,36.73,36.15,36.22,1776384
2010-06-29,36.03,36.45,35.86,36.28,2487636
2010-06-30,35.83,36.07,35.65,35.99,3061364
2010-07-01,35.58,35.78,35.26,35.64,4618657
2010-07-02,35.31,35.65,35.15,35.62,2168477
2010-07-05,35.31,35.65,35.15,35.62,0
2010-07-06,35.69,35.78,35.4,35.63,2386875
2010-07-07,36.28,36.28,35.6,35.68,2533887
2010-07-08,36.48,36.51,36.2,36.42,1910988
2010-07-09,36.3,36.53,36.08,36.53,1554286
2010-07-12,35.96,36.2,35.91,36.15,2784105
2010-07-13,36.03,36.36,35.895,36.0,3165790
2010-07-14,35.88,36.04,35.75,36.04,2520034
2010-07-15,36.05,36.12,35.69,35.93,2601712
2010-07-16,35.82,36.1,35.75,35.98,2752677
2010-07-19,36.04,36.21,35.95,35.95,2540501
2010-07-20,36.47,36.52,35.79,35.82,3912160
2010-07-21,35.95,36.49,35.87,36.47,2028198
2010-07-22,36.14,36.41,35.99,36.21,2172137
2010-07-23,36.25,36.31,35.96,36.14,2768262
2010-07-26,36.2,36.39,36.05,36.11,1811280
2010-07-27,36.73,36.76,36.031,36.36,2679945
