Date,Close,High,Low,Open,Volume
2010-01-01,18.4425,18.59,18.3875,18.52,0
2010-01-04,18.705,18.8825,18.5475,18.6525,7908520
2010-01-05,18.625,18.75,18.2,18.6125,7942984
2010-01-06,18.5925,18.75,18.495,18.6875,5122148
2010-01-07,18.51,18.7375,18.385,18.63,4841472
2010-01-08,18.5375,18.5875,18.315,18.5175,5510144
2010-01-11,18.4125,18.6745,18.1975,18.65,6398976
2010-01-12,17.0725,17.6225,17.065,17.61,21054248
2010-01-13,17.125,17.1975,16.7425,17.07,20649544
2010-01-14,17.2975,17.4325,17.1225,17.1225,10400236
2010-01-15,17.1575,17.3872,17.025,17.2625,8564500
2010-01-18,17.1575,17.3872,17.025,17.2625,0
2010-01-19,17.375,17.4675,17.0375,17.1475,6252552
2010-01-20,17.1375,17.2925,16.875,17.2,7259764
2010-01-21,16.72,17.38,16.6525,17.155,8945672
2010-01-22,16.135,16.735,16.09,16.6825,8789088
2010-01-25,16.0325,16.4025,15.8675,16.37,9866508
2010-01-26,16.3525,16.545,15.8375,16.04,10366864
2010-01-27,16.35,16.4148,16.0975,16.3525,5947320
2010-01-28,16.04,16.325,15.86,16.3075,5684224
2010-01-29,15.8875,16.29,15.8,16.2025,6280932
2010-02-01,16.295,16.32,15.9125,16.005,5639608
2010-02-02,16.265,16.3925,16.0225,16.3125,4664124
2010-02-03,16.405,16.5575,16.1,16.2,4725928
2010-02-04,15.6075,16.2725,15.4575,16.21,11797592
2010-02-05,15.52,15.625,15.075,15.6225,12441124
2010-02-08,15.53,15.76,15.3075,15.5225,5062276
2010-02-09,16.165,16.225,15.67,15.67,9098856
2010-02-10,16.1825,16.225,16.0075,16.195,6855008
2010-02-11,16.49,16.5275,15.955,16.1925,6448512
2010-02-12,16.2725,16.415,16.0475,16.3575,8149820
2010-02-15,16.2725,16.415,16.0475,16.3575,0
2010-02-16,16.55,16.6125,16.3275,16.38,5511048
2010-02-17,16.695,16.83,16.5575,16.6075,6672228
2010-02-18,17.1125,17.235,16.8575,17.0,8362632
2010-02-19,17.23,17.3725,17.005,17.075,7197736
2010-02-22,17.26,17.3825,17.175,17.3625,5123352
2010-02-23,17.06,17.3475,16.975,17.25,5596812
2010-02-24,17.36,17.505,17.0225,17.1225,10460036
2010-02-25,17.0025,17.21,16.1925,17.1275,19947452
2010-02-26,16.9875,17.0175,16.625,16.79,10080948
2010-03-01,17.725,17.848,16.88,16.91,10421808
2010-03-02,17.96,18.0875,17.6569,17.7225,8080603
2010-03-03,17.6425,18.07,17.6225,17.94,5988180
2010-03-04,17.7225,17.7325,17.5,17.7175,5519180
2010-03-05,18.07,18.2475,17.8,17.8475,6999592
2010-03-08,18.2375,18.4048,18.03,18.03,5848896
2010-03-09,18.42,18.55,17.97,17.9975,9360992
2010-03-10,18.7975,18.85,18.405,18.405,8215719
2010-03-11,18.855,18.875,18.64,18.6625,6585044
2010-03-12,18.9275,19.095,18.7775,18.9275,4140188
2010-03-15,18.9,18.94,18.6375,18.785,5657204
2010-03-16,19.1725,19.2725,18.855,18.89,7888956
2010-03-17,19.185,19.3725,19.0825,19.1775,5502580
2010-03-18,19.2275,19.3625,19.11,19.18,5496452
2010-03-19,19.005,19.375,18.91,19.23,6161576
2010-03-22,19.3775,19.495,18.6475,18.6475,6491244
2010-03-23,19.275,19.445,19.1125,19.435,4934592
2010-03-24,19.04,19.3025,18.9877,19.1475,4733412
2010-03-25,18.9925,19.39,18.9875,19.19,5840496
2010-03-26,18.7375,19.075,18.6575,19.03,4206132
2010-03-29,18.6925,18.8575,18.615,18.7525,4227040
2010-03-30,18.8525,19.125,18.6925,18.8,7783716
2010-03-31,18.6125,18.88,18.5725,18.76,4547056
2010-04-01,18.885,19.025,18.67,18.8025,4212788
2010-04-02,18.885,19.025,18.67,18.8025,0
2010-04-05,19.2125,19.2375,18.97,19.045,3449108
2010-04-06,19.7075,19.86,19.0325,19.0575,9928544
2010-04-07,19.295,19.7,19.17,19.68,7023260
2010-04-08,19.4875,19.525,19.04,19.1875,6352520
2010-04-09,19.9425,19.9725,19.3525,19.635,7683016
2010-04-12,20.1275,20.308,19.8725,19.9975,9831316
2010-04-13,20.1075,20.1675,19.92,20.09,5229260
2010-04-14,20.9675,20.9925,20.415,20.4925,8835556
2010-04-15,20.9325,21.0975,20.7775,20.9975,5531532
2010-04-16,20.87,21.23,20.755,20.9625,9943148
2010-04-19,20.6625,20.9625,20.25,20.84,7141508
2010-04-20,21.12,21.155,20.7575,20.8775,4295080
2010-04-21,21.27,21.2975,20.9875,21.2225,6288564
2010-04-22,22.175,22.355,21.0,21.2125,10038852
2010-04-23,22.04,22.295,21.625,22.125,6087544
2010-04-26,22.1225,22.375,22.0475,22.115,3881568
2010-04-27,21.4525,22.2975,21.385,22.1325,5119032
2010-04-28,21.5375,21.615,21.2028,21.555,5870600
2010-04-29,22.035,22.0875,21.5725,21.75,4074084
2010-04-30,21.4,22.1,21.375,22.04,4456564
2010-05-03,21.93,22.0675,21.4375,21.5,4633756
2010-05-04,21.6475,22.3225,21.3325,22.1325,9105420
2010-05-05,21.305,21.61,21.1575,21.375,7292120
2010-05-06,20.225,21.535,19.0,21.2675,16300291
2010-05-07,19.38,20.3475,19.0438,20.25,13885308
2010-05-10,21.3725,21.395,20.54,20.58,11521068
2010-05-11,21.55,21.975,20.9575,20.9925,10001944
2010-05-12,22.1,22.14,21.71,21.79,9833128
2010-05-13,21.67,22.46,21.6075,22.17,11329436
2010-05-14,21.18,21.5675,20.8225,21.5675,7904924
2010-05-17,21.31,21.695,20.625,21.375,6709832
2010-05-18,21.04,21.9175,20.845,21.8575,7695840
2010-05-19,20.4,20.935,19.94,20.615,10582016
2010-05-20,19.7575,20.3175,19.4725,19.67,17455636
2010-05-21,20.81,21.0175,18.4775,18.6175,43615440
2010-05-24,20.5475,21.255,20.53,20.5725,9278248
2010-05-25,20.5325,20.5625,19.7,19.765,11385896
2010-05-26,20.9375,21.4475,20.615,20.6525,12686676
2010-05-27,21.75,21.75,21.345,21.345,10037700
2010-05-28,21.6325,21.875,21.34,21.61,9419164
2010-05-31,21.6325,21.875,21.34,21.61,0
2010-06-01,21.2225,21.7425,21.0775,21.2425,8402064
2010-06-02,22.11,22.11,21.1925,21.4225,7461268
2010-06-03,23.8,23.945,22.3175,22.3275,26552676
2010-06-04,22.41,24.0875,22.185,23.165,25821912
2010-06-07,21.975,22.8725,21.905,22.5175,10804072
2010-06-08,22.0,22.435,21.595,22.25,14489296
2010-06-09,22.255,22.9825,22.1425,22.3075,9700852
2010-06-10,23.105,23.1625,22.585,22.8425,9745996
2010-06-11,24.16,24.2175,22.6225,22.63,14185968
2010-06-14,23.375,24.2725,23.3225,24.1725,15007860
2010-06-15,23.7525,23.905,23.3575,23.4375,13109752
2010-06-16,23.585,23.7675,23.2825,23.455,10199168
2010-06-17,24.275,24.395,23.5825,23.72,14102848
2010-06-18,23.93,24.25,23.8375,24.125,10055936
2010-06-21,23.8525,24.485,23.6425,24.3525,11060784
2010-06-22,22.975,23.9525,22.8325,23.72,13329284
2010-06-23,23.235,23.45,22.69,23.125,11338156
2010-06-24,22.76,23.41,22.5975,23.3675,11483732
2010-06-25,22.905,22.995,22.4202,22.8875,8297696
2010-06-28,22.82,23.0825,22.7175,22.98,6393032
2010-06-29,21.3525,22.4275,21.125,22.4275,15205940
2010-06-30,21.455,21.8925,21.2225,21.265,15505832
2010-07-01,21.7675,21.905,20.9022,21.415,13088108
2010-07-02,21.7775,22.2375,21.59,21.83,9820776
2010-07-05,21.7775,22.2375,21.59,21.83,0
2010-07-06,22.0275,22.5425,21.7375,22.205,10732784
2010-07-07,22.845,22.87,21.9475,22.0025,11064512
2010-07-08,22.8925,23.27,22.525,23.2225,7910668
2010-07-09,22.945,23.0925,22.73,22.855,4438156
2010-07-12,22.9625,23.1875,22.63,22.8575,4533248
2010-07-13,23.4125,23.57,23.0,23.2175,6200032
2010-07-14,23.9325,24.1075,23.595,23.74,8604996
2010-07-15,23.9975,24.0525,23.6078,23.975,6099108
2010-07-16,23.0125,23.8475,22.9475,23.8225,7004220
2010-07-19,23.1575,23.3881,22.8875,23.0075,7998372
2010-07-20,23.28,23.3225,22.3625,22.6425,6506676
2010-07-21,23.04,23.62,22.955,23.425,5975800
2010-07-22,23.9825,24.1075,23.375,23.4325,6374372
2010-07-23,24.9425,25.075,23.6725,23.93,12540612
2010-07-26,25.0175,25.3725,24.7175,25.0,10820472
2010-07-27,24.7,25.245,24.4375,25.1525,6792672
2010-07-28,24.5275,24.9375,24.3675,24.635,4661412
2010-07-29,24.4475,24.995,24.0675,24.87,6450120
2010-07-30,24.7375,24.86,24.025,24.2125,5489140
2010-08-02,25.4775,25.6225,25.015,25.275,6588588
2010-08-03,25.2525,25.4925,25.0625,25.4475,5139860
2010-08-04,25.89,25.9425,25.245,25.3,5920008
2010-08-05,25.6725,25.865,25.475,25.865,4642116
2010-08-06,25.5825,25.605,24.97,25.355,5499632
2010-08-09,26.015,26.11,25.5375,25.59,6120316
2010-08-10,25.4125,25.615,25.2175,25.49,7447868
2010-08-11,24.4775,24.8125,24.31,24.78,9784800
2010-08-12,24.2375,24.45,23.775,23.925,10553900
2010-08-13,24.31,24.55,24.1165,24.245,7770208
2010-08-16,24.1575,24.3695,23.9375,24.2225,7281972
2010-08-17,24.8325,25.16,24.3775,24.5975,9111296
2010-08-18,24.8325,24.9725,24.4925,24.875,7195848
