Date,Close,High,Low,Open,Volume
2010-01-01,23.94,24.17,23.94,24.1,0
2010-01-04,24.69,24.84,24.01,24.01,59859189
2010-01-05,24.58,24.73,24.38,24.58,45128409
2010-01-06,24.42,24.74,24.34,24.51,35716784
2010-01-07,24.53,24.57,24.17,24.26,31540614
2010-01-08,24.66,24.7,24.25,24.37,39115841
2010-01-11,24.59,24.89,24.41,24.6,35852823
2010-01-12,24.2,24.5,24.08,24.45,35780391
2010-01-13,24.64,24.7,24.2,24.28,43683890
2010-01-14,24.95,25.08,24.52,24.54,52307589
2010-01-15,24.4,25.1,24.3,25.09,51649587
2010-01-18,24.4,25.1,24.3,25.09,0
2010-01-19,24.85,24.875,24.5,24.51,37607446
2010-01-20,24.41,24.73,24.12,24.6,42135001
2010-01-21,23.98,24.65,23.86,24.49,54767434
2010-01-22,22.97,23.93,22.87,23.83,70431639
2010-01-25,22.99,23.18,22.74,23.08,51293508
2010-01-26,22.9,23.2,22.64,22.79,55316794
2010-01-27,23.15,23.26,22.76,22.88,51807879
2010-01-28,22.52,23.22,22.35,23.19,63623264
2010-01-29,22.47,23.13,22.435,22.96,73431860
2010-02-01,22.73,22.94,22.38,22.65,54386091
2010-02-02,23.02,23.11,22.51,22.81,54108901
2010-02-03,23.07,23.25,22.85,23.13,80035486
2010-02-04,23.16,23.77,23.1,23.41,126098577
2010-02-05,23.7,23.88,23.16,23.32,99148510
2010-02-08,23.499,23.9,23.48,23.77,69908952
2010-02-09,23.89,24.0,23.58,23.84,60339781
2010-02-10,23.76,24.0,23.62,23.85,50574101
2010-02-11,23.93,23.99,23.54,23.64,42462558
2010-02-12,23.76,23.8,23.51,23.7,56456377
2010-02-15,23.76,23.8,23.51,23.7,0
2010-02-16,24.0,24.0,23.8,23.98,46760215
2010-02-17,24.07,24.09,23.74,23.98,48507156
2010-02-18,24.28,24.36,23.9,24.06,41154603
2010-02-19,24.36,24.38,24.06,24.12,38782047
2010-02-22,24.3,24.46,24.15,24.37,31379801
2010-02-23,24.05,24.23,23.83,24.15,36289256
2010-02-24,24.34,24.45,24.085,24.1,33183888
2010-02-25,24.33,24.39,23.87,23.92,37112486
2010-02-26,24.33,24.46,24.21,24.39,30727510
2010-03-01,24.6,24.65,24.32,24.33,41782570
2010-03-02,24.61,24.75,24.44,24.65,51404889
2010-03-03,24.84,24.93,24.6,24.69,50695027
2010-03-04,24.95,24.98,24.66,24.84,40261904
2010-03-05,25.21,25.24,24.92,24.99,57060394
2010-03-08,26.13,26.36,25.26,25.27,116178158
2010-03-09,26.13,26.48,25.7,26.33,160887564
2010-03-10,25.872,26.06,25.75,25.87,69660735
2010-03-11,25.97,25.98,25.72,25.85,37340472
2010-03-12,25.88,26.03,25.78,25.97,31167192
2010-03-15,26.08,26.09,25.74,25.75,36768501
2010-03-16,26.15,26.34,26.01,26.03,53894258
2010-03-17,26.26,26.4,26.18,26.2,32465840
2010-03-18,26.34,26.425,26.22,26.23,27087994
2010-03-19,26.15,26.44,26.07,26.44,55238494
2010-03-22,26.28,26.38,25.89,25.92,31906705
2010-03-23,26.64,26.75,26.17,26.2,48863070
2010-03-24,26.45,26.62,26.44,26.51,35299217
2010-03-25,26.43,26.85,26.42,26.64,35142599
2010-03-26,26.469,26.75,26.34,26.44,37528221
2010-03-29,26.51,26.69,26.45,26.6,30388646
2010-03-30,26.65,26.71,26.34,26.64,32976160
2010-03-31,26.03,26.61,25.96,26.49,54749425
2010-04-01,25.83,26.3,25.66,26.2,56196585
2010-04-02,25.83,26.3,25.66,26.2,0
2010-04-05,26.17,26.24,25.8,25.88,34806121
2010-04-06,26.22,26.38,26.05,26.15,31124212
2010-04-07,26.34,26.59,26.1,26.1,43840982
2010-04-08,26.28,26.39,26.0,26.29,38623382
2010-04-09,26.6,26.64,26.22,26.26,34613451
2010-04-12,26.53,26.74,26.49,26.57,28314543
2010-04-13,26.44,26.5,26.17,26.47,41966213
2010-04-14,26.88,26.93,26.56,26.61,44610066
2010-04-15,27.21,27.25,26.95,26.99,47016475
2010-04-16,26.98,27.44,26.79,27.11,68529424
2010-04-19,27.07,27.11,26.55,26.93,43890768
2010-04-20,27.18,27.45,27.06,27.2,47169807
2010-04-21,27.24,27.4,27.12,27.19,42738482
2010-04-22,27.32,27.37,26.72,27.08,44845750
2010-04-23,27.47,27.51,27.21,27.37,39306783
2010-04-26,27.57,27.7,27.48,27.58,35668511
2010-04-27,27.01,27.58,26.73,27.41,57168820
2010-04-28,27.038,27.38,26.82,27.1,54476828
2010-04-29,27.53,27.64,27.1,27.16,41867386
