Date,Close,High,Low,Open,Volume
2010-01-01,76.99,77.78,76.93,77.72,0
2010-01-04,79.06,79.2,78.16,78.2,10174309
2010-01-05,79.62,79.62,78.72,79.22,10596029
2010-01-06,79.63,80.0,79.19,79.44,11014848
2010-01-07,79.33,79.7,78.97,79.36,9627919
2010-01-08,79.47,79.47,78.89,79.12,5625080
2010-01-11,80.88,81.09,80.06,80.17,11916708
2010-01-12,80.41,80.45,79.47,79.52,12176138
2010-01-13,79.8,80.41,79.09,80.27,10843309
2010-01-14,79.55,79.8,79.15,79.63,6720987
2010-01-15,79.23,79.69,78.28,79.54,13483162
2010-01-18,79.23,79.69,78.28,79.54,0
2010-01-19,79.68,79.75,78.57,78.96,8722513
2010-01-20,78.15,78.93,77.65,78.71,8705257
2010-01-21,76.24,78.18,76.06,78.15,12574286
2010-01-22,74.59,76.59,74.43,75.98,13825032
2010-01-25,74.55,75.27,74.09,75.15,9132364
2010-01-26,74.15,74.88,73.7,74.08,10558244
2010-01-27,73.7,74.36,73.13,73.94,13375636
2010-01-28,73.24,74.18,72.32,73.97,12829734
2010-01-29,72.12,74.07,71.75,73.53,15267472
2010-02-01,73.58,73.74,72.14,72.7,11834318
2010-02-02,74.45,74.58,73.0,73.74,12947529
2010-02-03,73.21,74.36,73.05,74.18,14541091
2010-02-04,71.37,72.83,71.06,72.56,15248459
2010-02-05,71.18,71.24,69.55,71.0,17308974
2010-02-08,70.13,71.45,70.13,71.24,11596247
2010-02-09,71.31,72.03,70.82,70.89,13056124
2010-02-10,70.75,71.23,70.0,71.02,11621185
2010-02-11,71.73,72.11,70.31,70.72,11276934
2010-02-12,71.01,71.3,70.17,70.535,13810409
2010-02-15,71.01,71.3,70.17,70.535,0
2010-02-16,72.99,73.32,71.93,71.95,14232696
2010-02-17,72.84,73.43,72.46,73.3,8728002
2010-02-18,73.62,73.72,72.34,72.8,9851040
2010-02-19,74.05,74.38,73.21,73.39,13113938
2010-02-22,72.96,74.22,72.79,74.12,8683444
2010-02-23,72.04,72.93,71.77,72.66,11907773
2010-02-24,72.34,72.45,71.61,72.04,8920907
2010-02-25,72.11,72.19,70.78,71.23,11761048
2010-02-26,72.3,72.69,71.82,72.26,8978964
2010-03-01,72.81,73.18,72.39,72.77,7428010
2010-03-02,73.32,73.91,73.01,73.28,9258483
2010-03-03,73.13,73.85,73.06,73.61,8194276
