Date,Close,High,Low,Open,Volume
2010-01-01,44.9,45.59,44.84,45.25,0
2010-01-04,47.39,47.39,45.75,45.75,302449
2010-01-05,45.73,46.66,44.66,45.91,1200699
2010-01-06,45.93,46.01,45.2,45.78,673383
2010-01-07,46.04,46.14,44.88,45.94,502457
2010-01-08,46.99,47.55,45.39,46.04,1289519
2010-01-11,46.74,47.64,46.39,47.38,799569
2010-01-12,44.96,46.1,44.58,46.0,511009
2010-01-13,44.37,44.95,43.66,44.76,866904
2010-01-14,44.37,44.92,43.75,44.22,594177
2010-01-15,44.06,44.37,43.51,44.35,710133
2010-01-18,44.06,44.37,43.51,44.35,0
2010-01-19,44.91,45.2,44.08,44.1,583281
2010-01-20,44.4,44.67,44.01,44.35,399306
2010-01-21,43.87,45.18,43.86,44.67,572569
2010-01-22,43.25,43.98,42.6,43.41,793623
2010-01-25,44.08,44.56,43.5101,44.01,606785
2010-01-26,42.86,43.72,42.62,42.65,1160616
2010-01-27,45.0,45.22,43.64,43.74,6033183
2010-01-28,44.98,45.6,44.39,45.21,1099307
2010-01-29,44.87,45.43,44.69,45.21,1777577
2010-02-01,46.16,46.31,45.01,45.01,822271
2010-02-02,47.44,47.57,45.65,46.54,845146
2010-02-03,46.38,47.29,46.13,47.29,458377
2010-02-04,44.92,46.0,44.7509,46.0,1895324
2010-02-05,44.27,45.2,42.66,45.01,1284664
2010-02-08,44.59,45.45,43.84,44.35,608453
2010-02-09,45.58,46.06,45.15,45.15,383814
2010-02-10,45.29,45.755,44.33,45.52,783862
2010-02-11,46.0,46.09,44.751,45.0,413849
2010-02-12,45.41,45.65,44.53,45.15,905940
2010-02-15,45.41,45.65,44.53,45.15,0
2010-02-16,46.68,46.81,45.91,46.42,1221386
2010-02-17,46.96,47.62,46.31,47.17,544119
2010-02-18,47.52,47.53,46.63,46.81,366463
2010-02-19,47.75,48.31,47.16,47.16,689390
2010-02-22,45.76,47.62,45.64,47.47,866130
2010-02-23,45.16,45.88,45.05,45.69,532484
2010-02-24,45.48,45.91,45.0,45.1,579274
2010-02-25,46.79,46.84,45.06,45.92,1190044
2010-02-26,46.45,47.16,46.33,47.0,820690
2010-03-01,48.03,48.13,46.66,46.86,937642
2010-03-02,49.05,49.43,48.18,48.18,1382544
2010-03-03,49.65,49.84,48.97,49.43,1013935
2010-03-04,48.77,50.265,48.51,49.91,749011
2010-03-05,50.04,50.12,49.4,49.48,665507
2010-03-08,48.45,50.14,48.0,49.95,1243233
2010-03-09,49.55,49.9,48.1,48.2,996490
2010-03-10,49.53,49.94,49.27,49.5,726216
2010-03-11,50.2,50.46,49.34,49.58,894430
2010-03-12,50.16,50.86,49.88,50.8,843319
2010-03-15,50.14,50.58,49.24,50.17,1142343
2010-03-16,50.17,50.45,49.83,50.43,654030
2010-03-17,51.34,51.62,50.06,50.49,1006921
2010-03-18,48.37,51.22,48.19,51.22,1655615
2010-03-19,48.16,48.82,47.22,48.4,1217310
2010-03-22,48.93,49.2398,47.01,47.35,1084733
2010-03-23,49.76,49.96,48.83,49.19,829401
2010-03-24,49.77,49.99,49.04,49.2,728235
2010-03-25,48.36,50.5,48.35,50.07,981499
2010-03-26,48.26,49.21,48.0,49.02,746809
2010-03-29,49.7,49.79,48.31,48.42,647817
2010-03-30,49.77,49.9599,49.17,49.7,433566
2010-03-31,50.36,51.03,49.68,49.72,642290
2010-04-01,52.17,52.2,50.61,51.21,637968
2010-04-02,52.17,52.2,50.61,51.21,0
2010-04-05,53.55,54.07,52.88,53.5,1107155
2010-04-06,53.19,54.0,52.59,53.32,818307
2010-04-07,54.05,54.67,53.11,53.19,866431
2010-04-08,53.61,53.83,51.72,53.42,931668
2010-04-09,54.64,54.67,53.73,53.99,629598
2010-04-12,53.45,54.74,53.2,54.74,594945
2010-04-13,53.47,53.89,52.75,53.08,746151
2010-04-14,54.57,54.69,53.6,53.96,431071
2010-04-15,55.28,55.54,54.27,54.7,773316
2010-04-16,53.92,55.41,53.31,54.82,1059201
2010-04-19,53.39,53.84,52.28,53.37,889941
2010-04-20,54.38,54.62,53.54,53.93,772370
2010-04-21,53.8,54.68,53.26,54.68,797784
2010-04-22,54.57,54.84,52.99,53.34,695012
2010-04-23,56.54,56.64,54.48,54.76,1012736
2010-04-26,56.79,57.7,56.23,56.23,619936
2010-04-27,54.45,56.23,53.85,56.1,1015825
2010-04-28,53.97,54.74,53.21,54.55,1054476
2010-04-29,54.7,55.12,53.45,54.35,849779
2010-04-30,56.82,57.78,54.08,54.61,1216089
2010-05-03,58.87,59.72,56.88,56.88,978950
2010-05-04,57.14,58.21,56.5,57.77,920449
2010-05-05,54.48,56.73,54.28,55.96,1593197
2010-05-06,51.18,56.39,48.52,55.78,2513253
2010-05-07,49.05,55.435,48.6611,51.1,2813056
2010-05-10,53.73,53.75,51.35,51.85,1909304
2010-05-11,53.84,54.77,52.17,52.83,1285455
2010-05-12,55.4,55.78,53.76,53.8,879756
2010-05-13,55.71,57.0,54.63,55.48,735874
2010-05-14,54.07,55.07,52.96,55.02,1294236
2010-05-17,51.25,54.36,49.78,54.15,1987803
2010-05-18,51.59,52.99,51.17,51.84,1437396
2010-05-19,50.39,51.5,48.72,50.5,1216131
2010-05-20,46.88,48.96,46.83,48.17,1978539
2010-05-21,48.0,48.72,44.8508,45.85,1742016
2010-05-24,46.88,48.58,46.79,47.79,622281
2010-05-25,47.42,47.54,44.3,45.02,1291361
2010-05-26,48.8,49.75,48.22,48.57,1490232
2010-05-27,51.81,51.86,50.2,50.26,1165732
2010-05-28,52.05,52.83,51.09,51.79,1196820
2010-05-31,52.05,52.83,51.09,51.79,0
2010-06-01,51.92,54.16,51.0,51.48,2848342
2010-06-02,57.18,57.86,52.01,52.9,3404867
2010-06-03,59.57,59.68,56.85,57.8,2202485
2010-06-04,54.25,58.56,53.62,57.33,2541828
2010-06-07,53.42,55.82,53.08,53.39,1386637
2010-06-08,54.92,55.14,53.31,54.92,1314878
2010-06-09,55.1,57.8399,54.77,56.0,1662148
2010-06-10,58.1,58.35,56.72,56.72,954148
2010-06-11,58.84,59.05,56.9,57.18,839325
2010-06-14,59.7,61.65,59.3,59.93,1834190
2010-06-15,60.96,61.08,60.11,60.49,1051951
2010-06-16,60.58,61.29,59.95,60.57,917363
2010-06-17,59.61,61.1,58.63,60.6,803534
2010-06-18,59.61,59.75,58.7,59.48,908339
2010-06-21,58.72,61.15,58.09,60.76,588332
2010-06-22,57.28,58.86,56.83,58.19,1012627
2010-06-23,56.84,57.19,54.98,57.08,1274370
2010-06-24,56.15,57.45,55.74,56.42,1089003
2010-06-25,59.1,59.99,56.03,56.35,3871898
2010-06-28,58.43,59.8,58.36,59.1,1272418
2010-06-29,55.62,57.71,54.63,57.31,1472167
2010-06-30,55.33,56.9,55.15,55.31,937460
2010-07-01,54.03,55.75,52.64,54.88,1937415
2010-07-02,53.9,55.14,52.79,54.25,1645560
2010-07-05,53.9,55.14,52.79,54.25,0
2010-07-06,54.0,55.58,53.62,54.55,1527731
2010-07-07,55.78,55.78,54.27,54.38,1199643
2010-07-08,55.1,56.38,53.24,56.21,1851400
2010-07-09,54.64,55.14,54.0,54.99,1332172
2010-07-12,54.18,55.14,53.64,54.37,472899
2010-07-13,55.1,55.73,54.69,54.69,532611
2010-07-14,55.19,56.14,54.14,54.79,679307
2010-07-15,54.98,55.33,53.65,55.2,663364
2010-07-16,53.07,54.5599,52.86,54.17,859575
2010-07-19,53.29,53.89,52.5,53.49,473172
2010-07-20,57.29,57.49,51.51,52.47,2380304
2010-07-21,57.05,57.82,56.33,57.24,1350782
2010-07-22,57.7,58.97,57.47,57.71,1201913
2010-07-23,60.94,61.089,56.94,57.95,1648656
2010-07-26,61.16,61.98,60.24,61.24,629894
2010-07-27,60.04,62.0,59.31,61.8,589260
2010-07-28,60.48,61.15,59.35,59.86,745725
2010-07-29,60.89,62.22,60.24,61.21,817966
2010-07-30,59.98,60.36,59.18,59.9,1305844
2010-08-02,62.11,62.29,59.1,61.25,1634840
2010-08-03,62.36,63.18,61.255,62.11,544262
2010-08-04,62.25,63.49,61.26,63.0,998521
2010-08-05,62.39,62.7,60.6,61.5,985068
2010-08-06,63.08,63.12,61.78,61.9,754542
2010-08-09,63.19,63.74,62.84,63.46,531969
2010-08-10,62.57,62.945,61.58,62.58,646578
2010-08-11,59.8,61.77,59.8,61.77,893041
2010-08-12,60.53,61.43,58.48,59.02,1088495
2010-08-13,60.6,61.37,60.22,60.7,638847
2010-08-16,60.27,60.92,59.91,60.58,393892
2010-08-17,62.38,62.67,60.76,60.88,953007
