Date,Close,High,Low,Open,Volume
2010-01-01,54.09,55.19,54.01,55.13,0
2010-01-04,56.06,56.2,54.34,54.74,3974699
2010-01-05,55.85,56.56,55.6,56.19,3007385
2010-01-06,55.7,56.04,55.22,55.57,2854426
2010-01-07,56.1,56.13,55.165,55.38,2703646
2010-01-08,57.63,57.75,55.3,55.78,4165429
2010-01-11,59.95,60.16,58.16,58.26,8120017
2010-01-12,57.39,58.97,56.46,58.89,8129662
2010-01-13,58.29,58.54,55.89,57.75,6646923
2010-01-14,58.35,58.87,57.78,58.7,4171294
2010-01-15,56.33,58.59,55.96,58.36,6654184
2010-01-18,56.33,58.59,55.96,58.36,0
2010-01-19,57.66,57.69,56.14,56.37,3618742
2010-01-20,56.11,57.1,55.61,57.07,3804120
2010-01-21,55.45,56.47,54.66,55.93,5413875
2010-01-22,53.02,55.2,52.87,55.2,6206191
2010-01-25,53.69,58.0,53.055,53.73,4313380
2010-01-26,53.41,54.33,52.78,53.48,3479390
2010-01-27,52.39,53.41,50.62,52.53,6773372
2010-01-28,51.11,52.52,50.18,52.32,4456385
2010-01-29,49.95,52.33,49.69,51.4,5508357
2010-02-01,51.35,51.86,50.24,50.37,3842854
2010-02-02,52.45,52.86,51.61,51.8,3677930
2010-02-03,51.84,53.17,51.75,52.17,2497160
2010-02-04,49.87,51.45,49.68,51.35,4636522
2010-02-05,49.82,50.1685,48.33,49.76,5776045
2010-02-08,48.96,50.59,48.84,49.84,3776029
2010-02-09,50.32,51.36,49.73,49.9,5843655
2010-02-10,50.05,50.65,49.43,50.44,3155266
2010-02-11,52.32,52.51,49.85,49.91,5045166
2010-02-12,53.11,53.16,51.11,51.47,5683406
2010-02-15,53.11,53.16,51.11,51.47,0
2010-02-16,53.78,54.55,53.54,53.67,6326471
2010-02-17,56.48,58.05,56.05,57.86,17379208
2010-02-18,57.26,57.52,56.45,56.83,6092031
2010-02-19,57.28,57.725,56.6,56.99,4262025
2010-02-22,56.7,57.75,56.49,57.52,4127509
2010-02-23,56.09,57.44,55.45,56.55,4890175
2010-02-24,56.18,56.99,55.74,56.16,3982722
2010-02-25,56.96,57.12,54.6,54.93,5749119
2010-02-26,57.3,57.49,56.24,57.37,4068520
2010-03-01,58.29,58.46,57.45,57.56,3529626
2010-03-02,58.21,58.99,57.66,58.67,3547789
2010-03-03,58.66,59.7,58.33,58.5,3922391
2010-03-04,58.5,59.33,58.07,58.99,3374900
2010-03-05,59.54,59.85,59.01,59.17,3085953
2010-03-08,59.2,59.78,58.78,59.48,2429638
2010-03-09,59.28,59.73,58.76,58.79,3370317
2010-03-10,58.49,59.35,58.11,59.17,4794496
2010-03-11,57.73,58.29,56.71,58.08,7504589
2010-03-12,58.64,58.94,57.96,58.32,4651206
2010-03-15,58.13,58.6,57.6,58.6,3531259
2010-03-16,58.92,59.0,57.7517,58.54,3566820
2010-03-17,59.59,59.96,58.955,59.31,3866874
2010-03-18,59.25,59.91,58.96,59.53,3414974
2010-03-19,58.99,59.64,58.64,59.62,5195629
2010-03-22,60.02,60.04,58.28,58.43,5205998
2010-03-23,61.96,62.08,60.1,60.34,8973618
2010-03-24,60.49,61.65,60.31,61.48,6149905
2010-03-25,60.2,61.83,60.07,61.23,5453728
2010-03-26,60.56,61.2,60.11,60.51,4195710
2010-03-29,61.35,61.42,60.73,60.75,3364357
2010-03-30,61.11,62.0,60.99,61.63,3932394
2010-03-31,59.46,61.14,59.195,60.76,5568448
2010-04-01,59.74,60.7,59.1,60.01,5010382
2010-04-02,59.74,60.7,59.1,60.01,0
2010-04-05,60.64,60.8,60.1001,60.3,3514946
2010-04-06,60.68,60.85,60.27,60.37,2270551
