Date,Close,High,Low,Open,Volume
2010-01-01,14.71,14.88,14.645,14.78,0
2010-01-04,14.61,14.88,14.5,14.87,7553003
2010-01-05,15.1,15.16,14.65,14.8,7766321
2010-01-06,15.0,15.04,14.85,14.85,5550155
2010-01-07,15.09,15.18,14.85,14.95,6492466
2010-01-08,15.03,15.15,14.9,15.11,4458268
2010-01-11,14.84,15.17,14.75,15.14,4381772
2010-01-12,14.91,14.97,14.68,14.72,6586938
2010-01-13,15.01,15.09,14.67,14.95,4991776
2010-01-14,14.97,15.14,14.83,15.05,9027948
2010-01-15,14.76,15.09,14.56,14.92,10835575
2010-01-18,14.76,15.09,14.56,14.92,0
2010-01-19,14.86,14.87,14.64,14.66,6135279
2010-01-20,14.82,15.0,14.58,14.79,7563511
2010-01-21,14.23,14.865,14.22,14.8,10771521
2010-01-22,13.46,14.19,13.44,14.18,14728793
2010-01-25,13.48,14.05,13.32,13.88,10756990
2010-01-26,13.47,13.75,13.27,13.4,7833981
2010-01-27,13.82,13.88,13.24,13.47,9979879
2010-01-28,13.51,13.99,13.24,13.99,8617391
2010-01-29,13.68,13.94,13.54,13.61,7098988
2010-02-01,13.32,13.8,13.21,13.73,8491498
2010-02-02,13.8,13.86,13.52,13.62,6514614
2010-02-03,13.3,13.81,13.25,13.77,5784973
2010-02-04,12.9,13.33,12.87,13.15,7729877
2010-02-05,13.01,13.03,12.58,12.92,6965062
2010-02-08,12.76,13.07,12.72,12.98,7750926
2010-02-09,13.03,13.18,12.77,12.92,4938137
2010-02-10,12.92,13.13,12.78,13.04,5152507
2010-02-11,13.04,13.07,12.78,12.91,5211863
2010-02-12,13.03,13.06,12.8,12.91,5822191
2010-02-15,13.03,13.06,12.8,12.91,0
2010-02-16,13.55,13.58,13.1,13.25,8679270
2010-02-17,13.53,13.69,13.46,13.68,4843135
2010-02-18,13.56,13.62,13.44,13.54,2845485
2010-02-19,13.67,13.69,13.49,13.54,4207744
2010-02-22,13.84,14.1,13.65,13.74,6748623
2010-02-23,13.47,13.82,13.46,13.82,6324284
2010-02-24,13.63,13.69,13.45,13.64,4646688
2010-02-25,13.46,13.48,13.21,13.29,4652156
2010-02-26,13.65,13.66,13.4,13.5,3699233
2010-03-01,13.61,13.72,13.54,13.71,2834289
2010-03-02,13.9,13.97,13.62,13.68,5153003
2010-03-03,13.78,14.15,13.78,13.93,4299043
2010-03-04,13.77,13.85,13.67,13.79,4542895
2010-03-05,14.17,14.29,13.83,13.91,6882705
2010-03-08,14.12,14.19,14.05,14.13,5674173
2010-03-09,14.44,14.51,13.83,13.88,6310381
2010-03-10,14.38,14.59,14.24,14.48,5158988
2010-03-11,14.92,14.94,14.26,14.36,7206471
2010-03-12,14.97,15.22,14.84,14.98,10397366
2010-03-15,15.2,15.26,14.91,15.01,6135401
2010-03-16,15.3,15.48,15.06,15.47,5657141
2010-03-17,15.24,15.78,14.73,14.76,10960099
2010-03-18,15.52,15.545,15.17,15.17,6226109
2010-03-19,15.24,15.66,15.15,15.41,9644964
2010-03-22,15.35,15.46,15.04,15.12,6830563
2010-03-23,15.4,15.46,15.3,15.39,5736587
2010-03-24,15.4,15.42,15.23,15.35,4399723
2010-03-25,15.39,15.78,15.35,15.5,5903550
2010-03-26,15.39,15.55,15.08,15.45,6204104
2010-03-29,15.35,15.51,15.23,15.39,6303083
2010-03-30,15.12,15.42,15.03,15.29,8058712
2010-03-31,14.9,15.18,14.86,15.07,6788727
2010-04-01,15.34,15.38,15.04,15.08,6391903
2010-04-02,15.34,15.38,15.04,15.08,0
2010-04-05,15.58,15.725,15.32,15.37,5924251
2010-04-06,15.38,15.52,15.24,15.45,5937663
2010-04-07,15.17,15.67,15.1,15.4,7316768
2010-04-08,15.41,15.44,15.06,15.15,6309108
2010-04-09,15.5,15.66,15.38,15.41,6542264
2010-04-12,15.6,15.68,15.28,15.55,8805557
2010-04-13,15.6,15.695,15.42,15.6,7963687
2010-04-14,16.04,16.12,15.5,15.53,8388324
2010-04-15,16.12,16.59,16.03,16.48,9330446
2010-04-16,15.36,16.11,15.21,16.08,10846254
2010-04-19,15.67,15.71,15.14,15.27,7841969
2010-04-20,15.86,15.9,15.595,15.81,6998104
2010-04-21,15.66,15.87,15.445,15.85,5364015
2010-04-22,15.82,15.87,15.28,15.34,6695271
2010-04-23,16.26,16.48,15.71,15.71,8836371
2010-04-26,16.09,16.3,15.94,16.25,5479217
2010-04-27,15.37,16.08,15.33,15.72,8504545
2010-04-28,15.44,15.66,15.17,15.42,6775681
2010-04-29,16.04,16.1,15.57,15.63,7680756
2010-04-30,15.46,16.1417,15.43,15.99,6356861
2010-05-03,16.1,16.18,15.57,15.57,7529330
2010-05-04,15.34,15.98,15.25,15.85,9233779
2010-05-05,14.94,15.4,14.81,15.15,7486559
2010-05-06,14.41,15.185,13.42,14.85,10736507
2010-05-07,14.08,14.62,13.9,14.39,8938729
2010-05-10,14.87,15.18,14.67,15.0,7870756
2010-05-11,14.9,15.05,14.54,14.7,11631564
2010-05-12,15.21,15.27,14.86,14.95,6679409
2010-05-13,14.79,15.2825,14.76,15.12,6817710
