Date,Close,High,Low,Open,Volume
2010-01-01,10.87,11.03,10.83,10.94,0
2010-01-04,11.16,11.18,10.87,10.96,5799096
2010-01-05,11.56,11.59,10.945,11.13,10254465
2010-01-06,11.66,11.76,11.39,11.45,8410213
2010-01-07,12.27,12.6333,11.92,11.94,13808760
2010-01-08,12.17,12.31,12.04,12.12,5720646
2010-01-11,12.24,12.32,12.02,12.29,3746041
2010-01-12,12.21,12.225,11.85,12.09,5982001
2010-01-13,12.42,12.57,12.04,12.24,6278333
2010-01-14,12.25,12.56,12.23,12.33,4344726
2010-01-15,12.14,12.38,11.94,12.19,4686069
2010-01-18,12.14,12.38,11.94,12.19,0
2010-01-19,12.33,12.495,12.09,12.1,4456163
2010-01-20,12.13,12.32,12.08,12.16,5194559
2010-01-21,11.55,12.17,11.52,12.11,7275618
2010-01-22,11.2,11.86,11.11,11.52,11747568
2010-01-25,11.37,11.58,11.17,11.3,6031005
2010-01-26,11.29,11.59,11.2,11.29,7266269
2010-01-27,11.67,11.72,11.17,11.21,9099351
2010-01-28,11.79,12.04,11.53,11.78,9437069
2010-01-29,11.79,12.12,11.77,11.96,6788420
2010-02-01,11.91,12.04,11.63,11.83,6815703
2010-02-02,13.21,13.355,12.23,12.79,28814355
2010-02-03,13.25,13.305,12.81,13.27,11712148
2010-02-04,13.21,13.34,12.94,13.03,13717778
2010-02-05,12.67,13.14,12.16,13.08,14373418
2010-02-08,12.92,13.26,12.47,12.72,8691511
2010-02-09,12.98,13.16,12.605,13.08,8493202
2010-02-10,12.85,13.07,12.59,12.97,7313010
2010-02-11,13.12,13.22,12.695,12.85,6525848
2010-02-12,13.07,13.42,12.96,13.25,8325646
2010-02-15,13.07,13.42,12.96,13.25,0
2010-02-16,13.22,13.33,13.05,13.27,4582405
2010-02-17,13.12,13.53,12.94,13.5,6924769
2010-02-18,12.78,13.03,12.69,13.0,7208595
2010-02-19,12.95,13.0,12.74,12.77,7725132
2010-02-22,12.92,13.09,12.77,13.02,6202799
2010-02-23,12.57,12.975,12.43,12.9,9556426
2010-02-24,12.34,12.65,12.04,12.64,9437561
2010-02-25,12.35,12.35,11.96,12.09,6001758
2010-02-26,12.36,12.45,12.02,12.31,5250382
2010-03-01,12.56,12.585,12.37,12.4,3873794
2010-03-02,12.47,12.72,12.4,12.66,3805943
2010-03-03,12.57,12.8,12.465,12.56,5471675
2010-03-04,12.49,12.72,12.31,12.55,4404965
2010-03-05,12.87,12.95,12.55,12.55,6496949
2010-03-08,12.96,12.99,12.79,12.86,2870642
2010-03-09,13.09,13.17,12.83,12.9,5021368
2010-03-10,13.01,13.23,12.9,13.06,5013126
2010-03-11,12.96,12.98,12.73,12.93,4345424
2010-03-12,13.0,13.01,12.78,13.0,4572098
2010-03-15,12.84,13.029,12.64,13.0,3530354
2010-03-16,13.03,13.15,12.6,12.85,5042677
2010-03-17,12.89,13.17,12.79,13.05,4875244
2010-03-18,12.76,12.99,12.66,12.93,2939095
2010-03-19,12.51,12.93,12.5,12.81,5181491
