Date,Close,High,Low,Open,Volume
2010-01-01,28.4977,28.7705,28.4939,28.7516,0
2010-01-04,28.4787,28.6796,28.2324,28.6038,5204094
2010-01-05,28.4446,28.4635,28.1528,28.4256,4503439
2010-01-06,28.4977,28.528,28.1149,28.3347,4962083
2010-01-07,28.7326,28.7932,28.5014,28.5166,4390163
2010-01-08,29.1343,29.1722,28.3574,28.581,5940260
2010-01-11,29.464,29.5663,29.1798,29.3958,4700746
2010-01-12,29.0547,29.5019,28.9676,29.2556,5085659
2010-01-13,29.1267,29.2594,28.9562,29.0585,3322652
2010-01-14,29.248,29.3086,28.9979,29.1154,2509662
2010-01-15,28.8804,29.4261,28.8236,29.2745,4631717
2010-01-18,28.8804,29.4261,28.8236,29.2745,0
2010-01-19,29.1078,29.176,28.8008,28.9107,3844348
2010-01-20,28.797,28.9259,28.5924,28.9031,2709634
2010-01-21,28.312,28.9031,28.3006,28.7478,4340112
2010-01-22,27.8345,28.2854,27.8231,28.2134,5014184
2010-01-25,28.24,28.3915,27.9823,28.1452,4493976
2010-01-26,28.0656,28.3082,27.9444,28.2134,3619194
2010-01-27,28.1149,28.1566,27.6298,27.9709,3889540
2010-01-28,27.6109,28.0353,27.1978,27.3721,6990637
2010-01-29,27.0387,27.6639,27.0083,27.645,5986796
2010-02-01,27.2281,27.266,26.9401,27.1448,6607080
2010-02-02,27.6905,27.7246,27.1296,27.2964,5574874
2010-02-03,27.6185,27.717,27.2888,27.4745,4257866
2010-02-04,26.8189,27.5124,26.7961,27.429,5343954
2010-02-05,26.9098,27.0008,26.4513,26.8151,8508393
2010-02-08,26.5839,26.8416,26.5119,26.6294,5233185
2010-02-09,26.8643,27.0159,26.5763,26.8757,5657524
2010-02-10,26.8984,27.0841,26.5915,26.9136,4088868
2010-02-11,27.2471,27.266,26.5725,26.8075,3792036
2010-02-12,27.2585,27.3001,26.7658,26.9629,4925626
2010-02-15,27.2585,27.3001,26.7658,26.9629,0
2010-02-16,27.8534,27.8762,27.3494,27.5275,4154427
2010-02-17,28.509,28.5355,28.1225,28.1225,9815303
2010-02-18,28.6075,28.6947,28.4749,28.5355,4173474
2010-02-19,28.7819,28.9145,28.5469,28.7553,5138821
2010-02-22,28.7061,28.9107,28.5014,28.8539,4230132
2010-02-23,28.2854,28.725,28.1945,28.5507,4619235
2010-02-24,28.24,28.4105,28.0088,28.293,5896295
2010-02-25,28.2513,28.312,27.626,27.789,5772300
