Date,Close,High,Low,Open,Volume
2010-01-01,32.25,32.75,32.22,32.27,0
2010-01-04,32.07,32.75,31.87,32.5,13700385
2010-01-05,31.99,32.16,31.7,32.07,10307697
2010-01-06,31.82,32.0,31.68,31.9,10709499
2010-01-07,31.83,31.86,31.54,31.77,8202059
2010-01-08,31.88,31.94,31.53,31.66,7657457
2010-01-11,31.36,31.74,31.09,31.53,11254030
2010-01-12,30.82,31.12,30.68,31.02,14618808
2010-01-13,31.29,31.37,30.87,30.89,9620530
2010-01-14,31.02,31.18,30.96,31.13,9236595
2010-01-15,30.6,31.15,30.41,31.01,13936359
2010-01-18,30.6,31.15,30.41,31.01,0
2010-01-19,31.01,31.19,30.5,30.59,9662088
2010-01-20,31.19,31.24,30.72,31.0,13302792
2010-01-21,30.61,31.42,30.57,31.14,15403550
2010-01-22,29.98,30.71,29.95,30.5,14459398
2010-01-25,29.92,30.23,29.55,30.22,11155795
2010-01-26,29.66,29.94,29.32,29.8,11197240
2010-01-27,29.32,29.81,29.01,29.56,16122630
2010-01-28,29.35,29.4775,28.71,29.43,17128825
2010-01-29,29.55,29.82,29.25,29.37,14508358
2010-02-01,29.52,29.77,29.3425,29.6,10894198
2010-02-02,29.98,30.01,29.22,29.53,10102153
2010-02-03,30.75,30.87,29.79,29.92,15976392
2010-02-04,29.67,30.49,29.66,30.28,13407822
2010-02-05,29.54,29.84,28.99,29.63,11956466
2010-02-08,29.48,29.95,29.46,29.76,10657117
2010-02-09,29.84,30.04,29.48,29.89,14376704
2010-02-10,30.03,30.09,29.03,29.16,24191943
2010-02-11,30.16,30.43,29.76,29.82,12389346
2010-02-12,30.07,30.2,29.86,29.86,12802612
2010-02-15,30.07,30.2,29.86,29.86,0
2010-02-16,30.47,30.5,30.17,30.26,9061763
2010-02-17,30.86,30.93,30.38,30.5,9768588
2010-02-18,31.02,31.07,30.68,30.88,8212258
2010-02-19,31.23,31.52,30.85,31.0,12596007
2010-02-22,31.12,31.47,31.06,31.35,7868136
2010-02-23,30.92,31.27,30.86,30.99,10228540
2010-02-24,31.39,31.5,31.01,31.08,12062095
2010-02-25,31.36,31.41,30.85,30.85,10553784
2010-02-26,31.24,31.41,30.98,31.41,13449768
2010-03-01,31.54,31.6,31.34,31.35,8680911
2010-03-02,31.88,31.92,31.39,31.44,14070649
2010-03-03,31.64,31.96,31.55,31.94,10345466
2010-03-04,32.57,32.86,31.92,32.0,23076369
2010-03-05,33.22,33.22,32.7475,32.83,19205754
2010-03-08,33.19,33.5,32.95,33.0,13177691
2010-03-09,33.31,33.34,32.78,32.99,11072968
2010-03-10,33.33,33.6,33.1,33.15,9652998
2010-03-11,33.81,33.81,33.12,33.3,11398970
2010-03-12,33.69,33.81,33.47,33.8,9610444
2010-03-15,33.72,33.75,33.36,33.5,8235894
2010-03-16,33.75,33.83,33.49,33.71,8472894
2010-03-17,33.75,33.84,33.53,33.77,7858392
2010-03-18,33.78,33.85,33.515,33.69,8044625
2010-03-19,33.64,33.98,33.48,33.81,16028925
2010-03-22,33.95,34.19,33.42,33.53,11717579
2010-03-23,34.01,34.1,33.73,33.97,7037962
2010-03-24,34.39,34.43,33.87,33.98,12195190
2010-03-25,35.09,35.5,34.42,34.45,32708621
2010-03-26,35.31,35.6,34.85,34.91,22909751
2010-03-29,35.16,35.42,34.97,35.28,12560665
2010-03-30,35.1,35.2,34.76,35.16,17201846
2010-03-31,34.91,35.2,34.81,35.04,10789476
2010-04-01,35.55,35.59,35.01,35.09,14603035
2010-04-02,35.55,35.59,35.01,35.09,0
2010-04-05,35.22,35.545,35.07,35.31,10608093
2010-04-06,35.47,35.61,35.1,35.22,12637701
2010-04-07,35.32,35.49,35.06,35.34,9242151
2010-04-08,35.67,35.75,35.14,35.25,9916274
2010-04-09,36.22,36.88,35.64,35.8,21346089
2010-04-12,35.89,36.33,35.8,36.14,10409362
2010-04-13,35.84,36.06,35.71,35.87,10918073
2010-04-14,36.2,36.21,35.77,35.86,9267754
2010-04-15,36.4,36.51,35.86,36.02,9186814
2010-04-16,35.83,36.51,35.68,36.38,12334732
2010-04-19,36.17,36.17,35.58,35.86,9840403
2010-04-20,36.54,36.65,36.28,36.44,16515194
2010-04-21,36.56,36.75,36.35,36.46,9039653
2010-04-22,36.78,36.87,36.115,36.26,10494552
2010-04-23,36.79,36.85,36.49,36.78,7677095
2010-04-26,37.04,37.14,36.67,36.74,9983116
2010-04-27,36.32,36.82,36.16,36.78,10931887
2010-04-28,36.29,36.55,35.96,36.53,10930846
2010-04-29,37.22,37.39,36.5,36.54,10576780
2010-04-30,36.84,37.49,36.6,37.19,11456411
2010-05-03,37.56,37.98,36.84,36.93,10887476
2010-05-04,36.59,37.3,36.32,37.09,13195624
2010-05-05,35.34,36.56,35.08,36.46,17964631
2010-05-06,34.01,35.55,31.0,35.16,25182644
2010-05-07,33.41,34.35,32.77,33.75,22580577
2010-05-10,35.29,35.63,34.56,34.74,18284615
2010-05-11,35.76,36.25,35.14,35.34,19853157
2010-05-12,35.13,36.21,34.82,35.24,25533311
2010-05-13,34.75,35.53,34.74,35.15,15446343
2010-05-14,34.06,34.78,33.83,34.75,16945117
2010-05-17,34.2,34.34,33.288,34.27,15136931
2010-05-18,33.73,34.64,33.52,34.4,17396015
2010-05-19,33.39,33.8,33.09,33.46,18537023
2010-05-20,31.99,32.96,31.99,32.59,26617360
2010-05-21,32.87,32.87,31.4,31.43,20123071
2010-05-24,32.48,32.99,32.11,32.55,14047620
2010-05-25,32.32,32.37,31.21,31.58,26555900
2010-05-26,33.07,33.85,32.14,32.46,25298682
2010-05-27,34.37,34.37,33.48,33.53,16214711
2010-05-28,33.42,34.049,33.24,33.85,15833122
2010-05-31,33.42,34.049,33.24,33.85,0
2010-06-01,33.33,33.87,32.85,33.1,15439124
2010-06-02,34.74,34.79,33.46,33.67,18309285
2010-06-03,34.71,35.1,34.31,34.89,17752439
2010-06-04,33.69,34.35,33.44,34.05,21813072
2010-06-07,33.04,34.07,33.01,33.72,14577624
2010-06-08,33.15,33.32,32.41,33.03,15662434
2010-06-09,32.94,33.82,32.83,33.2,13714135
2010-06-10,34.11,34.23,33.45,33.53,13720176
2010-06-11,34.24,34.26,33.58,33.7,8807528
2010-06-14,33.93,34.57,33.915,34.43,9336756
2010-06-15,34.99,35.0,34.11,34.31,11552301
2010-06-16,34.79,34.93,34.48,34.86,9416200
2010-06-17,35.07,35.11,34.6,34.8,10951054
2010-06-18,35.15,35.35,34.92,35.19,14674180
2010-06-21,35.06,35.83,34.8588,35.56,11384216
2010-06-22,34.35,35.4595,34.29,35.16,9731963
2010-06-23,34.34,34.63,34.05,34.46,9473961
2010-06-24,33.6,34.18,33.46,34.13,10273460
2010-06-25,33.48,33.6754,33.12,33.6,11155628
2010-06-28,33.22,33.76,33.05,33.67,7801989
